ann_term	CC	annotation
GO:0006955	0.78541500234468	immune response
GO:0002376	0.783242346736534	immune system process
GO:0030545	0.757188851926721	receptor regulator activity
GO:0030546	0.757188851926721	signaling receptor activator activity
GO:0048018	0.757188851926721	receptor ligand activity
GO:0005102	0.739530143176654	signaling receptor binding
GO:0022843	0.73921130549039	voltage-gated cation channel activity
GO:0001518	0.730117193769759	voltage-gated sodium channel complex
GO:0034706	0.730117193769759	sodium channel complex
GO:0005248	0.730117193769759	voltage-gated sodium channel activity
GO:0005126	0.727880536888514	cytokine receptor binding
GO:0048856	0.726526519437889	anatomical structure development
GO:0032502	0.724422576381745	developmental process
GO:0030141	0.724399686461041	secretory granule
GO:0099503	0.724399686461041	secretory vesicle
GO:0010942	0.719694175312426	positive regulation of cell death
GO:0043065	0.719694175312426	positive regulation of apoptotic process
GO:0043068	0.719694175312426	positive regulation of programmed cell death
GO:0045995	0.71744154804459	regulation of embryonic development
GO:0048513	0.716258752197357	animal organ development
GO:0008083	0.715890022884016	growth factor activity
GO:0009888	0.711319819668117	tissue development
GO:0034703	0.710625592043146	cation channel complex
GO:0019209	0.70829948535888	kinase activator activity
GO:0030295	0.70829948535888	protein kinase activator activity
GO:0007275	0.703950836630497	multicellular organism development
GO:0048731	0.702035001086465	system development
GO:0043539	0.698995058621818	protein serine/threonine kinase activator activity
GO:0005891	0.695187688649957	voltage-gated calcium channel complex
GO:0005125	0.694625385739285	cytokine activity
GO:0016477	0.694007403949363	cell migration
GO:0030334	0.694007403949363	regulation of cell migration
GO:0051694	0.68736452520049	pointed-end actin filament capping
GO:0005523	0.68736452520049	tropomyosin binding
GO:0005179	0.684932148938493	hormone activity
GO:0018149	0.684711345244384	peptide cross-linking
GO:0003810	0.68187973559262	protein-glutamine gamma-glutamyltransferase activity
GO:0001664	0.680191911343975	G protein-coupled receptor binding
GO:0005245	0.678220273684252	voltage-gated calcium channel activity
GO:0034702	0.678060098463427	ion channel complex
GO:0034704	0.678060098463427	calcium channel complex
GO:0016604	0.674344352579013	nuclear body
GO:0016607	0.674344352579013	nuclear speck
GO:0047961	0.671804585396197	glycine N-acyltransferase activity
GO:0008373	0.67108177841063	sialyltransferase activity
GO:0070840	0.67108177841063	dynein complex binding
GO:0030155	0.670321614696341	regulation of cell adhesion
GO:0005164	0.670321614696341	tumor necrosis factor receptor binding
GO:0032813	0.670321614696341	tumor necrosis factor receptor superfamily binding
GO:0016247	0.669584630075454	channel regulator activity
GO:0099106	0.669584630075454	ion channel regulator activity
GO:0005576	0.663973153725783	extracellular region
GO:0140297	0.661142784778534	DNA-binding transcription factor binding
GO:0051239	0.659870736756948	regulation of multicellular organismal process
GO:0005539	0.657125138305037	glycosaminoglycan binding
GO:0046658	0.65288301024779	anchored component of plasma membrane
GO:0002682	0.650336870027379	regulation of immune system process
GO:0016055	0.650260570106252	Wnt signaling pathway
GO:0198738	0.650260570106252	cell-cell signaling by wnt
GO:1905114	0.650260570106252	cell surface receptor signaling pathway involved in cell-cell signaling
GO:0004675	0.649366157955088	transmembrane receptor protein serine/threonine kinase activity
GO:0015016	0.644776997828197	[heparan sulfate]-glucosamine N-sulfotransferase activity
GO:0034483	0.644776997828197	heparan sulfate sulfotransferase activity
GO:0004415	0.644065295872815	hyalurononglucosaminidase activity
GO:0015929	0.644065295872815	hexosaminidase activity
GO:0001503	0.643996164192707	ossification
GO:0031490	0.643996164192707	chromatin DNA binding
GO:0031492	0.643996164192707	nucleosomal DNA binding
GO:0018101	0.642971770572326	protein citrullination
GO:0018195	0.642971770572326	peptidyl-arginine modification
GO:0004984	0.641971914515988	olfactory receptor activity
GO:0001775	0.641014700469592	cell activation
GO:0005249	0.641014700469592	voltage-gated potassium channel activity
GO:0008201	0.640842391515177	heparin binding
GO:0007129	0.640611804527607	synapsis
GO:0007130	0.640611804527607	synaptonemal complex assembly
GO:0045143	0.640611804527607	homologous chromosome segregation
