ann_term	q_val	annotation
GO:0032182	0.998538401741652	ubiquitin-like protein binding
GO:0008131	0.998425975372372	primary amine oxidase activity
GO:0006479	0.998425975372372	protein methylation
GO:0008213	0.998425975372372	protein alkylation
GO:0006658	0.997103831570056	phosphatidylserine metabolic process
GO:0006659	0.997103831570056	phosphatidylserine biosynthetic process
GO:0006788	0.990666739429005	heme oxidation
GO:0004392	0.990666739429005	heme oxygenase (decyclizing) activity
GO:0009664	0.988841259029571	plant-type cell wall organization
GO:0071669	0.988841259029571	plant-type cell wall organization or biogenesis
GO:0019239	0.985601484512578	deaminase activity
GO:0043086	0.985601484512578	negative regulation of catalytic activity
GO:0044092	0.985601484512578	negative regulation of molecular function
GO:1901678	0.985094125613481	iron coordination entity transport
GO:0008137	0.985094125613481	NADH dehydrogenase (ubiquinone) activity
GO:0050136	0.985094125613481	NADH dehydrogenase (quinone) activity
GO:0003872	0.98086495106513	6-phosphofructokinase activity
GO:0098803	0.97983725959209	respiratory chain complex
GO:0071973	0.9788802278434	bacterial-type flagellum-dependent cell motility
GO:0097588	0.9788802278434	archaeal or bacterial-type flagellum-dependent cell motility
GO:0003854	0.975106211554197	3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0016229	0.975106211554197	steroid dehydrogenase activity
GO:0033764	0.975106211554197	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0008061	0.964879054015881	chitin binding
GO:0042600	0.963813519601993	egg chorion
GO:0007271	0.963659226199695	synaptic transmission, cholinergic
GO:0022898	0.963659226199695	regulation of transmembrane transporter activity
GO:0030431	0.963659226199695	sleep
GO:0032222	0.963659226199695	regulation of synaptic transmission, cholinergic
GO:0032409	0.963659226199695	regulation of transporter activity
GO:0032411	0.963659226199695	positive regulation of transporter activity
GO:0032412	0.963659226199695	regulation of ion transmembrane transporter activity
GO:0032414	0.963659226199695	positive regulation of ion transmembrane transporter activity
GO:0034762	0.963659226199695	regulation of transmembrane transport
GO:0034764	0.963659226199695	positive regulation of transmembrane transport
GO:0034765	0.963659226199695	regulation of ion transmembrane transport
GO:0034767	0.963659226199695	positive regulation of ion transmembrane transport
GO:0043266	0.963659226199695	regulation of potassium ion transport
GO:0043268	0.963659226199695	positive regulation of potassium ion transport
