ann_term	CC	annotation
GO:0045995	0.959457633901855	regulation of embryonic development
GO:0034703	0.957863616387618	cation channel complex
GO:0005102	0.950463708790568	signaling receptor binding
GO:0030545	0.948063539627557	receptor regulator activity
GO:0030546	0.948063539627557	signaling receptor activator activity
GO:0048018	0.948063539627557	receptor ligand activity
GO:0016477	0.948052096710849	cell migration
GO:0030334	0.948052096710849	regulation of cell migration
GO:0001518	0.94508103413428	voltage-gated sodium channel complex
GO:0034706	0.94508103413428	sodium channel complex
GO:0005248	0.94508103413428	voltage-gated sodium channel activity
GO:0008083	0.941163010990964	growth factor activity
GO:0051239	0.940341559479214	regulation of multicellular organismal process
GO:0022843	0.940320689789496	voltage-gated cation channel activity
GO:0030155	0.938269855834273	regulation of cell adhesion
GO:0010942	0.937165427441914	positive regulation of cell death
GO:0043065	0.937165427441914	positive regulation of apoptotic process
GO:0043068	0.937165427441914	positive regulation of programmed cell death
GO:0032502	0.93691255109004	developmental process
GO:0007275	0.936499623352906	multicellular organism development
GO:0007517	0.935622942925015	muscle organ development
GO:0061061	0.935622942925015	muscle structure development
GO:0051262	0.93052425244732	protein tetramerization
GO:0048856	0.926607856018034	anatomical structure development
GO:0001501	0.9261698573972	skeletal system development
GO:0051216	0.9261698573972	cartilage development
GO:0061448	0.9261698573972	connective tissue development
GO:0050793	0.924862287696969	regulation of developmental process
GO:2000026	0.923831034860361	regulation of multicellular organismal development
GO:0002062	0.921831677788021	chondrocyte differentiation
GO:0002063	0.921712129530862	chondrocyte development
GO:0032330	0.921712129530862	regulation of chondrocyte differentiation
GO:0061035	0.921712129530862	regulation of cartilage development
GO:0061181	0.921712129530862	regulation of chondrocyte development
GO:0061572	0.921712129530862	actin filament bundle organization
GO:0031005	0.921712129530862	filamin binding
GO:0040012	0.917331420360081	regulation of locomotion
GO:2000145	0.917331420360081	regulation of cell motility
GO:0051694	0.917272833021665	pointed-end actin filament capping
GO:0005523	0.917272833021665	tropomyosin binding
GO:0005539	0.913900670292019	glycosaminoglycan binding
GO:0016604	0.912331326042508	nuclear body
GO:0016607	0.912331326042508	nuclear speck
GO:0030141	0.911563756299898	secretory granule
GO:0099503	0.911563756299898	secretory vesicle
GO:0005246	0.909657026939767	calcium channel regulator activity
GO:0034702	0.909164450027953	ion channel complex
GO:0030212	0.90701094554847	hyaluronan metabolic process
GO:1903510	0.90701094554847	mucopolysaccharide metabolic process
GO:0007212	0.906114283813698	dopamine receptor signaling pathway
