ann_term	q_val	annotation
GO:0001932	0.999314228103748	regulation of protein phosphorylation
GO:0042537	0.999314228103748	benzene-containing compound metabolic process
GO:0006030	0.998894403077416	chitin metabolic process
GO:1901071	0.998894403077416	glucosamine-containing compound metabolic process
GO:0043231	0.997105036225694	intracellular membrane-bounded organelle
GO:0016579	0.99663795181022	protein deubiquitination
GO:0070646	0.99663795181022	protein modification by small protein removal
GO:0004448	0.99384835659014	isocitrate dehydrogenase activity
GO:0004450	0.99384835659014	isocitrate dehydrogenase (NADP+) activity
GO:0004097	0.993631763594105	catechol oxidase activity
GO:0005742	0.991031452732437	mitochondrial outer membrane translocase complex
GO:0051187	0.991031452732437	cofactor catabolic process
GO:0000139	0.986831439921733	Golgi membrane
GO:0009267	0.982987141639946	cellular response to starvation
GO:0009991	0.982987141639946	response to extracellular stimulus
GO:0031667	0.982987141639946	response to nutrient levels
GO:0031668	0.982987141639946	cellular response to extracellular stimulus
GO:0031669	0.982987141639946	cellular response to nutrient levels
GO:0042594	0.982987141639946	response to starvation
GO:0071496	0.982987141639946	cellular response to external stimulus
GO:0003777	0.980311481076583	microtubule motor activity
GO:0098799	0.980183657211473	outer mitochondrial membrane protein complex
GO:0006569	0.976976710848849	tryptophan catabolic process
GO:0009310	0.976976710848849	amine catabolic process
GO:0019441	0.976976710848849	tryptophan catabolic process to kynurenine
GO:0042402	0.976976710848849	cellular biogenic amine catabolic process
GO:0042436	0.976976710848849	indole-containing compound catabolic process
GO:0046218	0.976976710848849	indolalkylamine catabolic process
GO:0070189	0.976976710848849	kynurenine metabolic process
GO:0031399	0.973641549469254	regulation of protein modification process
GO:0019901	0.973512122572657	protein kinase binding
GO:0019900	0.969588574578077	kinase binding
GO:0016984	0.96478331244675	ribulose-bisphosphate carboxylase activity
GO:0030597	0.96478331244675	RNA glycosylase activity
GO:0030598	0.96478331244675	rRNA N-glycosylase activity
GO:0098800	0.96478331244675	inner mitochondrial membrane protein complex
GO:0005186	0.962496453947602	pheromone activity
GO:0043228	0.962246687792803	non-membrane-bounded organelle
GO:0043232	0.962246687792803	intracellular non-membrane-bounded organelle
GO:0009074	0.962246687792803	aromatic amino acid family catabolic process
GO:0007005	0.95874291450139	mitochondrion organization
