ann_term	CC	annotation
GO:0006955	0.795359698188237	immune response
GO:0002376	0.793288448974205	immune system process
GO:0030545	0.766320178112903	receptor regulator activity
GO:0030546	0.766320178112903	signaling receptor activator activity
GO:0048018	0.766320178112903	receptor ligand activity
GO:0022843	0.749918271656906	voltage-gated cation channel activity
GO:0005102	0.745306233331828	signaling receptor binding
GO:0048856	0.738597440469631	anatomical structure development
GO:0005126	0.73682953528195	cytokine receptor binding
GO:0001518	0.736647930173059	voltage-gated sodium channel complex
GO:0034706	0.736647930173059	sodium channel complex
GO:0005248	0.736647930173059	voltage-gated sodium channel activity
GO:0032502	0.736502854026575	developmental process
GO:0030141	0.735966534637942	secretory granule
GO:0099503	0.735966534637942	secretory vesicle
GO:0048513	0.730855310919002	animal organ development
GO:0009888	0.725283135150516	tissue development
GO:0034703	0.720331620288461	cation channel complex
GO:0019209	0.720331620288461	kinase activator activity
GO:0030295	0.720331620288461	protein kinase activator activity
GO:0045995	0.717483105973435	regulation of embryonic development
GO:0007275	0.717018232381541	multicellular organism development
GO:0048731	0.71551809324335	system development
GO:0008083	0.712509729626962	growth factor activity
GO:0043539	0.711493195499646	protein serine/threonine kinase activator activity
GO:0010942	0.70832033979304	positive regulation of cell death
GO:0043065	0.70832033979304	positive regulation of apoptotic process
GO:0043068	0.70832033979304	positive regulation of programmed cell death
GO:0005125	0.707900693873623	cytokine activity
GO:0005891	0.705748690376297	voltage-gated calcium channel complex
GO:0016477	0.702387982326886	cell migration
GO:0030334	0.702387982326886	regulation of cell migration
GO:0001664	0.694484211469763	G protein-coupled receptor binding
GO:0051694	0.691606739724811	pointed-end actin filament capping
GO:0005523	0.691606739724811	tropomyosin binding
GO:0034702	0.689397133527607	ion channel complex
GO:0034704	0.689397133527607	calcium channel complex
GO:0018149	0.689072065402565	peptide cross-linking
GO:0005179	0.687110338563647	hormone activity
GO:0016247	0.686989777533039	channel regulator activity
GO:0099106	0.686989777533039	ion channel regulator activity
GO:0003810	0.686365875753778	protein-glutamine gamma-glutamyltransferase activity
GO:0016604	0.683944663624093	nuclear body
GO:0016607	0.683944663624093	nuclear speck
GO:0047961	0.68141219782657	glycine N-acyltransferase activity
GO:0005164	0.679975404473158	tumor necrosis factor receptor binding
GO:0032813	0.679975404473158	tumor necrosis factor receptor superfamily binding
GO:0005245	0.675966392787812	voltage-gated calcium channel activity
GO:0051239	0.675263910782402	regulation of multicellular organismal process
GO:0030155	0.673152908776103	regulation of cell adhesion
GO:0070840	0.671720283949976	dynein complex binding
GO:0005576	0.66895895249986	extracellular region
GO:0140297	0.664411411714516	DNA-binding transcription factor binding
GO:0008373	0.66288185916116	sialyltransferase activity
GO:0002682	0.660939249717485	regulation of immune system process
GO:0001503	0.660849457710683	ossification
GO:0001775	0.660849457710683	cell activation
GO:0016055	0.658454490451751	Wnt signaling pathway
GO:0198738	0.658454490451751	cell-cell signaling by wnt
GO:1905114	0.658454490451751	cell surface receptor signaling pathway involved in cell-cell signaling
GO:0005249	0.658066933678217	voltage-gated potassium channel activity
GO:0002063	0.657124238300079	chondrocyte development
GO:0018101	0.657124238300079	protein citrullination
GO:0018195	0.657124238300079	peptidyl-arginine modification
GO:0032330	0.657124238300079	regulation of chondrocyte differentiation
GO:0061035	0.657124238300079	regulation of cartilage development
GO:0061181	0.657124238300079	regulation of chondrocyte development
GO:0061572	0.657124238300079	actin filament bundle organization
GO:0031005	0.657124238300079	filamin binding
GO:0046658	0.65451475163407	anchored component of plasma membrane
GO:0040012	0.652938631273743	regulation of locomotion
GO:2000145	0.652938631273743	regulation of cell motility
GO:0007129	0.652240044434776	synapsis
GO:0007130	0.652240044434776	synaptonemal complex assembly
GO:0045143	0.652240044434776	homologous chromosome segregation
GO:0070192	0.652240044434776	chromosome organization involved in meiotic cell cycle
GO:0070193	0.652240044434776	synaptonemal complex organization
GO:0005539	0.651833828175141	glycosaminoglycan binding
GO:0001501	0.649028251791248	skeletal system development
GO:0051216	0.649028251791248	cartilage development
GO:0061448	0.649028251791248	connective tissue development
GO:0051240	0.648937541976777	positive regulation of multicellular organismal process
GO:0004675	0.646756239314671	transmembrane receptor protein serine/threonine kinase activity
GO:0004984	0.645845534195219	olfactory receptor activity
GO:0030212	0.64556590127244	hyaluronan metabolic process
GO:1903510	0.64556590127244	mucopolysaccharide metabolic process
GO:0002684	0.645303685895039	positive regulation of immune system process
GO:0015016	0.644574936652564	[heparan sulfate]-glucosamine N-sulfotransferase activity
GO:0034483	0.644574936652564	heparan sulfate sulfotransferase activity
GO:0007212	0.644154313515887	dopamine receptor signaling pathway
GO:0048268	0.644154313515887	clathrin coat assembly
GO:0071867	0.644154313515887	response to monoamine
GO:0071868	0.644154313515887	cellular response to monoamine stimulus
GO:0071869	0.644154313515887	response to catecholamine
GO:0071870	0.644154313515887	cellular response to catecholamine stimulus
GO:1903350	0.644154313515887	response to dopamine
GO:1903351	0.644154313515887	cellular response to dopamine
GO:0004511	0.644154313515887	tyrosine 3-monooxygenase activity
GO:0030276	0.644154313515887	clathrin binding
GO:0031490	0.644154313515887	chromatin DNA binding
GO:0031492	0.644154313515887	nucleosomal DNA binding
GO:0032051	0.644154313515887	clathrin light chain binding
GO:0007156	0.643596649137668	homophilic cell adhesion via plasma membrane adhesion molecules
GO:0098742	0.643596649137668	cell-cell adhesion via plasma-membrane adhesion molecules
GO:0004860	0.642087256349879	protein kinase inhibitor activity
GO:0019210	0.642087256349879	kinase inhibitor activity
GO:0007267	0.64121181967069	cell-cell signaling
GO:0008201	0.640785797189122	heparin binding
GO:0007166	0.64030450083913	cell surface receptor signaling pathway
GO:0062023	0.64021233132835	collagen-containing extracellular matrix
GO:0050817	0.639582934197612	coagulation
GO:0005882	0.639451023955663	intermediate filament
GO:0045111	0.639451023955663	intermediate filament cytoskeleton
GO:0050778	0.637970689464413	positive regulation of immune response
GO:0031012	0.637915322530983	extracellular matrix
GO:0007517	0.637026884621545	muscle organ development
GO:0061061	0.637026884621545	muscle structure development
GO:0002520	0.635534940943197	immune system development
GO:0035690	0.635523959031276	cellular response to drug
GO:0032870	0.633056513716106	cellular response to hormone stimulus
GO:0042611	0.633024217386023	MHC protein complex
GO:0042613	0.633024217386023	MHC class II protein complex
GO:0000795	0.632444643116496	synaptonemal complex
GO:0099086	0.632444643116496	synaptonemal structure
GO:0031109	0.632217934593772	microtubule polymerization or depolymerization
GO:0031110	0.632217934593772	regulation of microtubule polymerization or depolymerization
GO:0004415	0.632057464709287	hyalurononglucosaminidase activity
GO:0015929	0.632057464709287	hexosaminidase activity
GO:0007219	0.631487120679923	Notch signaling pathway
GO:0008544	0.630137616603977	epidermis development
GO:0050776	0.629572641256316	regulation of immune response
GO:2000026	0.628971600952312	regulation of multicellular organismal development
GO:0019882	0.627459169321091	antigen processing and presentation
GO:0008384	0.627459169321091	IkappaB kinase activity
GO:0045321	0.627350468170502	leukocyte activation
GO:0046649	0.627350468170502	lymphocyte activation
GO:0030154	0.62687985305617	cell differentiation
GO:0048869	0.62687985305617	cellular developmental process
GO:0019199	0.626124482737262	transmembrane receptor protein kinase activity
GO:0003676	0.626114419879781	nucleic acid binding
GO:0005581	0.625318553808695	collagen trimer
GO:0009611	0.624943212693602	response to wounding
GO:0002062	0.624740292264756	chondrocyte differentiation
GO:0030097	0.624472713729353	hemopoiesis
GO:0048534	0.624472713729353	hematopoietic or lymphoid organ development
GO:0007599	0.623390961179951	hemostasis
GO:0050878	0.623390961179951	regulation of body fluid levels
GO:0005217	0.622813479850651	intracellular ligand-gated ion channel activity
GO:0005219	0.622813479850651	ryanodine-sensitive calcium-release channel activity
GO:0015278	0.622813479850651	calcium-release channel activity
GO:0099094	0.622813479850651	ligand-gated cation channel activity
GO:0099604	0.622813479850651	ligand-gated calcium channel activity
GO:0005488	0.622219462368865	binding
GO:0003707	0.622041630095146	steroid hormone receptor activity
GO:0008009	0.621894121256159	chemokine activity
GO:0042379	0.621894121256159	chemokine receptor binding
GO:0009790	0.621813815041997	embryo development
GO:0070851	0.621594959288204	growth factor receptor binding
GO:0051262	0.620899341414287	protein tetramerization
GO:0007399	0.619263381950361	nervous system development
GO:0003674	0.618324504857949	molecular_function
GO:0098772	0.618324504857949	molecular function regulator
GO:0007283	0.616644305755926	spermatogenesis
GO:0048232	0.616644305755926	male gamete generation
GO:0042470	0.616644305755926	melanosome
GO:0048770	0.616644305755926	pigment granule
GO:0051289	0.616048664776808	protein homotetramerization
GO:0008140	0.616048664776808	cAMP response element binding protein binding
GO:0005184	0.615971700172537	neuropeptide hormone activity
GO:0005861	0.615880491206673	troponin complex
GO:0005865	0.615880491206673	striated muscle thin filament
GO:0030016	0.615880491206673	myofibril
GO:0030017	0.615880491206673	sarcomere
GO:0036379	0.615880491206673	myofilament
