ann_term	q_val	annotation
GO:0007423	0.999450653970407	sensory organ development
GO:0006788	0.996285664071709	heme oxidation
GO:0004392	0.996285664071709	heme oxygenase (decyclizing) activity
GO:0007591	0.993669402605899	molting cycle, chitin-based cuticle
GO:0018990	0.993669402605899	ecdysis, chitin-based cuticle
GO:0022404	0.993669402605899	molting cycle process
GO:0042303	0.993669402605899	molting cycle
GO:0008255	0.993669402605899	ecdysis-triggering hormone activity
GO:0009878	0.993282854638361	nodule morphogenesis
GO:0010098	0.993282854638361	suspensor development
GO:0042381	0.993282854638361	hemolymph coagulation
GO:0044111	0.993282854638361	development involved in symbiotic interaction
GO:0017080	0.993282854638361	sodium channel regulator activity
GO:0019871	0.993282854638361	sodium channel inhibitor activity
GO:0008200	0.993282854638361	ion channel inhibitor activity
GO:0016248	0.993282854638361	channel inhibitor activity
GO:0051801	0.993282854638361	cytolysis in other organism involved in symbiotic interaction
GO:0052331	0.993282854638361	hemolysis in other organism involved in symbiotic interaction
GO:0003341	0.993282854638361	cilium movement
GO:0007349	0.993282854638361	cellularization
GO:0006508	0.992351729046718	proteolysis
GO:0006325	0.9922251940892	chromatin organization
GO:0001700	0.988246294373224	embryonic development via the syncytial blastoderm
GO:0002065	0.988246294373224	columnar/cuboidal epithelial cell differentiation
GO:0002066	0.988246294373224	columnar/cuboidal epithelial cell development
GO:0007289	0.988246294373224	spermatid nucleus differentiation
GO:0007291	0.988246294373224	sperm individualization
GO:0007292	0.988246294373224	female gamete generation
GO:0007304	0.988246294373224	chorion-containing eggshell formation
GO:0007617	0.988246294373224	mating behavior
GO:0009792	0.988246294373224	embryo development ending in birth or egg hatching
GO:0019098	0.988246294373224	reproductive behavior
GO:0030703	0.988246294373224	eggshell formation
GO:0030707	0.988246294373224	ovarian follicle cell development
GO:0035092	0.988246294373224	sperm chromatin condensation
GO:0045924	0.988246294373224	regulation of female receptivity
GO:0046008	0.988246294373224	regulation of female receptivity, post-mating
GO:0048477	0.988246294373224	oogenesis
GO:0060180	0.988246294373224	female mating behavior
GO:0005213	0.988246294373224	structural constituent of egg chorion
GO:0016805	0.988246294373224	dipeptidase activity
GO:0008131	0.988246294373224	primary amine oxidase activity
GO:0046660	0.985878974368004	female sex differentiation
GO:0009593	0.982767887620687	detection of chemical stimulus
GO:0050906	0.982767887620687	detection of stimulus involved in sensory perception
GO:0050907	0.982767887620687	detection of chemical stimulus involved in sensory perception
GO:0050912	0.982767887620687	detection of chemical stimulus involved in sensory perception of taste
GO:0008527	0.982767887620687	taste receptor activity
GO:0004529	0.980049319091882	exodeoxyribonuclease activity
GO:0016895	0.980049319091882	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0019730	0.976984398186274	antimicrobial humoral response
GO:0019731	0.976984398186274	antibacterial humoral response
GO:0072546	0.976777279320823	ER membrane protein complex
GO:0006959	0.976455200837048	humoral immune response
GO:0005549	0.97197148780417	odorant binding
GO:0009877	0.971255804693367	nodulation
GO:0065009	0.967729480333711	regulation of molecular function
GO:0008137	0.967729480333711	NADH dehydrogenase (ubiquinone) activity
GO:0050136	0.967729480333711	NADH dehydrogenase (quinone) activity
GO:0008297	0.967438380928716	single-stranded DNA exodeoxyribonuclease activity
GO:0008409	0.967438380928716	5'-3' exonuclease activity
GO:0035312	0.967438380928716	5'-3' exodeoxyribonuclease activity
GO:0045145	0.967438380928716	single-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0098803	0.967438380928716	respiratory chain complex
GO:0003854	0.963237319063812	3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0016229	0.963237319063812	steroid dehydrogenase activity
GO:0033764	0.963237319063812	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0003964	0.959877413961869	RNA-directed DNA polymerase activity
GO:0005751	0.959877413961869	mitochondrial respiratory chain complex IV
GO:0045277	0.959877413961869	respiratory chain complex IV
GO:0050790	0.959877413961869	regulation of catalytic activity
GO:0003015	0.95910277957882	heart process
GO:0008016	0.95910277957882	regulation of heart contraction
GO:0045823	0.95910277957882	positive regulation of heart contraction
GO:0060047	0.95910277957882	heart contraction
GO:1903524	0.95910277957882	positive regulation of blood circulation
GO:0071858	0.95910277957882	corazonin receptor binding
GO:0009664	0.95910277957882	plant-type cell wall organization
GO:0071669	0.95910277957882	plant-type cell wall organization or biogenesis
GO:0048038	0.95910277957882	quinone binding
GO:0006022	0.954907181544247	aminoglycan metabolic process
GO:0032543	0.954658721774442	mitochondrial translation
GO:0140053	0.954658721774442	mitochondrial gene expression
GO:0007608	0.953249996819849	sensory perception of smell
GO:0070569	0.94954394927839	uridylyltransferase activity
GO:0000123	0.948040604340349	histone acetyltransferase complex
GO:0009288	0.947034154407699	bacterial-type flagellum
GO:0009318	0.947034154407699	exodeoxyribonuclease VII complex
GO:0008855	0.947034154407699	exodeoxyribonuclease VII activity
GO:0033227	0.947034154407699	dsRNA transport
GO:0051032	0.947034154407699	nucleic acid transmembrane transporter activity
GO:0051033	0.947034154407699	RNA transmembrane transporter activity
GO:0007034	0.944489116844482	vacuolar transport
GO:0044782	0.943762186576794	cilium organization
GO:0071973	0.93752533184519	bacterial-type flagellum-dependent cell motility
GO:0097588	0.93752533184519	archaeal or bacterial-type flagellum-dependent cell motility
GO:0043486	0.931871218142229	histone exchange
GO:0032182	0.931871218142229	ubiquitin-like protein binding
GO:0055070	0.931736539417008	copper ion homeostasis
GO:0051128	0.92771451700874	regulation of cellular component organization
GO:0007271	0.926982522266605	synaptic transmission, cholinergic
GO:0022898	0.926982522266605	regulation of transmembrane transporter activity
GO:0030431	0.926982522266605	sleep
GO:0032222	0.926982522266605	regulation of synaptic transmission, cholinergic
GO:0032409	0.926982522266605	regulation of transporter activity
GO:0032411	0.926982522266605	positive regulation of transporter activity
GO:0032412	0.926982522266605	regulation of ion transmembrane transporter activity
GO:0032414	0.926982522266605	positive regulation of ion transmembrane transporter activity
GO:0034762	0.926982522266605	regulation of transmembrane transport
GO:0034764	0.926982522266605	positive regulation of transmembrane transport
GO:0034765	0.926982522266605	regulation of ion transmembrane transport
GO:0034767	0.926982522266605	positive regulation of ion transmembrane transport
GO:0043266	0.926982522266605	regulation of potassium ion transport
GO:0043268	0.926982522266605	positive regulation of potassium ion transport
GO:0043270	0.926982522266605	positive regulation of ion transport
GO:0050804	0.926982522266605	modulation of chemical synaptic transmission
GO:0099177	0.926982522266605	regulation of trans-synaptic signaling
GO:1901016	0.926982522266605	regulation of potassium ion transmembrane transporter activity
GO:1901018	0.926982522266605	positive regulation of potassium ion transmembrane transporter activity
GO:1901379	0.926982522266605	regulation of potassium ion transmembrane transport
GO:1901381	0.926982522266605	positive regulation of potassium ion transmembrane transport
GO:1903818	0.926982522266605	positive regulation of voltage-gated potassium channel activity
GO:1904062	0.926982522266605	regulation of cation transmembrane transport
GO:1904064	0.926982522266605	positive regulation of cation transmembrane transport
GO:2001257	0.926982522266605	regulation of cation channel activity
GO:2001259	0.926982522266605	positive regulation of cation channel activity
GO:0005044	0.926982522266605	scavenger receptor activity
GO:0038024	0.926982522266605	cargo receptor activity
GO:0004560	0.926982522266605	alpha-L-fucosidase activity
GO:0015928	0.926982522266605	fucosidase activity
GO:0007007	0.926982522266605	inner mitochondrial membrane organization
GO:0042407	0.926982522266605	cristae formation
GO:0006658	0.926982522266605	phosphatidylserine metabolic process
GO:0006659	0.926982522266605	phosphatidylserine biosynthetic process
GO:0006479	0.925050231476636	protein methylation
GO:0008213	0.925050231476636	protein alkylation
GO:0017022	0.925008902536105	myosin binding
GO:0140103	0.925008902536105	catalytic activity, acting on a glycoprotein
GO:0008417	0.925005650626608	fucosyltransferase activity
GO:0034219	0.924504759985947	carbohydrate transmembrane transport
GO:0042834	0.924504759985947	peptidoglycan binding
GO:0006213	0.922387885208108	pyrimidine nucleoside metabolic process
GO:0042600	0.922005579680311	egg chorion
GO:0009892	0.919859595659169	negative regulation of metabolic process
GO:0015002	0.919784581542846	heme-copper terminal oxidase activity
GO:0070176	0.918643614582555	DRM complex
GO:0090571	0.918643614582555	RNA polymerase II transcription repressor complex
GO:0009725	0.916625790311696	response to hormone
GO:0043086	0.916625790311696	negative regulation of catalytic activity
GO:0044092	0.916625790311696	negative regulation of molecular function
GO:0035658	0.916076384786304	Mon1-Ccz1 complex
GO:0004677	0.916042192481944	DNA-dependent protein kinase activity
GO:0008061	0.912035412053661	chitin binding
GO:0006112	0.911554973316569	energy reserve metabolic process
GO:0070011	0.910815868131354	peptidase activity, acting on L-amino acid peptides
GO:0070652	0.910186935880434	HAUS complex
GO:0140142	0.909768277780858	nucleocytoplasmic carrier activity
GO:0045026	0.907602145807404	plasma membrane fusion
GO:0006013	0.905420552547619	mannose metabolic process
GO:0003872	0.904818603904631	6-phosphofructokinase activity
GO:1901678	0.891661625412685	iron coordination entity transport
GO:0008484	0.890765446873747	sulfuric ester hydrolase activity
GO:0051187	0.888124639734767	cofactor catabolic process
GO:0010033	0.885989429211494	response to organic substance
GO:0008233	0.879911272578791	peptidase activity
GO:0051883	0.879673987775174	killing of cells in other organism involved in symbiotic interaction
GO:1901988	0.874606114954104	negative regulation of cell cycle phase transition
GO:1901991	0.874606114954104	negative regulation of mitotic cell cycle phase transition
GO:0009719	0.874037342039563	response to endogenous stimulus
GO:0015850	0.872440029823437	organic hydroxy compound transport
GO:0000314	0.871769652842413	organellar small ribosomal subunit
GO:0005763	0.871769652842413	mitochondrial small ribosomal subunit
GO:0015935	0.871769652842413	small ribosomal subunit
GO:0016763	0.870442716492063	transferase activity, transferring pentosyl groups
GO:0007218	0.866301250726815	neuropeptide signaling pathway
GO:0007281	0.864029180114665	germ cell development
GO:0009267	0.863937685059364	cellular response to starvation
GO:0009991	0.863937685059364	response to extracellular stimulus
GO:0031667	0.863937685059364	response to nutrient levels
GO:0031668	0.863937685059364	cellular response to extracellular stimulus
GO:0031669	0.863937685059364	cellular response to nutrient levels
GO:0042594	0.863937685059364	response to starvation
GO:0071496	0.863937685059364	cellular response to external stimulus
GO:0022884	0.863937685059364	macromolecule transmembrane transporter activity
GO:0030198	0.86393731632233	extracellular matrix organization
GO:0043062	0.86393731632233	extracellular structure organization
GO:0019220	0.863656072662036	regulation of phosphate metabolic process
GO:0051174	0.863656072662036	regulation of phosphorus metabolic process
GO:0044341	0.863107672885237	sodium-dependent phosphate transport
GO:0005436	0.863107672885237	sodium:phosphate symporter activity
GO:0043047	0.858041330279339	single-stranded telomeric DNA binding
GO:0098847	0.858041330279339	sequence-specific single stranded DNA binding
GO:0045165	0.858041330279339	cell fate commitment
GO:0044085	0.852999600458188	cellular component biogenesis
GO:0030990	0.85280416634298	intraciliary transport particle
GO:0030991	0.85280416634298	intraciliary transport particle A
GO:0000313	0.851536380583704	organellar ribosome
GO:0005761	0.851536380583704	mitochondrial ribosome
GO:0006665	0.849557433503919	sphingolipid metabolic process
GO:0019239	0.844571580931689	deaminase activity
GO:0008107	0.843830457104545	galactoside 2-alpha-L-fucosyltransferase activity
GO:0031127	0.843830457104545	alpha-(1,2)-fucosyltransferase activity
GO:0045944	0.843830457104545	positive regulation of transcription by RNA polymerase II
GO:0015708	0.843579174618102	silicic acid import across plasma membrane
GO:0022402	0.841259211636075	cell cycle process
GO:0006182	0.836393809863081	cGMP biosynthetic process
GO:0046068	0.836393809863081	cGMP metabolic process
GO:0004383	0.836393809863081	guanylate cyclase activity
GO:0005742	0.836278361722778	mitochondrial outer membrane translocase complex
GO:0004645	0.832034874963981	1,4-alpha-oligoglucan phosphorylase activity
GO:0008184	0.832034874963981	glycogen phosphorylase activity
GO:0004332	0.830251705164607	fructose-bisphosphate aldolase activity
GO:0008023	0.830251705164607	transcription elongation factor complex
GO:0016125	0.829776062433192	sterol metabolic process
