ann_term	q_val	annotation
GO:0004526	0.997130397524641	ribonuclease P activity
GO:0036459	0.997130397524641	thiol-dependent ubiquitinyl hydrolase activity
GO:0101005	0.997130397524641	ubiquitinyl hydrolase activity
GO:0043228	0.996435525316516	non-membrane-bounded organelle
GO:0043232	0.996435525316516	intracellular non-membrane-bounded organelle
GO:0098800	0.996223911520003	inner mitochondrial membrane protein complex
GO:0016567	0.995792873427216	protein ubiquitination
GO:0019835	0.992619484817835	cytolysis
GO:0044179	0.992619484817835	hemolysis in other organism
GO:0051715	0.992619484817835	cytolysis in other organism
GO:0006486	0.992619484817835	protein glycosylation
GO:0009101	0.992619484817835	glycoprotein biosynthetic process
GO:0043413	0.992619484817835	macromolecule glycosylation
GO:0015850	0.992619484817835	organic hydroxy compound transport
GO:0003777	0.992012173898993	microtubule motor activity
GO:0016984	0.991891250683672	ribulose-bisphosphate carboxylase activity
GO:0030597	0.991891250683672	RNA glycosylase activity
GO:0030598	0.991891250683672	rRNA N-glycosylase activity
GO:0009074	0.991891250683672	aromatic amino acid family catabolic process
GO:0022402	0.991891250683672	cell cycle process
GO:0019900	0.991891250683672	kinase binding
GO:0008830	0.988941728473727	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0005186	0.98883819584661	pheromone activity
GO:0019901	0.988763291759977	protein kinase binding
GO:0010817	0.98606279184743	regulation of hormone levels
GO:0042445	0.98606279184743	hormone metabolic process
GO:0007005	0.983215346152777	mitochondrion organization
GO:0046906	0.983215346152777	tetrapyrrole binding
GO:0051187	0.983215346152777	cofactor catabolic process
GO:0009267	0.983215346152777	cellular response to starvation
GO:0009991	0.983215346152777	response to extracellular stimulus
GO:0031667	0.983215346152777	response to nutrient levels
GO:0031668	0.983215346152777	cellular response to extracellular stimulus
GO:0031669	0.983215346152777	cellular response to nutrient levels
GO:0042594	0.983215346152777	response to starvation
GO:0071496	0.983215346152777	cellular response to external stimulus
GO:0004529	0.974947771901709	exodeoxyribonuclease activity
GO:0016895	0.974947771901709	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0000981	0.974946768397289	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0004448	0.973436982825348	isocitrate dehydrogenase activity
GO:0004450	0.973436982825348	isocitrate dehydrogenase (NADP+) activity
GO:0046914	0.970114051951465	transition metal ion binding
GO:0031399	0.968037682289672	regulation of protein modification process
GO:0000139	0.967270274272183	Golgi membrane
GO:0001932	0.966502586371474	regulation of protein phosphorylation
GO:0001101	0.963904970443518	response to acid chemical
GO:0016168	0.963824283534258	chlorophyll binding
GO:0098799	0.961249674484744	outer mitochondrial membrane protein complex
GO:0005742	0.960301125595263	mitochondrial outer membrane translocase complex
GO:0007157	0.951171254537217	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0008982	0.951171254537217	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0004097	0.941543852162756	catechol oxidase activity
GO:0008297	0.9331729100326	single-stranded DNA exodeoxyribonuclease activity
GO:0008409	0.9331729100326	5'-3' exonuclease activity
GO:0035312	0.9331729100326	5'-3' exodeoxyribonuclease activity
GO:0045145	0.9331729100326	single-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0001401	0.933143305611453	SAM complex
GO:0042537	0.932658231391569	benzene-containing compound metabolic process
GO:0020037	0.931799811139707	heme binding
GO:0006625	0.929097723333818	protein targeting to peroxisome
GO:0015919	0.929097723333818	peroxisomal membrane transport
GO:0043574	0.929097723333818	peroxisomal transport
GO:0072662	0.929097723333818	protein localization to peroxisome
GO:0072663	0.929097723333818	establishment of protein localization to peroxisome
GO:0016246	0.928676463375775	RNA interference
GO:0009100	0.927355395650311	glycoprotein metabolic process
GO:0004197	0.927355395650311	cysteine-type endopeptidase activity
GO:0006665	0.927355395650311	sphingolipid metabolic process
GO:0006376	0.927320637134015	mRNA splice site selection
GO:0005685	0.927320637134015	U1 snRNP
GO:0009690	0.926692310007968	cytokinin metabolic process
GO:0034754	0.926692310007968	cellular hormone metabolic process
GO:0019139	0.926692310007968	cytokinin dehydrogenase activity
GO:0005215	0.926387808500598	transporter activity
GO:0022857	0.925938553454789	transmembrane transporter activity
GO:0009791	0.922869831712282	post-embryonic development
GO:0009793	0.918220224161138	embryo development ending in seed dormancy
GO:0009856	0.918220224161138	pollination
GO:0009875	0.918220224161138	pollen-pistil interaction
GO:0010154	0.918220224161138	fruit development
GO:0044706	0.918220224161138	multi-multicellular organism process
GO:0048316	0.918220224161138	seed development
GO:0048544	0.918220224161138	recognition of pollen
GO:0006658	0.916535465630995	phosphatidylserine metabolic process
GO:0006659	0.916535465630995	phosphatidylserine biosynthetic process
GO:0010374	0.915816798759524	stomatal complex development
GO:0048580	0.915816798759524	regulation of post-embryonic development
GO:0048582	0.915816798759524	positive regulation of post-embryonic development
GO:0090558	0.915816798759524	plant epidermis development
GO:2000038	0.915816798759524	regulation of stomatal complex development
GO:2000123	0.915816798759524	positive regulation of stomatal complex development
GO:0006569	0.913958882264427	tryptophan catabolic process
GO:0009310	0.913958882264427	amine catabolic process
GO:0019441	0.913958882264427	tryptophan catabolic process to kynurenine
GO:0042402	0.913958882264427	cellular biogenic amine catabolic process
GO:0042436	0.913958882264427	indole-containing compound catabolic process
GO:0046218	0.913958882264427	indolalkylamine catabolic process
GO:0070189	0.913958882264427	kynurenine metabolic process
GO:0015996	0.913958882264427	chlorophyll catabolic process
GO:0047746	0.913958882264427	chlorophyllase activity
GO:0006012	0.913958882264427	galactose metabolic process
GO:0008108	0.913958882264427	UDP-glucose:hexose-1-phosphate uridylyltransferase activity
GO:0009606	0.913958882264427	tropism
GO:0010274	0.913958882264427	hydrotropism
GO:0010333	0.913958882264427	terpene synthase activity
GO:0050664	0.913958882264427	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor
GO:0017007	0.913958882264427	protein-bilin linkage
GO:0017009	0.913958882264427	protein-phycocyanobilin linkage
GO:0008270	0.913958882264427	zinc ion binding
GO:0043231	0.913958882264427	intracellular membrane-bounded organelle
GO:0000313	0.913299251874892	organellar ribosome
GO:0005761	0.913299251874892	mitochondrial ribosome
GO:0006450	0.913219472846869	regulation of translational fidelity
GO:0009733	0.913042800565118	response to auxin
GO:0048046	0.913042800565118	apoplast
GO:0016762	0.913042800565118	xyloglucan:xyloglucosyl transferase activity
GO:0009767	0.912438738102141	photosynthetic electron transport chain
