ann_term	q_val	annotation
PF00959	2.96260623866193e-09	Phage lysozyme
PF05521	1.1785565104583e-06	Phage head-tail joining protein
PF05939	1.1785565104583e-06	Phage minor tail protein
PF04883	1.1785565104583e-06	Bacteriophage HK97-gp10, putative tail-component
PF04971	1.1785565104583e-06	Bacteriophage P21 holin S
PF03275	1.25772317312735e-06	UDP-galactopyranose mutase
PF06163	1.25772317312735e-06	Bacterial protein of unknown function (DUF977)
PF11367	1.2658544766221e-06	Protein of unknown function (DUF3168)
PF05135	6.01566508379097e-06	Phage gp6-like head-tail connector protein
PF03245	6.01566508379097e-06	Bacteriophage Rz lysis protein
PF06316	6.78751470254293e-06	Enterobacterial Ail/Lom protein
PF05100	7.14944496672872e-06	Phage minor tail protein L
PF06222	7.14944496672872e-06	Phage tail assembly chaperone
PF00589	8.57516062809974e-06	Phage integrase family
PF04448	9.12149795403423e-06	Protein of unknown function (DUF551)
PF13227	9.69204893198201e-06	Protein of unknown function (DUF4035)
PF04586	9.69204893198201e-06	Caudovirus prohead serine protease
PF05065	1.74792453957694e-05	Phage capsid family
PF03354	1.85598521859881e-05	Phage Terminase
PF01863	2.93103210835964e-05	Protein of unknown function DUF45
PF06254	3.5153254801829e-05	Putative bacterial toxin ydaT
PF00877	3.5153254801829e-05	NlpC/P60 family
PF01381	3.5153254801829e-05	Helix-turn-helix
PF14464	4.04551917096032e-05	Prokaryotic homologs of the JAB domain
PF04313	4.14488605878169e-05	Type I restriction enzyme R protein N terminus (HSDR_N)
PF01520	4.14488605878169e-05	N-acetylmuramoyl-L-alanine amidase
PF12167	4.14488605878169e-05	Arm DNA-binding domain
PF00857	4.31544968144511e-05	Isochorismatase family
PF05866	5.97914230861362e-05	Endodeoxyribonuclease RusA
PF03358	6.03979735869969e-05	NADPH-dependent FMN reductase
PF09327	6.82128031500049e-05	Domain of unknown function (DUF1983)
PF15943	6.85306796891153e-05	Putative antitoxin of bacterial toxin-antitoxin system, YdaS/YdaT
PF00717	8.33268721447371e-05	Peptidase S24-like
PF13450	9.86028607532072e-05	NAD(P)-binding Rossmann-like domain
PF04984	9.86028607532072e-05	Phage tail sheath protein subtilisin-like domain
PF17482	9.86028607532072e-05	Phage tail sheath C-terminal domain
PF08400	0.000106113937995902	Prophage tail fibre N-terminal
PF06147	0.000106113937995902	Protein of unknown function (DUF968)
PF01061	0.000130205823028377	ABC-2 type transporter
PF13102	0.000132033280330316	Phage integrase SAM-like domain
PF04860	0.000154943749835201	Phage portal protein
PF13935	0.000154943749835201	Ead/Ea22-like protein
PF00449	0.000169781612942044	Urease alpha-subunit, N-terminal domain
PF00547	0.000169781612942044	Urease, gamma subunit
PF00699	0.000169781612942044	Urease beta subunit
PF01219	0.000169781612942044	Prokaryotic diacylglycerol kinase
PF01730	0.000169781612942044	UreF
PF02814	0.000169781612942044	UreE urease accessory protein, N-terminal domain
PF05194	0.000169781612942044	UreE urease accessory protein, C-terminal domain
PF06069	0.00017076727868139	PerC transcriptional activator
PF05358	0.00020233987604272	DicB protein
PF09669	0.000231255243254989	Phage regulatory protein Rha (Phage_pRha)
PF06406	0.000233277881703074	StbA protein
PF07358	0.000233277881703074	Protein of unknown function (DUF1482)
PF04865	0.000233277881703074	Baseplate J-like protein
PF15958	0.000233277881703074	Domain of unknown function (DUF4761)
PF10548	0.000233277881703074	P22AR C-terminal domain
PF08410	0.000233277881703074	Domain of unknown function (DUF1737)
PF14659	0.000233277881703074	Phage integrase, N-terminal SAM-like domain
PF01844	0.000233277881703074	HNH endonuclease
PF15946	0.000233277881703074	Domain of unknown function (DUF4754)
PF06805	0.000233277881703074	Bacteriophage lambda tail assembly protein I
PF12008	0.000233277881703074	Type I restriction and modification enzyme - subunit R C terminal
PF12500	0.000233277881703074	TRSP domain C terminus to PRTase_2
PF14020	0.000233277881703074	Protein of unknown function (DUF4236)
PF15609	0.000233277881703074	Phosphoribosyl transferase
PF15617	0.000233277881703074	C-C_Bond_Lyase of the TIM-Barrel fold
PF15632	0.000233277881703074	ATP-grasp in the biosynthetic pathway with Ter operon
PF04985	0.000233277881703074	Phage tail tube protein FII
PF00656	0.000233277881703074	Caspase domain
PF01906	0.000233277881703074	Putative heavy-metal-binding
PF03243	0.000233277881703074	Alkylmercury lyase
PF03795	0.000233277881703074	YCII-related domain
PF04346	0.000233277881703074	Ethanolamine utilisation protein, EutH
PF04465	0.000233277881703074	Protein of unknown function (DUF499)
PF06303	0.000233277881703074	MatP N-terminal domain
PF06443	0.000233277881703074	SEF14-like adhesin
PF06634	0.000233277881703074	Protein of unknown function (DUF1156)
PF06672	0.000233277881703074	Protein of unknown function (DUF1175)
PF08406	0.000233277881703074	CbbQ/NirQ/NorQ C-terminal
PF09075	0.000233277881703074	Heat-stable enterotoxin B, secretory
PF09957	0.000233277881703074	Bacterial antitoxin of type II TA system, VapB
PF10706	0.000233277881703074	Aminoglycoside-2''-adenylyltransferase
PF10754	0.000233277881703074	Protein of unknown function (DUF2569)
PF11140	0.000233277881703074	Protein of unknown function (DUF2913)
PF12324	0.000233277881703074	Helix-turn-helix domain of alkylmercury lyase
PF12635	0.000233277881703074	Protein of unknown function (DUF3780)
PF13023	0.000233277881703074	HD domain
PF13290	0.000233277881703074	Chitobiase/beta-hexosaminidase C-terminal domain
PF14237	0.000233277881703074	Domain of unknown function (DUF4339)
PF14267	0.000233277881703074	Domain of unknown function (DUF4357)
PF14297	0.000233277881703074	Domain of unknown function (DUF4373)
PF07151	0.000254915232452449	Protein of unknown function (DUF1391)
PF03629	0.000254915232452449	Carbohydrate esterase, sialic acid-specific acetylesterase
PF05766	0.000254915232452449	Bacteriophage Lambda NinG protein
PF03433	0.000254915232452449	EspA-like secreted protein
PF03549	0.000254915232452449	Translocated intimin receptor (Tir) intimin-binding domain
PF05802	0.000254915232452449	Enterobacterial EspB protein
PF05932	0.000254915232452449	Tir chaperone protein (CesT) family
PF06066	0.000254915232452449	SepZ
PF06287	0.000254915232452449	Protein of unknown function (DUF1039)
PF06622	0.000254915232452449	SepQ protein
PF07489	0.000254915232452449	Translocated intimin receptor (Tir) C-terminus
PF07490	0.000254915232452449	Translocated intimin receptor (Tir) N-terminus
PF08988	0.000254915232452449	Type III secretion system, cytoplasmic E component of needle
PF09621	0.000254915232452449	Type III secretion system regulator (LcrR)
PF11439	0.000254915232452449	Type III secretion system filament chaperone CesA
PF13327	0.000254915232452449	Type III secretion system subunit
PF16693	0.000254915232452449	Inner membrane component of T3SS, periplasmic domain
PF05069	0.000289815077022981	Phage virion morphogenesis family
PF03278	0.000295371880049883	IpaB/EvcA family
PF08813	0.000295371880049883	Phage tail tube protein, TTP
PF10145	0.000297128231522649	Phage-related minor tail protein
PF06120	0.000299280525611911	Tail length tape measure protein
PF02600	0.000307123287270368	Disulfide bond formation protein DsbB
PF01297	0.000326713998830739	Zinc-uptake complex component A periplasmic
PF02413	0.000335335808508954	Caudovirales tail fibre assembly protein, lambda gpK
PF06995	0.000335335808508954	Phage P2 GpU
PF10784	0.000335335808508954	Plasmid stability protein
PF06416	0.000335335808508954	Effector protein NleG
PF09718	0.000335335808508954	Lambda phage tail tape-measure protein (Tape_meas_lam_C)
PF05063	0.00038301508009074	MT-A70
PF07041	0.000384584070647439	Protein of unknown function (DUF1327)
PF13550	0.000414646984418906	Putative phage tail protein
PF06523	0.000425468567483638	Protein of unknown function (DUF1106)
PF06183	0.000426811066702832	DinI-like family
PF13539	0.00045632160694707	D-alanyl-D-alanine carboxypeptidase
PF12236	0.000461121975900825	Bacteriophage head to tail connecting protein
PF06872	0.000489911833884139	EspG protein
PF17212	0.000516909227921427	Tail tubular protein
PF10721	0.000573809747040968	Protein of unknown function (DUF2514)
PF03143	0.000598872417619877	Elongation factor Tu C-terminal domain
PF13730	0.000606133877323532	Helix-turn-helix domain
PF02342	0.000615808008505497	TerD domain
PF03589	0.00062757936716701	Antitermination protein
PF04717	0.000639715770085185	Type VI secretion system, phage-baseplate injector
PF00436	0.000713534678984673	Single-strand binding protein family
PF13420	0.000720574286565668	Acetyltransferase (GNAT) domain
PF14524	0.000730854206964235	Wzt C-terminal domain
PF00390	0.000730854206964235	Malic enzyme, N-terminal domain
PF02275	0.000730854206964235	Linear amide C-N hydrolases, choloylglycine hydrolase family
PF02432	0.000730854206964235	Fimbrial, major and minor subunit
PF03949	0.000730854206964235	Malic enzyme, NAD binding domain
PF17547	0.000730854206964235	Family of unknown function (DUF5462)
PF05876	0.000739882130243148	Phage terminase large subunit (GpA)
PF00263	0.000768298280704764	Bacterial type II and III secretion system protein
PF09048	0.000780192281277492	Cro
PF12421	0.000788099031124395	Fibronectin type III protein
PF05269	0.000788683279083862	Bacteriophage CII protein
PF09684	0.000863115420975149	Phage tail protein (Tail_P2_I)
PF05954	0.000864012665102438	Phage late control gene D protein (GPD)
PF05322	0.000864012665102438	NINE Protein
PF01479	0.000984143513626253	S4 domain
PF00950	0.00105200296809858	ABC 3 transport family
PF00165	0.00114607131510325	Bacterial regulatory helix-turn-helix proteins, AraC family
PF13195	0.00114607131510325	Protein of unknown function (DUF4011)
PF11202	0.00116683054262264	Phosphoribosyl transferase (PRTase)
PF05136	0.00122075720967047	Phage portal protein, lambda family
PF16473	0.00122473072258791	3' exoribonuclease, RNase T-like
PF01343	0.00126014101706632	Peptidase family S49
PF02899	0.00127274256137542	Phage integrase, N-terminal SAM-like domain
PF17289	0.00127274256137542	Terminase RNaseH-like domain
PF03401	0.00129872158995232	Tripartite tricarboxylate transporter family receptor
PF07331	0.00129872158995232	Tripartite tricarboxylate transporter TctB family
PF00772	0.00137487431357207	DnaB-like helicase N terminal domain
PF01970	0.00137684015824215	Tripartite tricarboxylate transporter TctA family
PF01391	0.00137864973474398	Collagen triple helix repeat (20 copies)
PF03592	0.00140291678983984	Terminase small subunit
PF10097	0.00143283757109536	Predicted membrane protein (DUF2335)
PF07825	0.00154011979539329	Excisionase-like protein
PF10979	0.00159192976271475	Protein of unknown function (DUF2786)
