ann_term	q_val	annotation
PF01035	1	6-O-methylguanine DNA methyltransferase, DNA binding domain
PF01139	1	tRNA-splicing ligase RtcB
PF02870	1	6-O-methylguanine DNA methyltransferase, ribonuclease-like domain
PF11143	1	Protein of unknown function (DUF2919)
PF00724	0.997558458841095	NADH:flavin oxidoreductase / NADH oxidase family
PF12445	0.997558458841095	Flagellin protein
PF06693	0.995220427700421	Protein of unknown function (DUF1190)
PF05321	0.995220427700421	Haemolysin expression modulating protein
PF10938	0.995220427700421	YfdX protein
PF12804	0.994206714052699	MobA-like NTP transferase domain
PF11058	0.993793886200193	Antirestriction protein Ral
PF00665	0.993691350777182	Integrase core domain
PF08878	0.993691350777182	Domain of unknown function (DUF1837)
PF02048	0.992047241996275	Heat-stable enterotoxin ST
PF02678	0.992047241996275	Pirin
PF03824	0.992047241996275	High-affinity nickel-transport protein
PF06277	0.992047241996275	Ethanolamine utilisation protein EutA
PF16916	0.992047241996275	Dimerisation domain of Zinc Transporter
PF07196	0.992047241996275	Flagellin hook IN motif
PF04956	0.990787842935731	TrbC/VIRB2 family
PF01180	0.989383323027304	Dihydroorotate dehydrogenase
PF01270	0.989383323027304	Glycosyl hydrolases family 8
PF03767	0.989383323027304	HAD superfamily, subfamily IIIB (Acid phosphatase)
PF07437	0.989383323027304	YfaZ precursor
PF11120	0.989383323027304	Cellulose biosynthesis protein BcsF
PF13182	0.989383323027304	Protein of unknown function (DUF4007)
PF14697	0.989383323027304	4Fe-4S dicluster domain
PF17466	0.989383323027304	Family of unknown function
PF03605	0.989383323027304	Anaerobic c4-dicarboxylate membrane transporter
PF02470	0.989383323027304	MlaD protein
PF03772	0.989383323027304	Competence protein
PF11119	0.989383323027304	Protein of unknown function (DUF2633)
PF08282	0.989383323027304	haloacid dehalogenase-like hydrolase
PF14667	0.989383323027304	Polysaccharide biosynthesis C-terminal domain
PF03747	0.987512450943074	ADP-ribosylglycohydrolase
PF07511	0.987512450943074	Protein of unknown function (DUF1525)
PF09686	0.987512450943074	Plasmid protein of unknown function (Plasmid_RAQPRD)
PF11019	0.987512450943074	Protein of unknown function (DUF2608)
PF11190	0.987512450943074	Protein of unknown function (DUF2976)
PF11444	0.987512450943074	Protein of unknown function (DUF2895)
PF11660	0.987512450943074	Protein of unknown function (DUF3262)
PF11920	0.987512450943074	Protein of unknown function (DUF3438)
PF11990	0.987512450943074	Protein of unknown function (DUF3487)
PF12101	0.987512450943074	Protein of unknown function (DUF3577)
PF13565	0.987512450943074	Homeodomain-like domain
PF02589	0.987512450943074	LUD domain
PF11870	0.987512450943074	Domain of unknown function (DUF3390)
PF01926	0.987512450943074	50S ribosome-binding GTPase
PF13884	0.986331079117478	Chaperone of endosialidase
PF01278	0.986331079117478	Omptin family
PF01098	0.986297798478582	Cell cycle protein
PF02316	0.986297798478582	Mu DNA-binding domain
PF04493	0.986297798478582	Endonuclease V
PF07507	0.986297798478582	WavE lipopolysaccharide synthesis
PF12102	0.986297798478582	Domain of unknown function (DUF3578)
PF13250	0.986297798478582	Domain of unknown function (DUF4041)
PF05231	0.986297798478582	MASE1
PF01026	0.986297798478582	TatD related DNase
PF05943	0.986297798478582	Type VI secretion protein, EvpB/VC_A0108, tail sheath
PF10662	0.985612675231905	Ethanolamine utilisation - propanediol utilisation
PF09673	0.984854275452239	Type-F conjugative transfer system pilin assembly protein
PF00113	0.984854275452239	Enolase, C-terminal TIM barrel domain
PF15631	0.984854275452239	NTF2 fold immunity protein
PF10415	0.983993826555254	Fumarase C C-terminus
PF10672	0.983993826555254	S-adenosylmethionine-dependent methyltransferase
PF10733	0.983993826555254	Protein of unknown function (DUF2525)
PF10781	0.983993826555254	Dextransucrase DSRB
PF05406	0.983993826555254	WGR domain
PF02800	0.983993826555254	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain
PF03737	0.983841756399795	Aldolase/RraA
PF10531	0.983749003963278	SLBB domain
PF05509	0.982896723157835	TraY domain
PF00437	0.981744900220985	Type II/IV secretion system protein
PF04986	0.981216365815218	Putative transposase
PF07819	0.980716998644618	PGAP1-like protein
PF00817	0.980716998644618	impB/mucB/samB family
PF06054	0.980716998644618	Competence protein CoiA-like family
PF13439	0.979158393940347	Glycosyltransferase Family 4
PF13643	0.978948388605018	Domain of unknown function (DUF4145)
PF00710	0.976820085315653	Asparaginase, N-terminal
PF10945	0.976820085315653	Cellulose biosynthesis protein BcsR
PF10734	0.976133186166461	Protein of unknown function (DUF2523)
PF17273	0.974072902620117	Family of unknown function (DUF5338)
PF00654	0.969584214364247	Voltage gated chloride channel
PF02321	0.96691776409719	Outer membrane efflux protein
PF06580	0.96656885032411	Histidine kinase
PF11423	0.96656885032411	Regulatory protein Mnt
PF13117	0.96656885032411	Cag pathogenicity island protein Cag12
PF06319	0.96656885032411	DNA repair protein MmcB-like
PF17282	0.96656885032411	Family of unknown function (DUF5347)
PF08751	0.965131264874348	TrwC relaxase
PF04233	0.964962520496619	Phage Mu protein F like protein
PF07514	0.962343564697757	Putative helicase
PF14088	0.959666464340054	Domain of unknown function (DUF4268)
PF00398	0.959666464340054	Ribosomal RNA adenine dimethylase
PF06308	0.959666464340054	23S rRNA methylase leader peptide (ErmC)
PF09274	0.959666464340054	ParG
PF06586	0.959666464340054	TraK protein
PF17178	0.959666464340054	Membrane-associated sensor
PF02798	0.959666464340054	Glutathione S-transferase, N-terminal domain
PF03389	0.959666464340054	MobA/MobL family
PF08242	0.959666464340054	Methyltransferase domain
PF03891	0.959262694792482	Domain of unknown function (DUF333)
PF06007	0.959262694792482	Phosphonate metabolism protein PhnJ
PF06231	0.959262694792482	Protein of unknown function (DUF1010)
PF08808	0.959262694792482	RES domain
PF09378	0.959262694792482	HAS barrel domain
PF06480	0.959262694792482	FtsH Extracellular
PF08349	0.958675674970915	Protein of unknown function (DUF1722)
PF07178	0.957055472124678	TraL protein
PF13188	0.955878153373739	PAS domain
PF05775	0.954668307789228	Enterobacteria AfaD invasin protein
PF00474	0.954668307789228	Sodium:solute symporter family
PF01580	0.949905001129311	FtsK/SpoIIIE family
PF02952	0.949905001129311	L-fucose isomerase, C-terminal domain
PF03417	0.949905001129311	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
PF06717	0.949905001129311	Protein of unknown function (DUF1202)
PF07881	0.949905001129311	L-fucose isomerase, first N-terminal domain
PF07882	0.949905001129311	L-fucose isomerase, second N-terminal domain
PF09889	0.949905001129311	Uncharacterized protein containing a Zn-ribbon (DUF2116)
PF13545	0.949905001129311	Crp-like helix-turn-helix domain
PF14130	0.949905001129311	Domain of unknown function (DUF4297)
PF01569	0.949905001129311	PAP2 superfamily
PF01027	0.949905001129311	Inhibitor of apoptosis-promoting Bax1
PF01276	0.949373839021906	Orn/Lys/Arg decarboxylase, major domain
PF03709	0.949373839021906	Orn/Lys/Arg decarboxylase, N-terminal domain
PF03711	0.949373839021906	Orn/Lys/Arg decarboxylase, C-terminal domain
PF08032	0.949373839021906	RNA 2'-O ribose methyltransferase substrate binding
PF03783	0.949373839021906	Curli production assembly/transport component CsgG
PF17151	0.949373839021906	Periplasmic sensor domain
PF01179	0.949127872410402	Copper amine oxidase, enzyme domain
PF01575	0.949127872410402	MaoC like domain
PF05936	0.946546042194115	Bacterial Type VI secretion, VC_A0110, EvfL, ImpJ, VasE
PF00226	0.946546042194115	DnaJ domain
PF01957	0.944480133225292	NfeD-like C-terminal, partner-binding
PF13391	0.94386483188663	HNH endonuclease
PF09850	0.942720233363276	Type VI secretion system protein DotU
PF01055	0.942720233363276	Glycosyl hydrolases family 31
PF03738	0.942720233363276	Glutathionylspermidine synthase preATP-grasp
PF01642	0.94252481782567	Methylmalonyl-CoA mutase
PF06511	0.94252481782567	Invasion plasmid antigen IpaD
PF03806	0.941931553452992	AbgT putative transporter family
PF01434	0.936478269037473	Peptidase family M41
PF14338	0.936368283070053	Mrr N-terminal domain
PF00562	0.935023927981644	RNA polymerase Rpb2, domain 6
PF04561	0.935023927981644	RNA polymerase Rpb2, domain 2
PF04565	0.935023927981644	RNA polymerase Rpb2, domain 3
PF10385	0.935023927981644	RNA polymerase beta subunit external 1 domain
PF13532	0.935023927981644	2OG-Fe(II) oxygenase superfamily
PF17358	0.935023927981644	Family of unknown function (DUF5384)
PF04002	0.935023927981644	RadC-like JAB domain
PF01011	0.935023927981644	PQQ enzyme repeat
PF13662	0.935023927981644	Toprim domain
PF14559	0.935023927981644	Tetratricopeptide repeat
PF01042	0.935023927981644	Endoribonuclease L-PSP
PF13353	0.935023927981644	4Fe-4S single cluster domain
PF01148	0.935023927981644	Cytidylyltransferase family
PF07885	0.935023927981644	Ion channel
PF13483	0.934750887530819	Beta-lactamase superfamily domain
PF14213	0.934750887530819	STAS-like domain of unknown function (DUF4325)
PF06250	0.933319387164931	Protein of unknown function (DUF1016)
PF00679	0.929904042117872	Elongation factor G C-terminus
PF03764	0.929904042117872	Elongation factor G, domain IV
PF05816	0.929904042117872	Toxic anion resistance protein (TelA)
PF06798	0.929904042117872	PrkA serine protein kinase C-terminal domain
PF08298	0.929904042117872	PrkA AAA domain
PF10777	0.929904042117872	Inner membrane protein YlaC
PF10892	0.929904042117872	Protein of unknown function (DUF2688)
PF13707	0.929904042117872	RloB-like protein
PF14492	0.929904042117872	Elongation Factor G, domain II
PF00664	0.929904042117872	ABC transporter transmembrane region
PF00118	0.929904042117872	TCP-1/cpn60 chaperonin family
PF00166	0.929904042117872	Chaperonin 10 Kd subunit
PF04073	0.929904042117872	Aminoacyl-tRNA editing domain
PF05526	0.929904042117872	Rhodococcus equi virulence-associated protein
PF06613	0.929904042117872	KorB C-terminal beta-barrel domain
PF07042	0.929904042117872	TrfA protein
PF07283	0.929904042117872	Conjugal transfer protein TrbH
PF11657	0.929904042117872	Transcriptional activator TraM
PF17394	0.929904042117872	Uncharacterized KleE stable inheritance protein
PF01367	0.929904042117872	5'-3' exonuclease, C-terminal SAM fold
PF02739	0.929904042117872	5'-3' exonuclease, N-terminal resolvase-like domain
PF00905	0.929904042117872	Penicillin binding protein transpeptidase domain
PF12790	0.928070375768003	Type VI secretion lipoprotein, VasD, EvfM, TssJ, VC_A0113
PF13808	0.922664739483869	DDE_Tnp_1-associated
PF00285	0.922664739483869	Citrate synthase, C-terminal domain
PF00557	0.922664739483869	Metallopeptidase family M24
PF00709	0.922664739483869	Adenylosuccinate synthetase
PF02154	0.922664739483869	Flagellar motor switch protein FliM
PF04237	0.922664739483869	YjbR
PF04347	0.922664739483869	Flagellar biosynthesis protein, FliO
PF06643	0.922664739483869	Protein of unknown function (DUF1158)
PF13460	0.920591745053242	NAD(P)H-binding
PF07820	0.919533169277063	TraC-like protein
PF02086	0.919248789955278	D12 class N6 adenine-specific DNA methyltransferase
PF09676	0.919024067782589	Type IV conjugative transfer system lipoprotein (TraV)
PF14163	0.918811891459297	Super-infection exclusion protein B
PF04011	0.918811891459297	LemA family
PF01066	0.917978713795184	CDP-alcohol phosphatidyltransferase
PF02914	0.914543689617781	Bacteriophage Mu transposase
PF04326	0.914543689617781	Putative DNA-binding domain
PF01177	0.912085200439069	Asp/Glu/Hydantoin racemase
PF01594	0.912085200439069	AI-2E family transporter
PF13472	0.911767623102817	GDSL-like Lipase/Acylhydrolase family
PF06986	0.911767623102817	Type-1V conjugative transfer system mating pair stabilisation
PF16677	0.911767623102817	DNA-packaging protein gp3
PF08361	0.91112628960582	MAATS-type transcriptional repressor, C-terminal region
PF08483	0.91112628960582	IstB-like ATP binding N-terminal
PF12146	0.909457588756188	Serine aminopeptidase, S33
PF00570	0.909449193044633	HRDC domain
PF02424	0.909449193044633	ApbE family
PF02485	0.909449193044633	Core-2/I-Branching enzyme
PF03860	0.909449193044633	Domain of Unknown Function (DUF326)
PF03886	0.909449193044633	ABC-type transport auxiliary lipoprotein component
PF03903	0.909449193044633	Phage T4 tail fibre
PF03981	0.909449193044633	Ubiquinol-cytochrome C chaperone
PF04151	0.909449193044633	Bacterial pre-peptidase C-terminal domain
PF04191	0.909449193044633	Phospholipid methyltransferase
PF04970	0.909449193044633	Lecithin retinol acyltransferase
PF05013	0.909449193044633	N-formylglutamate amidohydrolase
PF05899	0.909449193044633	Protein of unknown function (DUF861)
PF06508	0.909449193044633	Queuosine biosynthesis protein QueC
PF08748	0.909449193044633	Phage tail assembly chaperone
PF08809	0.909449193044633	Phage related hypothetical protein (DUF1799)
PF09382	0.909449193044633	RQC domain
PF10045	0.909449193044633	Uncharacterized conserved protein (DUF2280)
PF12729	0.909449193044633	Four helix bundle sensory module for signal transduction
PF12850	0.909449193044633	Calcineurin-like phosphoesterase superfamily domain
PF13099	0.909449193044633	Domain of unknown function (DUF3944)
PF13396	0.909449193044633	Phospholipase_D-nuclease N-terminal
PF13602	0.909449193044633	Zinc-binding dehydrogenase
PF14252	0.909449193044633	Domain of unknown function (DUF4347)
PF16124	0.909449193044633	RecQ zinc-binding
PF16184	0.909449193044633	Cadherin-like
PF13940	0.909449193044633	Toxin Ldr, type I toxin-antitoxin system
PF03992	0.909449193044633	Antibiotic biosynthesis monooxygenase
PF04607	0.909449193044633	Region found in RelA / SpoT proteins
PF00893	0.909449193044633	Small Multidrug Resistance protein
PF02597	0.909449193044633	ThiS family
PF06968	0.909449193044633	Biotin and Thiamin Synthesis associated domain
PF13801	0.909449193044633	Heavy-metal resistance
PF05621	0.909449193044633	Bacterial TniB protein
PF03616	0.909449193044633	Sodium/glutamate symporter
PF12844	0.909449193044633	Helix-turn-helix domain
