ann_term	q_val	annotation
PF00265	0.999386772226042	Thymidine kinase
PF00962	0.999386772226042	Adenosine/AMP deaminase
PF02424	0.999386772226042	ApbE family
PF02485	0.999386772226042	Core-2/I-Branching enzyme
PF02508	0.999386772226042	Rnf-Nqr subunit, membrane protein
PF03860	0.999386772226042	Domain of Unknown Function (DUF326)
PF03886	0.999386772226042	ABC-type transport auxiliary lipoprotein component
PF03981	0.999386772226042	Ubiquinol-cytochrome C chaperone
PF04060	0.999386772226042	Putative Fe-S cluster
PF04151	0.999386772226042	Bacterial pre-peptidase C-terminal domain
PF04191	0.999386772226042	Phospholipid methyltransferase
PF04970	0.999386772226042	Lecithin retinol acyltransferase
PF05013	0.999386772226042	N-formylglutamate amidohydrolase
PF05899	0.999386772226042	Protein of unknown function (DUF861)
PF06085	0.999386772226042	Lipoprotein Rz1 precursor
PF06508	0.999386772226042	Queuosine biosynthesis protein QueC
PF07131	0.999386772226042	Protein of unknown function (DUF1382)
PF08808	0.999386772226042	RES domain
PF10711	0.999386772226042	Hypothetical protein (DUF2513)
PF10930	0.999386772226042	Protein of unknown function (DUF2737)
PF11043	0.999386772226042	Protein of unknown function (DUF2856)
PF13099	0.999386772226042	Domain of unknown function (DUF3944)
PF13602	0.999386772226042	Zinc-binding dehydrogenase
PF14252	0.999386772226042	Domain of unknown function (DUF4347)
PF16184	0.999386772226042	Cadherin-like
PF00724	0.999386772226042	NADH:flavin oxidoreductase / NADH oxidase family
PF13531	0.999386772226042	Bacterial extracellular solute-binding protein
PF04193	0.999386772226042	PQ loop repeat
PF09588	0.999386772226042	YqaJ-like viral recombinase domain
PF14279	0.999386772226042	HNH endonuclease
PF00384	0.999386772226042	Molybdopterin oxidoreductase
PF10623	0.999386772226042	Plasmid conjugative transfer protein PilI
PF05707	0.999386772226042	Zonular occludens toxin (Zot)
PF05987	0.999386772226042	Bacterial protein of unknown function (DUF898)
PF08281	0.999386772226042	Sigma-70, region 4
PF12421	0.999386772226042	Fibronectin type III protein
PF01170	0.999386772226042	Putative RNA methylase family UPF0020
PF14090	0.999386772226042	Helix-turn-helix domain
PF07424	0.999386772226042	TrbM
PF08665	0.999386772226042	PglZ domain
PF08747	0.999386772226042	Domain of unknown function (DUF1788)
PF13337	0.999386772226042	Putative ATP-dependent Lon protease
PF03824	0.999386772226042	High-affinity nickel-transport protein
PF03486	0.999386772226042	HI0933-like protein
PF16816	0.999386772226042	DotD protein
PF12482	0.999386772226042	Phage integrase protein
PF13751	0.999386772226042	Transposase DDE domain
PF14559	0.999386772226042	Tetratricopeptide repeat
PF06231	0.999386772226042	Protein of unknown function (DUF1010)
PF05816	0.999386772226042	Toxic anion resistance protein (TelA)
PF10892	0.999386772226042	Protein of unknown function (DUF2688)
PF17438	0.999386772226042	Family of unknown function (DUF5417)
PF03616	0.999386772226042	Sodium/glutamate symporter
PF04610	0.999386772226042	TrbL/VirB6 plasmid conjugal transfer protein
PF01569	0.999386772226042	PAP2 superfamily
PF13438	0.999386772226042	Domain of unknown function (DUF4113)
PF12804	0.999386772226042	MobA-like NTP transferase domain
PF01058	0.999386772226042	NADH ubiquinone oxidoreductase, 20 Kd subunit
PF12445	0.999386772226042	Flagellin protein
PF09673	0.999386772226042	Type-F conjugative transfer system pilin assembly protein
PF01053	0.999386772226042	Cys/Met metabolism PLP-dependent enzyme
PF10734	0.997772899092641	Protein of unknown function (DUF2523)
PF01098	0.997182401176332	Cell cycle protein
PF04239	0.996070194865761	Protein of unknown function (DUF421)
PF10263	0.995742110841694	SprT-like family
PF06806	0.995120919980525	Putative excisionase (DUF1233)
PF14667	0.993339831972028	Polysaccharide biosynthesis C-terminal domain
PF08980	0.993339831972028	Domain of unknown function (DUF1883)
PF01957	0.993339831972028	NfeD-like C-terminal, partner-binding
PF02583	0.993339831972028	Metal-sensitive transcriptional repressor
PF12852	0.993339831972028	Cupin
PF08032	0.992999870331391	RNA 2'-O ribose methyltransferase substrate binding
PF00633	0.991057820384574	Helix-hairpin-helix motif
PF04224	0.990163256751352	Protein of unknown function, DUF417
PF01326	0.989770364960888	Pyruvate phosphate dikinase, PEP/pyruvate binding domain
PF17178	0.989678101088875	Membrane-associated sensor
PF06613	0.989678101088875	KorB C-terminal beta-barrel domain
PF07042	0.989678101088875	TrfA protein
PF07283	0.989678101088875	Conjugal transfer protein TrbH
PF11657	0.989678101088875	Transcriptional activator TraM
PF17394	0.989678101088875	Uncharacterized KleE stable inheritance protein
PF03979	0.989678101088875	Sigma-70 factor, region 1.1
PF04546	0.989678101088875	Sigma-70, non-essential region
PF06717	0.989678101088875	Protein of unknown function (DUF1202)
PF14697	0.989678101088875	4Fe-4S dicluster domain
PF04362	0.989678101088875	Bacterial Fe(2+) trafficking
PF11873	0.989678101088875	Domain of unknown function (DUF3393)
PF14815	0.989678101088875	NUDIX domain
PF15654	0.989678101088875	Toxin with a conserved tryptophan and TIP tripeptide motif
PF07411	0.989470235729663	Domain of unknown function (DUF1508)
PF14691	0.989181438070622	Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster
PF00908	0.989181438070622	dTDP-4-dehydrorhamnose 3,5-epimerase
PF01327	0.989181438070622	Polypeptide deformylase
PF02486	0.989181438070622	Replication initiation factor
PF02527	0.989181438070622	rRNA small subunit methyltransferase G
PF05357	0.989181438070622	Phage Coat Protein A
PF06323	0.989181438070622	Phage antitermination protein Q
PF14359	0.989181438070622	Domain of unknown function (DUF4406)
PF14373	0.989181438070622	Superinfection immunity protein
PF15611	0.989181438070622	EH_Signature domain
PF16931	0.989181438070622	Putative phage holin
PF07178	0.989181438070622	TraL protein
PF13604	0.988632817543604	AAA domain
PF01270	0.988632817543604	Glycosyl hydrolases family 8
PF07437	0.988632817543604	YfaZ precursor
PF11120	0.988632817543604	Cellulose biosynthesis protein BcsF
PF06277	0.988632817543604	Ethanolamine utilisation protein EutA
PF07825	0.988632817543604	Excisionase-like protein
PF04321	0.988632817543604	RmlD substrate binding domain
PF01300	0.988632817543604	Telomere recombination
PF02503	0.988632817543604	Polyphosphate kinase middle domain
PF02945	0.988632817543604	Recombination endonuclease VII
PF05307	0.988632817543604	Bundlin
PF05985	0.988632817543604	Ethanolamine ammonia-lyase light chain (EutC)
PF06590	0.988632817543604	PerB protein
PF06923	0.988632817543604	Glucitol operon activator protein (GutM)
PF07503	0.988632817543604	HypF finger
PF07759	0.988632817543604	Protein of unknown function (DUF1615)
PF09234	0.988632817543604	Domain of unknown function (DUF1963)
PF10748	0.988632817543604	Protein of unknown function (DUF2531)
PF12419	0.988632817543604	SNF2 Helicase protein
PF13089	0.988632817543604	Polyphosphate kinase N-terminal domain
PF13090	0.988632817543604	Polyphosphate kinase C-terminal domain
PF13395	0.988632817543604	HNH endonuclease
PF14078	0.988632817543604	Domain of unknown function (DUF4259)
PF06154	0.988632817543604	CbeA_antitoxin, type IV, cytoskeleton bundling-enhancing factor A
PF13655	0.988632817543604	N-terminal domain of reverse transcriptase
PF16509	0.988632817543604	TrfB plasmid transcriptional repressor
PF10995	0.988632817543604	GGDEF I-site like or GIL domain
PF02678	0.988632817543604	Pirin
PF03313	0.988632817543604	Serine dehydratase alpha chain
PF01306	0.988632817543604	LacY proton/sugar symporter
PF13995	0.988632817543604	YebF-like protein
PF01180	0.988632817543604	Dihydroorotate dehydrogenase
PF01192	0.988632817543604	RNA polymerase Rpb6
