ann_term	q_val	annotation
GO:0007399	0.000534981340660859	nervous system development
GO:0016247	0.000534981340660859	channel regulator activity
GO:0099106	0.000534981340660859	ion channel regulator activity
GO:0007420	0.000534981340660859	brain development
GO:0060322	0.000534981340660859	head development
GO:0051049	0.000534981340660859	regulation of transport
GO:0032879	0.000828482965605277	regulation of localization
GO:0007417	0.00128936767022577	central nervous system development
GO:0019956	0.00234040993521207	chemokine binding
GO:0035690	0.00234040993521207	cellular response to drug
GO:0007212	0.00234040993521207	dopamine receptor signaling pathway
GO:0071867	0.00234040993521207	response to monoamine
GO:0071868	0.00234040993521207	cellular response to monoamine stimulus
GO:0071869	0.00234040993521207	response to catecholamine
GO:0071870	0.00234040993521207	cellular response to catecholamine stimulus
GO:1903350	0.00234040993521207	response to dopamine
GO:1903351	0.00234040993521207	cellular response to dopamine
GO:0016477	0.0035472181638874	cell migration
GO:0030168	0.0045274555698679	platelet activation
GO:0019955	0.0045274555698679	cytokine binding
GO:0048731	0.00465333263239537	system development
GO:0004952	0.00465333263239537	dopamine neurotransmitter receptor activity
GO:0004936	0.00515883059751482	alpha-adrenergic receptor activity
GO:1901698	0.00582296155083341	response to nitrogen compound
GO:0046580	0.00582296155083341	negative regulation of Ras protein signal transduction
GO:0051058	0.00582296155083341	negative regulation of small GTPase mediated signal transduction
GO:0062023	0.00594738733004349	collagen-containing extracellular matrix
GO:0048584	0.00602146962809371	positive regulation of response to stimulus
GO:0016917	0.00602146962809371	GABA receptor activity
GO:0017017	0.00616455520646319	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	0.00616455520646319	MAP kinase phosphatase activity
GO:0004890	0.00616455520646319	GABA-A receptor activity
GO:0016604	0.00616455520646319	nuclear body
GO:0016607	0.00616455520646319	nuclear speck
GO:1903522	0.00616455520646319	regulation of blood circulation
GO:0043114	0.00616455520646319	regulation of vascular permeability
GO:0048245	0.00616455520646319	eosinophil chemotaxis
GO:0071621	0.00616455520646319	granulocyte chemotaxis
GO:0072677	0.00616455520646319	eosinophil migration
GO:0097530	0.00616455520646319	granulocyte migration
GO:0035257	0.00616455520646319	nuclear hormone receptor binding
GO:0051427	0.00616455520646319	hormone receptor binding
GO:0061629	0.00616455520646319	RNA polymerase II-specific DNA-binding transcription factor binding
GO:0030374	0.00616455520646319	nuclear receptor transcription coactivator activity
GO:0005923	0.00616455520646319	bicellular tight junction
GO:0043296	0.00616455520646319	apical junction complex
GO:0070160	0.00616455520646319	tight junction
GO:0099528	0.00680634199280969	G protein-coupled neurotransmitter receptor activity
