ann_term	q_val	annotation
GO:0006788	1	heme oxidation
GO:0044271	1	cellular nitrogen compound biosynthetic process
GO:0004392	1	heme oxygenase (decyclizing) activity
GO:0008830	1	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0033108	0.99303517317217	mitochondrial respiratory chain complex assembly
GO:0008446	0.99303517317217	GDP-mannose 4,6-dehydratase activity
GO:0002790	0.99303517317217	peptide secretion
GO:0009306	0.99303517317217	protein secretion
GO:0035592	0.99303517317217	establishment of protein localization to extracellular region
GO:0071692	0.99303517317217	protein localization to extracellular region
GO:0009698	0.987431440860806	phenylpropanoid metabolic process
GO:0009737	0.987431440860806	response to abscisic acid
GO:0009738	0.987431440860806	abscisic acid-activated signaling pathway
GO:0009791	0.987431440860806	post-embryonic development
GO:0009808	0.987431440860806	lignin metabolic process
GO:0046271	0.987431440860806	phenylpropanoid catabolic process
GO:0046274	0.987431440860806	lignin catabolic process
GO:0071215	0.987431440860806	cellular response to abscisic acid stimulus
GO:0071973	0.987431440860806	bacterial-type flagellum-dependent cell motility
GO:0097588	0.987431440860806	archaeal or bacterial-type flagellum-dependent cell motility
GO:0010427	0.987431440860806	abscisic acid binding
GO:0019139	0.987431440860806	cytokinin dehydrogenase activity
GO:0052716	0.987431440860806	hydroquinone:oxygen oxidoreductase activity
GO:0000278	0.987431440860806	mitotic cell cycle
GO:0000280	0.987431440860806	nuclear division
GO:0044273	0.987431440860806	sulfur compound catabolic process
GO:0005388	0.987431440860806	calcium transmembrane transporter activity, phosphorylative mechanism
GO:0016763	0.987431440860806	transferase activity, transferring pentosyl groups
GO:0042887	0.987431440860806	amide transmembrane transporter activity
GO:0046906	0.987431440860806	tetrapyrrole binding
GO:1901682	0.987431440860806	sulfur compound transmembrane transporter activity
GO:0007091	0.987431440860806	metaphase/anaphase transition of mitotic cell cycle
GO:0010965	0.987431440860806	regulation of mitotic sister chromatid separation
GO:0030071	0.987431440860806	regulation of mitotic metaphase/anaphase transition
GO:0033045	0.987431440860806	regulation of sister chromatid segregation
GO:0033047	0.987431440860806	regulation of mitotic sister chromatid segregation
GO:0044784	0.987431440860806	metaphase/anaphase transition of cell cycle
GO:0051306	0.987431440860806	mitotic sister chromatid separation
GO:0051983	0.987431440860806	regulation of chromosome segregation
GO:1902099	0.987431440860806	regulation of metaphase/anaphase transition of cell cycle
GO:1905818	0.987431440860806	regulation of chromosome separation
GO:0008174	0.987431440860806	mRNA methyltransferase activity
GO:0019478	0.987431440860806	D-amino acid catabolic process
GO:0046655	0.987431440860806	folic acid metabolic process
GO:0046656	0.987431440860806	folic acid biosynthetic process
GO:0008696	0.987431440860806	4-amino-4-deoxychorismate lyase activity
GO:0030597	0.987431440860806	RNA glycosylase activity
GO:0030598	0.987431440860806	rRNA N-glycosylase activity
GO:0044179	0.985186616611092	hemolysis in other organism
GO:0051715	0.985186616611092	cytolysis in other organism
GO:0009310	0.984710865780747	amine catabolic process
GO:0003854	0.984710865780747	3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0004133	0.984382667128603	glycogen debranching enzyme activity
GO:0004134	0.984382667128603	4-alpha-glucanotransferase activity
GO:0017136	0.984382667128603	NAD-dependent histone deacetylase activity
GO:0034979	0.984382667128603	NAD-dependent protein deacetylase activity
GO:0045735	0.97959124912101	nutrient reservoir activity
GO:0070925	0.978133661929433	organelle assembly
GO:0000123	0.978133661929433	histone acetyltransferase complex
GO:0020037	0.978133661929433	heme binding
GO:0044036	0.978133661929433	cell wall macromolecule metabolic process
GO:0008240	0.978133661929433	tripeptidyl-peptidase activity
GO:0003878	0.978133661929433	ATP citrate synthase activity
GO:0070290	0.977405744465918	N-acylphosphatidylethanolamine-specific phospholipase D activity
GO:0006569	0.971538035081248	tryptophan catabolic process
GO:0042402	0.971538035081248	cellular biogenic amine catabolic process
GO:0042436	0.971538035081248	indole-containing compound catabolic process
GO:0046218	0.971538035081248	indolalkylamine catabolic process
GO:0017134	0.971086574212456	fibroblast growth factor binding
GO:0015772	0.971086574212456	oligosaccharide transport
GO:0005215	0.964797821760203	transporter activity
GO:0009360	0.961698964007028	DNA polymerase III complex
GO:0007157	0.95019043504816	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0008982	0.95019043504816	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0044085	0.950125784091235	cellular component biogenesis
GO:0072348	0.950125784091235	sulfur compound transport
GO:0043226	0.950125784091235	organelle
GO:0000062	0.950125784091235	fatty-acyl-CoA binding
GO:0005488	0.950125784091235	binding
GO:1901567	0.950125784091235	fatty acid derivative binding
GO:0035065	0.950125784091235	regulation of histone acetylation
GO:1901983	0.950125784091235	regulation of protein acetylation
GO:2000756	0.950125784091235	regulation of peptidyl-lysine acetylation
GO:0005953	0.950125784091235	CAAX-protein geranylgeranyltransferase complex
GO:0009279	0.947536330720183	cell outer membrane
GO:0016168	0.947536330720183	chlorophyll binding
GO:0006527	0.947445396029255	arginine catabolic process
GO:0016411	0.944357330452776	acylglycerol O-acyltransferase activity
GO:0009606	0.94228091613907	tropism
GO:0009637	0.94228091613907	response to blue light
GO:0009785	0.94228091613907	blue light signaling pathway
GO:0009793	0.94228091613907	embryo development ending in seed dormancy
GO:0009856	0.94228091613907	pollination
GO:0009875	0.94228091613907	pollen-pistil interaction
GO:0010154	0.94228091613907	fruit development
GO:0010274	0.94228091613907	hydrotropism
GO:0010374	0.94228091613907	stomatal complex development
GO:0044706	0.94228091613907	multi-multicellular organism process
GO:0048316	0.94228091613907	seed development
GO:0048544	0.94228091613907	recognition of pollen
GO:0048580	0.94228091613907	regulation of post-embryonic development
GO:0048582	0.94228091613907	positive regulation of post-embryonic development
GO:0071483	0.94228091613907	cellular response to blue light
GO:0090558	0.94228091613907	plant epidermis development
GO:2000038	0.94228091613907	regulation of stomatal complex development
GO:2000123	0.94228091613907	positive regulation of stomatal complex development
GO:0048046	0.94228091613907	apoplast
GO:0010333	0.94228091613907	terpene synthase activity
GO:0046524	0.94228091613907	sucrose-phosphate synthase activity
GO:0006040	0.939883841659473	amino sugar metabolic process
GO:0008272	0.939883841659473	sulfate transport
GO:0010467	0.939883841659473	gene expression
GO:0051346	0.939883841659473	negative regulation of hydrolase activity
GO:0015116	0.939883841659473	sulfate transmembrane transporter activity
GO:0016307	0.939883841659473	phosphatidylinositol phosphate kinase activity
GO:0046556	0.939577042143688	alpha-L-arabinofuranosidase activity
GO:0046838	0.933228432490742	phosphorylated carbohydrate dephosphorylation
GO:0046855	0.933228432490742	inositol phosphate dephosphorylation
GO:0071545	0.933228432490742	inositol phosphate catabolic process
GO:0006567	0.931738655455813	threonine catabolic process
GO:0018991	0.930960428216893	oviposition
GO:0035262	0.930960428216893	gonad morphogenesis
GO:0039694	0.930960428216893	viral RNA genome replication
GO:0047480	0.927105584863998	UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity
GO:0070205	0.927105584863998	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity
GO:0000184	0.926857312989996	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0006625	0.926857312989996	protein targeting to peroxisome
