ann_term	CC	annotation
GO:0048731	0.802866903681728	system development
GO:0048513	0.785671052993699	animal organ development
GO:0030545	0.766948180753622	receptor regulator activity
GO:0030546	0.766948180753622	signaling receptor activator activity
GO:0048018	0.766948180753622	receptor ligand activity
GO:0032502	0.759889666634751	developmental process
GO:0048856	0.757941231592098	anatomical structure development
GO:0140375	0.752588718553726	immune receptor activity
GO:0007275	0.749755022460976	multicellular organism development
GO:0009888	0.748554201690014	tissue development
GO:0008091	0.741741910878216	spectrin
GO:0010942	0.739881920943951	positive regulation of cell death
GO:0043065	0.739881920943951	positive regulation of apoptotic process
GO:0043068	0.739881920943951	positive regulation of programmed cell death
GO:0009611	0.735459959094853	response to wounding
GO:0030141	0.735151679909327	secretory granule
GO:0005126	0.733778424104983	cytokine receptor binding
GO:0016477	0.731095211563133	cell migration
GO:0002682	0.730633441297502	regulation of immune system process
GO:0004890	0.730365501202169	GABA-A receptor activity
GO:0030334	0.728912837797273	regulation of cell migration
GO:0050776	0.728422750098417	regulation of immune response
GO:0016917	0.725814937331751	GABA receptor activity
GO:0004896	0.725100358057932	cytokine receptor activity
GO:0051240	0.722365716499693	positive regulation of multicellular organismal process
GO:0008083	0.722184797637904	growth factor activity
GO:0008283	0.720234994698522	cell population proliferation
GO:0045995	0.719033807535407	regulation of embryonic development
GO:0005125	0.719033807535407	cytokine activity
GO:1903522	0.718569257652262	regulation of blood circulation
GO:0099528	0.716182315068436	G protein-coupled neurotransmitter receptor activity
GO:0007417	0.713977761288775	central nervous system development
GO:0007399	0.712163245720495	nervous system development
GO:0005164	0.711025604752891	tumor necrosis factor receptor binding
GO:0032813	0.711025604752891	tumor necrosis factor receptor superfamily binding
GO:0004715	0.710737220505739	non-membrane spanning protein tyrosine kinase activity
GO:0044057	0.708571772328404	regulation of system process
GO:0051239	0.706807801745131	regulation of multicellular organismal process
GO:0023061	0.704974454112748	signal release
GO:0008227	0.704974454112748	G protein-coupled amine receptor activity
GO:0060627	0.704822715331957	regulation of vesicle-mediated transport
GO:0008543	0.704653131384699	fibroblast growth factor receptor signaling pathway
GO:0044344	0.704653131384699	cellular response to fibroblast growth factor stimulus
GO:0071774	0.704653131384699	response to fibroblast growth factor
GO:0001518	0.704199758947263	voltage-gated sodium channel complex
GO:0034706	0.704199758947263	sodium channel complex
GO:0005248	0.704199758947263	voltage-gated sodium channel activity
GO:0007420	0.70374152098356	brain development
GO:0060322	0.70374152098356	head development
GO:0016247	0.703573029666475	channel regulator activity
GO:0099106	0.703573029666475	ion channel regulator activity
GO:0015296	0.702855499953585	anion:cation symporter activity
GO:0007187	0.701404883484128	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
GO:0007188	0.701404883484128	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
GO:0007269	0.700491309730473	neurotransmitter secretion
GO:0099643	0.700491309730473	signal release from synapse
GO:0051694	0.699683764510316	pointed-end actin filament capping
GO:0005523	0.699683764510316	tropomyosin binding
GO:0006955	0.699067694478202	immune response
GO:0007229	0.697511913897969	integrin-mediated signaling pathway
GO:0008284	0.697462793309345	positive regulation of cell population proliferation
GO:0016604	0.697462793309345	nuclear body
GO:0016607	0.697462793309345	nuclear speck
GO:0048584	0.697041411305802	positive regulation of response to stimulus
GO:0040008	0.695086044426441	regulation of growth
GO:0002376	0.695015128133401	immune system process
GO:0030522	0.694358288302168	intracellular receptor signaling pathway
GO:0062023	0.693994857543511	collagen-containing extracellular matrix
GO:0005576	0.693642875184542	extracellular region
GO:0140030	0.693308436794009	modification-dependent protein binding
GO:0002684	0.692669234592442	positive regulation of immune system process
GO:0050778	0.692669234592442	positive regulation of immune response
GO:0017017	0.691812483777651	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	0.691812483777651	MAP kinase phosphatase activity
GO:0006616	0.690171104380529	SRP-dependent cotranslational protein targeting to membrane, translocation
GO:0042127	0.690171104380529	regulation of cell population proliferation
GO:0046658	0.689028537201156	anchored component of plasma membrane
GO:0099503	0.687447736245931	secretory vesicle
GO:0032101	0.686419617315807	regulation of response to external stimulus
GO:0030155	0.685997503465589	regulation of cell adhesion
GO:0015379	0.68554684237463	potassium:chloride symporter activity
GO:0007249	0.684548570411281	I-kappaB kinase/NF-kappaB signaling
GO:0043122	0.684548570411281	regulation of I-kappaB kinase/NF-kappaB signaling
GO:0070840	0.684208926116722	dynein complex binding
GO:0015377	0.683859405360244	cation:chloride symporter activity
GO:0042165	0.68352630717434	neurotransmitter binding
GO:0047961	0.68309679116036	glycine N-acyltransferase activity
GO:0002253	0.683082117158637	activation of immune response
GO:0031012	0.682442761414201	extracellular matrix
GO:0040012	0.681419935103991	regulation of locomotion
GO:2000145	0.681419935103991	regulation of cell motility
GO:0060070	0.681078687687796	canonical Wnt signaling pathway
GO:0017049	0.680309298627566	GTP-Rho binding
GO:0005547	0.679829002022313	phosphatidylinositol-3,4,5-trisphosphate binding
GO:0045862	0.679787543718553	positive regulation of proteolysis
GO:0030100	0.679430450258673	regulation of endocytosis
GO:0003013	0.678579316356831	circulatory system process
GO:0008015	0.678579316356831	blood circulation
GO:0050793	0.677800276768786	regulation of developmental process
GO:0042060	0.677515788204435	wound healing
GO:0006954	0.676076611793083	inflammatory response
GO:0031593	0.673744177554672	polyubiquitin modification-dependent protein binding
GO:0070530	0.673744177554672	K63-linked polyubiquitin modification-dependent protein binding
GO:0003015	0.673032800067913	heart process
GO:0008016	0.673032800067913	regulation of heart contraction
GO:0060047	0.673032800067913	heart contraction
GO:0004860	0.672450406982783	protein kinase inhibitor activity
GO:0019210	0.672450406982783	kinase inhibitor activity
GO:0004908	0.670917576544293	interleukin-1 receptor activity
GO:0022008	0.670458332077306	neurogenesis
GO:0005102	0.670265288404249	signaling receptor binding
GO:0045087	0.66998874611905	innate immune response
GO:0002063	0.669596854576163	chondrocyte development
GO:0032330	0.669596854576163	regulation of chondrocyte differentiation
GO:0061035	0.669596854576163	regulation of cartilage development
GO:0061181	0.669596854576163	regulation of chondrocyte development
GO:0061572	0.669596854576163	actin filament bundle organization
GO:0031005	0.669596854576163	filamin binding
GO:0008373	0.668734087723129	sialyltransferase activity
GO:0015026	0.668199991073163	coreceptor activity
GO:0003810	0.667795247983915	protein-glutamine gamma-glutamyltransferase activity
GO:1903524	0.666082459702009	positive regulation of blood circulation
GO:0007596	0.663583088371045	blood coagulation
GO:0050878	0.663583088371045	regulation of body fluid levels
GO:0000281	0.663581597846606	mitotic cytokinesis
GO:0140297	0.663581597846606	DNA-binding transcription factor binding
GO:0006956	0.662948910593217	complement activation
GO:0004969	0.662948910593217	histamine receptor activity
GO:0005923	0.662565905466979	bicellular tight junction
GO:0043296	0.662565905466979	apical junction complex
GO:0070160	0.662565905466979	tight junction
GO:0009896	0.661496892625645	positive regulation of catabolic process
GO:0031331	0.661496892625645	positive regulation of cellular catabolic process
GO:0007599	0.661083717040081	hemostasis
GO:0030374	0.659782015107874	nuclear receptor transcription coactivator activity
GO:0018101	0.658796905308806	protein citrullination
GO:0050900	0.658796905308806	leukocyte migration
GO:0018149	0.658694120243078	peptide cross-linking
GO:0001933	0.657915933894897	negative regulation of protein phosphorylation
GO:0006469	0.657915933894897	negative regulation of protein kinase activity
GO:0033673	0.657915933894897	negative regulation of kinase activity
GO:0042326	0.657915933894897	negative regulation of phosphorylation
GO:0051348	0.657915933894897	negative regulation of transferase activity
GO:0015464	0.657556479275473	acetylcholine receptor activity
GO:0016907	0.657556479275473	G protein-coupled acetylcholine receptor activity
GO:0030168	0.656998124748769	platelet activation
GO:0048699	0.656717544215672	generation of neurons
GO:2000026	0.656465365723398	regulation of multicellular organismal development
GO:0006692	0.656385059993284	prostanoid metabolic process
GO:0006693	0.656385059993284	prostaglandin metabolic process
GO:0045907	0.656096917991967	positive regulation of vasoconstriction
GO:0050817	0.656084974378152	coagulation
GO:0007267	0.655543228707636	cell-cell signaling
GO:0035690	0.655489139336282	cellular response to drug
GO:0017137	0.655469940528621	Rab GTPase binding
GO:0030212	0.655072289873297	hyaluronan metabolic process
GO:1903510	0.655072289873297	mucopolysaccharide metabolic process
GO:0009605	0.654674174331478	response to external stimulus
GO:0046580	0.654214234389664	negative regulation of Ras protein signal transduction
GO:0051058	0.654214234389664	negative regulation of small GTPase mediated signal transduction
GO:0019956	0.654214234389664	chemokine binding
GO:0002252	0.653839849495635	immune effector process
GO:0009607	0.653544573332984	response to biotic stimulus
GO:0043207	0.653544573332984	response to external biotic stimulus
GO:0051707	0.653544573332984	response to other organism
GO:0098542	0.653544573332984	defense response to other organism
GO:0001501	0.653396930675127	skeletal system development
GO:0051216	0.653396930675127	cartilage development
GO:0061448	0.653396930675127	connective tissue development
GO:0099536	0.653259249329536	synaptic signaling
GO:0008188	0.653259249329536	neuropeptide receptor activity
GO:0005343	0.652446749633324	organic acid:sodium symporter activity
GO:0007189	0.651430344030559	adenylate cyclase-activating G protein-coupled receptor signaling pathway
GO:0007194	0.651430344030559	negative regulation of adenylate cyclase activity
GO:0019933	0.651430344030559	cAMP-mediated signaling
GO:0019935	0.651430344030559	cyclic-nucleotide-mediated signaling
GO:0031280	0.651430344030559	negative regulation of cyclase activity
GO:0051350	0.651430344030559	negative regulation of lyase activity
GO:0004936	0.651430344030559	alpha-adrenergic receptor activity
GO:0005030	0.651430344030559	neurotrophin receptor activity
GO:0007268	0.651176721525448	chemical synaptic transmission
GO:0098916	0.651176721525448	anterograde trans-synaptic signaling
GO:0099537	0.651176721525448	trans-synaptic signaling
GO:0019229	0.650696943358288	regulation of vasoconstriction
GO:0004875	0.650696943358288	complement receptor activity
GO:0004984	0.650001259381179	olfactory receptor activity
GO:0004935	0.649836546050741	adrenergic receptor activity
GO:0007156	0.649139243880243	homophilic cell adhesion via plasma membrane adhesion molecules
GO:0098742	0.649139243880243	cell-cell adhesion via plasma-membrane adhesion molecules
GO:0005179	0.649033231939121	hormone activity
GO:0005539	0.648837866931367	glycosaminoglycan binding
GO:0001775	0.648646453671454	cell activation
GO:0003012	0.648646453671454	muscle system process
GO:0006936	0.648646453671454	muscle contraction
GO:0031279	0.648646453671454	regulation of cyclase activity
GO:0045761	0.648646453671454	regulation of adenylate cyclase activity
GO:0051046	0.648646453671454	regulation of secretion
GO:0051090	0.648646453671454	regulation of DNA-binding transcription factor activity
GO:0051339	0.648646453671454	regulation of lyase activity
GO:0001216	0.648646453671454	DNA-binding transcription activator activity
GO:0001228	0.648646453671454	DNA-binding transcription activator activity, RNA polymerase II-specific
GO:0016492	0.648646453671454	G protein-coupled neurotensin receptor activity
GO:0031490	0.648646453671454	chromatin DNA binding
GO:0031492	0.648646453671454	nucleosomal DNA binding
GO:0006638	0.64829521933031	neutral lipid metabolic process
GO:0006639	0.64829521933031	acylglycerol metabolic process
GO:0006641	0.64829521933031	triglyceride metabolic process
GO:0015016	0.648165008460449	[heparan sulfate]-glucosamine N-sulfotransferase activity
GO:0034483	0.648165008460449	heparan sulfate sulfotransferase activity
GO:0030595	0.647996956041448	leukocyte chemotaxis
GO:0060326	0.647996956041448	cell chemotaxis
GO:0097529	0.647996956041448	myeloid leukocyte migration
GO:0032504	0.646843321100583	multicellular organism reproduction
GO:0080134	0.646654796204474	regulation of response to stress
GO:0004953	0.646162669266723	icosanoid receptor activity
GO:0007517	0.646087489054294	muscle organ development
GO:0046777	0.646087489054294	protein autophosphorylation
GO:0061061	0.646087489054294	muscle structure development
GO:0002764	0.645862563312349	immune response-regulating signaling pathway
GO:0016528	0.645862563312349	sarcoplasm
GO:0030314	0.645862563312349	junctional membrane complex
GO:0004966	0.645862563312349	galanin receptor activity
GO:0019955	0.645862563312349	cytokine binding
GO:0005283	0.645296968724609	amino acid:sodium symporter activity
GO:0005416	0.645296968724609	amino acid:cation symporter activity
GO:0043565	0.644931999118212	sequence-specific DNA binding
GO:0009790	0.644761267709156	embryo development
GO:0019199	0.644761267709156	transmembrane receptor protein kinase activity
GO:0030182	0.644733647423415	neuron differentiation
GO:0005003	0.644580992944498	ephrin receptor activity
GO:0005160	0.644570128913405	transforming growth factor beta receptor binding
GO:0048609	0.644397788695666	multicellular organismal reproductive process
GO:0006940	0.643078672953244	regulation of smooth muscle contraction
GO:0007212	0.643078672953244	dopamine receptor signaling pathway
GO:0032410	0.643078672953244	negative regulation of transporter activity
GO:0032413	0.643078672953244	negative regulation of ion transmembrane transporter activity
GO:0034763	0.643078672953244	negative regulation of transmembrane transport
GO:0034766	0.643078672953244	negative regulation of ion transmembrane transport
GO:0043271	0.643078672953244	negative regulation of ion transport
GO:0051051	0.643078672953244	negative regulation of transport
GO:0051926	0.643078672953244	negative regulation of calcium ion transport
GO:0071867	0.643078672953244	response to monoamine
GO:0071868	0.643078672953244	cellular response to monoamine stimulus
GO:0071869	0.643078672953244	response to catecholamine
GO:0071870	0.643078672953244	cellular response to catecholamine stimulus
