ann_term	q_val	annotation
GO:0044273	0.99844480751614	sulfur compound catabolic process
GO:0031306	0.998150094361585	intrinsic component of mitochondrial outer membrane
GO:0031307	0.998150094361585	integral component of mitochondrial outer membrane
GO:0019239	0.997876610711723	deaminase activity
GO:0000334	0.996196106582369	3-hydroxyanthranilate 3,4-dioxygenase activity
GO:0006729	0.99343221086796	tetrahydrobiopterin biosynthetic process
GO:0034311	0.99343221086796	diol metabolic process
GO:0034312	0.99343221086796	diol biosynthetic process
GO:0046146	0.99343221086796	tetrahydrobiopterin metabolic process
GO:0007271	0.99300315779742	synaptic transmission, cholinergic
GO:0043231	0.992337257477709	intracellular membrane-bounded organelle
GO:0000380	0.991314808866411	alternative mRNA splicing, via spliceosome
GO:0001700	0.991314808866411	embryonic development via the syncytial blastoderm
GO:0002065	0.991314808866411	columnar/cuboidal epithelial cell differentiation
GO:0002066	0.991314808866411	columnar/cuboidal epithelial cell development
GO:0007289	0.991314808866411	spermatid nucleus differentiation
GO:0007291	0.991314808866411	sperm individualization
GO:0007292	0.991314808866411	female gamete generation
GO:0007304	0.991314808866411	chorion-containing eggshell formation
GO:0007617	0.991314808866411	mating behavior
GO:0009792	0.991314808866411	embryo development ending in birth or egg hatching
GO:0030703	0.991314808866411	eggshell formation
GO:0030707	0.991314808866411	ovarian follicle cell development
GO:0035092	0.991314808866411	sperm chromatin condensation
GO:0045924	0.991314808866411	regulation of female receptivity
GO:0046008	0.991314808866411	regulation of female receptivity, post-mating
GO:0048477	0.991314808866411	oogenesis
GO:0060180	0.991314808866411	female mating behavior
GO:0005213	0.991314808866411	structural constituent of egg chorion
GO:0043229	0.990095475836389	intracellular organelle
GO:0003951	0.986058241414742	NAD+ kinase activity
GO:0019866	0.98409394985605	organelle inner membrane
GO:0005488	0.982207910218103	binding
GO:0008970	0.978098549318077	phospholipase A1 activity
GO:0009593	0.977120571478858	detection of chemical stimulus
GO:0050907	0.977120571478858	detection of chemical stimulus involved in sensory perception
GO:0050912	0.977120571478858	detection of chemical stimulus involved in sensory perception of taste
GO:0008527	0.977120571478858	taste receptor activity
GO:0010467	0.976697151013137	gene expression
GO:1901989	0.975969991331781	positive regulation of cell cycle phase transition
GO:1902751	0.975969991331781	positive regulation of cell cycle G2/M phase transition
GO:0030215	0.974541705139116	semaphorin receptor binding
GO:0006928	0.974486629495821	movement of cell or subcellular component
GO:0030431	0.974486629495821	sleep
GO:0032222	0.974486629495821	regulation of synaptic transmission, cholinergic
GO:0043266	0.974486629495821	regulation of potassium ion transport
GO:0043268	0.974486629495821	positive regulation of potassium ion transport
GO:0050804	0.974486629495821	modulation of chemical synaptic transmission
GO:0099177	0.974486629495821	regulation of trans-synaptic signaling
GO:1901016	0.974486629495821	regulation of potassium ion transmembrane transporter activity
GO:1901018	0.974486629495821	positive regulation of potassium ion transmembrane transporter activity
GO:1901379	0.974486629495821	regulation of potassium ion transmembrane transport
GO:1901381	0.974486629495821	positive regulation of potassium ion transmembrane transport
GO:1903818	0.974486629495821	positive regulation of voltage-gated potassium channel activity
GO:0005669	0.973017451107172	transcription factor TFIID complex
GO:0016755	0.971532568812466	transferase activity, transferring amino-acyl groups
GO:0009878	0.97044210660033	nodule morphogenesis
GO:0010098	0.97044210660033	suspensor development
GO:0016143	0.97044210660033	S-glycoside metabolic process
GO:0016145	0.97044210660033	S-glycoside catabolic process
GO:0019757	0.97044210660033	glycosinolate metabolic process
GO:0019759	0.97044210660033	glycosinolate catabolic process
GO:0019760	0.97044210660033	glucosinolate metabolic process
GO:0019762	0.97044210660033	glucosinolate catabolic process
GO:0042381	0.97044210660033	hemolymph coagulation
GO:0044111	0.97044210660033	development involved in symbiotic interaction
GO:0050898	0.97044210660033	nitrile metabolic process
GO:0080028	0.97044210660033	nitrile biosynthetic process
GO:0017080	0.97044210660033	sodium channel regulator activity
GO:0019871	0.97044210660033	sodium channel inhibitor activity
GO:0043649	0.97044210660033	dicarboxylic acid catabolic process
GO:0009628	0.97044210660033	response to abiotic stimulus
GO:0007423	0.969375606888032	sensory organ development
GO:0005634	0.967264892333772	nucleus
GO:0017110	0.967213874627931	nucleoside-diphosphatase activity
GO:0009164	0.966245117562805	nucleoside catabolic process
GO:0034656	0.966245117562805	nucleobase-containing small molecule catabolic process
GO:0042454	0.966245117562805	ribonucleoside catabolic process
GO:1901658	0.964471932384133	glycosyl compound catabolic process
GO:0042908	0.964132536373112	xenobiotic transport
GO:0008036	0.96340311455782	diuretic hormone receptor activity
GO:0009882	0.962317344306972	blue light photoreceptor activity
GO:0005545	0.960363686017147	1-phosphatidylinositol binding
GO:0007591	0.958988755120609	molting cycle, chitin-based cuticle
GO:0018990	0.958988755120609	ecdysis, chitin-based cuticle
GO:0022404	0.958988755120609	molting cycle process
GO:0008255	0.958988755120609	ecdysis-triggering hormone activity
GO:0007349	0.955008070167401	cellularization
GO:0008200	0.954264023076004	ion channel inhibitor activity
GO:0016248	0.954264023076004	channel inhibitor activity
GO:0005743	0.951575017609869	mitochondrial inner membrane
GO:0006376	0.950754026392108	mRNA splice site selection
GO:0042562	0.950456394462687	hormone binding
GO:0051495	0.950324977959064	positive regulation of cytoskeleton organization
GO:0043227	0.948979357080396	membrane-bounded organelle
GO:1901678	0.948877154978805	iron coordination entity transport
GO:0009725	0.948480055684146	response to hormone
GO:0016458	0.947896065650483	gene silencing
GO:0016569	0.946716792021011	covalent chromatin modification
GO:0016570	0.946716792021011	histone modification
GO:0046838	0.943476572769278	phosphorylated carbohydrate dephosphorylation
GO:0046855	0.943476572769278	inositol phosphate dephosphorylation
GO:0071545	0.943476572769278	inositol phosphate catabolic process
GO:0065008	0.940932165408253	regulation of biological quality
GO:0046910	0.940749753816828	pectinesterase inhibitor activity
GO:0016827	0.940470433006227	hydrolase activity, acting on acid carbon-phosphorus bonds
GO:0050194	0.940470433006227	phosphonoacetaldehyde hydrolase activity
GO:0032182	0.936820838311816	ubiquitin-like protein binding
GO:0019805	0.93535807246844	quinolinate biosynthetic process
GO:0046874	0.93535807246844	quinolinate metabolic process
GO:0004502	0.93535807246844	kynurenine 3-monooxygenase activity
GO:0001505	0.9353419914585	regulation of neurotransmitter levels
GO:0042447	0.934888568947518	hormone catabolic process
GO:0004370	0.93280968381119	glycerol kinase activity
GO:0007094	0.931983912566198	mitotic spindle assembly checkpoint
GO:0031577	0.931983912566198	spindle checkpoint
GO:0033046	0.931983912566198	negative regulation of sister chromatid segregation
GO:0033048	0.931983912566198	negative regulation of mitotic sister chromatid segregation
GO:0045839	0.931983912566198	negative regulation of mitotic nuclear division
GO:0045841	0.931983912566198	negative regulation of mitotic metaphase/anaphase transition
GO:0051985	0.931983912566198	negative regulation of chromosome segregation
GO:0071173	0.931983912566198	spindle assembly checkpoint
GO:0071174	0.931983912566198	mitotic spindle checkpoint
GO:1902100	0.931983912566198	negative regulation of metaphase/anaphase transition of cell cycle
GO:1905819	0.931983912566198	negative regulation of chromosome separation
GO:2000816	0.931983912566198	negative regulation of mitotic sister chromatid separation
GO:0009379	0.931983912566198	Holliday junction helicase complex
GO:0009425	0.931983912566198	bacterial-type flagellum basal body
GO:0030694	0.931983912566198	bacterial-type flagellum basal body, rod
