ann_term	CC	annotation
GO:0048731	0.920213986951635	system development
GO:0007275	0.916880407291771	multicellular organism development
GO:0048856	0.916692553435687	anatomical structure development
GO:0032502	0.915581784942799	developmental process
GO:0030545	0.914425775288679	receptor regulator activity
GO:0030546	0.914425775288679	signaling receptor activator activity
GO:0048018	0.914425775288679	receptor ligand activity
GO:0009888	0.900411893798729	tissue development
GO:0048513	0.897563965390612	animal organ development
GO:0009611	0.894379309249829	response to wounding
GO:0008083	0.892345599475662	growth factor activity
GO:0010942	0.882142697106523	positive regulation of cell death
GO:0043065	0.882142697106523	positive regulation of apoptotic process
GO:0043068	0.882142697106523	positive regulation of programmed cell death
GO:0008091	0.881874324143469	spectrin
GO:0005576	0.878741296595367	extracellular region
GO:0004890	0.877744233264827	GABA-A receptor activity
GO:0016917	0.875612573456496	GABA receptor activity
GO:0099528	0.874740629458728	G protein-coupled neurotransmitter receptor activity
GO:0008283	0.873878267996266	cell population proliferation
GO:0008227	0.87243191050608	G protein-coupled amine receptor activity
GO:0051240	0.872130099569477	positive regulation of multicellular organismal process
GO:0140375	0.86910916508081	immune receptor activity
GO:0015296	0.868211489053617	anion:cation symporter activity
GO:0004860	0.868199184003063	protein kinase inhibitor activity
GO:0019210	0.868199184003063	kinase inhibitor activity
GO:0023061	0.867484655607551	signal release
GO:0045995	0.86689857027256	regulation of embryonic development
GO:0007269	0.866627131425139	neurotransmitter secretion
GO:0099643	0.866627131425139	signal release from synapse
GO:0030141	0.865700866440166	secretory granule
GO:0005126	0.862356314023437	cytokine receptor binding
GO:0031012	0.860320680931072	extracellular matrix
GO:0002682	0.858676798142829	regulation of immune system process
GO:0007399	0.858559294989848	nervous system development
GO:0015377	0.858347257365634	cation:chloride symporter activity
GO:0070840	0.857336443740794	dynein complex binding
GO:0050776	0.857042219603762	regulation of immune response
GO:0030522	0.856810333074464	intracellular receptor signaling pathway
GO:0008373	0.856355696617354	sialyltransferase activity
GO:0004715	0.855701865201727	non-membrane spanning protein tyrosine kinase activity
GO:0005164	0.855361805277351	tumor necrosis factor receptor binding
GO:0032813	0.855361805277351	tumor necrosis factor receptor superfamily binding
GO:0016477	0.854551277926984	cell migration
GO:0030334	0.853448547418045	regulation of cell migration
GO:0005125	0.851700730965846	cytokine activity
GO:0006955	0.850014649761553	immune response
GO:0048584	0.84851671660976	positive regulation of response to stimulus
GO:0007187	0.848405036068904	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
GO:0007188	0.848405036068904	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
GO:0015464	0.848367296531265	acetylcholine receptor activity
GO:0016907	0.848367296531265	G protein-coupled acetylcholine receptor activity
GO:0002376	0.848079819440487	immune system process
GO:0015379	0.846921639729111	potassium:chloride symporter activity
GO:0032101	0.846907832661545	regulation of response to external stimulus
GO:0043565	0.846899266465928	sequence-specific DNA binding
GO:1903522	0.84673689327772	regulation of blood circulation
GO:0007229	0.846342648569294	integrin-mediated signaling pathway
GO:0051239	0.845129210326019	regulation of multicellular organismal process
GO:0042060	0.844911231050673	wound healing
GO:0004896	0.844754274516734	cytokine receptor activity
GO:0044057	0.844384846351948	regulation of system process
GO:0016604	0.843894568049215	nuclear body
GO:0016607	0.843894568049215	nuclear speck
GO:0017017	0.842810441331813	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	0.842810441331813	MAP kinase phosphatase activity
GO:0099503	0.842615841830235	secretory vesicle
GO:0017049	0.842205467397808	GTP-Rho binding
GO:0071495	0.841120252702734	cellular response to endogenous stimulus
GO:0062023	0.839567116305522	collagen-containing extracellular matrix
GO:0046658	0.839387403661083	anchored component of plasma membrane
GO:0060627	0.838326543664355	regulation of vesicle-mediated transport
GO:0006616	0.838032195037298	SRP-dependent cotranslational protein targeting to membrane, translocation
GO:0042165	0.837602767192112	neurotransmitter binding
GO:0005539	0.837394585564173	glycosaminoglycan binding
GO:0045087	0.837361655287645	innate immune response
GO:0008284	0.837193702536709	positive regulation of cell population proliferation
GO:0005102	0.836664182465712	signaling receptor binding
GO:0001518	0.835577337681278	voltage-gated sodium channel complex
GO:0034706	0.835577337681278	sodium channel complex
GO:0005248	0.835577337681278	voltage-gated sodium channel activity
GO:0030291	0.834911175205327	protein serine/threonine kinase inhibitor activity
GO:0008543	0.834775864465186	fibroblast growth factor receptor signaling pathway
GO:0044344	0.834775864465186	cellular response to fibroblast growth factor stimulus
GO:0071774	0.834775864465186	response to fibroblast growth factor
GO:0016247	0.834406465454736	channel regulator activity
GO:0099106	0.834406465454736	ion channel regulator activity
GO:0003810	0.834311664670082	protein-glutamine gamma-glutamyltransferase activity
GO:0140030	0.833746562262169	modification-dependent protein binding
GO:0080134	0.833467784294395	regulation of response to stress
GO:0007268	0.832590017723253	chemical synaptic transmission
GO:0098916	0.832590017723253	anterograde trans-synaptic signaling
GO:0099537	0.832590017723253	trans-synaptic signaling
GO:0042127	0.832375275687963	regulation of cell population proliferation
GO:0003013	0.832054418528965	circulatory system process
GO:0008015	0.832054418528965	blood circulation
GO:0099536	0.832033167956033	synaptic signaling
GO:0140297	0.831499800074375	DNA-binding transcription factor binding
GO:0030234	0.831163379483357	enzyme regulator activity
GO:0018149	0.830914331850554	peptide cross-linking
GO:0050793	0.83052239880876	regulation of developmental process
GO:0007417	0.830261298793794	central nervous system development
GO:0050878	0.829274726707598	regulation of body fluid levels
GO:0001933	0.829042134181289	negative regulation of protein phosphorylation
GO:0006469	0.829042134181289	negative regulation of protein kinase activity
GO:0033673	0.829042134181289	negative regulation of kinase activity
GO:0042326	0.829042134181289	negative regulation of phosphorylation
GO:0051348	0.829042134181289	negative regulation of transferase activity
GO:0060070	0.828775807662738	canonical Wnt signaling pathway
GO:0007420	0.828737017876307	brain development
GO:0060322	0.828737017876307	head development
GO:0008201	0.828633244594773	heparin binding
GO:0031593	0.828137536909524	polyubiquitin modification-dependent protein binding
GO:0070530	0.828137536909524	K63-linked polyubiquitin modification-dependent protein binding
GO:0022008	0.82759789534926	neurogenesis
GO:0007267	0.826957548786708	cell-cell signaling
GO:0005000	0.826853044894563	vasopressin receptor activity
GO:0017137	0.826802516631017	Rab GTPase binding
GO:0007596	0.82670885733403	blood coagulation
GO:0006638	0.826689693062225	neutral lipid metabolic process
GO:0006639	0.826689693062225	acylglycerol metabolic process
GO:0006641	0.826689693062225	triglyceride metabolic process
GO:0009607	0.826420737835183	response to biotic stimulus
GO:0043207	0.826420737835183	response to external biotic stimulus
GO:0051707	0.826420737835183	response to other organism
GO:0098542	0.826420737835183	defense response to other organism
GO:0051694	0.826344834640078	pointed-end actin filament capping
GO:0005523	0.826344834640078	tropomyosin binding
GO:0007599	0.826209938289169	hemostasis
