ann_term	CC	annotation
GO:0007399	1.08467465796226e-07	nervous system development
GO:0032879	2.57427868278949e-07	regulation of localization
GO:0048731	2.74797356155701e-07	system development
GO:0016247	4.00675340158364e-07	channel regulator activity
GO:0099106	4.00675340158364e-07	ion channel regulator activity
GO:0051049	5.3870620290176e-07	regulation of transport
GO:0007420	6.65452361241061e-07	brain development
GO:0060322	6.65452361241061e-07	head development
GO:0009896	1.21757208873461e-06	positive regulation of catabolic process
GO:0031331	1.21757208873461e-06	positive regulation of cellular catabolic process
GO:0048513	1.2550565333821e-06	animal organ development
GO:0042165	1.80844950692225e-06	neurotransmitter binding
GO:0007417	2.06708162132349e-06	central nervous system development
GO:0019956	4.21984911796137e-06	chemokine binding
GO:0035690	6.92622770611266e-06	cellular response to drug
GO:0007212	7.93191339745482e-06	dopamine receptor signaling pathway
GO:0071867	7.93191339745482e-06	response to monoamine
GO:0071868	7.93191339745482e-06	cellular response to monoamine stimulus
GO:0071869	7.93191339745482e-06	response to catecholamine
GO:0071870	7.93191339745482e-06	cellular response to catecholamine stimulus
GO:1903350	7.93191339745482e-06	response to dopamine
GO:1903351	7.93191339745482e-06	cellular response to dopamine
GO:1901698	1.08502580859844e-05	response to nitrogen compound
GO:0016477	1.09586010547046e-05	cell migration
GO:0062023	1.57647111623949e-05	collagen-containing extracellular matrix
GO:0019955	1.78509242185634e-05	cytokine binding
GO:0030168	1.79532906937797e-05	platelet activation
GO:0050776	1.88241037526343e-05	regulation of immune response
GO:0004952	2.09627015031306e-05	dopamine neurotransmitter receptor activity
GO:0004936	2.34176528013753e-05	alpha-adrenergic receptor activity
GO:0046580	2.48039225833442e-05	negative regulation of Ras protein signal transduction
GO:0051058	2.48039225833442e-05	negative regulation of small GTPase mediated signal transduction
GO:0048584	3.18414025496689e-05	positive regulation of response to stimulus
GO:0048699	3.31077479938136e-05	generation of neurons
GO:0016917	3.4613135330853e-05	GABA receptor activity
GO:0032410	3.60899283232083e-05	negative regulation of transporter activity
GO:0032413	3.60899283232083e-05	negative regulation of ion transmembrane transporter activity
GO:0034763	3.60899283232083e-05	negative regulation of transmembrane transport
GO:0034766	3.60899283232083e-05	negative regulation of ion transmembrane transport
GO:0043271	3.60899283232083e-05	negative regulation of ion transport
GO:0051051	3.60899283232083e-05	negative regulation of transport
GO:0051926	3.60899283232083e-05	negative regulation of calcium ion transport
GO:1901020	3.60899283232083e-05	negative regulation of calcium ion transmembrane transporter activity
GO:1901385	3.60899283232083e-05	regulation of voltage-gated calcium channel activity
GO:1901386	3.60899283232083e-05	negative regulation of voltage-gated calcium channel activity
GO:1901841	3.60899283232083e-05	regulation of high voltage-gated calcium channel activity
GO:1901842	3.60899283232083e-05	negative regulation of high voltage-gated calcium channel activity
GO:1903170	3.60899283232083e-05	negative regulation of calcium ion transmembrane transport
GO:1904063	3.60899283232083e-05	negative regulation of cation transmembrane transport
GO:2001258	3.60899283232083e-05	negative regulation of cation channel activity
GO:0017017	3.88447048897001e-05	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	3.88447048897001e-05	MAP kinase phosphatase activity
GO:0004890	4.13693921027724e-05	GABA-A receptor activity
GO:0050778	4.42703484857157e-05	positive regulation of immune response
GO:0004993	4.47462564693788e-05	G protein-coupled serotonin receptor activity
GO:0099589	4.47462564693788e-05	serotonin receptor activity
GO:0022008	4.92738614365702e-05	neurogenesis
GO:0016604	4.93264143832667e-05	nuclear body
GO:0016607	4.93264143832667e-05	nuclear speck
GO:1903522	4.98724703983411e-05	regulation of blood circulation
GO:0010243	5.05995850943096e-05	response to organonitrogen compound
GO:1901019	5.41459431778237e-05	regulation of calcium ion transmembrane transporter activity
GO:1903169	5.41459431778237e-05	regulation of calcium ion transmembrane transport
GO:0043114	5.5091074145879e-05	regulation of vascular permeability
GO:0048245	5.5091074145879e-05	eosinophil chemotaxis
GO:0071621	5.5091074145879e-05	granulocyte chemotaxis
GO:0072677	5.5091074145879e-05	eosinophil migration
GO:0097530	5.5091074145879e-05	granulocyte migration
GO:0005923	5.59728831052483e-05	bicellular tight junction
GO:0043296	5.59728831052483e-05	apical junction complex
GO:0070160	5.59728831052483e-05	tight junction
GO:0035257	5.74787409637973e-05	nuclear hormone receptor binding
GO:0051427	5.74787409637973e-05	hormone receptor binding
GO:0061629	5.74787409637973e-05	RNA polymerase II-specific DNA-binding transcription factor binding
GO:0030374	5.78996026886188e-05	nuclear receptor transcription coactivator activity
GO:0030182	6.02946758643352e-05	neuron differentiation
GO:0008083	6.06323760665329e-05	growth factor activity
GO:0099528	6.59984488544414e-05	G protein-coupled neurotransmitter receptor activity
GO:0007275	6.86388758496649e-05	multicellular organism development
GO:0042613	7.41816131232406e-05	MHC class II protein complex
GO:1901699	7.82290086506876e-05	cellular response to nitrogen compound
GO:0040011	7.82962434156581e-05	locomotion
GO:0045907	8.49298797038791e-05	positive regulation of vasoconstriction
GO:0002684	8.55613881436059e-05	positive regulation of immune system process
GO:0042043	8.758521668749e-05	neurexin family protein binding
GO:0004910	8.96880004734874e-05	interleukin-1, type II, blocking receptor activity
GO:0045995	9.4280491673521e-05	regulation of embryonic development
GO:0043269	0.000101770312493804	regulation of ion transport
GO:0098797	0.000104225067980799	plasma membrane protein complex
GO:0071417	0.000110965679677409	cellular response to organonitrogen compound
GO:0048856	0.000122217036421165	anatomical structure development
GO:0007193	0.000123911477229453	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
GO:0007195	0.000123911477229453	adenylate cyclase-inhibiting dopamine receptor signaling pathway
GO:0042611	0.000129009540619195	MHC protein complex
GO:0001614	0.000137622657044575	purinergic nucleotide receptor activity
GO:0016502	0.000137622657044575	nucleotide receptor activity
GO:0099503	0.000172741600638416	secretory vesicle
GO:0140297	0.000173262995322813	DNA-binding transcription factor binding
GO:0003013	0.000175559836684809	circulatory system process
GO:0008015	0.000175559836684809	blood circulation
GO:0042310	0.0001792463853904	vasoconstriction
GO:0097756	0.0001792463853904	negative regulation of blood vessel diameter
GO:0001518	0.000202766991701375	voltage-gated sodium channel complex
GO:0034706	0.000202766991701375	sodium channel complex
GO:0005248	0.000202766991701375	voltage-gated sodium channel activity
GO:0030334	0.000215425298011098	regulation of cell migration
GO:0007586	0.000220742512650792	digestion
GO:0003012	0.000220930375539567	muscle system process
GO:0014070	0.000230889279192495	response to organic cyclic compound
GO:0060627	0.000233467145132639	regulation of vesicle-mediated transport
GO:0005540	0.000248577001412133	hyaluronic acid binding
GO:0048013	0.000255673101189245	ephrin receptor signaling pathway
GO:0046875	0.000255673101189245	ephrin receptor binding
GO:0007267	0.00025767687254286	cell-cell signaling
GO:0006936	0.000261320758448138	muscle contraction
GO:0007229	0.000262148380908514	integrin-mediated signaling pathway
GO:0030422	0.000269485859502908	production of siRNA involved in RNA interference
GO:0031050	0.000269485859502908	dsRNA processing
GO:0035196	0.000269485859502908	production of miRNAs involved in gene silencing by miRNA
GO:0042311	0.000269485859502908	vasodilation
GO:0050885	0.000269485859502908	neuromuscular process controlling balance
GO:0050905	0.000269485859502908	neuromuscular process
GO:0050957	0.000269485859502908	equilibrioception
GO:0070918	0.000269485859502908	production of small RNA involved in gene silencing by RNA
GO:0070920	0.000269485859502908	regulation of production of small RNA involved in gene silencing by RNA
GO:0090065	0.000269485859502908	regulation of production of siRNA involved in RNA interference
GO:0090075	0.000269485859502908	relaxation of muscle
GO:0097755	0.000269485859502908	positive regulation of blood vessel diameter
GO:1900368	0.000269485859502908	regulation of RNA interference
GO:1903798	0.000269485859502908	regulation of production of miRNAs involved in gene silencing by miRNA
GO:0043293	0.000269485859502908	apoptosome
GO:0070578	0.000269485859502908	RISC-loading complex
GO:0005018	0.000269485859502908	platelet-derived growth factor alpha-receptor activity
GO:0035197	0.000269485859502908	siRNA binding
GO:0061980	0.000269485859502908	regulatory RNA binding
GO:0070883	0.000269485859502908	pre-miRNA binding
GO:0071407	0.000289645216078949	cellular response to organic cyclic compound
GO:0007517	0.000299482100706439	muscle organ development
GO:0061061	0.000299482100706439	muscle structure development
GO:0043696	0.000312436943845919	dedifferentiation
GO:0043697	0.000312436943845919	cell dedifferentiation
GO:0004693	0.000312436943845919	cyclin-dependent protein serine/threonine kinase activity
GO:0097472	0.000312436943845919	cyclin-dependent protein kinase activity
GO:0010896	0.000326006253345629	regulation of triglyceride catabolic process
GO:0010898	0.000326006253345629	positive regulation of triglyceride catabolic process
GO:0019216	0.000326006253345629	regulation of lipid metabolic process
GO:0045834	0.000326006253345629	positive regulation of lipid metabolic process
GO:0050994	0.000326006253345629	regulation of lipid catabolic process
GO:0050996	0.000326006253345629	positive regulation of lipid catabolic process
GO:0090207	0.000326006253345629	regulation of triglyceride metabolic process
GO:0090208	0.000326006253345629	positive regulation of triglyceride metabolic process
GO:0015379	0.00035030354318752	potassium:chloride symporter activity
GO:0003018	0.000351336849071776	vascular process in circulatory system
GO:0035150	0.000351336849071776	regulation of tube size
GO:0035296	0.000351336849071776	regulation of tube diameter
GO:0097746	0.000351336849071776	regulation of blood vessel diameter
GO:0016594	0.000355948794650993	glycine binding
GO:0001775	0.000365620217052321	cell activation
GO:0005911	0.000382177146776238	cell-cell junction
GO:0006616	0.00039051374633163	SRP-dependent cotranslational protein targeting to membrane, translocation
GO:0007167	0.000412682541873609	enzyme linked receptor protein signaling pathway
GO:0010942	0.000435190662463803	positive regulation of cell death
GO:0043065	0.000435190662463803	positive regulation of apoptotic process
GO:0043068	0.000435190662463803	positive regulation of programmed cell death
GO:0019229	0.000438777480508526	regulation of vasoconstriction
GO:0045028	0.000463823642933914	G protein-coupled purinergic nucleotide receptor activity
GO:0051262	0.000506752570054211	protein tetramerization
GO:0002682	0.000512621378534618	regulation of immune system process
GO:0006939	0.000531061831056622	smooth muscle contraction
GO:0031593	0.000549909560933157	polyubiquitin modification-dependent protein binding
GO:0070530	0.000549909560933157	K63-linked polyubiquitin modification-dependent protein binding
GO:0006935	0.00056317427440471	chemotaxis
GO:0042330	0.00056317427440471	taxis
GO:0043560	0.000568146390435099	insulin receptor substrate binding
GO:0019882	0.000611874252697213	antigen processing and presentation
GO:0007217	0.000614862865603149	tachykinin receptor signaling pathway
GO:0005539	0.00065583380204441	glycosaminoglycan binding
GO:0042287	0.000726448664067785	MHC protein binding
GO:0031329	0.000727096146555184	regulation of cellular catabolic process
GO:0099536	0.000758653708028074	synaptic signaling
GO:0007169	0.000762119418587629	transmembrane receptor protein tyrosine kinase signaling pathway
GO:0007189	0.000769105047569387	adenylate cyclase-activating G protein-coupled receptor signaling pathway
GO:0019933	0.000769105047569387	cAMP-mediated signaling
GO:0019935	0.000769105047569387	cyclic-nucleotide-mediated signaling
GO:0002252	0.000927559322092638	immune effector process
GO:0040012	0.000934479418732946	regulation of locomotion
GO:0009605	0.000947077690386753	response to external stimulus
GO:0004715	0.00095117471587054	non-membrane spanning protein tyrosine kinase activity
GO:0030155	0.000984210267798287	regulation of cell adhesion
GO:0016528	0.00105117650821465	sarcoplasm
GO:0030314	0.00105117650821465	junctional membrane complex
GO:0004699	0.00113927732738152	calcium-independent protein kinase C activity
GO:0044057	0.00115100867593988	regulation of system process
GO:0009611	0.00116165502933713	response to wounding
GO:0030141	0.00118822451482624	secretory granule
GO:0051694	0.00121660415175808	pointed-end actin filament capping
GO:0005523	0.00121660415175808	tropomyosin binding
GO:0007584	0.00121853885024113	response to nutrient
GO:0014074	0.00121853885024113	response to purine-containing compound
GO:0033198	0.00121853885024113	response to ATP
GO:0046683	0.00121853885024113	response to organophosphorus
GO:0004931	0.00121853885024113	extracellularly ATP-gated cation channel activity
GO:0035381	0.00121853885024113	ATP-gated ion channel activity
GO:0005184	0.00125319097901945	neuropeptide hormone activity
GO:0071107	0.00126299886389838	response to parathyroid hormone
GO:0004985	0.00127447882923407	opioid receptor activity
GO:1904659	0.00130008206874578	glucose transmembrane transport
GO:0005355	0.00130008206874578	glucose transmembrane transporter activity
GO:0006836	0.00131245493044953	neurotransmitter transport
GO:0031012	0.00131866225129013	extracellular matrix
GO:0004954	0.00137328530758004	prostanoid receptor activity
GO:0005030	0.00142753488913303	neurotrophin receptor activity
GO:0045125	0.00144626110787098	bioactive lipid receptor activity
GO:0051270	0.00145297723352324	regulation of cellular component movement
GO:0019199	0.00146079141055018	transmembrane receptor protein kinase activity
GO:0038036	0.00146177620824764	sphingosine-1-phosphate receptor activity
GO:0051239	0.00148108019872461	regulation of multicellular organismal process
GO:0002520	0.00149418487996275	immune system development
