ann_term	q_val	annotation
GO:0006569	0.992186877099795	tryptophan catabolic process
GO:0042402	0.992186877099795	cellular biogenic amine catabolic process
GO:0042436	0.992186877099795	indole-containing compound catabolic process
GO:0046218	0.992186877099795	indolalkylamine catabolic process
GO:0003854	0.992186877099795	3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0004601	0.985116678947161	peroxidase activity
GO:0005388	0.985116678947161	calcium transmembrane transporter activity, phosphorylative mechanism
GO:0008174	0.985116678947161	mRNA methyltransferase activity
GO:0035065	0.985116678947161	regulation of histone acetylation
GO:1901983	0.985116678947161	regulation of protein acetylation
GO:2000756	0.985116678947161	regulation of peptidyl-lysine acetylation
GO:0016998	0.985116678947161	cell wall macromolecule catabolic process
GO:0008352	0.985116678947161	katanin complex
GO:0009279	0.979937576917155	cell outer membrane
GO:0009310	0.978623443940587	amine catabolic process
GO:0006898	0.978623443940587	receptor-mediated endocytosis
GO:0005853	0.978623443940587	eukaryotic translation elongation factor 1 complex
GO:0004133	0.978376379161486	glycogen debranching enzyme activity
GO:0004134	0.978376379161486	4-alpha-glucanotransferase activity
GO:0017134	0.978376379161486	fibroblast growth factor binding
GO:0002790	0.978376379161486	peptide secretion
GO:0009306	0.978376379161486	protein secretion
GO:0035592	0.978376379161486	establishment of protein localization to extracellular region
GO:0071692	0.978376379161486	protein localization to extracellular region
GO:0017136	0.978376379161486	NAD-dependent histone deacetylase activity
GO:0034979	0.978376379161486	NAD-dependent protein deacetylase activity
GO:0007088	0.972555134114031	regulation of mitotic nuclear division
GO:0051783	0.972555134114031	regulation of nuclear division
GO:0006788	0.972526987215548	heme oxidation
GO:0004392	0.972526987215548	heme oxygenase (decyclizing) activity
GO:0001101	0.972526987215548	response to acid chemical
GO:0033036	0.957612273011986	macromolecule localization
GO:0043229	0.957612273011986	intracellular organelle
GO:0016763	0.957612273011986	transferase activity, transferring pentosyl groups
GO:0022857	0.957612273011986	transmembrane transporter activity
GO:0051304	0.957612273011986	chromosome separation
GO:0031306	0.957612273011986	intrinsic component of mitochondrial outer membrane
GO:0031307	0.957612273011986	integral component of mitochondrial outer membrane
GO:0008240	0.957612273011986	tripeptidyl-peptidase activity
GO:0004097	0.957612273011986	catechol oxidase activity
GO:0033108	0.951068220431585	mitochondrial respiratory chain complex assembly
GO:0071973	0.948373460830646	bacterial-type flagellum-dependent cell motility
GO:0097588	0.948373460830646	archaeal or bacterial-type flagellum-dependent cell motility
GO:0047480	0.944684327532456	UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity
GO:0070205	0.944684327532456	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity
GO:0003904	0.944526954130687	deoxyribodipyrimidine photo-lyase activity
GO:0051495	0.944088452298422	positive regulation of cytoskeleton organization
GO:0003690	0.944088452298422	double-stranded DNA binding
GO:0004407	0.944088452298422	histone deacetylase activity
GO:0033558	0.944088452298422	protein deacetylase activity
GO:0005953	0.943839465610778	CAAX-protein geranylgeranyltransferase complex
GO:0008830	0.935366594781291	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0019478	0.934810253775106	D-amino acid catabolic process
GO:0046655	0.934810253775106	folic acid metabolic process
GO:0046656	0.934810253775106	folic acid biosynthetic process
GO:0008696	0.934810253775106	4-amino-4-deoxychorismate lyase activity
GO:0030597	0.934810253775106	RNA glycosylase activity
GO:0030598	0.934810253775106	rRNA N-glycosylase activity
GO:0016730	0.93255068797671	oxidoreductase activity, acting on iron-sulfur proteins as donors
GO:0070925	0.930245375093022	organelle assembly
GO:0016790	0.930245375093022	thiolester hydrolase activity
GO:0044772	0.930245375093022	mitotic cell cycle phase transition
GO:1901990	0.930245375093022	regulation of mitotic cell cycle phase transition
GO:0016125	0.930245375093022	sterol metabolic process
GO:0030417	0.929401741275063	nicotianamine metabolic process
GO:0030418	0.929401741275063	nicotianamine biosynthetic process
GO:0072351	0.929401741275063	tricarboxylic acid biosynthetic process
GO:0030410	0.929401741275063	nicotianamine synthase activity
GO:0009698	0.923323061136748	phenylpropanoid metabolic process
