ann_term	CC	annotation
GO:0048731	0.794254325458375	system development
GO:0048513	0.775447048290359	animal organ development
GO:0030545	0.756506444885157	receptor regulator activity
GO:0030546	0.756506444885157	signaling receptor activator activity
GO:0048018	0.756506444885157	receptor ligand activity
GO:0032502	0.751552434738693	developmental process
GO:0048856	0.74747897980786	anatomical structure development
GO:0010942	0.746530229307127	positive regulation of cell death
GO:0043065	0.746530229307127	positive regulation of apoptotic process
GO:0043068	0.746530229307127	positive regulation of programmed cell death
GO:0007275	0.740892863042593	multicellular organism development
GO:0140375	0.740257710349895	immune receptor activity
GO:0008091	0.738672834799546	spectrin
GO:0009888	0.736560200366018	tissue development
GO:0009611	0.734265620302573	response to wounding
GO:0004890	0.726681392676177	GABA-A receptor activity
GO:0005126	0.72548224846384	cytokine receptor binding
GO:0030141	0.724399686461041	secretory granule
GO:0016477	0.722792719985345	cell migration
GO:0030334	0.722792719985345	regulation of cell migration
GO:0016917	0.721884815826829	GABA receptor activity
GO:0045995	0.719976677189623	regulation of embryonic development
GO:0099528	0.71879338266184	G protein-coupled neurotransmitter receptor activity
GO:0008083	0.718062678492162	growth factor activity
GO:0002682	0.717603912095943	regulation of immune system process
GO:0051240	0.715908979795008	positive regulation of multicellular organismal process
GO:0050776	0.715277805411677	regulation of immune response
GO:1903522	0.712013755149542	regulation of blood circulation
GO:0008227	0.711711674458275	G protein-coupled amine receptor activity
GO:0008283	0.711434909454227	cell population proliferation
GO:0004896	0.711077857063922	cytokine receptor activity
GO:0004715	0.70829948535888	non-membrane spanning protein tyrosine kinase activity
GO:0007399	0.705096796854112	nervous system development
GO:0005125	0.70476590231942	cytokine activity
GO:0023061	0.70462996625471	signal release
GO:0044057	0.70405829419815	regulation of system process
GO:0007229	0.702034001458814	integrin-mediated signaling pathway
GO:0005164	0.701499364217101	tumor necrosis factor receptor binding
GO:0032813	0.701499364217101	tumor necrosis factor receptor superfamily binding
GO:0007269	0.699908827452334	neurotransmitter secretion
GO:0099643	0.699908827452334	signal release from synapse
GO:0007417	0.699096534028004	central nervous system development
GO:0001518	0.696702787367754	voltage-gated sodium channel complex
GO:0034706	0.696702787367754	sodium channel complex
GO:0005248	0.696702787367754	voltage-gated sodium channel activity
GO:0007420	0.696376314051241	brain development
GO:0060322	0.696376314051241	head development
GO:0042165	0.695535171663618	neurotransmitter binding
GO:0015296	0.695532513312934	anion:cation symporter activity
GO:0051694	0.694342845253286	pointed-end actin filament capping
GO:0005523	0.694342845253286	tropomyosin binding
GO:0046658	0.694163466802559	anchored component of plasma membrane
GO:0007187	0.694057251742716	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
GO:0007188	0.694057251742716	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
GO:0051239	0.693602148220562	regulation of multicellular organismal process
GO:0060627	0.692125102771063	regulation of vesicle-mediated transport
GO:0008543	0.692090256594251	fibroblast growth factor receptor signaling pathway
GO:0044344	0.692090256594251	cellular response to fibroblast growth factor stimulus
GO:0071774	0.692090256594251	response to fibroblast growth factor
GO:0030522	0.691043463004902	intracellular receptor signaling pathway
GO:0016247	0.690799192612498	channel regulator activity
GO:0099106	0.690799192612498	ion channel regulator activity
GO:0016604	0.689555127449217	nuclear body
