ann_term	CC	annotation
GO:0048856	0.966833972523485	anatomical structure development
GO:0007275	0.961820191519253	multicellular organism development
GO:0016917	0.956868914976686	GABA receptor activity
GO:0045995	0.956352013193705	regulation of embryonic development
GO:0048731	0.955922050840753	system development
GO:0004890	0.955664697020678	GABA-A receptor activity
GO:0005102	0.954688692459102	signaling receptor binding
GO:0032502	0.954206641001689	developmental process
GO:0030545	0.951064573689464	receptor regulator activity
GO:0030546	0.951064573689464	signaling receptor activator activity
GO:0048018	0.951064573689464	receptor ligand activity
GO:0048513	0.950090584026315	animal organ development
GO:0030334	0.947314862296915	regulation of cell migration
GO:0008083	0.9457864395423	growth factor activity
GO:0009611	0.944831392108496	response to wounding
GO:0016477	0.944626048994027	cell migration
GO:0030155	0.941198717618134	regulation of cell adhesion
GO:0042165	0.939833099323908	neurotransmitter binding
GO:0032879	0.938788833110288	regulation of localization
GO:0099503	0.938139218985191	secretory vesicle
GO:0060627	0.938040199432094	regulation of vesicle-mediated transport
GO:0007399	0.937851432173314	nervous system development
GO:0051239	0.93770188036526	regulation of multicellular organismal process
GO:0008091	0.937409093032507	spectrin
GO:0004715	0.936505418102281	non-membrane spanning protein tyrosine kinase activity
GO:0001518	0.936268478108265	voltage-gated sodium channel complex
GO:0034706	0.936268478108265	sodium channel complex
GO:0005248	0.936268478108265	voltage-gated sodium channel activity
GO:0007517	0.936260392911144	muscle organ development
GO:0061061	0.936260392911144	muscle structure development
GO:0048584	0.936179024186934	positive regulation of response to stimulus
GO:0007420	0.936134205317281	brain development
GO:0060322	0.936134205317281	head development
GO:0042060	0.935430806451769	wound healing
GO:0010942	0.935151724896632	positive regulation of cell death
GO:0043065	0.935151724896632	positive regulation of apoptotic process
GO:0043068	0.935151724896632	positive regulation of programmed cell death
GO:0017017	0.934837208244945	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	0.934837208244945	MAP kinase phosphatase activity
GO:0007417	0.934400612686356	central nervous system development
GO:1903522	0.933768715473385	regulation of blood circulation
GO:0030522	0.933739428307156	intracellular receptor signaling pathway
GO:2000026	0.932980289999216	regulation of multicellular organismal development
GO:0051262	0.931820245329113	protein tetramerization
GO:0099528	0.930766202843308	G protein-coupled neurotransmitter receptor activity
GO:0040012	0.930572682919747	regulation of locomotion
GO:0005164	0.930419662537827	tumor necrosis factor receptor binding
GO:0032813	0.930419662537827	tumor necrosis factor receptor superfamily binding
GO:0007249	0.928283946279993	I-kappaB kinase/NF-kappaB signaling
GO:0043122	0.928283946279993	regulation of I-kappaB kinase/NF-kappaB signaling
GO:0044057	0.927638896064553	regulation of system process
GO:0062023	0.927275157412236	collagen-containing extracellular matrix
GO:0046777	0.927107156440559	protein autophosphorylation
GO:0001501	0.927066094279617	skeletal system development
GO:0051216	0.927066094279617	cartilage development
GO:0061448	0.927066094279617	connective tissue development
GO:0005539	0.927040788159943	glycosaminoglycan binding
GO:0035690	0.926784277299274	cellular response to drug
GO:2000145	0.926604922786075	regulation of cell motility
GO:0004879	0.925911455286055	nuclear receptor activity
GO:0098531	0.925911455286055	ligand-activated transcription factor activity
GO:0009896	0.924698177814085	positive regulation of catabolic process
GO:0031331	0.924698177814085	positive regulation of cellular catabolic process
GO:0006836	0.92452642117022	neurotransmitter transport
GO:0002063	0.924422830043597	chondrocyte development
GO:0032330	0.924422830043597	regulation of chondrocyte differentiation
GO:0061035	0.924422830043597	regulation of cartilage development
GO:0061181	0.924422830043597	regulation of chondrocyte development
GO:0061572	0.924422830043597	actin filament bundle organization
GO:0031005	0.924422830043597	filamin binding
GO:0071495	0.924289863955938	cellular response to endogenous stimulus
GO:0043114	0.923998536616509	regulation of vascular permeability
GO:0048245	0.923998536616509	eosinophil chemotaxis
GO:0071621	0.923998536616509	granulocyte chemotaxis
GO:0072677	0.923998536616509	eosinophil migration
GO:0097530	0.923998536616509	granulocyte migration
GO:0005160	0.923942382573381	transforming growth factor beta receptor binding
GO:0002062	0.92357956761761	chondrocyte differentiation
GO:0016604	0.922655756141442	nuclear body
GO:0016607	0.922655756141442	nuclear speck
GO:0005496	0.922623652459309	steroid binding
GO:0003013	0.922395757773791	circulatory system process
GO:0008015	0.922395757773791	blood circulation
GO:0015379	0.922031389840272	potassium:chloride symporter activity
GO:0009967	0.921954695814174	positive regulation of signal transduction
GO:0010647	0.921954695814174	positive regulation of cell communication
GO:0023056	0.921954695814174	positive regulation of signaling
GO:0051694	0.921884097656552	pointed-end actin filament capping
GO:0005523	0.921884097656552	tropomyosin binding
GO:0043560	0.919846577533496	insulin receptor substrate binding
GO:0015026	0.91952412918557	coreceptor activity
GO:0008277	0.918906526815687	regulation of G protein-coupled receptor signaling pathway
GO:0019229	0.918341729947222	regulation of vasoconstriction
GO:0009605	0.917914739520672	response to external stimulus
GO:0032101	0.917444630706293	regulation of response to external stimulus
GO:0007169	0.917391302432176	transmembrane receptor protein tyrosine kinase signaling pathway
GO:0048699	0.917215209040869	generation of neurons
GO:0050878	0.916780306873527	regulation of body fluid levels
GO:1901698	0.916174716253375	response to nitrogen compound
GO:0051049	0.916017611053111	regulation of transport
GO:0045907	0.915738839539109	positive regulation of vasoconstriction
GO:0006955	0.915732112489555	immune response
GO:0071310	0.915371471745362	cellular response to organic substance
GO:0005923	0.915197248991237	bicellular tight junction
GO:0043296	0.915197248991237	apical junction complex
GO:0070160	0.915197248991237	tight junction
GO:0040011	0.91513718557215	locomotion
GO:0030168	0.914096967945037	platelet activation
GO:0003012	0.913913944901488	muscle system process
GO:0030212	0.913766033748804	hyaluronan metabolic process
GO:1903510	0.913766033748804	mucopolysaccharide metabolic process
GO:0006936	0.913638005154467	muscle contraction
GO:0042310	0.913303360930002	vasoconstriction
GO:0097756	0.913303360930002	negative regulation of blood vessel diameter
GO:0019955	0.913062315533895	cytokine binding
GO:0002376	0.912613612557347	immune system process
GO:0031110	0.912367311359574	regulation of microtubule polymerization or depolymerization
GO:0022008	0.9123579582031	neurogenesis
GO:0006935	0.911774804893934	chemotaxis
GO:0042330	0.911774804893934	taxis
GO:0003018	0.911646570441498	vascular process in circulatory system
