ann_term	q_val	annotation
GO:0006479	0.998628456696175	protein methylation
GO:0008213	0.998628456696175	protein alkylation
GO:0009310	0.996012861901564	amine catabolic process
GO:0031965	0.995429000603222	nuclear membrane
GO:0009279	0.992915278986169	cell outer membrane
GO:0004097	0.992410847406747	catechol oxidase activity
GO:0071702	0.990949167589917	organic substance transport
GO:0035600	0.990949167589917	tRNA methylthiolation
GO:0035598	0.990949167589917	N6-threonylcarbomyladenosine methylthiotransferase activity
GO:0016790	0.990709433176044	thiolester hydrolase activity
GO:0044772	0.989141146772764	mitotic cell cycle phase transition
GO:1901990	0.989141146772764	regulation of mitotic cell cycle phase transition
GO:0008184	0.981502617755276	glycogen phosphorylase activity
GO:0004601	0.981000844352836	peroxidase activity
GO:0016705	0.980117963999783	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0006040	0.977860796694346	amino sugar metabolic process
GO:0006729	0.977664398962179	tetrahydrobiopterin biosynthetic process
GO:0034311	0.977664398962179	diol metabolic process
GO:0034312	0.977664398962179	diol biosynthetic process
GO:0046146	0.977664398962179	tetrahydrobiopterin metabolic process
GO:0046173	0.977222005307332	polyol biosynthetic process
GO:0048312	0.976190870874425	intracellular distribution of mitochondria
GO:0065008	0.975797202832639	regulation of biological quality
GO:0004523	0.974568732548209	RNA-DNA hybrid ribonuclease activity
GO:0006030	0.974367812071379	chitin metabolic process
GO:0006569	0.973826649990322	tryptophan catabolic process
GO:0042402	0.973826649990322	cellular biogenic amine catabolic process
GO:0042436	0.973826649990322	indole-containing compound catabolic process
GO:0046218	0.973826649990322	indolalkylamine catabolic process
GO:0042887	0.973729650115805	amide transmembrane transporter activity
GO:0048311	0.973016496755566	mitochondrion distribution
GO:0051646	0.973016496755566	mitochondrion localization
GO:0031306	0.972531599555013	intrinsic component of mitochondrial outer membrane
GO:0031307	0.972531599555013	integral component of mitochondrial outer membrane
GO:0043044	0.971709281899541	ATP-dependent chromatin remodeling
GO:1901682	0.970478347483311	sulfur compound transmembrane transporter activity
GO:0004133	0.96788013152231	glycogen debranching enzyme activity
GO:0004134	0.96788013152231	4-alpha-glucanotransferase activity
GO:0008202	0.967816091445975	steroid metabolic process
GO:0008174	0.967434039089868	mRNA methyltransferase activity
GO:0000062	0.965697755144091	fatty-acyl-CoA binding
GO:1901567	0.965697755144091	fatty acid derivative binding
GO:0034316	0.965224565038978	negative regulation of Arp2/3 complex-mediated actin nucleation
GO:0071933	0.965224565038978	Arp2/3 complex binding
GO:0019478	0.964366766978287	D-amino acid catabolic process
GO:0046655	0.964366766978287	folic acid metabolic process
GO:0046656	0.964366766978287	folic acid biosynthetic process
GO:0008696	0.964366766978287	4-amino-4-deoxychorismate lyase activity
GO:0030597	0.964366766978287	RNA glycosylase activity
GO:0030598	0.964366766978287	rRNA N-glycosylase activity
GO:0000782	0.964366766978287	telomere cap complex
GO:0000783	0.964366766978287	nuclear telomere cap complex
GO:0140445	0.964366766978287	chromosome, telomeric repeat region
GO:1990879	0.964366766978287	CST complex
GO:0044770	0.962911027493413	cell cycle phase transition
GO:1901987	0.962911027493413	regulation of cell cycle phase transition
GO:0003904	0.962815199997521	deoxyribodipyrimidine photo-lyase activity
GO:0005953	0.961398131359856	CAAX-protein geranylgeranyltransferase complex
GO:0090304	0.96073165195504	nucleic acid metabolic process
GO:0000966	0.9546218487419	RNA 5'-end processing
GO:0001682	0.9546218487419	tRNA 5'-leader removal
GO:0034471	0.9546218487419	ncRNA 5'-end processing
GO:0099116	0.9546218487419	tRNA 5'-end processing
GO:0046556	0.95353291578777	alpha-L-arabinofuranosidase activity
GO:0006654	0.952171059972569	phosphatidic acid biosynthetic process
GO:0046473	0.952171059972569	phosphatidic acid metabolic process
GO:0007088	0.951182162817371	regulation of mitotic nuclear division
GO:0051783	0.951182162817371	regulation of nuclear division
GO:0071973	0.951182162817371	bacterial-type flagellum-dependent cell motility
GO:0097588	0.951182162817371	archaeal or bacterial-type flagellum-dependent cell motility
GO:0051304	0.950376916481676	chromosome separation
GO:0047480	0.94975922434467	UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity
GO:0070205	0.94975922434467	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity
GO:0051495	0.94975922434467	positive regulation of cytoskeleton organization
GO:0008022	0.94975922434467	protein C-terminus binding
GO:0006366	0.94660520354502	transcription by RNA polymerase II
GO:0015772	0.945283374026345	oligosaccharide transport
GO:0008023	0.944472316675045	transcription elongation factor complex
GO:0016307	0.934938647953086	phosphatidylinositol phosphate kinase activity
GO:0005853	0.928287942053003	eukaryotic translation elongation factor 1 complex
GO:0008830	0.925185651755023	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0045926	0.924998705907079	negative regulation of growth
