ann_term	CC	annotation
GO:0048731	0.914777409077557	system development
GO:0007275	0.91156879331121	multicellular organism development
GO:0048856	0.911044639921125	anatomical structure development
GO:0032502	0.910780970247463	developmental process
GO:0030545	0.908690130995496	receptor regulator activity
GO:0030546	0.908690130995496	signaling receptor activator activity
GO:0048018	0.908690130995496	receptor ligand activity
GO:0009888	0.893437997566679	tissue development
GO:0009611	0.8929512240624	response to wounding
GO:0048513	0.890252207575396	animal organ development
GO:0008083	0.88994152086527	growth factor activity
GO:0010942	0.88021030145794	positive regulation of cell death
GO:0043065	0.88021030145794	positive regulation of apoptotic process
GO:0043068	0.88021030145794	positive regulation of programmed cell death
GO:0008091	0.877090918244624	spectrin
GO:0099528	0.872975381149849	G protein-coupled neurotransmitter receptor activity
GO:0008227	0.8724797344901	G protein-coupled amine receptor activity
GO:0005576	0.872153363055959	extracellular region
GO:0004890	0.871580699119684	GABA-A receptor activity
GO:0016917	0.86936229921224	GABA receptor activity
GO:0004860	0.867414770734993	protein kinase inhibitor activity
GO:0019210	0.867414770734993	kinase inhibitor activity
GO:0008283	0.866694917696009	cell population proliferation
GO:0051240	0.864996517102422	positive regulation of multicellular organismal process
GO:0023061	0.864407774602755	signal release
GO:0007269	0.863416481283256	neurotransmitter secretion
GO:0099643	0.863416481283256	signal release from synapse
GO:0045995	0.862651893442421	regulation of embryonic development
GO:0015296	0.861372632577541	anion:cation symporter activity
GO:0140375	0.859525534004628	immune receptor activity
GO:0008373	0.856950573782503	sialyltransferase activity
GO:0030141	0.856334223375456	secretory granule
GO:0070840	0.855407592841863	dynein complex binding
GO:0005126	0.854191306296819	cytokine receptor binding
GO:0031012	0.853567382359353	extracellular matrix
GO:0015377	0.852788541803248	cation:chloride symporter activity
GO:0030522	0.850891658188693	intracellular receptor signaling pathway
GO:0007399	0.8504701193553	nervous system development
GO:0004715	0.849656482063112	non-membrane spanning protein tyrosine kinase activity
GO:0002682	0.848569381854934	regulation of immune system process
GO:0015464	0.847822351723835	acetylcholine receptor activity
GO:0016907	0.847822351723835	G protein-coupled acetylcholine receptor activity
GO:0043565	0.847500248568548	sequence-specific DNA binding
GO:0050776	0.846815994422388	regulation of immune response
GO:0005164	0.846748932413782	tumor necrosis factor receptor binding
GO:0032813	0.846748932413782	tumor necrosis factor receptor superfamily binding
GO:0016477	0.845734194147412	cell migration
GO:0030334	0.845386498787213	regulation of cell migration
GO:0007229	0.843202175743483	integrin-mediated signaling pathway
GO:0015379	0.842340114911173	potassium:chloride symporter activity
GO:0046658	0.841583197980814	anchored component of plasma membrane
GO:0032101	0.840854477151731	regulation of response to external stimulus
GO:0005125	0.840841814507342	cytokine activity
GO:0042060	0.839900822986842	wound healing
GO:0006955	0.839766061290059	immune response
GO:0007187	0.839052580838172	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
GO:0007188	0.839052580838172	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
GO:0048584	0.838831949987178	positive regulation of response to stimulus
GO:0002376	0.837697671976537	immune system process
GO:1903522	0.837477236260149	regulation of blood circulation
GO:0042165	0.836400798499764	neurotransmitter binding
GO:0044057	0.836013923082942	regulation of system process
GO:0017017	0.835511950557569	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	0.835511950557569	MAP kinase phosphatase activity
GO:0005539	0.835489111608141	glycosaminoglycan binding
GO:0017049	0.835334907083548	GTP-Rho binding
GO:0030291	0.834906107373336	protein serine/threonine kinase inhibitor activity
GO:0051239	0.834702710253627	regulation of multicellular organismal process
GO:0071495	0.834387356835981	cellular response to endogenous stimulus
GO:0016604	0.834291347113872	nuclear body
GO:0016607	0.834291347113872	nuclear speck
GO:0004896	0.833374883251721	cytokine receptor activity
GO:0007268	0.832615581713122	chemical synaptic transmission
GO:0098916	0.832615581713122	anterograde trans-synaptic signaling
GO:0099537	0.832615581713122	trans-synaptic signaling
GO:0099503	0.831756840667422	secretory vesicle
GO:0062023	0.830296520154588	collagen-containing extracellular matrix
GO:0003810	0.830289836326296	protein-glutamine gamma-glutamyltransferase activity
GO:0030414	0.829901785295383	peptidase inhibitor activity
GO:0099536	0.829457458840183	synaptic signaling
GO:0003013	0.828543324230888	circulatory system process
GO:0008015	0.828543324230888	blood circulation
GO:0030234	0.828516032064874	enzyme regulator activity
GO:0061134	0.828515920916933	peptidase regulator activity
GO:0005000	0.82735134126838	vasopressin receptor activity
GO:0005102	0.827262043622144	signaling receptor binding
GO:0006616	0.827061703130355	SRP-dependent cotranslational protein targeting to membrane, translocation
GO:0008284	0.826996508425688	positive regulation of cell population proliferation
GO:0060627	0.82692597808766	regulation of vesicle-mediated transport
GO:0018149	0.826640210672115	peptide cross-linking
GO:0140297	0.825830741043749	DNA-binding transcription factor binding
GO:0045087	0.825776480472004	innate immune response
GO:0001518	0.825638352649398	voltage-gated sodium channel complex
GO:0034706	0.825638352649398	sodium channel complex
GO:0005248	0.825638352649398	voltage-gated sodium channel activity
GO:0008201	0.825038922510167	heparin binding
GO:0009790	0.824598898921062	embryo development
GO:0050878	0.823229186903139	regulation of body fluid levels
GO:0016247	0.823229186903139	channel regulator activity
GO:0099106	0.823229186903139	ion channel regulator activity
GO:0080134	0.822982288294864	regulation of response to stress
GO:0008543	0.82297690343424	fibroblast growth factor receptor signaling pathway
GO:0044344	0.82297690343424	cellular response to fibroblast growth factor stimulus
GO:0071774	0.82297690343424	response to fibroblast growth factor
GO:0016533	0.822654315601904	protein kinase 5 complex
GO:0140030	0.822632884121167	modification-dependent protein binding
GO:0007267	0.822563107849158	cell-cell signaling
GO:0042127	0.821920626180412	regulation of cell population proliferation
GO:0006638	0.820576793034706	neutral lipid metabolic process
GO:0006639	0.820576793034706	acylglycerol metabolic process
GO:0006641	0.820576793034706	triglyceride metabolic process
GO:0017137	0.820550250682849	Rab GTPase binding
GO:0007596	0.820533609997758	blood coagulation
GO:0001933	0.81999941825539	negative regulation of protein phosphorylation
GO:0006469	0.81999941825539	negative regulation of protein kinase activity
GO:0033673	0.81999941825539	negative regulation of kinase activity
GO:0042326	0.81999941825539	negative regulation of phosphorylation
GO:0051348	0.81999941825539	negative regulation of transferase activity
GO:0007599	0.819994494616682	hemostasis
GO:0060070	0.819917478133671	canonical Wnt signaling pathway
GO:0050793	0.819911353395451	regulation of developmental process
GO:0019199	0.819043604640105	transmembrane receptor protein kinase activity
GO:0050817	0.818839247371519	coagulation
GO:0004415	0.818227739920593	hyalurononglucosaminidase activity
GO:0022008	0.818185258187601	neurogenesis
GO:0031593	0.8179427154867	polyubiquitin modification-dependent protein binding
GO:0070530	0.8179427154867	K63-linked polyubiquitin modification-dependent protein binding
GO:0007417	0.817545187569525	central nervous system development
GO:0007420	0.817466619006018	brain development
GO:0060322	0.817466619006018	head development
GO:0051694	0.816482391839343	pointed-end actin filament capping
GO:0005523	0.816482391839343	tropomyosin binding
GO:0032147	0.816429757862679	activation of protein kinase activity
GO:1903524	0.816143670466139	positive regulation of blood circulation
