ann_term	q_val	annotation
GO:0007044	1.82525648431754e-19	cell-substrate junction assembly
GO:0010821	1.82525648431754e-19	regulation of mitochondrion organization
GO:0010822	1.82525648431754e-19	positive regulation of mitochondrion organization
GO:0031581	1.82525648431754e-19	hemidesmosome assembly
GO:0090199	1.82525648431754e-19	regulation of release of cytochrome c from mitochondria
GO:0090200	1.82525648431754e-19	positive regulation of release of cytochrome c from mitochondria
GO:0150115	1.82525648431754e-19	cell-substrate junction organization
GO:2001233	1.82525648431754e-19	regulation of apoptotic signaling pathway
GO:2001235	1.82525648431754e-19	positive regulation of apoptotic signaling pathway
GO:0035988	5.20062743266786e-18	chondrocyte proliferation
GO:0001501	1.19966395052908e-17	skeletal system development
GO:0051216	1.19966395052908e-17	cartilage development
GO:0061448	1.19966395052908e-17	connective tissue development
GO:0002062	3.05305503670804e-17	chondrocyte differentiation
GO:0015248	1.87204358041556e-14	sterol transporter activity
GO:0120015	1.87204358041556e-14	sterol transfer activity
GO:0120020	1.87204358041556e-14	cholesterol transfer activity
GO:0030100	7.32392379222835e-14	regulation of endocytosis
GO:0015485	1.93583687167944e-13	cholesterol binding
GO:0051865	4.04587524272217e-13	protein autoubiquitination
GO:0070449	4.05740681853001e-13	elongin complex
GO:0002063	4.70954958323213e-13	chondrocyte development
GO:0032330	4.70954958323213e-13	regulation of chondrocyte differentiation
GO:0061035	4.70954958323213e-13	regulation of cartilage development
GO:0061181	4.70954958323213e-13	regulation of chondrocyte development
GO:0061572	4.70954958323213e-13	actin filament bundle organization
GO:0031005	4.70954958323213e-13	filamin binding
GO:0001836	4.70954958323213e-13	release of cytochrome c from mitochondria
GO:0008637	4.70954958323213e-13	apoptotic mitochondrial changes
GO:0032934	7.46179955111275e-13	sterol binding
GO:0038066	3.32871252680523e-12	p38MAPK cascade
GO:0001655	1.69107389492238e-11	urogenital system development
GO:0001822	1.69107389492238e-11	kidney development
GO:0072001	1.69107389492238e-11	renal system development
GO:0016579	2.0527409793534e-11	protein deubiquitination
GO:0070646	2.48380533018022e-11	protein modification by small protein removal
GO:0006956	2.52351503902821e-11	complement activation
GO:0060627	5.22027458172965e-11	regulation of vesicle-mediated transport
GO:0050290	1.7853201204652e-10	sphingomyelin phosphodiesterase D activity
GO:0000350	1.7853201204652e-10	generation of catalytic spliceosome for second transesterification step
GO:0000393	1.7853201204652e-10	spliceosomal conformational changes to generate catalytic conformation
GO:0051648	2.65233228672368e-10	vesicle localization
GO:0051650	2.65233228672368e-10	establishment of vesicle localization
GO:0019783	2.65233228672368e-10	ubiquitin-like protein-specific protease activity
GO:0036459	3.53011444372858e-10	thiol-dependent ubiquitinyl hydrolase activity
GO:0101005	3.53011444372858e-10	ubiquitinyl hydrolase activity
GO:0060284	3.79240758255706e-10	regulation of cell development
GO:0001055	4.3091525906232e-10	RNA polymerase II activity
GO:0003352	4.45803070146059e-10	regulation of cilium movement
GO:0060632	4.45803070146059e-10	regulation of microtubule-based movement
GO:0004370	4.46568739734378e-10	glycerol kinase activity
GO:0018343	4.52170813524545e-10	protein farnesylation
GO:0005965	4.52170813524545e-10	protein farnesyltransferase complex
GO:0002253	5.05477263227787e-10	activation of immune response
GO:0006891	7.38005145674912e-10	intra-Golgi vesicle-mediated transport
GO:0007250	8.828178465468e-10	activation of NF-kappaB-inducing kinase activity
GO:0032872	8.828178465468e-10	regulation of stress-activated MAPK cascade
GO:0038061	8.828178465468e-10	NIK/NF-kappaB signaling
GO:0046328	8.828178465468e-10	regulation of JNK cascade
GO:0070302	8.828178465468e-10	regulation of stress-activated protein kinase signaling cascade
GO:1901222	8.828178465468e-10	regulation of NIK/NF-kappaB signaling
GO:1901224	8.828178465468e-10	positive regulation of NIK/NF-kappaB signaling
GO:0034329	8.828178465468e-10	cell junction assembly
GO:0034330	8.828178465468e-10	cell junction organization
GO:0006903	9.6508509146699e-10	vesicle targeting
GO:0048199	9.6508509146699e-10	vesicle targeting, to, from or within Golgi
GO:0030433	1.2399690403669e-09	ubiquitin-dependent ERAD pathway
GO:0034976	1.2399690403669e-09	response to endoplasmic reticulum stress
GO:0036503	1.2399690403669e-09	ERAD pathway
GO:0007254	1.4917911066923e-09	JNK cascade
GO:0006901	1.74409748041376e-09	vesicle coating
GO:0048207	1.74409748041376e-09	vesicle targeting, rough ER to cis-Golgi
GO:0048208	1.74409748041376e-09	COPII vesicle coating
GO:0097193	1.92232785427993e-09	intrinsic apoptotic signaling pathway
GO:0016639	5.67440153486027e-09	oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor
GO:0017124	7.54763196873511e-09	SH3 domain binding
GO:0016314	8.24359978140517e-09	phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity
GO:0034594	8.24359978140517e-09	phosphatidylinositol trisphosphate phosphatase activity
GO:0051717	8.24359978140517e-09	inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity
GO:0051800	8.24359978140517e-09	phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity
GO:0052743	8.24359978140517e-09	inositol tetrakisphosphate phosphatase activity
GO:0106017	8.24359978140517e-09	phosphatidylinositol-3,4-bisphosphate phosphatase activity
GO:0017174	1.01092609645208e-08	glycine N-methyltransferase activity
GO:0050731	1.11035702623553e-08	positive regulation of peptidyl-tyrosine phosphorylation
GO:0061098	1.11035702623553e-08	positive regulation of protein tyrosine kinase activity
GO:0017046	1.58338954421174e-08	peptide hormone binding
GO:0051424	1.58338954421174e-08	corticotropin-releasing hormone binding
GO:0071816	1.63847715415715e-08	tail-anchored membrane protein insertion into ER membrane
GO:0004909	2.42775644396603e-08	interleukin-1, type I, activating receptor activity
GO:0006703	3.19136072190681e-08	estrogen biosynthetic process
GO:0008210	3.19136072190681e-08	estrogen metabolic process
GO:0120178	3.19136072190681e-08	steroid hormone biosynthetic process
GO:0004303	3.19136072190681e-08	estradiol 17-beta-dehydrogenase activity
GO:0071107	4.18250890268026e-08	response to parathyroid hormone
GO:0042165	4.85533561528484e-08	neurotransmitter binding
GO:0000818	5.24284043980101e-08	nuclear MIS12/MIND complex
GO:0006376	7.78473982036334e-08	mRNA splice site selection
GO:0008285	1.08891053270365e-07	negative regulation of cell population proliferation
GO:0043890	1.24650664327439e-07	N-acetylgalactosamine-6-sulfatase activity
GO:0033209	1.3299371681975e-07	tumor necrosis factor-mediated signaling pathway
GO:0034612	1.3299371681975e-07	response to tumor necrosis factor
GO:0071356	1.3299371681975e-07	cellular response to tumor necrosis factor
GO:0006959	1.58423150011788e-07	humoral immune response
GO:0000012	1.74692571510507e-07	single strand break repair
GO:0015888	2.01881506333195e-07	thiamine transport
GO:0015234	2.01881506333195e-07	thiamine transmembrane transporter activity
GO:1901474	2.01881506333195e-07	azole transmembrane transporter activity
GO:0033674	2.01881506333195e-07	positive regulation of kinase activity
GO:0045860	2.01881506333195e-07	positive regulation of protein kinase activity
GO:0051347	2.01881506333195e-07	positive regulation of transferase activity
GO:0005031	2.23910465246353e-07	tumor necrosis factor-activated receptor activity
GO:0005035	2.23910465246353e-07	death receptor activity
GO:0005834	3.84889868936744e-07	heterotrimeric G-protein complex
GO:0009898	3.84889868936744e-07	cytoplasmic side of plasma membrane
GO:0019897	3.84889868936744e-07	extrinsic component of plasma membrane
GO:0031234	3.84889868936744e-07	extrinsic component of cytoplasmic side of plasma membrane
GO:0098562	3.84889868936744e-07	cytoplasmic side of membrane
GO:1905360	3.84889868936744e-07	GTPase complex
GO:0051184	3.87981623978364e-07	cofactor transmembrane transporter activity
GO:0098552	4.58410817252689e-07	side of membrane
GO:0080135	8.1685533539398e-07	regulation of cellular response to stress
GO:0008890	8.41991124921657e-07	glycine C-acetyltransferase activity
GO:0070647	1.03151333331374e-06	protein modification by small protein conjugation or removal
GO:0050730	1.14347569787652e-06	regulation of peptidyl-tyrosine phosphorylation
GO:0061097	1.14347569787652e-06	regulation of protein tyrosine kinase activity
GO:0016408	1.14362142413724e-06	C-acyltransferase activity
GO:0016453	1.14362142413724e-06	C-acetyltransferase activity
GO:0001934	1.49353802682827e-06	positive regulation of protein phosphorylation
GO:0042327	1.49353802682827e-06	positive regulation of phosphorylation
GO:0005212	1.6711336733166e-06	structural constituent of eye lens
GO:0046920	1.8338362544592e-06	alpha-(1->3)-fucosyltransferase activity
GO:0030238	1.89513348280231e-06	male sex determination
GO:0006269	1.94225771465927e-06	DNA replication, synthesis of RNA primer
GO:0003896	1.94225771465927e-06	DNA primase activity
GO:0021549	2.16216665531584e-06	cerebellum development
GO:0022037	2.16216665531584e-06	metencephalon development
GO:0030902	2.16216665531584e-06	hindbrain development
GO:0010562	2.50166574786557e-06	positive regulation of phosphorus metabolic process
GO:0045937	2.50166574786557e-06	positive regulation of phosphate metabolic process
GO:0097190	2.51151739342676e-06	apoptotic signaling pathway
GO:0031401	5.56219454959598e-06	positive regulation of protein modification process
GO:0019433	5.96860661894188e-06	triglyceride catabolic process
GO:0046461	5.96860661894188e-06	neutral lipid catabolic process
GO:0046464	5.96860661894188e-06	acylglycerol catabolic process
GO:0046503	5.96860661894188e-06	glycerolipid catabolic process
GO:0006954	6.08008745268743e-06	inflammatory response
GO:0010896	6.08008745268743e-06	regulation of triglyceride catabolic process
GO:0010898	6.08008745268743e-06	positive regulation of triglyceride catabolic process
GO:0019216	6.08008745268743e-06	regulation of lipid metabolic process
GO:0045834	6.08008745268743e-06	positive regulation of lipid metabolic process
GO:0050994	6.08008745268743e-06	regulation of lipid catabolic process
GO:0050996	6.08008745268743e-06	positive regulation of lipid catabolic process
GO:0090207	6.08008745268743e-06	regulation of triglyceride metabolic process
GO:0090208	6.08008745268743e-06	positive regulation of triglyceride metabolic process
GO:0007602	7.0532256599576e-06	phototransduction
GO:0000444	8.6129867185483e-06	MIS12/MIND type complex
GO:0004862	9.07520205001577e-06	cAMP-dependent protein kinase inhibitor activity
GO:0004908	9.9455177674239e-06	interleukin-1 receptor activity
GO:0000045	1.13925318465011e-05	autophagosome assembly
GO:1905037	1.13925318465011e-05	autophagosome organization
GO:0009888	1.30289874937928e-05	tissue development
GO:0016868	1.32044469204873e-05	intramolecular transferase activity, phosphotransferases
GO:0003785	1.34682845097164e-05	actin monomer binding
GO:0035145	1.43802563640252e-05	exon-exon junction complex
GO:0005496	1.55135580886603e-05	steroid binding
GO:0005874	2.20172564632009e-05	microtubule
GO:0071821	2.45211722762751e-05	FANCM-MHF complex
GO:0008541	2.50959269734532e-05	proteasome regulatory particle, lid subcomplex
GO:0018108	2.51746954657133e-05	peptidyl-tyrosine phosphorylation
GO:0018212	2.51746954657133e-05	peptidyl-tyrosine modification
GO:0005000	2.68860334911386e-05	vasopressin receptor activity
GO:0051126	2.91313804383364e-05	negative regulation of actin nucleation
GO:0001933	4.06070712468758e-05	negative regulation of protein phosphorylation
GO:0006469	4.06070712468758e-05	negative regulation of protein kinase activity
GO:0033673	4.06070712468758e-05	negative regulation of kinase activity
GO:0042326	4.06070712468758e-05	negative regulation of phosphorylation
GO:0051348	4.06070712468758e-05	negative regulation of transferase activity
GO:0008521	4.10788628808573e-05	acetyl-CoA transmembrane transporter activity
GO:0071077	4.10788628808573e-05	adenosine 3',5'-bisphosphate transmembrane transporter activity
GO:0120013	4.17278745919105e-05	lipid transfer activity
GO:0009581	4.40441715468825e-05	detection of external stimulus
GO:0009582	4.40441715468825e-05	detection of abiotic stimulus
GO:0009583	4.40441715468825e-05	detection of light stimulus
GO:0001881	5.3361195941392e-05	receptor recycling
GO:0043112	5.3361195941392e-05	receptor metabolic process
