ann_term	CC	annotation
GO:0007044	2.46619251746853e-22	cell-substrate junction assembly
GO:0010821	2.46619251746853e-22	regulation of mitochondrion organization
GO:0010822	2.46619251746853e-22	positive regulation of mitochondrion organization
GO:0031581	2.46619251746853e-22	hemidesmosome assembly
GO:0090199	2.46619251746853e-22	regulation of release of cytochrome c from mitochondria
GO:0090200	2.46619251746853e-22	positive regulation of release of cytochrome c from mitochondria
GO:0150115	2.46619251746853e-22	cell-substrate junction organization
GO:2001233	2.46619251746853e-22	regulation of apoptotic signaling pathway
GO:2001235	2.46619251746853e-22	positive regulation of apoptotic signaling pathway
GO:0035988	7.80757758995325e-21	chondrocyte proliferation
GO:0001501	2.34133483814413e-20	skeletal system development
GO:0051216	2.34133483814413e-20	cartilage development
GO:0061448	2.34133483814413e-20	connective tissue development
GO:0002062	6.41686991651592e-20	chondrocyte differentiation
GO:0015248	4.77777223646068e-17	sterol transporter activity
GO:0120015	4.77777223646068e-17	sterol transfer activity
GO:0120020	4.77777223646068e-17	cholesterol transfer activity
GO:0030100	1.97914169434184e-16	regulation of endocytosis
GO:0015485	5.52182863862925e-16	cholesterol binding
GO:0051865	1.21479514869304e-15	protein autoubiquitination
GO:0070449	1.27917044271326e-15	elongin complex
GO:0002063	1.94456079203686e-15	chondrocyte development
GO:0032330	1.94456079203686e-15	regulation of chondrocyte differentiation
GO:0061035	1.94456079203686e-15	regulation of cartilage development
GO:0061181	1.94456079203686e-15	regulation of chondrocyte development
GO:0061572	1.94456079203686e-15	actin filament bundle organization
GO:0031005	1.94456079203686e-15	filamin binding
GO:0001836	2.05039690607614e-15	release of cytochrome c from mitochondria
GO:0008637	2.05039690607614e-15	apoptotic mitochondrial changes
GO:0032934	3.36066636441048e-15	sterol binding
GO:0038066	1.54916811786462e-14	p38MAPK cascade
GO:0001655	8.63181390592416e-14	urogenital system development
GO:0001822	8.63181390592416e-14	kidney development
GO:0072001	8.63181390592416e-14	renal system development
GO:0016579	1.07860582911528e-13	protein deubiquitination
GO:0070646	1.34239591482492e-13	protein modification by small protein removal
GO:0006956	1.40174232763915e-13	complement activation
GO:0060627	2.97808788628925e-13	regulation of vesicle-mediated transport
GO:0050290	1.04939400048661e-12	sphingomyelin phosphodiesterase D activity
GO:0000350	1.09890594413862e-12	generation of catalytic spliceosome for second transesterification step
GO:0000393	1.09890594413862e-12	spliceosomal conformational changes to generate catalytic conformation
GO:0051648	1.73391116725944e-12	vesicle localization
GO:0051650	1.73391116725944e-12	establishment of vesicle localization
GO:0019783	1.75202853349109e-12	ubiquitin-like protein-specific protease activity
GO:0036459	2.43785113964142e-12	thiol-dependent ubiquitinyl hydrolase activity
GO:0101005	2.43785113964142e-12	ubiquitinyl hydrolase activity
GO:0060284	2.67592187930013e-12	regulation of cell development
GO:0001055	3.10522931016234e-12	RNA polymerase II activity
GO:0003352	3.3463674384181e-12	regulation of cilium movement
GO:0060632	3.3463674384181e-12	regulation of microtubule-based movement
GO:0004370	3.41915714253915e-12	glycerol kinase activity
GO:0018343	3.59781611121466e-12	protein farnesylation
GO:0005965	3.59781611121466e-12	protein farnesyltransferase complex
GO:0002253	4.09784900379831e-12	activation of immune response
GO:0006891	6.0937221156163e-12	intra-Golgi vesicle-mediated transport
GO:0007250	8.4490610659787e-12	activation of NF-kappaB-inducing kinase activity
GO:0032872	8.4490610659787e-12	regulation of stress-activated MAPK cascade
GO:0038061	8.4490610659787e-12	NIK/NF-kappaB signaling
GO:0046328	8.4490610659787e-12	regulation of JNK cascade
GO:0070302	8.4490610659787e-12	regulation of stress-activated protein kinase signaling cascade
GO:1901222	8.4490610659787e-12	regulation of NIK/NF-kappaB signaling
GO:1901224	8.4490610659787e-12	positive regulation of NIK/NF-kappaB signaling
GO:0034329	8.48226124891086e-12	cell junction assembly
GO:0034330	8.48226124891086e-12	cell junction organization
GO:0006903	9.56247050545283e-12	vesicle targeting
GO:0048199	9.56247050545283e-12	vesicle targeting, to, from or within Golgi
GO:0030433	1.28445974756517e-11	ubiquitin-dependent ERAD pathway
GO:0034976	1.28445974756517e-11	response to endoplasmic reticulum stress
GO:0036503	1.28445974756517e-11	ERAD pathway
GO:0007254	1.56771321826244e-11	JNK cascade
GO:0006901	1.91141144077773e-11	vesicle coating
GO:0048207	1.91141144077773e-11	vesicle targeting, rough ER to cis-Golgi
GO:0048208	1.91141144077773e-11	COPII vesicle coating
GO:0097193	2.13559917755164e-11	intrinsic apoptotic signaling pathway
GO:0016639	6.38913248933374e-11	oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor
GO:0017124	8.61162032163141e-11	SH3 domain binding
GO:0016314	1.01482537468132e-10	phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity
GO:0034594	1.01482537468132e-10	phosphatidylinositol trisphosphate phosphatase activity
GO:0051717	1.01482537468132e-10	inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity
GO:0051800	1.01482537468132e-10	phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity
GO:0052743	1.01482537468132e-10	inositol tetrakisphosphate phosphatase activity
GO:0106017	1.01482537468132e-10	phosphatidylinositol-3,4-bisphosphate phosphatase activity
GO:0017174	1.25967371273866e-10	glycine N-methyltransferase activity
GO:0050731	1.41690958159466e-10	positive regulation of peptidyl-tyrosine phosphorylation
GO:0061098	1.41690958159466e-10	positive regulation of protein tyrosine kinase activity
GO:0017046	2.06808122423692e-10	peptide hormone binding
GO:0051424	2.06808122423692e-10	corticotropin-releasing hormone binding
GO:0071816	2.16462977879942e-10	tail-anchored membrane protein insertion into ER membrane
GO:0004909	3.24381209297368e-10	interleukin-1, type I, activating receptor activity
GO:0006703	4.45573558230495e-10	estrogen biosynthetic process
GO:0008210	4.45573558230495e-10	estrogen metabolic process
GO:0120178	4.45573558230495e-10	steroid hormone biosynthetic process
GO:0004303	4.45573558230495e-10	estradiol 17-beta-dehydrogenase activity
GO:0071107	5.9023545541502e-10	response to parathyroid hormone
GO:0042165	6.92473928016903e-10	neurotransmitter binding
GO:0000818	7.55611292930336e-10	nuclear MIS12/MIND complex
GO:0006376	1.13364324061739e-09	mRNA splice site selection
GO:0008285	1.6020602342735e-09	negative regulation of cell population proliferation
GO:0043890	1.85263710680326e-09	N-acetylgalactosamine-6-sulfatase activity
GO:0033209	2.0365349220259e-09	tumor necrosis factor-mediated signaling pathway
GO:0034612	2.0365349220259e-09	response to tumor necrosis factor
GO:0071356	2.0365349220259e-09	cellular response to tumor necrosis factor
GO:0006959	2.4497199296223e-09	humoral immune response
GO:0000012	2.72752250969715e-09	single strand break repair
GO:0015888	3.26535009895359e-09	thiamine transport
GO:0015234	3.26535009895359e-09	thiamine transmembrane transporter activity
GO:1901474	3.26535009895359e-09	azole transmembrane transporter activity
GO:0033674	3.33387865135136e-09	positive regulation of kinase activity
GO:0045860	3.33387865135136e-09	positive regulation of protein kinase activity
GO:0051347	3.33387865135136e-09	positive regulation of transferase activity
GO:0005031	3.76489597771979e-09	tumor necrosis factor-activated receptor activity
GO:0005035	3.76489597771979e-09	death receptor activity
GO:0005834	6.8183462745137e-09	heterotrimeric G-protein complex
GO:0009898	6.8183462745137e-09	cytoplasmic side of plasma membrane
GO:0019897	6.8183462745137e-09	extrinsic component of plasma membrane
GO:0031234	6.8183462745137e-09	extrinsic component of cytoplasmic side of plasma membrane
GO:0098562	6.8183462745137e-09	cytoplasmic side of membrane
GO:1905360	6.8183462745137e-09	GTPase complex
GO:0051184	6.93136364711384e-09	cofactor transmembrane transporter activity
GO:0098552	8.25841436275674e-09	side of membrane
GO:0080135	1.48385370939306e-08	regulation of cellular response to stress
GO:0008890	1.54215459000814e-08	glycine C-acetyltransferase activity
GO:0070647	1.90476114693875e-08	protein modification by small protein conjugation or removal
GO:0050730	2.14584089828201e-08	regulation of peptidyl-tyrosine phosphorylation
GO:0061097	2.14584089828201e-08	regulation of protein tyrosine kinase activity
GO:0016408	2.18045219734918e-08	C-acyltransferase activity
GO:0016453	2.18045219734918e-08	C-acetyltransferase activity
GO:0001934	2.89245466838082e-08	positive regulation of protein phosphorylation
GO:0042327	2.89245466838082e-08	positive regulation of phosphorylation
GO:0005212	3.2614829234523e-08	structural constituent of eye lens
GO:0046920	3.60655381075147e-08	alpha-(1->3)-fucosyltransferase activity
GO:0030238	3.75555651898971e-08	male sex determination
GO:0006269	3.90725917676538e-08	DNA replication, synthesis of RNA primer
GO:0003896	3.90725917676538e-08	DNA primase activity
GO:0021549	4.44703245426018e-08	cerebellum development
GO:0022037	4.44703245426018e-08	metencephalon development
GO:0030902	4.44703245426018e-08	hindbrain development
GO:0010562	5.2204104331679e-08	positive regulation of phosphorus metabolic process
GO:0045937	5.2204104331679e-08	positive regulation of phosphate metabolic process
GO:0097190	5.278673398585e-08	apoptotic signaling pathway
GO:0031401	1.17740494143977e-07	positive regulation of protein modification process
GO:0019433	1.29927632449568e-07	triglyceride catabolic process
GO:0046461	1.29927632449568e-07	neutral lipid catabolic process
GO:0046464	1.29927632449568e-07	acylglycerol catabolic process
GO:0046503	1.29927632449568e-07	glycerolipid catabolic process
GO:0006954	1.3663761956724e-07	inflammatory response
GO:0010896	1.4056950423568e-07	regulation of triglyceride catabolic process
GO:0010898	1.4056950423568e-07	positive regulation of triglyceride catabolic process
GO:0019216	1.4056950423568e-07	regulation of lipid metabolic process
GO:0045834	1.4056950423568e-07	positive regulation of lipid metabolic process
GO:0050994	1.4056950423568e-07	regulation of lipid catabolic process
GO:0050996	1.4056950423568e-07	positive regulation of lipid catabolic process
GO:0090207	1.4056950423568e-07	regulation of triglyceride metabolic process
GO:0090208	1.4056950423568e-07	positive regulation of triglyceride metabolic process
GO:0007602	1.6412700454788e-07	phototransduction
GO:0000444	2.01715347259201e-07	MIS12/MIND type complex
GO:0004862	2.13902825679699e-07	cAMP-dependent protein kinase inhibitor activity
GO:0004908	2.35909293987836e-07	interleukin-1 receptor activity
GO:0000045	2.73653369680254e-07	autophagosome assembly
GO:1905037	2.73653369680254e-07	autophagosome organization
GO:0009888	3.14917728043933e-07	tissue development
GO:0016868	3.21141030043377e-07	intramolecular transferase activity, phosphotransferases
GO:0003785	3.29579699006722e-07	actin monomer binding
GO:0035145	3.54055253520512e-07	exon-exon junction complex
GO:0005496	3.84287206820139e-07	steroid binding
GO:0005874	5.48696077599663e-07	microtubule
GO:0071821	6.14777926758435e-07	FANCM-MHF complex
GO:0008541	6.32955371797048e-07	proteasome regulatory particle, lid subcomplex
GO:0018108	6.42500860106781e-07	peptidyl-tyrosine phosphorylation
GO:0018212	6.42500860106781e-07	peptidyl-tyrosine modification
GO:0005000	6.90213440472106e-07	vasopressin receptor activity
GO:0051126	7.52229009967551e-07	negative regulation of actin nucleation
GO:0001933	1.07903492128765e-06	negative regulation of protein phosphorylation
GO:0006469	1.07903492128765e-06	negative regulation of protein kinase activity
GO:0033673	1.07903492128765e-06	negative regulation of kinase activity
GO:0042326	1.07903492128765e-06	negative regulation of phosphorylation
GO:0051348	1.07903492128765e-06	negative regulation of transferase activity
GO:0008521	1.10390578827105e-06	acetyl-CoA transmembrane transporter activity
GO:0071077	1.10390578827105e-06	adenosine 3',5'-bisphosphate transmembrane transporter activity
GO:0120013	1.12761108340248e-06	lipid transfer activity
GO:0009581	1.2100410438492e-06	detection of external stimulus
GO:0009582	1.2100410438492e-06	detection of abiotic stimulus
GO:0009583	1.2100410438492e-06	detection of light stimulus
GO:0001881	1.48203291535168e-06	receptor recycling
GO:0043112	1.48203291535168e-06	receptor metabolic process
GO:0015935	1.5737211972952e-06	small ribosomal subunit
GO:0097428	1.6024047975163e-06	protein maturation by iron-sulfur cluster transfer
GO:0051185	1.6403290146789e-06	coenzyme transmembrane transporter activity
GO:0007389	1.69027692999712e-06	pattern specification process
GO:0033829	1.69027692999712e-06	O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase activity
GO:0031593	1.89543955764689e-06	polyubiquitin modification-dependent protein binding
GO:0070530	1.89543955764689e-06	K63-linked polyubiquitin modification-dependent protein binding
GO:0009882	2.05027566226003e-06	blue light photoreceptor activity
GO:0007229	2.05361011082597e-06	integrin-mediated signaling pathway
GO:0006167	2.09350351012054e-06	AMP biosynthetic process
GO:0046033	2.09350351012054e-06	AMP metabolic process
GO:0032410	2.48158076551e-06	negative regulation of transporter activity
GO:0032413	2.48158076551e-06	negative regulation of ion transmembrane transporter activity
GO:0034763	2.48158076551e-06	negative regulation of transmembrane transport
GO:0034766	2.48158076551e-06	negative regulation of ion transmembrane transport
GO:0043271	2.48158076551e-06	negative regulation of ion transport
GO:0051051	2.48158076551e-06	negative regulation of transport
GO:0051926	2.48158076551e-06	negative regulation of calcium ion transport
GO:1901020	2.48158076551e-06	negative regulation of calcium ion transmembrane transporter activity
GO:1901385	2.48158076551e-06	regulation of voltage-gated calcium channel activity
GO:1901386	2.48158076551e-06	negative regulation of voltage-gated calcium channel activity
GO:1901841	2.48158076551e-06	regulation of high voltage-gated calcium channel activity
GO:1901842	2.48158076551e-06	negative regulation of high voltage-gated calcium channel activity
GO:1903170	2.48158076551e-06	negative regulation of calcium ion transmembrane transport
GO:1904063	2.48158076551e-06	negative regulation of cation transmembrane transport
GO:2001258	2.48158076551e-06	negative regulation of cation channel activity
GO:0009896	2.51701634672256e-06	positive regulation of catabolic process
GO:0031331	2.51701634672256e-06	positive regulation of cellular catabolic process
GO:0030289	2.58818570573733e-06	protein phosphatase 4 complex
GO:0016594	2.70404965076395e-06	glycine binding
GO:0032147	2.70757799263446e-06	activation of protein kinase activity
GO:0006378	2.77604779306236e-06	mRNA polyadenylation
GO:0009986	2.96381653762988e-06	cell surface
GO:0034453	3.00533842619033e-06	microtubule anchoring
GO:0030141	3.17938208711252e-06	secretory granule
GO:0045087	3.24273195570814e-06	innate immune response
GO:0009314	3.24664153729694e-06	response to radiation
GO:0030242	3.4136438082774e-06	autophagy of peroxisome
GO:0080134	3.6634559139812e-06	regulation of response to stress
GO:0009416	3.70932944573766e-06	response to light stimulus
GO:0016593	4.4876985321621e-06	Cdc73/Paf1 complex
GO:0043408	4.63264165526212e-06	regulation of MAPK cascade
GO:0016236	5.21442077404901e-06	macroautophagy
GO:0016093	5.4214263064335e-06	polyprenol metabolic process
GO:0019348	5.4214263064335e-06	dolichol metabolic process
GO:0099503	6.26410891072938e-06	secretory vesicle
GO:0030492	6.45159045089071e-06	hemoglobin binding
GO:0051656	6.52478403672969e-06	establishment of organelle localization
GO:0009628	7.64957067014914e-06	response to abiotic stimulus
GO:0016638	9.66869559003851e-06	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0006638	9.67603772232277e-06	neutral lipid metabolic process
GO:0006639	9.67603772232277e-06	acylglycerol metabolic process
GO:0006641	9.67603772232277e-06	triglyceride metabolic process
GO:0005840	9.69154654695269e-06	ribosome
GO:0003735	1.04657400539214e-05	structural constituent of ribosome
GO:0051725	1.08003890122722e-05	protein de-ADP-ribosylation
GO:0003875	1.08003890122722e-05	ADP-ribosylarginine hydrolase activity
GO:0006072	1.46008684133661e-05	glycerol-3-phosphate metabolic process
GO:0052646	1.46008684133661e-05	alditol phosphate metabolic process
GO:0005149	1.51197245555325e-05	interleukin-1 receptor binding
GO:0050778	1.67881613583552e-05	positive regulation of immune response
GO:0006900	1.69600930012927e-05	vesicle budding from membrane
GO:0048194	1.69600930012927e-05	Golgi vesicle budding
GO:0090114	1.69600930012927e-05	COPII-coated vesicle budding
GO:0019888	1.72770328275958e-05	protein phosphatase regulator activity
GO:0043130	1.83137168427903e-05	ubiquitin binding
GO:0006955	2.34401187202276e-05	immune response
GO:0050776	2.38681055129667e-05	regulation of immune response
GO:0005838	2.77451044982846e-05	proteasome regulatory particle
GO:0008023	3.01890701843278e-05	transcription elongation factor complex
GO:0006511	3.03170775160972e-05	ubiquitin-dependent protein catabolic process
GO:0019941	3.03170775160972e-05	modification-dependent protein catabolic process
GO:0009605	3.21634334516225e-05	response to external stimulus
GO:0043632	3.41023574657339e-05	modification-dependent macromolecule catabolic process
GO:2000026	3.58952114591899e-05	regulation of multicellular organismal development
GO:0002376	3.64017620012979e-05	immune system process
GO:0007507	4.08494211344028e-05	heart development
GO:0008544	4.13061121672464e-05	epidermis development
GO:0019208	4.30442411560404e-05	phosphatase regulator activity
GO:0032886	4.4111132152671e-05	regulation of microtubule-based process
GO:0015886	4.94405531780508e-05	heme transport
GO:0015232	4.94405531780508e-05	heme transporter activity
GO:0002684	5.26343100284569e-05	positive regulation of immune system process
GO:0019343	5.32772126629355e-05	cysteine biosynthetic process via cystathionine
GO:0004122	5.32772126629355e-05	cystathionine beta-synthase activity
GO:0009881	5.96328484291114e-05	photoreceptor activity
GO:0015379	6.28181408134785e-05	potassium:chloride symporter activity
GO:0006879	7.03242921807253e-05	cellular iron ion homeostasis
GO:0055072	7.03242921807253e-05	iron ion homeostasis
GO:0005672	7.26563054465814e-05	transcription factor TFIIA complex
GO:0000149	7.78151521836411e-05	SNARE binding
GO:0019905	7.78151521836411e-05	syntaxin binding
GO:0019464	8.19934999135814e-05	glycine decarboxylation via glycine cleavage system
GO:0005960	8.19934999135814e-05	glycine cleavage complex
GO:0008360	8.77561033096268e-05	regulation of cell shape
GO:1901019	9.49143164567682e-05	regulation of calcium ion transmembrane transporter activity
GO:1903169	9.49143164567682e-05	regulation of calcium ion transmembrane transport
GO:0004864	9.50812998219353e-05	protein phosphatase inhibitor activity
GO:0019212	9.50812998219353e-05	phosphatase inhibitor activity
GO:0045048	0.000105238335821959	protein insertion into ER membrane
GO:0031490	0.000106079082781675	chromatin DNA binding
GO:0031492	0.000106079082781675	nucleosomal DNA binding
GO:0034593	0.000109554971256274	phosphatidylinositol bisphosphate phosphatase activity
GO:0042775	0.000114779253733834	mitochondrial ATP synthesis coupled electron transport
GO:0000245	0.000125246099786871	spliceosomal complex assembly
GO:0033971	0.000127556436857919	hydroxyisourate hydrolase activity
GO:0006897	0.000132097572920227	endocytosis
GO:0032879	0.000134215193656553	regulation of localization
GO:0006120	0.000140929314676579	mitochondrial electron transport, NADH to ubiquinone
GO:0036374	0.000143648193228744	glutathione hydrolase activity
GO:0051125	0.00015513683424092	regulation of actin nucleation
GO:0043085	0.000173012349507279	positive regulation of catalytic activity
GO:0007530	0.000177727227763354	sex determination
GO:0006119	0.000203640716544858	oxidative phosphorylation
GO:0042773	0.000203640716544858	ATP synthesis coupled electron transport
GO:0051606	0.000206297577232071	detection of stimulus
GO:0019221	0.000206298241580175	cytokine-mediated signaling pathway
GO:0034097	0.000206298241580175	response to cytokine
GO:0071345	0.000206298241580175	cellular response to cytokine stimulus
GO:0019835	0.000207076808738607	cytolysis
GO:0030291	0.000212701055453461	protein serine/threonine kinase inhibitor activity
GO:0004969	0.000217483412829033	histamine receptor activity
GO:0016050	0.00022171869790941	vesicle organization
GO:0030173	0.000222021849098133	integral component of Golgi membrane
GO:0031228	0.000222021849098133	intrinsic component of Golgi membrane
GO:0002252	0.000227922837222415	immune effector process
GO:0050953	0.000229303158463392	sensory perception of light stimulus
GO:0005853	0.000232347208725869	eukaryotic translation elongation factor 1 complex
GO:0043123	0.000235474967717699	positive regulation of I-kappaB kinase/NF-kappaB signaling
GO:0007601	0.000236719108208258	visual perception
GO:0070851	0.000238903405967604	growth factor receptor binding
GO:0009055	0.000239483448087275	electron transfer activity
GO:0052866	0.000247476722134186	phosphatidylinositol phosphate phosphatase activity
GO:0004860	0.000258142573171422	protein kinase inhibitor activity
GO:0019210	0.000258142573171422	kinase inhibitor activity
GO:0046916	0.00026341861606787	cellular transition metal ion homeostasis
GO:0032182	0.000264494392896323	ubiquitin-like protein binding
GO:0006412	0.00027035831109865	translation
GO:0004329	0.000284802408095421	formate-tetrahydrofolate ligase activity
GO:0043043	0.000299444919608727	peptide biosynthetic process
GO:0055076	0.000306493997185932	transition metal ion homeostasis
GO:0044093	0.000310656900181852	positive regulation of molecular function
GO:0005884	0.000311777552782091	actin filament
GO:0051289	0.000327345346159882	protein homotetramerization
GO:0089701	0.000332484889260207	U2AF
GO:0045095	0.000345404910017274	keratin filament
GO:0005667	0.000351631453141548	transcription regulator complex
GO:0005198	0.000361358296573401	structural molecule activity
GO:0004649	0.000361723784685585	poly(ADP-ribose) glycohydrolase activity
GO:0043604	0.000376312761893152	amide biosynthetic process
GO:0008242	0.000396891992518682	omega peptidase activity
GO:0051270	0.000399244137459382	regulation of cellular component movement
GO:0006518	0.000410506056928748	peptide metabolic process
GO:0022604	0.000419802781049683	regulation of cell morphogenesis
GO:0002682	0.000422836655558041	regulation of immune system process
GO:0015696	0.000448975958390107	ammonium transport
GO:0008519	0.000448975958390107	ammonium transmembrane transporter activity
GO:0031491	0.000459198094098791	nucleosome binding
GO:0044257	0.000543324488985872	cellular protein catabolic process
GO:0051603	0.000543324488985872	proteolysis involved in cellular protein catabolic process
GO:0006751	0.000554138564830612	glutathione catabolic process
GO:0043171	0.000554138564830612	peptide catabolic process
GO:0000295	0.000558385275854015	adenine nucleotide transmembrane transporter activity
GO:0005346	0.000558385275854015	purine ribonucleotide transmembrane transporter activity
GO:0015215	0.000558385275854015	nucleotide transmembrane transporter activity
GO:0015216	0.000558385275854015	purine nucleotide transmembrane transporter activity
GO:0015605	0.000558385275854015	organophosphate ester transmembrane transporter activity
GO:0006289	0.000609799519673458	nucleotide-excision repair
GO:0035299	0.000640454951242863	inositol pentakisphosphate 2-kinase activity
GO:0009607	0.000644820592807599	response to biotic stimulus
GO:0043207	0.000644820592807599	response to external biotic stimulus
GO:0051707	0.000644820592807599	response to other organism
GO:0098542	0.000644820592807599	defense response to other organism
GO:0009068	0.000746902936266182	aspartate family amino acid catabolic process
GO:0006567	0.00076896582534236	threonine catabolic process
GO:0043228	0.000780812469780849	non-membrane-bounded organelle
GO:0043232	0.000784905276861699	intracellular non-membrane-bounded organelle
GO:0051181	0.000788099098748894	cofactor transport
GO:0043603	0.000841016211586257	cellular amide metabolic process
GO:0042219	0.0008788455256497	cellular modified amino acid catabolic process
GO:0042277	0.00089664692821278	peptide binding
GO:0032270	0.000925923855790769	positive regulation of cellular protein metabolic process
GO:0051247	0.000925923855790769	positive regulation of protein metabolic process
GO:0019206	0.000937839515879665	nucleoside kinase activity
GO:0004415	0.000966549152787178	hyalurononglucosaminidase activity
GO:0044391	0.000984777212251494	ribosomal subunit
GO:0003917	0.00100756989912186	DNA topoisomerase type I (single strand cut, ATP-independent) activity
GO:0042446	0.00101544406574809	hormone biosynthetic process
GO:0000439	0.00101816771606199	transcription factor TFIIH core complex
GO:0008603	0.00113760056978166	cAMP-dependent protein kinase regulator activity
GO:0001932	0.0011562778334355	regulation of protein phosphorylation
GO:0030182	0.00117749027698825	neuron differentiation
GO:0004345	0.00118622417678401	glucose-6-phosphate dehydrogenase activity
GO:0022904	0.00127187243736629	respiratory electron transport chain
GO:0046950	0.00129806424872479	cellular ketone body metabolic process
GO:0046952	0.00129806424872479	ketone body catabolic process
GO:1901569	0.00129806424872479	fatty acid derivative catabolic process
GO:1902224	0.00129806424872479	ketone body metabolic process
GO:0043549	0.00129969091483351	regulation of kinase activity
GO:0045859	0.00129969091483351	regulation of protein kinase activity
GO:0051338	0.00129969091483351	regulation of transferase activity
GO:0005047	0.00130435217257165	signal recognition particle binding
GO:0005164	0.00148074713954228	tumor necrosis factor receptor binding
GO:0032813	0.00148074713954228	tumor necrosis factor receptor superfamily binding
GO:1990817	0.00148948953755601	RNA adenylyltransferase activity
GO:0005685	0.00157453694771199	U1 snRNP
GO:0006183	0.00157794585579217	GTP biosynthetic process
GO:0006228	0.00157794585579217	UTP biosynthetic process
GO:0046039	0.00157794585579217	GTP metabolic process
GO:0046051	0.00157794585579217	UTP metabolic process
GO:0007249	0.00169069104598458	I-kappaB kinase/NF-kappaB signaling
GO:0043122	0.00169069104598458	regulation of I-kappaB kinase/NF-kappaB signaling
GO:0005229	0.00173702038390815	intracellular calcium activated chloride channel activity
GO:0061778	0.00173702038390815	intracellular chloride channel activity
GO:0004550	0.00176710782833824	nucleoside diphosphate kinase activity
GO:0051924	0.00184875007969252	regulation of calcium ion transport
GO:0005968	0.00192325227942622	Rab-protein geranylgeranyltransferase complex
GO:0048699	0.00230695831055706	generation of neurons
GO:0030545	0.00233290373912585	receptor regulator activity
GO:0030546	0.00233290373912585	signaling receptor activator activity
GO:0048018	0.00233290373912585	receptor ligand activity
GO:0090575	0.0024836164708682	RNA polymerase II transcription regulator complex
GO:0009266	0.00250351608077373	response to temperature stimulus
GO:0009408	0.00250351608077373	response to heat
GO:0044273	0.00273345915614163	sulfur compound catabolic process
GO:0005332	0.00273484635202348	gamma-aminobutyric acid:sodium symporter activity
