ann_term	CC	annotation
GO:0048856	0.944926771912507	anatomical structure development
GO:0032502	0.940394382204375	developmental process
GO:0048513	0.939843279745376	animal organ development
GO:0048731	0.937606832334238	system development
GO:0001501	0.935007486853015	skeletal system development
GO:0051216	0.935007486853015	cartilage development
GO:0061448	0.935007486853015	connective tissue development
GO:0002062	0.934115974381461	chondrocyte differentiation
GO:0007275	0.932881395714958	multicellular organism development
GO:0016477	0.931958554100203	cell migration
GO:0030545	0.931572629518662	receptor regulator activity
GO:0030546	0.931572629518662	signaling receptor activator activity
GO:0048018	0.931572629518662	receptor ligand activity
GO:0005102	0.931540970248063	signaling receptor binding
GO:0002063	0.931339341112747	chondrocyte development
GO:0032330	0.931339341112747	regulation of chondrocyte differentiation
GO:0061035	0.931339341112747	regulation of cartilage development
GO:0061181	0.931339341112747	regulation of chondrocyte development
GO:0061572	0.931339341112747	actin filament bundle organization
GO:0031005	0.931339341112747	filamin binding
GO:0032879	0.930466349646479	regulation of localization
GO:0060627	0.928892080176412	regulation of vesicle-mediated transport
GO:0048584	0.92828515915558	positive regulation of response to stimulus
GO:0030334	0.928068914546018	regulation of cell migration
GO:0007417	0.927489292400531	central nervous system development
GO:0030155	0.925463207057217	regulation of cell adhesion
GO:0016917	0.925371506443638	GABA receptor activity
GO:0004890	0.924211529708486	GABA-A receptor activity
GO:0051239	0.924034591394667	regulation of multicellular organismal process
GO:0040012	0.92263668804502	regulation of locomotion
GO:0099503	0.921246744053425	secretory vesicle
GO:0009605	0.921199675853756	response to external stimulus
GO:2000026	0.92023144559089	regulation of multicellular organismal development
GO:0045995	0.919415105943545	regulation of embryonic development
GO:0006955	0.918976464585349	immune response
GO:0007420	0.918796084369024	brain development
GO:0060322	0.918796084369024	head development
GO:2000145	0.918648076696581	regulation of cell motility
GO:0002376	0.916451212913731	immune system process
GO:1903522	0.915688512257993	regulation of blood circulation
GO:0007399	0.914717711394962	nervous system development
GO:0008083	0.914607340356832	growth factor activity
GO:0030141	0.911358184087779	secretory granule
GO:0001518	0.910483918311455	voltage-gated sodium channel complex
GO:0034706	0.910483918311455	sodium channel complex
GO:0005248	0.910483918311455	voltage-gated sodium channel activity
GO:0008091	0.910402244590458	spectrin
GO:0005164	0.910329570242821	tumor necrosis factor receptor binding
GO:0032813	0.910329570242821	tumor necrosis factor receptor superfamily binding
GO:0044057	0.910107972072177	regulation of system process
