ann_term	q_val	annotation
GO:0035600	0.997057309532747	tRNA methylthiolation
GO:0035598	0.997057309532747	N6-threonylcarbomyladenosine methylthiotransferase activity
GO:0000062	0.996727136782045	fatty-acyl-CoA binding
GO:1901567	0.996727136782045	fatty acid derivative binding
GO:0044179	0.99168756094393	hemolysis in other organism
GO:0051715	0.99168756094393	cytolysis in other organism
GO:0019478	0.989511879006278	D-amino acid catabolic process
GO:0046655	0.989511879006278	folic acid metabolic process
GO:0046656	0.989511879006278	folic acid biosynthetic process
GO:0008696	0.989511879006278	4-amino-4-deoxychorismate lyase activity
GO:0030597	0.989511879006278	RNA glycosylase activity
GO:0030598	0.989511879006278	rRNA N-glycosylase activity
GO:0071973	0.989511879006278	bacterial-type flagellum-dependent cell motility
GO:0097588	0.989511879006278	archaeal or bacterial-type flagellum-dependent cell motility
GO:0006527	0.989511879006278	arginine catabolic process
GO:0006366	0.989238607945084	transcription by RNA polymerase II
GO:0015772	0.989238607945084	oligosaccharide transport
GO:0006898	0.988232522565635	receptor-mediated endocytosis
GO:0008830	0.987043663745467	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0043229	0.98625258557078	intracellular organelle
GO:0016998	0.985988625886241	cell wall macromolecule catabolic process
GO:0005853	0.985200292712161	eukaryotic translation elongation factor 1 complex
GO:0000278	0.984092346110759	mitotic cell cycle
GO:0006654	0.983554649494467	phosphatidic acid biosynthetic process
GO:0046473	0.983554649494467	phosphatidic acid metabolic process
GO:1901071	0.979975332500305	glucosamine-containing compound metabolic process
GO:0016307	0.979797157977993	phosphatidylinositol phosphate kinase activity
GO:0006729	0.978641204307438	tetrahydrobiopterin biosynthetic process
GO:0034311	0.978641204307438	diol metabolic process
GO:0034312	0.978641204307438	diol biosynthetic process
GO:0046146	0.978641204307438	tetrahydrobiopterin metabolic process
GO:0009310	0.978641204307438	amine catabolic process
GO:0045735	0.977719644620285	nutrient reservoir activity
GO:0005953	0.973958507388765	CAAX-protein geranylgeranyltransferase complex
GO:0047750	0.970260827853324	cholestenol delta-isomerase activity
GO:0000782	0.969773086192723	telomere cap complex
GO:0000783	0.969773086192723	nuclear telomere cap complex
GO:0140445	0.969773086192723	chromosome, telomeric repeat region
GO:1990879	0.969773086192723	CST complex
GO:0008174	0.96783639621844	mRNA methyltransferase activity
GO:0048312	0.962060058104708	intracellular distribution of mitochondria
GO:0016168	0.959986926094958	chlorophyll binding
GO:0034316	0.958479100159695	negative regulation of Arp2/3 complex-mediated actin nucleation
GO:0071933	0.958479100159695	Arp2/3 complex binding
GO:0048311	0.958376949530501	mitochondrion distribution
GO:0051646	0.958376949530501	mitochondrion localization
GO:0009360	0.958329055938482	DNA polymerase III complex
GO:0044036	0.957499109348121	cell wall macromolecule metabolic process
GO:0009279	0.957307098966978	cell outer membrane
GO:0006569	0.957307098966978	tryptophan catabolic process
GO:0042402	0.957307098966978	cellular biogenic amine catabolic process
GO:0042436	0.957307098966978	indole-containing compound catabolic process
GO:0046218	0.957307098966978	indolalkylamine catabolic process
GO:0001101	0.953762847834744	response to acid chemical
GO:0046173	0.952232242176929	polyol biosynthetic process
GO:0004133	0.952232242176929	glycogen debranching enzyme activity
GO:0004134	0.952232242176929	4-alpha-glucanotransferase activity
GO:0031965	0.952232242176929	nuclear membrane
GO:0008022	0.951485302173735	protein C-terminus binding
GO:0007157	0.949334376685076	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0008982	0.949334376685076	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0004407	0.948665413732503	histone deacetylase activity
GO:0033558	0.948665413732503	protein deacetylase activity
GO:0007088	0.948665413732503	regulation of mitotic nuclear division
GO:0051783	0.948665413732503	regulation of nuclear division
GO:0052689	0.948586641609868	carboxylic ester hydrolase activity
GO:0065008	0.948586641609868	regulation of biological quality
GO:0033036	0.94854723436112	macromolecule localization
GO:0071702	0.947709658710233	organic substance transport
GO:0006625	0.942611447201793	protein targeting to peroxisome
GO:0072662	0.942611447201793	protein localization to peroxisome
GO:0072663	0.942611447201793	establishment of protein localization to peroxisome
GO:0051304	0.941738270956306	chromosome separation
GO:0004097	0.941304011298613	catechol oxidase activity
GO:0016763	0.941304011298613	transferase activity, transferring pentosyl groups
GO:0039694	0.937600443945202	viral RNA genome replication
GO:0071840	0.937076762404718	cellular component organization or biogenesis
GO:0046556	0.933997971358574	alpha-L-arabinofuranosidase activity
GO:0046906	0.93114615695708	tetrapyrrole binding
GO:0045145	0.930722422178016	single-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0007005	0.930447891119908	mitochondrion organization
GO:0072348	0.930447891119908	sulfur compound transport
GO:0044772	0.930447891119908	mitotic cell cycle phase transition
GO:1901990	0.930447891119908	regulation of mitotic cell cycle phase transition
GO:0010467	0.92970483000331	gene expression
GO:0018991	0.92744588469415	oviposition
GO:0035262	0.92744588469415	gonad morphogenesis
GO:0022884	0.925220240998921	macromolecule transmembrane transporter activity
GO:0009698	0.924648109610647	phenylpropanoid metabolic process
GO:0009737	0.924648109610647	response to abscisic acid
GO:0009738	0.924648109610647	abscisic acid-activated signaling pathway
GO:0009791	0.924648109610647	post-embryonic development
GO:0009808	0.924648109610647	lignin metabolic process
GO:0046271	0.924648109610647	phenylpropanoid catabolic process
GO:0046274	0.924648109610647	lignin catabolic process
GO:0071215	0.924648109610647	cellular response to abscisic acid stimulus
GO:0010427	0.924648109610647	abscisic acid binding
GO:0019139	0.924648109610647	cytokinin dehydrogenase activity
GO:0052716	0.924648109610647	hydroquinone:oxygen oxidoreductase activity
GO:0047480	0.924648109610647	UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity
GO:0070205	0.924648109610647	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity
GO:0008184	0.923759266132846	glycogen phosphorylase activity
GO:0002790	0.92306601019447	peptide secretion
GO:0009306	0.92306601019447	protein secretion
GO:0035592	0.92306601019447	establishment of protein localization to extracellular region
GO:0071692	0.92306601019447	protein localization to extracellular region
GO:0003854	0.922268703301189	3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0008202	0.921152685745464	steroid metabolic process
GO:0009793	0.917759906531555	embryo development ending in seed dormancy
GO:0009856	0.917759906531555	pollination
GO:0009875	0.917759906531555	pollen-pistil interaction
GO:0010154	0.917759906531555	fruit development
GO:0044706	0.917759906531555	multi-multicellular organism process
GO:0048316	0.917759906531555	seed development
GO:0048544	0.917759906531555	recognition of pollen
GO:0003904	0.917759906531555	deoxyribodipyrimidine photo-lyase activity
GO:0090304	0.916515467190509	nucleic acid metabolic process
GO:0016790	0.916515467190509	thiolester hydrolase activity
GO:0009606	0.915519137331034	tropism
GO:0010274	0.915519137331034	hydrotropism
GO:0048046	0.915519137331034	apoplast
GO:0046524	0.915519137331034	sucrose-phosphate synthase activity
GO:0009637	0.915471757759983	response to blue light
GO:0009785	0.915471757759983	blue light signaling pathway
GO:0010374	0.915471757759983	stomatal complex development
GO:0048580	0.915471757759983	regulation of post-embryonic development
GO:0048582	0.915471757759983	positive regulation of post-embryonic development
GO:0071483	0.915471757759983	cellular response to blue light
GO:0090558	0.915471757759983	plant epidermis development
GO:2000038	0.915471757759983	regulation of stomatal complex development
GO:2000123	0.915471757759983	positive regulation of stomatal complex development
GO:0010333	0.915471757759983	terpene synthase activity
GO:0051353	0.915471757759983	positive regulation of oxidoreductase activity
GO:0090322	0.915471757759983	regulation of superoxide metabolic process
GO:1900407	0.915471757759983	regulation of cellular response to oxidative stress
GO:1900409	0.915471757759983	positive regulation of cellular response to oxidative stress
GO:1901033	0.915471757759983	positive regulation of response to reactive oxygen species
GO:1901668	0.915471757759983	regulation of superoxide dismutase activity
GO:1901671	0.915471757759983	positive regulation of superoxide dismutase activity
GO:1902884	0.915471757759983	positive regulation of response to oxidative stress
GO:1904833	0.915471757759983	positive regulation of removal of superoxide radicals
GO:2000121	0.915471757759983	regulation of removal of superoxide radicals
GO:2000377	0.915471757759983	regulation of reactive oxygen species metabolic process
GO:2000379	0.915471757759983	positive regulation of reactive oxygen species metabolic process
GO:0031122	0.914526281654247	cytoplasmic microtubule organization
GO:0017007	0.913828746205646	protein-bilin linkage
GO:0017009	0.913828746205646	protein-phycocyanobilin linkage
GO:0047334	0.913828746205646	diphosphate-fructose-6-phosphate 1-phosphotransferase activity
GO:0051743	0.913828746205646	red chlorophyll catabolite reductase activity
GO:0008061	0.913828746205646	chitin binding
GO:0035065	0.913204062803824	regulation of histone acetylation
GO:1901983	0.913204062803824	regulation of protein acetylation
GO:2000756	0.913204062803824	regulation of peptidyl-lysine acetylation
GO:0030838	0.912496066605065	positive regulation of actin filament polymerization
GO:0031334	0.912496066605065	positive regulation of protein-containing complex assembly
GO:0032273	0.912496066605065	positive regulation of protein polymerization
GO:0044089	0.912496066605065	positive regulation of cellular component biogenesis
GO:0045010	0.912496066605065	actin nucleation
GO:1902905	0.912496066605065	positive regulation of supramolecular fiber organization
GO:0009733	0.912135178370029	response to auxin
GO:0010411	0.912135178370029	xyloglucan metabolic process
GO:0016762	0.912135178370029	xyloglucan:xyloglucosyl transferase activity
GO:0009068	0.912135178370029	aspartate family amino acid catabolic process
GO:0030429	0.911633468598366	kynureninase activity
GO:0009269	0.911616288808178	response to desiccation
GO:0009414	0.911616288808178	response to water deprivation
GO:0009873	0.911616288808178	ethylene-activated signaling pathway
GO:0071369	0.911616288808178	cellular response to ethylene stimulus
GO:0030785	0.908514560253426	[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity
GO:0038199	0.908514560253426	ethylene receptor activity
GO:0051740	0.908514560253426	ethylene binding
GO:0072328	0.908514560253426	alkene binding
GO:0009415	0.908463884652361	response to water
GO:0009723	0.908463884652361	response to ethylene
GO:0004564	0.908463884652361	beta-fructofuranosidase activity
GO:0004575	0.908463884652361	sucrose alpha-glucosidase activity
GO:0020037	0.907803827384692	heme binding
GO:0033108	0.90744490901716	mitochondrial respiratory chain complex assembly
GO:0000123	0.906102816898007	histone acetyltransferase complex
GO:0015766	0.905778096789641	disaccharide transport
GO:0015770	0.905778096789641	sucrose transport
GO:0012511	0.905778096789641	monolayer-surrounded lipid storage body
GO:0000234	0.905778096789641	phosphoethanolamine N-methyltransferase activity
GO:0008515	0.905778096789641	sucrose transmembrane transporter activity
GO:0015154	0.905778096789641	disaccharide transmembrane transporter activity
GO:0015157	0.905778096789641	oligosaccharide transmembrane transporter activity
GO:0022857	0.905778096789641	transmembrane transporter activity
GO:0033926	0.905778096789641	glycopeptide alpha-N-acetylgalactosaminidase activity
GO:0009627	0.905778096789641	systemic acquired resistance
GO:0009648	0.905778096789641	photoperiodism
GO:0009814	0.905778096789641	defense response, incompatible interaction
GO:0010112	0.905778096789641	regulation of systemic acquired resistance
GO:0010228	0.905778096789641	vegetative to reproductive phase transition of meristem
GO:0048573	0.905778096789641	photoperiodism, flowering
GO:2000028	0.905778096789641	regulation of photoperiodism, flowering
GO:0006567	0.904856041940577	threonine catabolic process
GO:0007091	0.903658345534272	metaphase/anaphase transition of mitotic cell cycle
GO:0010965	0.903658345534272	regulation of mitotic sister chromatid separation
GO:0030071	0.903658345534272	regulation of mitotic metaphase/anaphase transition
GO:0033045	0.903658345534272	regulation of sister chromatid segregation
GO:0033047	0.903658345534272	regulation of mitotic sister chromatid segregation
GO:0044784	0.903658345534272	metaphase/anaphase transition of cell cycle
GO:0051306	0.903658345534272	mitotic sister chromatid separation
GO:0051983	0.903658345534272	regulation of chromosome segregation
GO:1902099	0.903658345534272	regulation of metaphase/anaphase transition of cell cycle
GO:1905818	0.903658345534272	regulation of chromosome separation
GO:0009664	0.903658345534272	plant-type cell wall organization
GO:0009832	0.903658345534272	plant-type cell wall biogenesis
GO:0010215	0.903658345534272	cellulose microfibril organization
GO:0045492	0.903658345534272	xylan biosynthetic process
GO:0070592	0.903658345534272	cell wall polysaccharide biosynthetic process
GO:0070726	0.903658345534272	cell wall assembly
GO:0071668	0.903658345534272	plant-type cell wall assembly
GO:0016308	0.903658345534272	1-phosphatidylinositol-4-phosphate 5-kinase activity
GO:1901682	0.903658345534272	sulfur compound transmembrane transporter activity
GO:0070925	0.903009655837326	organelle assembly
GO:0045926	0.902982789964588	negative regulation of growth
GO:0009585	0.901295430902896	red, far-red light phototransduction
GO:0009639	0.901295430902896	response to red or far red light
GO:0010017	0.901295430902896	red or far-red light signaling pathway
GO:0071489	0.901295430902896	cellular response to red or far red light
GO:0009526	0.901295430902896	plastid envelope
GO:0009527	0.901295430902896	plastid outer membrane
GO:0009707	0.901295430902896	chloroplast outer membrane
GO:0009941	0.901295430902896	chloroplast envelope
GO:0031969	0.901295430902896	chloroplast membrane
GO:0042170	0.901295430902896	plastid membrane
GO:0003680	0.901295430902896	AT DNA binding
GO:0008792	0.901295430902896	arginine decarboxylase activity
GO:0016125	0.901295430902896	sterol metabolic process
GO:0106130	0.898802037631492	purine phosphoribosyltransferase activity
GO:0005986	0.898341957131442	sucrose biosynthetic process
GO:0031519	0.898341957131442	PcG protein complex
GO:0050307	0.898341957131442	sucrose-phosphate phosphatase activity
GO:0008442	0.896860884365771	3-hydroxyisobutyrate dehydrogenase activity
GO:0009877	0.896390702716228	nodulation
GO:0008272	0.895328909685386	sulfate transport
GO:0015116	0.895328909685386	sulfate transmembrane transporter activity
GO:0006788	0.889167627277835	heme oxidation
GO:0004392	0.889167627277835	heme oxygenase (decyclizing) activity
GO:0005388	0.88792250898703	calcium transmembrane transporter activity, phosphorylative mechanism
GO:0006493	0.886383422662782	protein O-linked glycosylation
GO:0009772	0.885154461394334	photosynthetic electron transport in photosystem II
GO:0051495	0.884358688403663	positive regulation of cytoskeleton organization
GO:0008352	0.882455206481631	katanin complex
GO:0050220	0.878029224220969	prostaglandin-E synthase activity
GO:0043570	0.876295094944969	maintenance of DNA repeat elements
GO:0043571	0.876295094944969	maintenance of CRISPR repeat elements
GO:0000966	0.876295094944969	RNA 5'-end processing
