ann_term	q_val	annotation
GO:0044265	3.22265297201094e-12	cellular macromolecule catabolic process
GO:0016998	3.22265297201094e-12	cell wall macromolecule catabolic process
GO:0044036	3.22265297201094e-12	cell wall macromolecule metabolic process
GO:0006022	3.34621894691749e-11	aminoglycan metabolic process
GO:0009057	3.34621894691749e-11	macromolecule catabolic process
GO:0006026	3.34621894691749e-11	aminoglycan catabolic process
GO:1901136	3.34621894691749e-11	carbohydrate derivative catabolic process
GO:1901565	1.57239616648315e-10	organonitrogen compound catabolic process
GO:0003796	1.78195570976416e-10	lysozyme activity
GO:1901575	2.38996645027267e-10	organic substance catabolic process
GO:0044248	2.92197233081277e-10	cellular catabolic process
GO:0016032	4.93632197282552e-10	viral process
GO:0019058	4.93632197282552e-10	viral life cycle
GO:0071554	2.57417152871325e-09	cell wall organization or biogenesis
GO:0000270	3.83100422573616e-09	peptidoglycan metabolic process
GO:0030203	3.83100422573616e-09	glycosaminoglycan metabolic process
GO:0009056	4.02340197792209e-09	catabolic process
GO:0006027	4.02340197792209e-09	glycosaminoglycan catabolic process
GO:0009253	4.02340197792209e-09	peptidoglycan catabolic process
GO:0061783	4.02340197792209e-09	peptidoglycan muralytic activity
GO:0019835	2.45452642653198e-08	cytolysis
GO:0019076	2.79295460803928e-08	viral release from host cell
GO:0035890	2.79295460803928e-08	exit from host
GO:0035891	2.79295460803928e-08	exit from host cell
GO:0052126	2.79295460803928e-08	movement in host environment
GO:0008767	1.58994152128881e-07	UDP-galactopyranose mutase activity
GO:0051701	2.04374536179701e-07	biological process involved in interaction with host
GO:0019068	3.77195178469501e-07	virion assembly
GO:0016798	6.99694052726893e-07	hydrolase activity, acting on glycosyl bonds
GO:0044403	7.63753969701317e-07	biological process involved in symbiotic interaction
GO:0004553	1.45649828186167e-06	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0033554	1.76118300338918e-06	cellular response to stress
GO:0006974	3.12762377747845e-06	cellular response to DNA damage stimulus
GO:0006281	3.18434364935393e-06	DNA repair
GO:0044419	2.43442809248577e-05	biological process involved in interspecies interaction between organisms
GO:0003677	2.99830111112063e-05	DNA binding
GO:0003676	3.68483050786685e-05	nucleic acid binding
GO:0006950	4.67431640094678e-05	response to stress
GO:0016811	4.80660491896189e-05	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0019627	0.000105842287573921	urea metabolic process
GO:0043419	0.000105842287573921	urea catabolic process
GO:0000287	0.000109853106826816	magnesium ion binding
GO:0005488	0.000116560932757006	binding
GO:1901135	0.000161877618413968	carbohydrate derivative metabolic process
GO:0004386	0.000166425452217309	helicase activity
GO:0051276	0.000189742980400566	chromosome organization
GO:0097159	0.000189742980400566	organic cyclic compound binding
GO:1901363	0.000189742980400566	heterocyclic compound binding
GO:0015695	0.000189742980400566	organic cation transport
GO:0015837	0.000189742980400566	amine transport
GO:0018941	0.000189742980400566	organomercury metabolic process
GO:0018942	0.000189742980400566	organometal metabolic process
GO:0034229	0.000189742980400566	ethanolamine transport
GO:0046413	0.000189742980400566	organomercury catabolic process
GO:0005275	0.000189742980400566	amine transmembrane transporter activity
GO:0015101	0.000189742980400566	organic cation transmembrane transporter activity
GO:0015665	0.000189742980400566	alcohol transmembrane transporter activity
GO:0018836	0.000189742980400566	alkylmercury lyase activity
GO:0034228	0.000189742980400566	ethanolamine transmembrane transporter activity
GO:0008745	0.00021960119000023	N-acetylmuramoyl-L-alanine amidase activity
GO:0032880	0.00021960119000023	regulation of protein localization
GO:0050708	0.00021960119000023	regulation of protein secretion
GO:0051046	0.00021960119000023	regulation of secretion
GO:0051223	0.00021960119000023	regulation of protein transport
GO:0070201	0.00021960119000023	regulation of establishment of protein localization
GO:1903530	0.00021960119000023	regulation of secretion by cell
GO:0004842	0.000359179494754084	ubiquitin-protein transferase activity
GO:0019787	0.000359179494754084	ubiquitin-like protein transferase activity
GO:0016151	0.00043723627714287	nickel cation binding
GO:0004197	0.000470940390520377	cysteine-type endopeptidase activity
GO:0006807	0.000493090547138118	nitrogen compound metabolic process
GO:0043170	0.000530818842538968	macromolecule metabolic process
GO:0004470	0.000729312434417069	malic enzyme activity
GO:0004471	0.000729312434417069	malate dehydrogenase (decarboxylating) (NAD+) activity
GO:0016615	0.000729312434417069	malate dehydrogenase activity
GO:0046872	0.000729312434417069	metal ion binding
GO:0003697	0.000798485729219019	single-stranded DNA binding
GO:0043933	0.000818644416665716	protein-containing complex organization
GO:0043565	0.000855697152311609	sequence-specific DNA binding
GO:0071704	0.000915067167363405	organic substance metabolic process
GO:0005576	0.000979763161431524	extracellular region
GO:0006260	0.00111568147410387	DNA replication
GO:0071941	0.00134530730034325	nitrogen cycle metabolic process
GO:0009451	0.00134530730034325	RNA modification
GO:0044237	0.00142622216377664	cellular metabolic process
GO:0043190	0.00146712803563787	ATP-binding cassette (ABC) transporter complex
GO:0098533	0.00146712803563787	ATPase dependent transmembrane transport complex
GO:0043169	0.00151264383146142	cation binding
GO:0098796	0.00163378183880095	membrane protein complex
GO:0098797	0.00163378183880095	plasma membrane protein complex
GO:1902495	0.00163378183880095	transmembrane transporter complex
GO:1990351	0.00163378183880095	transporter complex
GO:0003678	0.00168570940617829	DNA helicase activity
GO:0090304	0.00202854015870039	nucleic acid metabolic process
GO:0044238	0.00214022984082915	primary metabolic process
GO:0008641	0.00226254882689474	ubiquitin-like modifier activating enzyme activity
GO:0006139	0.00226254882689474	nucleobase-containing compound metabolic process
GO:0016866	0.00228198242997227	intramolecular transferase activity
GO:0016645	0.00237315318732944	oxidoreductase activity, acting on the CH-NH group of donors
GO:0016646	0.00237315318732944	oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor
GO:0008094	0.00237315318732944	ATP-dependent activity, acting on DNA
GO:0034641	0.00237315318732944	cellular nitrogen compound metabolic process
GO:0008483	0.0024677172136025	transaminase activity
GO:0016769	0.0024677172136025	transferase activity, transferring nitrogenous groups
GO:0044260	0.00289817422019803	cellular macromolecule metabolic process
GO:0006725	0.00347646485897614	cellular aromatic compound metabolic process
GO:1901360	0.00361416231532001	organic cyclic compound metabolic process
GO:0046483	0.00369760815763141	heterocycle metabolic process
GO:0016747	0.00371097924281218	acyltransferase activity, transferring groups other than amino-acyl groups
GO:0065003	0.00375440209818773	protein-containing complex assembly
GO:0043605	0.0040645036791286	cellular amide catabolic process
GO:0008152	0.00407901155722654	metabolic process
GO:0003924	0.00407901155722654	GTPase activity
GO:0001522	0.00437087203803184	pseudouridine synthesis
GO:0009982	0.00437087203803184	pseudouridine synthase activity
GO:0016903	0.00468294928224711	oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0008150	0.00509116286427468	biological_process
GO:0042398	0.005395377555852	cellular modified amino acid biosynthetic process
GO:0046903	0.00591758138452987	secretion
GO:0045333	0.00627124070784651	cellular respiration
GO:0016407	0.0064105834997837	acetyltransferase activity
GO:0008907	0.00642320686385397	integrase activity
GO:0019069	0.00667512343382593	viral capsid assembly
GO:0008104	0.00667512343382593	protein localization
GO:0015031	0.00667512343382593	protein transport
GO:0045184	0.00667512343382593	establishment of protein localization
GO:0006575	0.00676369380703628	cellular modified amino acid metabolic process
