ann_term	q_val	annotation
GO:0006796	1	phosphate-containing compound metabolic process
GO:0003908	1	methylated-DNA-[protein]-cysteine S-methyltransferase activity
GO:0008172	1	S-methyltransferase activity
GO:0008452	1	RNA ligase activity
GO:0009607	0.999195735401478	response to biotic stimulus
GO:0009404	0.999195735401478	toxin metabolic process
GO:0005996	0.999195735401478	monosaccharide metabolic process
GO:0006265	0.999195735401478	DNA topological change
GO:0071103	0.999195735401478	DNA conformation change
GO:0008173	0.999080506277693	RNA methyltransferase activity
GO:0015675	0.99419740903063	nickel cation transport
GO:0035444	0.99419740903063	nickel cation transmembrane transport
GO:0015099	0.99419740903063	nickel cation transmembrane transporter activity
GO:0015740	0.99103626124025	C4-dicarboxylate transport
GO:0015556	0.99103626124025	C4-dicarboxylate transmembrane transporter activity
GO:0015267	0.986191490697616	channel activity
GO:0022803	0.986191490697616	passive transmembrane transporter activity
GO:0044255	0.970538796561189	cellular lipid metabolic process
GO:0006415	0.968467583809083	translational termination
GO:0003916	0.961183414822121	DNA topoisomerase activity
GO:0030313	0.955806077088871	cell envelope
GO:0031975	0.955806077088871	envelope
GO:0006821	0.955806077088871	chloride transport
GO:0005244	0.955806077088871	voltage-gated ion channel activity
GO:0005247	0.955806077088871	voltage-gated chloride channel activity
GO:0005254	0.955806077088871	chloride channel activity
GO:0008308	0.955806077088871	voltage-gated anion channel activity
GO:0015108	0.955806077088871	chloride transmembrane transporter activity
GO:0022832	0.955806077088871	voltage-gated channel activity
GO:0022836	0.955806077088871	gated channel activity
GO:0015562	0.955806077088871	efflux transmembrane transporter activity
GO:0019634	0.955806077088871	organic phosphonate metabolic process
GO:0043648	0.955806077088871	dicarboxylic acid metabolic process
GO:0016638	0.955806077088871	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0015079	0.950899476430699	potassium ion transmembrane transporter activity
GO:0019700	0.947998416521553	organic phosphonate catabolic process
GO:0030312	0.94099926230227	external encapsulating structure
GO:0051179	0.939944701969238	localization
GO:0070008	0.939944701969238	serine-type exopeptidase activity
GO:0006004	0.937658040367468	fucose metabolic process
GO:0008736	0.937658040367468	L-fucose isomerase activity
GO:0006790	0.934520879418664	sulfur compound metabolic process
GO:0006835	0.929174361726593	dicarboxylic acid transport
GO:0006857	0.923154683251096	oligopeptide transport
GO:0015814	0.923154683251096	p-aminobenzoyl-glutamate transport
GO:0035442	0.923154683251096	dipeptide transmembrane transport
GO:0035672	0.923154683251096	oligopeptide transmembrane transport
GO:0042938	0.923154683251096	dipeptide transport
GO:0072337	0.923154683251096	modified amino acid transport
GO:1902604	0.923154683251096	p-aminobenzoyl-glutamate transmembrane transport
GO:0005310	0.923154683251096	dicarboxylic acid transmembrane transporter activity
GO:0015558	0.923154683251096	secondary active p-aminobenzoyl-glutamate transmembrane transporter activity
GO:0035673	0.923154683251096	oligopeptide transmembrane transporter activity
GO:0071916	0.923154683251096	dipeptide transmembrane transporter activity
GO:0072349	0.923154683251096	modified amino acid transmembrane transporter activity
GO:0008131	0.918750483521236	primary amine oxidase activity
GO:0016641	0.918750483521236	oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor
GO:0140657	0.911589193050932	ATP-dependent activity
GO:0008408	0.911589193050932	3'-5' exonuclease activity
GO:0004019	0.900089731324499	adenylosuccinate synthase activity
GO:0019318	0.897020187719316	hexose metabolic process
GO:0016855	0.885664469221989	racemase and epimerase activity, acting on amino acids and derivatives
GO:0036361	0.885664469221989	racemase activity, acting on amino acids and derivatives
GO:0008658	0.885664469221989	penicillin binding
GO:0033218	0.885664469221989	amide binding
GO:0033293	0.885664469221989	monocarboxylic acid binding
GO:0017013	0.883558515316605	protein flavinylation
GO:0008375	0.883558515316605	acetylglucosaminyltransferase activity
GO:0043138	0.883558515316605	3'-5' DNA helicase activity
GO:0006164	0.882314996224611	purine nucleotide biosynthetic process
GO:0015969	0.882314996224611	guanosine tetraphosphate metabolic process
GO:0034035	0.882314996224611	purine ribonucleoside bisphosphate metabolic process
GO:0004672	0.882314996224611	protein kinase activity
GO:0015800	0.882314996224611	acidic amino acid transport
GO:0015807	0.882314996224611	L-amino acid transport
GO:0015813	0.882314996224611	L-glutamate transmembrane transport
GO:1902475	0.882314996224611	L-alpha-amino acid transmembrane transport
GO:0015501	0.882314996224611	glutamate:sodium symporter activity
GO:0072522	0.878702586153665	purine-containing compound biosynthetic process
GO:0016661	0.87429284086784	oxidoreductase activity, acting on other nitrogenous compounds as donors
GO:0016662	0.87429284086784	oxidoreductase activity, acting on other nitrogenous compounds as donors, cytochrome as acceptor
GO:0042279	0.87429284086784	nitrite reductase (cytochrome, ammonia-forming) activity
GO:0098809	0.87429284086784	nitrite reductase activity
GO:0008135	0.870842522697181	translation factor activity, RNA binding
GO:0045182	0.870842522697181	translation regulator activity
GO:0090079	0.870842522697181	translation regulator activity, nucleic acid binding
GO:0005315	0.867919961687163	inorganic phosphate transmembrane transporter activity
GO:0008771	0.86644294605068	[citrate (pro-3S)-lyase] ligase activity
GO:0016878	0.86644294605068	acid-thiol ligase activity
GO:0015288	0.863992433353175	porin activity
GO:0022829	0.863992433353175	wide pore channel activity
GO:0009073	0.863007075081526	aromatic amino acid family biosynthetic process
GO:0004107	0.863007075081526	chorismate synthase activity
GO:0016838	0.863007075081526	carbon-oxygen lyase activity, acting on phosphates
GO:0019748	0.863007075081526	secondary metabolic process
GO:0004425	0.863007075081526	indole-3-glycerol-phosphate synthase activity
GO:0004180	0.859063679856101	carboxypeptidase activity
GO:1901137	0.85213656982973	carbohydrate derivative biosynthetic process
GO:0004176	0.85213656982973	ATP-dependent peptidase activity
GO:0006928	0.85213656982973	movement of cell or subcellular component
GO:0030255	0.85213656982973	protein secretion by the type IV secretion system
GO:0044097	0.85213656982973	secretion by the type IV secretion system
GO:0004540	0.85213656982973	ribonuclease activity
GO:0010035	0.85213656982973	response to inorganic substance
GO:0010038	0.85213656982973	response to metal ion
GO:0015075	0.85213656982973	ion transmembrane transporter activity
GO:1904680	0.842545927494166	peptide transmembrane transporter activity
GO:0009428	0.841309815145115	bacterial-type flagellum basal body, distal rod, P ring
GO:0009288	0.841309815145115	bacterial-type flagellum
GO:0051604	0.841309815145115	protein maturation
GO:0015926	0.841309815145115	glucosidase activity
GO:0043021	0.841309815145115	ribonucleoprotein complex binding
GO:0043022	0.841309815145115	ribosome binding
GO:0006629	0.841309815145115	lipid metabolic process
GO:0009426	0.840796302653734	bacterial-type flagellum basal body, distal rod
GO:0030694	0.840796302653734	bacterial-type flagellum basal body, rod
GO:0006810	0.834253526711395	transport
GO:0051234	0.834253526711395	establishment of localization
GO:0048029	0.833968534883696	monosaccharide binding
GO:0030001	0.831441514251316	metal ion transport
GO:0004565	0.828210291130988	beta-galactosidase activity
GO:0006805	0.827751536119888	xenobiotic metabolic process
GO:0009410	0.827751536119888	response to xenobiotic stimulus
GO:0010124	0.827751536119888	phenylacetate catabolic process
GO:0042178	0.827751536119888	xenobiotic catabolic process
GO:0042537	0.827751536119888	benzene-containing compound metabolic process
GO:0071466	0.827751536119888	cellular response to xenobiotic stimulus
GO:0016830	0.823379830520234	carbon-carbon lyase activity
GO:0004514	0.818954611871713	nicotinate-nucleotide diphosphorylase (carboxylating) activity
GO:0009341	0.818239090856255	beta-galactosidase complex
GO:0051539	0.818239090856255	4 iron, 4 sulfur cluster binding
GO:0016999	0.818239090856255	antibiotic metabolic process
GO:0017000	0.818239090856255	antibiotic biosynthetic process
GO:0008649	0.816202153623541	rRNA methyltransferase activity
GO:0008855	0.816202153623541	exodeoxyribonuclease VII activity
GO:0016780	0.81492156348893	phosphotransferase activity, for other substituted phosphate groups
GO:0005525	0.813881329328104	GTP binding
GO:0009279	0.811623707087233	cell outer membrane
GO:0009425	0.809450409277383	bacterial-type flagellum basal body
GO:0001539	0.806928345578267	cilium or flagellum-dependent cell motility
GO:0048870	0.806928345578267	cell motility
GO:0051674	0.806928345578267	localization of cell
GO:0071973	0.806928345578267	bacterial-type flagellum-dependent cell motility
GO:0097588	0.806928345578267	archaeal or bacterial-type flagellum-dependent cell motility
GO:0022613	0.806928345578267	ribonucleoprotein complex biogenesis
GO:0042254	0.806928345578267	ribosome biogenesis
GO:0015703	0.806928345578267	chromate transport
GO:0015109	0.806928345578267	chromate transmembrane transporter activity
GO:0016311	0.80587221439564	dephosphorylation
GO:0044283	0.804527535072859	small molecule biosynthetic process
GO:0006720	0.801558366252938	isoprenoid metabolic process
GO:0008299	0.801558366252938	isoprenoid biosynthetic process
GO:0003941	0.801558366252938	L-serine ammonia-lyase activity
GO:0019843	0.801558366252938	rRNA binding
GO:0006793	0.801558366252938	phosphorus metabolic process
GO:0016887	0.801158825603066	ATP hydrolysis activity
GO:0009891	0.796146035416987	positive regulation of biosynthetic process
GO:0009893	0.796146035416987	positive regulation of metabolic process
GO:0010557	0.796146035416987	positive regulation of macromolecule biosynthetic process
GO:0010604	0.796146035416987	positive regulation of macromolecule metabolic process
GO:0031325	0.796146035416987	positive regulation of cellular metabolic process
GO:0031328	0.796146035416987	positive regulation of cellular biosynthetic process
GO:0045893	0.796146035416987	positive regulation of transcription, DNA-templated
GO:0045935	0.796146035416987	positive regulation of nucleobase-containing compound metabolic process
GO:0051173	0.796146035416987	positive regulation of nitrogen compound metabolic process
GO:0051254	0.796146035416987	positive regulation of RNA metabolic process
GO:1902680	0.796146035416987	positive regulation of RNA biosynthetic process
GO:1903508	0.796146035416987	positive regulation of nucleic acid-templated transcription
GO:0006096	0.796146035416987	glycolytic process
GO:0006165	0.796146035416987	nucleoside diphosphate phosphorylation
GO:0006757	0.796146035416987	ATP generation from ADP
GO:0009132	0.796146035416987	nucleoside diphosphate metabolic process
GO:0009135	0.796146035416987	purine nucleoside diphosphate metabolic process
GO:0009179	0.796146035416987	purine ribonucleoside diphosphate metabolic process
GO:0009185	0.796146035416987	ribonucleoside diphosphate metabolic process
GO:0046031	0.796146035416987	ADP metabolic process
GO:0046939	0.796146035416987	nucleotide phosphorylation
GO:0003725	0.796146035416987	double-stranded RNA binding
GO:0004347	0.796146035416987	glucose-6-phosphate isomerase activity
GO:0008703	0.796146035416987	5-amino-6-(5-phosphoribosylamino)uracil reductase activity
GO:0008653	0.796146035416987	lipopolysaccharide metabolic process
GO:0009103	0.796146035416987	lipopolysaccharide biosynthetic process
GO:0071702	0.796146035416987	organic substance transport
GO:0043213	0.792804547643379	bacteriocin transport
GO:0008882	0.789557311978776	[glutamate-ammonia-ligase] adenylyltransferase activity
GO:0016818	0.787418277442031	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
GO:0000049	0.786739064804502	tRNA binding
GO:0016817	0.785094612592974	hydrolase activity, acting on acid anhydrides
GO:0042802	0.785038597868771	identical protein binding
GO:0042803	0.785038597868771	protein homodimerization activity
GO:0070840	0.785038597868771	dynein complex binding
GO:0016886	0.785038597868771	ligase activity, forming phosphoric ester bonds
GO:0070566	0.783632905398806	adenylyltransferase activity
GO:0006213	0.778909874659788	pyrimidine nucleoside metabolic process
GO:0016226	0.778909874659788	iron-sulfur cluster assembly
GO:0031163	0.778909874659788	metallo-sulfur cluster assembly
GO:0008830	0.778909874659788	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0016874	0.778413883731077	ligase activity
GO:0005283	0.777182662955867	amino acid:sodium symporter activity
GO:0005343	0.777182662955867	organic acid:sodium symporter activity
GO:0005416	0.777182662955867	amino acid:cation symporter activity
GO:0015171	0.777182662955867	amino acid transmembrane transporter activity
GO:0046411	0.777182662955867	2-keto-3-deoxygluconate transmembrane transport
GO:0015355	0.777182662955867	secondary active monocarboxylate transmembrane transporter activity
GO:0015649	0.777182662955867	2-keto-3-deoxygluconate:proton symporter activity
GO:0031344	0.777182662955867	regulation of cell projection organization
GO:0044087	0.777182662955867	regulation of cellular component biogenesis
GO:0060491	0.777182662955867	regulation of cell projection assembly
GO:1902115	0.777182662955867	regulation of organelle assembly
GO:1902208	0.777182662955867	regulation of bacterial-type flagellum assembly
GO:0009617	0.777182662955867	response to bacterium
GO:0042742	0.777182662955867	defense response to bacterium
GO:0050829	0.777182662955867	defense response to Gram-negative bacterium
GO:0000902	0.777182662955867	cell morphogenesis
GO:0009653	0.777182662955867	anatomical structure morphogenesis
GO:0003747	0.777182662955867	translation release factor activity
GO:0008079	0.777182662955867	translation termination factor activity
GO:0009165	0.773402619387711	nucleotide biosynthetic process
GO:1901293	0.773402619387711	nucleoside phosphate biosynthetic process
GO:0006817	0.771365271380148	phosphate ion transport
GO:0050661	0.769471471046374	NADP binding
GO:0006750	0.769471471046374	glutathione biosynthetic process
GO:0004363	0.769471471046374	glutathione synthase activity
GO:0016987	0.769471471046374	sigma factor activity
GO:0043462	0.76699360797808	regulation of ATP-dependent activity
GO:0065009	0.76699360797808	regulation of molecular function
GO:0004523	0.761690106155528	RNA-DNA hybrid ribonuclease activity
GO:0004748	0.761690106155528	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
GO:0016728	0.761690106155528	oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor
GO:0061731	0.761690106155528	ribonucleoside-diphosphate reductase activity
GO:0015159	0.761690106155528	polysaccharide transmembrane transporter activity
GO:0006813	0.759863052235973	potassium ion transport
GO:0003684	0.754628202766244	damaged DNA binding
GO:0003911	0.754200855966813	DNA ligase (NAD+) activity
GO:0042221	0.754200855966813	response to chemical
GO:0098542	0.754200855966813	defense response to other organism
GO:0036094	0.754200855966813	small molecule binding
GO:0008374	0.745803036566011	O-acyltransferase activity
GO:0008811	0.745803036566011	chloramphenicol O-acetyltransferase activity
GO:0016413	0.745803036566011	O-acetyltransferase activity
GO:0003774	0.745803036566011	cytoskeletal motor activity
GO:0017111	0.745803036566011	nucleoside-triphosphatase activity
GO:0016763	0.745105934570186	pentosyltransferase activity
GO:0016757	0.745105934570186	glycosyltransferase activity
GO:0044877	0.745105934570186	protein-containing complex binding
GO:0006643	0.739813603141099	membrane lipid metabolic process
GO:0006664	0.739813603141099	glycolipid metabolic process
GO:0009245	0.739813603141099	lipid A biosynthetic process
GO:0009247	0.739813603141099	glycolipid biosynthetic process
GO:0009312	0.739813603141099	oligosaccharide biosynthetic process
GO:0046467	0.739813603141099	membrane lipid biosynthetic process
GO:0046493	0.739813603141099	lipid A metabolic process
GO:1901269	0.739813603141099	lipooligosaccharide metabolic process
GO:1901271	0.739813603141099	lipooligosaccharide biosynthetic process
GO:0009029	0.739813603141099	tetraacyldisaccharide 4'-kinase activity
GO:0043230	0.739813603141099	extracellular organelle
GO:0008818	0.739813603141099	cobalamin 5'-phosphate synthase activity
GO:0051073	0.739813603141099	adenosylcobinamide-GDP ribazoletransferase activity
GO:0005507	0.736044313030096	copper ion binding
GO:0016866	0.735813151803999	intramolecular transferase activity
GO:0008236	0.735813151803999	serine-type peptidase activity
GO:0017171	0.735813151803999	serine hydrolase activity
GO:0043207	0.735813151803999	response to external biotic stimulus
GO:0051707	0.735813151803999	response to other organism
GO:0044270	0.735813151803999	cellular nitrogen compound catabolic process
GO:0043168	0.732666729434026	anion binding
GO:0008198	0.731750120754088	ferrous iron binding
GO:1903509	0.73067227825806	liposaccharide metabolic process
GO:0009427	0.728140803847043	bacterial-type flagellum basal body, distal rod, L ring
GO:0004470	0.728140803847043	malic enzyme activity
GO:0004471	0.728140803847043	malate dehydrogenase (decarboxylating) (NAD+) activity
GO:0016615	0.728140803847043	malate dehydrogenase activity
GO:0008556	0.727067410361167	P-type potassium transmembrane transporter activity
GO:0015662	0.727067410361167	P-type ion transporter activity
GO:0019829	0.727067410361167	ATPase-coupled cation transmembrane transporter activity
GO:0140358	0.727067410361167	P-type transmembrane transporter activity
GO:0055070	0.727067410361167	copper ion homeostasis
GO:0051920	0.727067410361167	peroxiredoxin activity
GO:0044781	0.724373953204555	bacterial-type flagellum organization
GO:0009081	0.721042152502962	branched-chain amino acid metabolic process
GO:0009082	0.721042152502962	branched-chain amino acid biosynthetic process
GO:0016903	0.721042152502962	oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0004497	0.72101458610893	monooxygenase activity
GO:0004499	0.72101458610893	N,N-dimethylaniline monooxygenase activity
GO:0016709	0.72101458610893	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen
GO:0009294	0.715561773468649	DNA-mediated transformation
GO:0016462	0.712284321093831	pyrophosphatase activity
GO:0009308	0.7115233577416	amine metabolic process
GO:0000041	0.708345432866592	transition metal ion transport
GO:0005381	0.703852768620873	iron ion transmembrane transporter activity
GO:0006352	0.703806898750513	DNA-templated transcription, initiation
GO:0006855	0.700821489965841	xenobiotic transmembrane transport
GO:0042908	0.700821489965841	xenobiotic transport
GO:0009435	0.692843981368704	NAD biosynthetic process
GO:0019359	0.692843981368704	nicotinamide nucleotide biosynthetic process
GO:0019362	0.692843981368704	pyridine nucleotide metabolic process
GO:0019363	0.692843981368704	pyridine nucleotide biosynthetic process
GO:0046496	0.692843981368704	nicotinamide nucleotide metabolic process
GO:0072524	0.692843981368704	pyridine-containing compound metabolic process
GO:0072525	0.692843981368704	pyridine-containing compound biosynthetic process
GO:0030638	0.692843981368704	polyketide metabolic process
GO:0008984	0.692843981368704	protein-glutamate methylesterase activity
GO:0051723	0.692843981368704	protein methylesterase activity
GO:0004557	0.692843981368704	alpha-galactosidase activity
GO:0009424	0.690701615202203	bacterial-type flagellum hook
GO:0006418	0.690701615202203	tRNA aminoacylation for protein translation
GO:0005667	0.690701615202203	transcription regulator complex
GO:0017053	0.690701615202203	transcription repressor complex
GO:0110001	0.690701615202203	toxin-antitoxin complex
GO:0006059	0.690701615202203	hexitol metabolic process
GO:0019402	0.690701615202203	galactitol metabolic process
GO:0015925	0.684303411215889	galactosidase activity
GO:0009636	0.684303411215889	response to toxic substance
GO:0003910	0.675731894866907	DNA ligase (ATP) activity
GO:0044272	0.675659838469113	sulfur compound biosynthetic process
GO:0019637	0.673977614110381	organophosphate metabolic process
GO:0006050	0.67293749480488	mannosamine metabolic process
GO:0006051	0.67293749480488	N-acetylmannosamine metabolic process
GO:0047465	0.67293749480488	N-acylglucosamine-6-phosphate 2-epimerase activity
GO:0006952	0.672622945601961	defense response
GO:0009254	0.670007309693423	peptidoglycan turnover
GO:0015804	0.670007309693423	neutral amino acid transport
GO:0032328	0.670007309693423	alanine transport
GO:0008113	0.670007309693423	peptide-methionine (S)-S-oxide reductase activity
GO:0015175	0.670007309693423	neutral amino acid transmembrane transporter activity
GO:0015655	0.670007309693423	alanine:sodium symporter activity
GO:0016671	0.670007309693423	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor
GO:0022858	0.670007309693423	alanine transmembrane transporter activity
GO:0033743	0.670007309693423	peptide-methionine (R)-S-oxide reductase activity
GO:0043038	0.66670494295329	amino acid activation
GO:0043039	0.66670494295329	tRNA aminoacylation
GO:0004812	0.66670494295329	aminoacyl-tRNA ligase activity
GO:0016875	0.66670494295329	ligase activity, forming carbon-oxygen bonds
GO:0003700	0.665621482222461	DNA-binding transcription factor activity
GO:0140110	0.665621482222461	transcription regulator activity
GO:0048856	0.662811896579387	anatomical structure development
GO:0030288	0.66276482094676	outer membrane-bounded periplasmic space
GO:0097367	0.662131666019198	carbohydrate derivative binding
GO:0006826	0.661072986091573	iron ion transport
GO:0006536	0.661072986091573	glutamate metabolic process
GO:0006537	0.661072986091573	glutamate biosynthetic process
GO:0009084	0.661072986091573	glutamine family amino acid biosynthetic process
GO:0043650	0.661072986091573	dicarboxylic acid biosynthetic process
GO:0015930	0.661072986091573	glutamate synthase activity
GO:0009307	0.661072986091573	DNA restriction-modification system
GO:0044355	0.661072986091573	clearance of foreign intracellular DNA
GO:0099046	0.661072986091573	clearance of foreign intracellular nucleic acids
GO:0004721	0.659528198224106	phosphoprotein phosphatase activity
GO:0008138	0.659528198224106	protein tyrosine/serine/threonine phosphatase activity
GO:0034220	0.659528198224106	ion transmembrane transport
GO:0016774	0.658925349295718	phosphotransferase activity, carboxyl group as acceptor
GO:0016620	0.658594310145073	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
GO:0003918	0.658594310145073	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
GO:0007275	0.652404647206569	multicellular organism development
GO:0015939	0.652404647206569	pantothenate metabolic process
GO:0015940	0.652404647206569	pantothenate biosynthetic process
GO:0032501	0.652404647206569	multicellular organismal process
GO:0003864	0.652404647206569	3-methyl-2-oxobutanoate hydroxymethyltransferase activity
GO:0070206	0.652404647206569	protein trimerization
GO:0140101	0.646540896416618	catalytic activity, acting on a tRNA
GO:0048038	0.645820248456203	quinone binding
GO:1902494	0.63552262661379	catalytic complex
GO:0006812	0.629412515321331	cation transport
GO:0046685	0.624546020471346	response to arsenic-containing substance
GO:0008272	0.622901626255746	sulfate transport
GO:0072348	0.622901626255746	sulfur compound transport
GO:0008252	0.622901626255746	nucleotidase activity
GO:0008253	0.622901626255746	5'-nucleotidase activity
GO:0015116	0.622901626255746	sulfate transmembrane transporter activity
GO:1901682	0.622901626255746	sulfur compound transmembrane transporter activity
GO:0008417	0.622901626255746	fucosyltransferase activity
GO:0044780	0.622412021081689	bacterial-type flagellum assembly
GO:0070925	0.622412021081689	organelle assembly
GO:0140694	0.622412021081689	non-membrane-bounded organelle assembly
GO:0006099	0.622412021081689	tricarboxylic acid cycle
GO:0005615	0.612838121161655	extracellular space
GO:0090729	0.612838121161655	toxin activity
GO:0006865	0.612838121161655	amino acid transport
GO:0008704	0.611276791426169	5-carboxymethyl-2-hydroxymuconate delta-isomerase activity
GO:0016863	0.611276791426169	intramolecular oxidoreductase activity, transposing C=C bonds
GO:0003909	0.606846600923605	DNA ligase activity
GO:0006635	0.597029983825093	fatty acid beta-oxidation
GO:0009062	0.597029983825093	fatty acid catabolic process
GO:0016042	0.597029983825093	lipid catabolic process
GO:0019395	0.597029983825093	fatty acid oxidation
GO:0030258	0.597029983825093	lipid modification
GO:0033539	0.597029983825093	fatty acid beta-oxidation using acyl-CoA dehydrogenase
GO:0034440	0.597029983825093	lipid oxidation
GO:0044242	0.597029983825093	cellular lipid catabolic process
GO:0003995	0.597029983825093	acyl-CoA dehydrogenase activity
GO:0000096	0.590229983686815	sulfur amino acid metabolic process
GO:0006555	0.590229983686815	methionine metabolic process
GO:0009246	0.590229983686815	enterobacterial common antigen biosynthetic process
GO:0046378	0.590229983686815	enterobacterial common antigen metabolic process
GO:0006878	0.58794229733253	cellular copper ion homeostasis
GO:0046688	0.58794229733253	response to copper ion
GO:0015849	0.587422980657988	organic acid transport
GO:1901566	0.583387718906894	organonitrogen compound biosynthetic process
GO:0008509	0.582796388351714	anion transmembrane transporter activity
GO:0006419	0.57707145663595	alanyl-tRNA aminoacylation
GO:0004813	0.57707145663595	alanine-tRNA ligase activity
GO:0003690	0.57707145663595	double-stranded DNA binding
GO:0002161	0.576370413619832	aminoacyl-tRNA editing activity
GO:0022884	0.574177426066108	macromolecule transmembrane transporter activity
GO:0009271	0.574177426066108	phage shock
GO:0098586	0.574177426066108	cellular response to virus
GO:0015934	0.574177426066108	large ribosomal subunit
GO:0044391	0.574177426066108	ribosomal subunit
GO:1990904	0.574177426066108	ribonucleoprotein complex
GO:0004040	0.574177426066108	amidase activity
GO:0070403	0.574177426066108	NAD+ binding
GO:0016832	0.572341096765124	aldehyde-lyase activity
GO:0004252	0.569989126783752	serine-type endopeptidase activity
GO:0016891	0.567056971334852	endoribonuclease activity, producing 5'-phosphomonoesters
GO:0016742	0.562619984873897	hydroxymethyl-, formyl- and related transferase activity
GO:0004764	0.562619984873897	shikimate 3-dehydrogenase (NADP+) activity
GO:0070567	0.562619984873897	cytidylyltransferase activity
GO:0000166	0.562619984873897	nucleotide binding
GO:1901265	0.562619984873897	nucleoside phosphate binding
GO:0006556	0.5602078837065	S-adenosylmethionine biosynthetic process
GO:0046500	0.5602078837065	S-adenosylmethionine metabolic process
GO:0004478	0.5602078837065	methionine adenosyltransferase activity
GO:0005342	0.5602078837065	organic acid transmembrane transporter activity
GO:0046943	0.5602078837065	carboxylic acid transmembrane transporter activity
GO:0016868	0.5602078837065	intramolecular transferase activity, phosphotransferases
GO:0016810	0.547228204715224	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
GO:0016877	0.536798928993956	ligase activity, forming carbon-sulfur bonds
GO:0070887	0.536030191448636	cellular response to chemical stimulus
GO:0006013	0.531342936803403	mannose metabolic process
GO:0004559	0.531342936803403	alpha-mannosidase activity
GO:0015923	0.531342936803403	mannosidase activity
GO:0009055	0.524701868197401	electron transfer activity
GO:0006274	0.523510281104788	DNA replication termination
GO:0016833	0.523398248554729	oxo-acid-lyase activity
GO:0006144	0.52277437875913	purine nucleobase metabolic process
GO:0006778	0.52277437875913	porphyrin-containing compound metabolic process
GO:0006779	0.52277437875913	porphyrin-containing compound biosynthetic process
GO:0009113	0.52277437875913	purine nucleobase biosynthetic process
GO:0003937	0.52277437875913	IMP cyclohydrolase activity
GO:0004637	0.52277437875913	phosphoribosylamine-glycine ligase activity
GO:0004643	0.52277437875913	phosphoribosylaminoimidazolecarboxamide formyltransferase activity
GO:0004853	0.52277437875913	uroporphyrinogen decarboxylase activity
GO:0008762	0.52277437875913	UDP-N-acetylmuramate dehydrogenase activity
GO:0016814	0.52277437875913	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines
GO:0019238	0.52277437875913	cyclohydrolase activity
GO:0046915	0.52277437875913	transition metal ion transmembrane transporter activity
GO:0044282	0.52277437875913	small molecule catabolic process
GO:0000156	0.52277437875913	phosphorelay response regulator activity
GO:0001558	0.52277437875913	regulation of cell growth
GO:0016049	0.52277437875913	cell growth
GO:0040007	0.52277437875913	growth
GO:0040008	0.52277437875913	regulation of growth
GO:0097351	0.52277437875913	toxin sequestering activity
GO:0140313	0.52277437875913	molecular sequestering activity
