ann_term	q_val	annotation
GO:0016998	9.66419782054405e-12	cell wall macromolecule catabolic process
GO:0044036	9.66419782054405e-12	cell wall macromolecule metabolic process
GO:0044265	1.13468049956723e-11	cellular macromolecule catabolic process
GO:0006026	2.38360939404819e-10	aminoglycan catabolic process
GO:0006022	2.38360939404819e-10	aminoglycan metabolic process
GO:1901136	2.86513139946848e-10	carbohydrate derivative catabolic process
GO:0009057	4.45011106957758e-10	macromolecule catabolic process
GO:0003796	5.1365787761537e-10	lysozyme activity
GO:0016032	7.07735339367082e-10	viral process
GO:0019058	7.07735339367082e-10	viral life cycle
GO:1901565	3.37780052819662e-09	organonitrogen compound catabolic process
GO:0071554	8.06225244719013e-09	cell wall organization or biogenesis
GO:0007165	1.15041091428836e-08	signal transduction
GO:0044248	1.38404753220644e-08	cellular catabolic process
GO:0023052	1.67347434376868e-08	signaling
GO:0006027	3.74295806965089e-08	glycosaminoglycan catabolic process
GO:0009253	3.74295806965089e-08	peptidoglycan catabolic process
GO:0061783	3.74295806965089e-08	peptidoglycan muralytic activity
GO:0007154	4.33102075868333e-08	cell communication
GO:0000270	4.33102075868333e-08	peptidoglycan metabolic process
GO:0030203	4.33102075868333e-08	glycosaminoglycan metabolic process
GO:0019835	4.43933186150648e-08	cytolysis
GO:1901575	4.88580544660522e-08	organic substance catabolic process
GO:0019076	4.88580544660522e-08	viral release from host cell
GO:0035890	4.88580544660522e-08	exit from host
GO:0035891	4.88580544660522e-08	exit from host cell
GO:0052126	4.88580544660522e-08	movement in host environment
GO:0008767	1.83034158819427e-07	UDP-galactopyranose mutase activity
GO:0016811	2.11987716783416e-07	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0051701	3.07646288105108e-07	biological process involved in interaction with host
GO:0019068	5.48182733975437e-07	virion assembly
GO:0016462	7.96536211513894e-07	pyrophosphatase activity
GO:0044403	8.20360062771393e-07	biological process involved in symbiotic interaction
GO:0016903	1.56800732450518e-06	oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0009056	1.80487021843019e-06	catabolic process
GO:0016746	2.23093783830961e-06	acyltransferase activity
GO:0035556	2.32369887535246e-06	intracellular signal transduction
GO:0045333	2.36191793510856e-06	cellular respiration
GO:0008745	2.36191793510856e-06	N-acetylmuramoyl-L-alanine amidase activity
GO:0000160	2.43922148825307e-06	phosphorelay signal transduction system
GO:0016817	2.87867428294103e-06	hydrolase activity, acting on acid anhydrides
GO:0015980	3.49601037863823e-06	energy derivation by oxidation of organic compounds
GO:0016818	3.49601037863823e-06	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
GO:0016021	3.57807749568602e-06	integral component of membrane
GO:0031224	3.57807749568602e-06	intrinsic component of membrane
GO:0017111	3.57807749568602e-06	nucleoside-triphosphatase activity
GO:0005488	9.4294372073338e-06	binding
GO:0098796	1.1831621535878e-05	membrane protein complex
GO:0008483	1.1831621535878e-05	transaminase activity
GO:0016769	1.1831621535878e-05	transferase activity, transferring nitrogenous groups
GO:0009451	1.1831621535878e-05	RNA modification
GO:0003676	1.24540826100044e-05	nucleic acid binding
GO:0003677	1.3634614550007e-05	DNA binding
GO:0009060	1.66420506847653e-05	aerobic respiration
GO:0006793	2.67415846132316e-05	phosphorus metabolic process
GO:0043190	2.70493696186448e-05	ATP-binding cassette (ABC) transporter complex
GO:0098533	2.70493696186448e-05	ATPase dependent transmembrane transport complex
GO:0055085	2.70493696186448e-05	transmembrane transport
GO:0006091	2.70493696186448e-05	generation of precursor metabolites and energy
GO:0098797	2.70971714910135e-05	plasma membrane protein complex
GO:1902495	2.70971714910135e-05	transmembrane transporter complex
GO:1990351	2.70971714910135e-05	transporter complex
GO:0044419	2.78933969989949e-05	biological process involved in interspecies interaction between organisms
GO:0022857	3.11902699505152e-05	transmembrane transporter activity
GO:0016747	3.14250867887071e-05	acyltransferase activity, transferring groups other than amino-acyl groups
GO:0016645	3.20132511619584e-05	oxidoreductase activity, acting on the CH-NH group of donors
GO:0046034	3.53209238596159e-05	ATP metabolic process
GO:0016887	3.98380296011117e-05	ATP hydrolysis activity
GO:0015695	4.73410277432545e-05	organic cation transport
GO:0015837	4.73410277432545e-05	amine transport
GO:0034229	4.73410277432545e-05	ethanolamine transport
GO:0005275	4.73410277432545e-05	amine transmembrane transporter activity
GO:0015101	4.73410277432545e-05	organic cation transmembrane transporter activity
GO:0015665	4.73410277432545e-05	alcohol transmembrane transporter activity
GO:0034228	4.73410277432545e-05	ethanolamine transmembrane transporter activity
GO:0016646	5.37421590602616e-05	oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor
GO:0001522	5.37421590602616e-05	pseudouridine synthesis
GO:0009982	5.37421590602616e-05	pseudouridine synthase activity
GO:0016866	7.46715446846018e-05	intramolecular transferase activity
GO:0019627	8.07524289479566e-05	urea metabolic process
GO:0043419	8.07524289479566e-05	urea catabolic process
GO:0051716	8.87124425797407e-05	cellular response to stimulus
GO:0097159	9.57719727691877e-05	organic cyclic compound binding
GO:1901363	9.57719727691877e-05	heterocyclic compound binding
GO:0003924	9.85984952537857e-05	GTPase activity
GO:0003723	0.000109017313722307	RNA binding
GO:0016798	0.000110004466280219	hydrolase activity, acting on glycosyl bonds
GO:0004553	0.000119657397802753	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0005215	0.000130345725606771	transporter activity
GO:0005886	0.000130345725606771	plasma membrane
GO:0006575	0.000130345725606771	cellular modified amino acid metabolic process
GO:0022904	0.00013625415078623	respiratory electron transport chain
GO:0018941	0.000141934437361571	organomercury metabolic process
GO:0018942	0.000141934437361571	organometal metabolic process
GO:0046413	0.000141934437361571	organomercury catabolic process
GO:0018836	0.000141934437361571	alkylmercury lyase activity
GO:0016051	0.000141934437361571	carbohydrate biosynthetic process
GO:0006796	0.000142622157556683	phosphate-containing compound metabolic process
GO:0016620	0.000158220618724602	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
GO:0006935	0.000175050412432753	chemotaxis
GO:0042330	0.000175050412432753	taxis
GO:0051179	0.000175050412432753	localization
GO:0032880	0.000189579444266896	regulation of protein localization
GO:0050708	0.000189579444266896	regulation of protein secretion
GO:0051046	0.000189579444266896	regulation of secretion
GO:0051223	0.000189579444266896	regulation of protein transport
GO:0070201	0.000189579444266896	regulation of establishment of protein localization
GO:1903530	0.000189579444266896	regulation of secretion by cell
GO:0009058	0.000231423823942373	biosynthetic process
GO:0042398	0.00023329289635005	cellular modified amino acid biosynthetic process
GO:0004842	0.000234050585959221	ubiquitin-protein transferase activity
GO:0019787	0.000234050585959221	ubiquitin-like protein transferase activity
GO:0005525	0.000280647821979237	GTP binding
GO:0016491	0.000291070756327925	oxidoreductase activity
GO:0030170	0.000306639006565812	pyridoxal phosphate binding
GO:0070279	0.000306639006565812	vitamin B6 binding
GO:0090407	0.000315877503271124	organophosphate biosynthetic process
GO:0016772	0.000341726821357038	transferase activity, transferring phosphorus-containing groups
GO:0003824	0.000359084945276191	catalytic activity
GO:0016853	0.000368985486818078	isomerase activity
GO:0004197	0.000389440235995104	cysteine-type endopeptidase activity
GO:0004386	0.00039407505338736	helicase activity
GO:0071944	0.00045479384571092	cell periphery
GO:0051082	0.000463346296007495	unfolded protein binding
GO:0016780	0.000504553639082508	phosphotransferase activity, for other substituted phosphate groups
GO:0008047	0.00052670726140553	enzyme activator activity
GO:0019842	0.000582518062718736	vitamin binding
GO:0005506	0.000584956676189502	iron ion binding
GO:0019637	0.000663796827045819	organophosphate metabolic process
GO:1901566	0.000670598732132161	organonitrogen compound biosynthetic process
GO:0006119	0.000702304587954526	oxidative phosphorylation
GO:0019646	0.000702304587954526	aerobic electron transport chain
GO:0070069	0.000702304587954526	cytochrome complex
GO:0003746	0.000759143668628136	translation elongation factor activity
GO:0006414	0.000766322490036217	translational elongation
GO:0030983	0.000766322490036217	mismatched DNA binding
GO:0034660	0.000860354643877109	ncRNA metabolic process
GO:0016879	0.000862281123629904	ligase activity, forming carbon-nitrogen bonds
GO:0000287	0.000934833497128717	magnesium ion binding
GO:0005576	0.000934833497128717	extracellular region
GO:0016407	0.00101529590263029	acetyltransferase activity
GO:0036094	0.00103372043972087	small molecule binding
GO:1901576	0.00103690575896317	organic substance biosynthetic process
GO:0005515	0.00107999146463389	protein binding
GO:0043168	0.00111110760466764	anion binding
GO:0019001	0.00119558179929778	guanyl nucleotide binding
GO:0032561	0.00119558179929778	guanyl ribonucleotide binding
GO:0003697	0.00119558179929778	single-stranded DNA binding
GO:0006399	0.00119558179929778	tRNA metabolic process
GO:0016151	0.00119558179929778	nickel cation binding
GO:0006163	0.00119558179929778	purine nucleotide metabolic process
GO:0005887	0.00119558179929778	integral component of plasma membrane
GO:0031226	0.00119558179929778	intrinsic component of plasma membrane
GO:0047429	0.00119558179929778	nucleoside-triphosphate diphosphatase activity
GO:0140101	0.00119558179929778	catalytic activity, acting on a tRNA
GO:0009150	0.00119558179929778	purine ribonucleotide metabolic process
GO:0009259	0.00119558179929778	ribonucleotide metabolic process
GO:0019693	0.00119558179929778	ribose phosphate metabolic process
GO:0016849	0.00119558179929778	phosphorus-oxygen lyase activity
GO:0016740	0.00119558179929778	transferase activity
GO:0006950	0.00119558179929778	response to stress
GO:0016226	0.00119558179929778	iron-sulfur cluster assembly
GO:0031163	0.00119558179929778	metallo-sulfur cluster assembly
GO:0004673	0.00119558179929778	protein histidine kinase activity
GO:0016775	0.00119558179929778	phosphotransferase activity, nitrogenous group as acceptor
GO:0006810	0.00119558179929778	transport
GO:0051234	0.00119558179929778	establishment of localization
GO:0055086	0.00119558179929778	nucleobase-containing small molecule metabolic process
GO:0022804	0.00119558179929778	active transmembrane transporter activity
GO:0003842	0.00119558179929778	1-pyrroline-5-carboxylate dehydrogenase activity
GO:1990904	0.00119558179929778	ribonucleoprotein complex
GO:0004040	0.00119558179929778	amidase activity
GO:0071941	0.00119558179929778	nitrogen cycle metabolic process
GO:0006364	0.00119558179929778	rRNA processing
GO:0016072	0.00119558179929778	rRNA metabolic process
GO:0009165	0.00119558179929778	nucleotide biosynthetic process
GO:1901293	0.00119558179929778	nucleoside phosphate biosynthetic process
GO:0043545	0.00119558179929778	molybdopterin cofactor metabolic process
GO:0022613	0.00119558179929778	ribonucleoprotein complex biogenesis
GO:0042254	0.00119558179929778	ribosome biogenesis
GO:0006760	0.00119558179929778	folic acid-containing compound metabolic process
GO:0043170	0.00119558179929778	macromolecule metabolic process
GO:0006457	0.00119558179929778	protein folding
GO:0016836	0.00119558179929778	hydro-lyase activity
GO:0000155	0.00119558179929778	phosphorelay sensor kinase activity
GO:0140299	0.00119558179929778	small molecule sensor activity
GO:0016874	0.00119558179929778	ligase activity
GO:0008610	0.00119558179929778	lipid biosynthetic process
GO:0072521	0.00119558179929778	purine-containing compound metabolic process
GO:0044249	0.00119558179929778	cellular biosynthetic process
GO:0008851	0.00119558179929778	ethanolamine ammonia-lyase activity
GO:0051189	0.00119558179929778	prosthetic group metabolic process
GO:0072330	0.00119558179929778	monocarboxylic acid biosynthetic process
GO:0032991	0.00119558179929778	protein-containing complex
GO:0004177	0.00119558179929778	aminopeptidase activity
GO:0000097	0.00119558179929778	sulfur amino acid biosynthetic process
GO:0006420	0.00119558179929778	arginyl-tRNA aminoacylation
GO:0006721	0.00119558179929778	terpenoid metabolic process
GO:0009069	0.00119558179929778	serine family amino acid metabolic process
GO:0009123	0.00119558179929778	nucleoside monophosphate metabolic process
GO:0009124	0.00119558179929778	nucleoside monophosphate biosynthetic process
GO:0009126	0.00119558179929778	purine nucleoside monophosphate metabolic process
GO:0009127	0.00119558179929778	purine nucleoside monophosphate biosynthetic process
GO:0009156	0.00119558179929778	ribonucleoside monophosphate biosynthetic process
GO:0009161	0.00119558179929778	ribonucleoside monophosphate metabolic process
GO:0009167	0.00119558179929778	purine ribonucleoside monophosphate metabolic process
GO:0009168	0.00119558179929778	purine ribonucleoside monophosphate biosynthetic process
GO:0016114	0.00119558179929778	terpenoid biosynthetic process
GO:1901606	0.00119558179929778	alpha-amino acid catabolic process
GO:1902600	0.00119558179929778	proton transmembrane transport
GO:0033177	0.00119558179929778	proton-transporting two-sector ATPase complex, proton-transporting domain
GO:0045259	0.00119558179929778	proton-transporting ATP synthase complex
GO:0004814	0.00119558179929778	arginine-tRNA ligase activity
GO:0005261	0.00119558179929778	cation channel activity
