ann_term	q_val	annotation
PF13700	0.998183996190312	Domain of unknown function (DUF4158)
PF02048	0.99570105821007	Heat-stable enterotoxin ST
PF13117	0.991731092704033	Cag pathogenicity island protein Cag12
PF08878	0.987789257382299	Domain of unknown function (DUF1837)
PF13182	0.983945302337328	Protein of unknown function (DUF4007)
PF17466	0.983945302337328	Family of unknown function
PF07507	0.980069592003175	WavE lipopolysaccharide synthesis
PF04956	0.979540675934702	TrbC/VIRB2 family
PF13250	0.978591929173803	Domain of unknown function (DUF4041)
PF07819	0.977486009927367	PGAP1-like protein
PF07511	0.973970338318939	Protein of unknown function (DUF1525)
PF09686	0.973970338318939	Plasmid protein of unknown function (Plasmid_RAQPRD)
PF11190	0.973970338318939	Protein of unknown function (DUF2976)
PF11444	0.973970338318939	Protein of unknown function (DUF2895)
PF11660	0.973970338318939	Protein of unknown function (DUF3262)
PF11920	0.973970338318939	Protein of unknown function (DUF3438)
PF11990	0.973970338318939	Protein of unknown function (DUF3487)
PF12101	0.973970338318939	Protein of unknown function (DUF3577)
PF09482	0.973970338318939	Bacterial type III secretion apparatus protein (OrgA_MxiK)
PF04610	0.973970338318939	TrbL/VirB6 plasmid conjugal transfer protein
PF01306	0.971465554474312	LacY proton/sugar symporter
PF06154	0.969228546982766	CbeA_antitoxin, type IV, cytoskeleton bundling-enhancing factor A
PF13333	0.968699191617974	Integrase core domain
PF06414	0.968699191617974	Zeta toxin
PF10765	0.968170134928029	Protein of unknown function (DUF2591)
PF02316	0.967483490263693	Mu DNA-binding domain
PF12102	0.965732274260257	Domain of unknown function (DUF3578)
PF16510	0.965005769724119	Phage P22-like portal protein
PF17273	0.965005769724119	Family of unknown function (DUF5338)
PF04655	0.963629027123655	Aminoglycoside/hydroxyurea antibiotic resistance kinase
PF01845	0.963097154791139	CcdB protein
PF11019	0.962108448024496	Protein of unknown function (DUF2608)
PF07715	0.961655281311414	TonB-dependent Receptor Plug Domain
PF02902	0.960042004509187	Ulp1 protease family, C-terminal catalytic domain
PF03389	0.95667101502795	MobA/MobL family
PF06054	0.955821738003786	Competence protein CoiA-like family
PF11809	0.95509996592969	Domain of unknown function (DUF3330)
PF09378	0.953496512283561	HAS barrel domain
PF04076	0.952951387019265	Bacterial OB fold (BOF) protein
PF13565	0.952951387019265	Homeodomain-like domain
PF10721	0.950595970056621	Protein of unknown function (DUF2514)
PF04986	0.947908821455427	Putative transposase
PF17289	0.94505688170914	Terminase RNaseH-like domain
PF09274	0.944939760445492	ParG
PF10734	0.944187228360261	Protein of unknown function (DUF2523)
PF14088	0.942575462436052	Domain of unknown function (DUF4268)
PF06319	0.9423068659165	DNA repair protein MmcB-like
PF08808	0.940720113337261	RES domain
PF13523	0.939002413427605	Acetyltransferase (GNAT) domain
PF13086	0.937316801824081	AAA domain
PF06308	0.937141300369338	23S rRNA methylase leader peptide (ErmC)
PF17178	0.936001190435939	Membrane-associated sensor
PF08048	0.931162986620888	Tap RepA1 leader peptide
PF03796	0.931162986620888	DnaB-like helicase C terminal domain
PF08845	0.930868555609836	Toxin SymE, type I toxin-antitoxin system
PF01850	0.928487020826823	PIN domain
PF03417	0.928487020826823	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
PF09889	0.928487020826823	Uncharacterized protein containing a Zn-ribbon (DUF2116)
PF14130	0.928487020826823	Domain of unknown function (DUF4297)
PF14213	0.9271611496959	STAS-like domain of unknown function (DUF4325)
PF13614	0.925543906215602	AAA domain
PF00149	0.925006021004041	Calcineurin-like phosphoesterase
PF00662	0.924214244261933	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
PF17059	0.924060085617063	MgtA leader peptide
PF00355	0.923917831841327	Rieske [2Fe-2S] domain
PF00848	0.923917831841327	Ring hydroxylating alpha subunit (catalytic domain)
PF06231	0.923917831841327	Protein of unknown function (DUF1010)
PF10948	0.92335353790033	Protein of unknown function (DUF2635)
PF05598	0.921225204250872	Transposase domain (DUF772)
PF07362	0.919245734853266	Post-segregation antitoxin CcdA
PF03237	0.918108616386054	Terminase-like family
PF13646	0.914799677764455	HEAT repeats
PF00109	0.913870636770701	Beta-ketoacyl synthase, N-terminal domain
PF02801	0.913870636770701	Beta-ketoacyl synthase, C-terminal domain
PF01507	0.913870636770701	Phosphoadenosine phosphosulfate reductase family
PF05526	0.913347020092941	Rhodococcus equi virulence-associated protein
PF16816	0.9125860052718	DotD protein
PF11692	0.910723072347909	Protein of unknown function (DUF3289)
PF14667	0.910723072347909	Polysaccharide biosynthesis C-terminal domain
PF00723	0.907468526685296	Glycosyl hydrolases family 15
PF09008	0.907468526685296	Head binding
PF16677	0.90347657316143	DNA-packaging protein gp3
PF13954	0.900536073120053	PapC N-terminal domain
PF05816	0.900536073120053	Toxic anion resistance protein (TelA)
PF10892	0.900536073120053	Protein of unknown function (DUF2688)
PF13707	0.900536073120053	RloB-like protein
PF00772	0.900358126721255	DnaB-like helicase N terminal domain
PF05775	0.899655563348434	Enterobacteria AfaD invasin protein
PF06613	0.89932349250229	KorB C-terminal beta-barrel domain
PF07042	0.89932349250229	TrfA protein
PF07283	0.89932349250229	Conjugal transfer protein TrbH
PF11657	0.89932349250229	Transcriptional activator TraM
PF17394	0.89932349250229	Uncharacterized KleE stable inheritance protein
PF08483	0.89932349250229	IstB-like ATP binding N-terminal
PF07820	0.89932349250229	TraC-like protein
PF01041	0.896327221911449	DegT/DnrJ/EryC1/StrS aminotransferase family
PF04326	0.894204850174883	Putative DNA-binding domain
PF05621	0.892219670953523	Bacterial TniB protein
PF12792	0.892059910832086	CSS motif domain associated with EAL
PF12844	0.885196073323136	Helix-turn-helix domain
PF06511	0.883309472822232	Invasion plasmid antigen IpaD
PF11058	0.883309472822232	Antirestriction protein Ral
PF00251	0.8815766013581	Glycosyl hydrolases family 32 N-terminal domain
PF08244	0.8815766013581	Glycosyl hydrolases family 32 C terminal
PF10144	0.8815766013581	Bacterial virulence factor haemolysin
PF10437	0.8815766013581	Bacterial lipoate protein ligase C-terminus
PF00080	0.878252967487943	Copper/zinc superoxide dismutase (SODC)
PF10618	0.877724975571965	Phage tail tube protein
PF11153	0.876390937606447	Protein of unknown function (DUF2931)
PF06977	0.874478748759567	SdiA-regulated
PF02914	0.874189328739931	Bacteriophage Mu transposase
PF02485	0.872913530604156	Core-2/I-Branching enzyme
PF03860	0.872913530604156	Domain of Unknown Function (DUF326)
PF03903	0.872913530604156	Phage T4 tail fibre
PF04191	0.872913530604156	Phospholipid methyltransferase
PF04970	0.872913530604156	Lecithin retinol acyltransferase
PF05013	0.872913530604156	N-formylglutamate amidohydrolase
PF08748	0.872913530604156	Phage tail assembly chaperone
PF08809	0.872913530604156	Phage related hypothetical protein (DUF1799)
PF10045	0.872913530604156	Uncharacterized conserved protein (DUF2280)
PF12729	0.872913530604156	Four helix bundle sensory module for signal transduction
PF13602	0.872913530604156	Zinc-binding dehydrogenase
PF14252	0.872913530604156	Domain of unknown function (DUF4347)
PF16184	0.872913530604156	Cadherin-like
PF02195	0.872913530604156	ParB-like nuclease domain
PF12840	0.872913530604156	Helix-turn-helix domain
PF06034	0.872913530604156	Nucleopolyhedrovirus protein of unknown function (DUF919)
PF17271	0.872913530604156	TcfC Usher-like barrel domain
PF17438	0.872913530604156	Family of unknown function (DUF5417)
PF06048	0.872913530604156	Domain of unknown function (DUF927)
PF01494	0.872047042393503	FAD binding domain
PF03230	0.872047042393503	Antirestriction protein
PF02129	0.867581780496828	X-Pro dipeptidyl-peptidase (S15 family)
PF04837	0.86699434913173	MbeB-like, N-term conserved region
PF04899	0.86699434913173	MbeD/MobD like
PF01797	0.86622646712746	Transposase IS200 like
PF04741	0.865727529547014	InvH outer membrane lipoprotein
PF14338	0.862489133793008	Mrr N-terminal domain
PF07424	0.862489133793008	TrbM
PF10834	0.862489133793008	Protein of unknown function (DUF2560)
PF11134	0.862489133793008	Phage stabilisation protein
PF11650	0.862489133793008	P22 tail accessory factor
PF10623	0.862489133793008	Plasmid conjugative transfer protein PilI
PF00361	0.862321688668665	Proton-conducting membrane transporter
PF08861	0.862040495499822	Domain of unknown function DUF1828
PF07506	0.8619731718409	RepB plasmid partitioning protein
PF04221	0.861794632305953	RelB antitoxin
PF12602	0.859583665402331	Fertility inhibition protein N terminal
PF11423	0.858784923136523	Regulatory protein Mnt
PF00577	0.857130576413364	Outer membrane usher protein
PF13276	0.857130576413364	HTH-like domain
PF06213	0.85657925213823	Cobalamin biosynthesis protein CobT
PF09134	0.854463308937472	Invasin, domain 3
PF01024	0.854463308937472	Colicin pore forming domain
PF11393	0.852240117607592	Type-IV b secretion system, inner-membrane complex component
PF12293	0.852240117607592	Putative outer membrane core complex of type IVb secretion
PF16932	0.852240117607592	Type IV secretory system, conjugal DNA-protein transfer
PF14090	0.84922719919364	Helix-turn-helix domain
PF03865	0.84922719919364	Haemolysin secretion/activation protein ShlB/FhaC/HecB
PF10592	0.849159964176927	AIPR protein
PF10743	0.84873792037038	Regulatory phage protein cox
PF06067	0.847849746892957	Domain of unknown function (DUF932)
PF13744	0.847605788094171	Helix-turn-helix domain
PF14279	0.846122138790434	HNH endonuclease
PF12482	0.842648430807748	Phage integrase protein
PF13751	0.842648430807748	Transposase DDE domain
PF09306	0.842648430807748	Bacteriophage, scaffolding protein
PF13655	0.841889664312934	N-terminal domain of reverse transcriptase
PF02706	0.839981985626887	Chain length determinant protein
PF01972	0.839555784792633	Serine dehydrogenase proteinase
PF05973	0.839142874416519	Phage derived protein Gp49-like (DUF891)
PF17282	0.837964914341173	Family of unknown function (DUF5347)
PF06504	0.835856223981524	Replication protein C (RepC)
PF00593	0.835255248893812	TonB dependent receptor
PF03743	0.830633295509627	Bacterial conjugation TrbI-like protein
PF11924	0.830633295509627	Inverse autotransporter, beta-domain
PF01546	0.830249079369803	Peptidase family M20/M25/M40
PF15654	0.829202881254477	Toxin with a conserved tryptophan and TIP tripeptide motif
PF10711	0.828929109753973	Hypothetical protein (DUF2513)
PF07702	0.826784050015436	UTRA domain
PF00498	0.825711634511821	FHA domain
PF15635	0.825711634511821	GHH signature containing HNH/Endo VII superfamily nuclease toxin  2
PF16509	0.823901339925825	TrfB plasmid transcriptional repressor
PF16363	0.820866376182275	GDP-mannose 4,6 dehydratase
PF02449	0.820473341798109	Beta-galactosidase
PF07745	0.820473341798109	Glycosyl hydrolase family 53
PF08532	0.820473341798109	Beta-galactosidase trimerisation domain
PF08533	0.820473341798109	Beta-galactosidase C-terminal domain
PF14082	0.819857933880372	Domain of unknown function (DUF4263)
PF07196	0.819857933880372	Flagellin hook IN motif
PF06199	0.81662113000628	Phage tail tube protein
PF13437	0.815214153915985	HlyD family secretion protein
PF14031	0.814309335723965	Putative serine dehydratase domain
PF02719	0.81343489835458	Polysaccharide biosynthesis protein
PF05272	0.811349339913306	Virulence-associated protein E
PF10926	0.811349339913306	Protein of unknown function (DUF2800)
PF10991	0.811349339913306	Protein of unknown function (DUF2815)
PF13477	0.80871650373904	Glycosyl transferase 4-like
PF10723	0.808653977304213	Replication regulatory protein RepB
PF11504	0.808562594711712	Colicin Ia
PF10134	0.80721662555852	Replication initiator protein A
PF09601	0.806829853993165	Protein of unknown function (DUF2459)
PF14052	0.806829853993165	Capsule assembly protein Wzi
PF08665	0.806793431411562	PglZ domain
PF08747	0.806793431411562	Domain of unknown function (DUF1788)
PF13337	0.806793431411562	Putative ATP-dependent Lon protease
PF13643	0.806793431411562	Domain of unknown function (DUF4145)
PF01052	0.803892545638447	Type III flagellar switch regulator (C-ring) FliN C-term
PF01197	0.803703101756587	Ribosomal protein L31
