ann_term	q_val	annotation
PF00307	0.0436418476400791	Calponin homology (CH) domain
PF03062	0.0436418476400791	MBOAT, membrane-bound O-acyltransferase family
PF02375	0.0436418476400791	jmjN domain
PF13855	0.07756755161385	Leucine rich repeat
PF07496	0.07756755161385	CW-type Zinc Finger
PF00614	0.07756755161385	Phospholipase D Active site motif
PF12796	0.07756755161385	Ankyrin repeats (3 copies)
PF12430	0.07756755161385	Abscisic acid G-protein coupled receptor
PF03953	0.07756755161385	Tubulin C-terminal domain
PF00560	0.07756755161385	Leucine Rich Repeat
PF01201	0.07756755161385	Ribosomal protein S8e
PF02002	0.07756755161385	TFIIE alpha subunit
PF00173	0.07756755161385	Cytochrome b5-like Heme/Steroid binding domain
PF00324	0.07756755161385	Amino acid permease
PF13499	0.07756755161385	EF-hand domain pair
PF11923	0.07756755161385	NFACT protein C-terminal domain
PF03331	0.07756755161385	UDP-3-O-acyl N-acetylglycosamine deacetylase
PF00786	0.07756755161385	P21-Rho-binding domain
PF05047	0.07756755161385	Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain
PF09369	0.07756755161385	Domain of unknown function (DUF1998)
PF10175	0.07756755161385	M-phase phosphoprotein 6
PF01127	0.0905827322088143	Succinate dehydrogenase/Fumarate reductase transmembrane subunit
PF14966	0.0905827322088143	DNA repair REX1-B
PF07035	0.0905827322088143	Colon cancer-associated protein Mic1-like
PF09269	0.0905827322088143	Domain of unknown function (DUF1967)
PF08276	0.0905827322088143	PAN-like domain
PF16029	0.0905827322088143	Domain of unknown function (DUF4787)
PF00962	0.0905827322088143	Adenosine/AMP deaminase
PF08766	0.0905827322088143	DEK C terminal domain
PF08449	0.0905827322088143	UAA transporter family
PF10497	0.0905827322088143	Zinc-finger domain of monoamine-oxidase A repressor R1
PF03006	0.0905827322088143	Haemolysin-III related
PF01381	0.0905827322088143	Helix-turn-helix
PF01016	0.0905827322088143	Ribosomal L27 protein
PF01412	0.0905827322088143	Putative GTPase activating protein for Arf
PF05536	0.0905827322088143	Neurochondrin
PF10674	0.0905827322088143	Protein of unknown function (DUF2488)
PF00805	0.0905827322088143	Pentapeptide repeats (8 copies)
PF13418	0.0905827322088143	Galactose oxidase, central domain
PF08216	0.0905827322088143	Catenin-beta-like, Arm-motif containing nuclear
PF00549	0.0905827322088143	CoA-ligase
PF01453	0.0905827322088143	D-mannose binding lectin
PF10693	0.0905827322088143	Protein of unknown function (DUF2499)
PF05131	0.0905827322088143	Pep3/Vps18/deep orange family
PF00576	0.0905827322088143	HIUase/Transthyretin family
PF14413	0.0905827322088143	Thg1 C terminal domain
PF11721	0.0905827322088143	Malectin domain
PF03453	0.0905827322088143	MoeA N-terminal region (domain I and II)
PF03454	0.0905827322088143	MoeA C-terminal region (domain IV)
PF12766	0.0905827322088143	Pyridoxamine 5'-phosphate oxidase
PF13409	0.0905827322088143	Glutathione S-transferase, N-terminal domain
PF12146	0.0905827322088143	Serine aminopeptidase, S33
PF15044	0.0905827322088143	Mitochondrial function, CLU-N-term
PF00583	0.0905827322088143	Acetyltransferase (GNAT) family
PF05833	0.0905827322088143	Fibronectin-binding protein A N-terminus (FbpA)
PF03109	0.0905827322088143	ABC1 family
PF00856	0.0905827322088143	SET domain
PF12698	0.0905827322088143	ABC-2 family transporter protein
PF14237	0.0905827322088143	GYF domain 2
PF19086	0.0925387680280285	Terpene synthase family 2, C-terminal metal binding
PF00954	0.0925387680280285	S-locus glycoprotein domain
PF01652	0.0938262742395084	Eukaryotic initiation factor 4E
PF14529	0.0938262742395084	Endonuclease-reverse transcriptase
PF08523	0.0938262742395084	Multiprotein bridging factor 1
PF00855	0.0938262742395084	PWWP domain
PF04446	0.0963275050256405	tRNAHis guanylyltransferase
PF19037	0.0994846612420528	Second Longin domain of FUZ, MON1 and HPS1
PF13516	0.103625242551315	Leucine Rich repeat
PF00994	0.103625242551315	Probable molybdopterin binding domain
PF07983	0.103625242551315	X8 domain
PF02809	0.103625242551315	Ubiquitin interaction motif
PF04110	0.103625242551315	Ubiquitin-like autophagy protein Apg12
PF12295	0.103625242551315	Symplekin tight junction protein C terminal
PF15511	0.105891722039087	Centromere kinetochore component CENP-T histone fold
PF03514	0.105891722039087	GRAS domain family
PF12348	0.105891722039087	CLASP N terminal
PF05030	0.107337520916594	SSXT protein (N-terminal region)
PF03966	0.107337520916594	Trm112p-like protein
PF16876	0.10879048720174	Lipin/Ned1/Smp2 multi-domain protein middle domain
PF13959	0.10879048720174	Domain of unknown function (DUF4217)
PF01820	0.10879048720174	D-ala D-ala ligase N-terminus
PF00168	0.111458890702504	C2 domain
PF07019	0.114459598329283	Rab5-interacting protein (Rab5ip)
PF04968	0.114459598329283	CHORD
PF11875	0.114459598329283	Domain of unknown function (DUF3395)
PF17800	0.114459598329283	Nucleoplasmin-like domain
PF03600	0.114459598329283	Citrate transporter
PF15277	0.115295151683588	Exocyst complex component SEC3 N-terminal PIP2 binding PH
PF02129	0.115295151683588	X-Pro dipeptidyl-peptidase (S15 family)
PF14383	0.115295151683588	DUF761-associated sequence motif
PF00464	0.115295151683588	Serine hydroxymethyltransferase
PF01663	0.115295151683588	Type I phosphodiesterase / nucleotide pyrophosphatase
PF03169	0.115295151683588	OPT oligopeptide transporter protein
PF00588	0.115523851468796	SpoU rRNA Methylase family
PF02170	0.115523851468796	PAZ domain
PF09420	0.115523851468796	Ribosome biogenesis protein Nop16
PF00504	0.115523851468796	Chlorophyll A-B binding protein
PF00388	0.115523851468796	Phosphatidylinositol-specific phospholipase C, X domain
PF02791	0.115523851468796	DDT domain
PF03868	0.115523851468796	Ribosomal protein L6, N-terminal domain
PF01974	0.115523851468796	tRNA intron endonuclease, catalytic C-terminal domain
PF06827	0.124034358619512	Zinc finger found in FPG and IleRS
PF10839	0.124034358619512	Protein of unknown function (DUF2647)
PF09180	0.124034358619512	Prolyl-tRNA synthetase, C-terminal
PF11605	0.124489320249252	Vacuolar protein sorting protein 36 Vps36
PF16053	0.124489320249252	Mitochondrial 28S ribosomal protein S34
PF02991	0.124489320249252	Autophagy protein Atg8 ubiquitin like
PF12763	0.124489320249252	Cytoskeletal-regulatory complex EF hand
PF05721	0.124489320249252	Phytanoyl-CoA dioxygenase (PhyH)
PF13423	0.124489320249252	Ubiquitin carboxyl-terminal hydrolase
PF13625	0.124489320249252	Helicase conserved C-terminal domain
PF17047	0.126762288787838	Synaptotagmin-like mitochondrial-lipid-binding domain
PF13967	0.134210636373066	Late exocytosis, associated with Golgi transport
PF11883	0.136805919850367	Domain of unknown function (DUF3403)
PF10521	0.137055748082081	Tti2 family
