ann_term	CC	annotation
PF01453	0.677799127987814	D-mannose binding lectin
PF16884	0.614824379343189	N-terminal domain of oxidoreductase
PF13561	0.609862732480279	Enoyl-(Acyl carrier protein) reductase
PF00248	0.592916800117726	Aldo/keto reductase family
PF00954	0.582344675648295	S-locus glycoprotein domain
PF08263	0.569024562147098	Leucine rich repeat N-terminal domain
PF14576	0.564573221118316	Sieve element occlusion N-terminus
PF05691	0.563108752425937	Raffinose synthase or seed imbibition protein Sip1
PF00107	0.561276759738093	Zinc-binding dehydrogenase
PF14577	0.560066565269037	Sieve element occlusion C-terminus
PF08276	0.559482933564579	PAN-like domain
PF14476	0.552578754872392	Petal formation-expressed
PF13855	0.54963597286742	Leucine rich repeat
PF11721	0.547803980179576	Malectin domain
PF00704	0.547002483378645	Glycosyl hydrolases family 18
PF13905	0.537384521767466	Thioredoxin-like
PF01061	0.530705381759702	ABC-2 type transporter
PF13602	0.527728393641957	Zinc-binding dehydrogenase
PF02798	0.525285736724832	Glutathione S-transferase, N-terminal domain
PF00689	0.522804913293377	Cation transporting ATPase, C-terminus
PF05368	0.50406515475731	NmrA-like family
PF03492	0.503683489614009	SAM dependent carboxyl methyltransferase
PF17801	0.491966369714676	Alpha galactosidase C-terminal beta sandwich domain
PF08240	0.490172543541162	Alcohol dehydrogenase GroES-like domain
PF17048	0.488273523678988	Neutral/alkaline non-lysosomal ceramidase, C-terminal
PF07258	0.486149861855372	COMM domain
PF11883	0.482691906732467	Domain of unknown function (DUF3403)
PF01221	0.481928576445866	Dynein light chain type 1
PF02536	0.480287416329672	mTERF
PF00182	0.480096583758022	Chitinase class I
PF16499	0.475773752006599	Alpha galactosidase A
PF00405	0.47431770744469	Transferrin
PF03467	0.47383727540789	Smg-4/UPF3 family
PF00909	0.473531943293249	Ammonium Transporter Family
PF13091	0.472844946035308	PLD-like domain
PF01814	0.471661784091075	Hemerythrin HHE cation binding domain
PF00690	0.470525756266283	Cation transporter/ATPase, N-terminus
PF00560	0.46895196157364	Leucine Rich Repeat
PF08370	0.46883746203065	Plant PDR ABC transporter associated
PF18317	0.468264964315699	Shikimate 5'-dehydrogenase C-terminal domain
PF14226	0.467997798715388	non-haem dioxygenase in morphine synthesis N-terminal
PF03140	0.467959632201058	Plant protein of unknown function
PF00702	0.465173476654963	haloacid dehalogenase-like hydrolase
PF00201	0.464791811511662	UDP-glucoronosyl and UDP-glucosyl transferase
PF14380	0.46372314911042	Wall-associated receptor kinase C-terminal
PF12202	0.463074318366808	Oxidative-stress-responsive kinase 1 C-terminal domain
PF00043	0.456128012758735	Glutathione S-transferase, C-terminal domain
PF00011	0.454792184757182	Hsp20/alpha crystallin family
PF00122	0.452998358583668	E1-E2 ATPase
PF08501	0.450708367723864	Shikimate dehydrogenase substrate binding domain
PF03255	0.450387816060289	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
PF12796	0.444716224974042	Ankyrin repeats (3 copies)
PF01494	0.441586570798976	FAD binding domain
PF05686	0.439258413424841	Glycosyl transferase family 90
PF02458	0.438075251480609	Transferase family
PF13637	0.436663090450396	Ankyrin repeats (many copies)
PF14510	0.434754764733892	ABC-transporter N-terminal
PF05634	0.429525952270672	APO RNA-binding
PF08100	0.426472631124266	Dimerisation domain
PF04863	0.425943153048976	Alliinase EGF-like domain
PF03171	0.425174969637043	2OG-Fe(II) oxygenase superfamily
PF04511	0.423113977863219	Der1-like family
PF02668	0.422159815004967	Taurine catabolism dioxygenase TauD, TfdA family
PF02153	0.41857216265794	Prephenate dehydrogenase
PF10442	0.418258216233877	FIST C domain
PF03552	0.410977026306255	Cellulose synthase
PF05183	0.410938859791925	RNA dependent RNA polymerase
PF00067	0.409603031790372	Cytochrome P450
PF02833	0.408716185892935	DHHA2 domain
PF13668	0.408084148766961	Ferritin-like domain
PF01384	0.407580206530878	Phosphate transporter family
PF01476	0.405519214757054	LysM domain
PF13516	0.405481048242724	Leucine Rich repeat
PF00060	0.405252049156744	Ligand-gated ion channel
PF19160	0.403656748724222	SPARK
PF05834	0.399488905492902	Lycopene cyclase protein
PF01094	0.398954574292281	Receptor family ligand binding region
PF16916	0.397969829703807	Dimerisation domain of Zinc Transporter
PF16041	0.394715907768079	Domain of unknown function (DUF4793)
PF04145	0.391931935655547	Ctr copper transporter family
PF07107	0.391855602626887	Wound-induced protein WI12
PF13962	0.387962618165219	Domain of unknown function
PF01225	0.38787799512545	Mur ligase family, catalytic domain
PF04734	0.387855510640653	Neutral/alkaline non-lysosomal ceramidase, N-terminal
PF08787	0.382919966412857	Alginate lyase
PF00933	0.382733805701999	Glycosyl hydrolase family 3 N terminal domain
PF01925	0.377237827638468	Sulfite exporter TauE/SafE
PF02727	0.375138669350314	Copper amine oxidase, N2 domain
PF08245	0.374871503750003	Mur ligase middle domain
PF04970	0.373390126018255	Lecithin retinol acyltransferase
PF00891	0.371398350945967	O-methyltransferase domain
PF11838	0.367772532084609	ERAP1-like C-terminal domain
PF01554	0.367085534826668	MatE
PF07714	0.366360371054397	Protein tyrosine and serine/threonine kinase
PF03094	0.36303988430768	Mlo family
PF03936	0.358307236530751	Terpene synthase family, metal binding domain
PF03070	0.357505739729819	TENA/THI-4/PQQC family
PF00967	0.355401045271176	Barwin family
PF19055	0.355330248413005	ABC-2 type transporter
PF01734	0.354070753440112	Patatin-like phospholipase
PF01470	0.353994420411452	Pyroglutamyl peptidase
PF01177	0.352293541326784	Asp/Glu/Hydantoin racemase
PF02212	0.351780762580308	Dynamin GTPase effector domain
PF01643	0.350184443035622	Acyl-ACP thioesterase
PF14363	0.345597787258835	Domain associated at C-terminal with AAA
PF16759	0.345398780198621	DNA ligase 3 BRCT domain
PF13968	0.345146367124919	Domain of unknown function (DUF4220)
PF04107	0.341634980884125	Glutamate-cysteine ligase family 2(GCS2)
PF02873	0.341485294909442	UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain
PF07279	0.340623942010169	Protein of unknown function (DUF1442)
PF12999	0.340528130873441	Glucosidase II beta subunit-like
PF08488	0.339892264308817	Wall-associated kinase
PF00082	0.339491144966023	Subtilase family
PF01535	0.339223979365713	PPR repeat
PF01738	0.338613315136432	Dienelactone hydrolase family
PF16040	0.338398828646594	Domain of unknown function (DUF4792)
PF01545	0.3378118183355	Cation efflux family
PF00314	0.337124821077559	Thaumatin family
PF11416	0.334860489204662	Syntaxin-5 N-terminal, Sly1p-binding domain
PF02875	0.334567664617443	Mur ligase family, glutamate ligase domain
PF01975	0.332468506329289	Survival protein SurE
PF07687	0.33052831353553	Peptidase dimerisation domain
PF01397	0.329491518211543	Terpene synthase, N-terminal domain
PF07885	0.329306961799602	Ion channel
PF00497	0.328995353525252	Bacterial extracellular solute-binding proteins, family 3
PF00732	0.32769769203803	GMC oxidoreductase
PF03942	0.32747493419571	DTW domain
PF03073	0.326996688386586	TspO/MBR family
PF01471	0.326896195237098	Putative peptidoglycan binding domain
PF03405	0.326896195237098	Fatty acid desaturase
PF04832	0.325865699350186	SOUL heme-binding protein
PF00580	0.324873369977604	UvrD/REP helicase N-terminal domain
PF00407	0.323652041519042	Pathogenesis-related protein Bet v 1 family
PF01487	0.323194043347081	Type I 3-dehydroquinase
PF11145	0.3225833791178	Protein of unknown function (DUF2921)
PF00903	0.322316213517489	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF00431	0.321890678218156	CUB domain
PF01233	0.320706361261994	Myristoyl-CoA:protein N-myristoyltransferase, N-terminal domain
PF00464	0.319949889629025	Serine hydroxymethyltransferase
PF10044	0.319696838799434	Retinal tissue protein
PF03819	0.318713477402232	MazG nucleotide pyrophosphohydrolase domain
PF14432	0.317125567568599	DYW family of nucleic acid deaminases
PF09752	0.317055277198573	Abhydrolase domain containing 18
PF17677	0.317049234539939	Glycosyl hydrolases family 38 C-terminal beta sandwich domain
PF12708	0.316864440989835	Pectate lyase superfamily protein
PF01758	0.316095071681687	Sodium Bile acid symporter family
