ann_term	q_val	annotation
GO:0009404	0.996548637438355	toxin metabolic process
GO:0015294	0.996548637438355	solute:cation symporter activity
GO:0006979	0.996548637438355	response to oxidative stress
GO:0006163	0.994584526874585	purine nucleotide metabolic process
GO:0072521	0.994584526874585	purine-containing compound metabolic process
GO:0015675	0.990728383170517	nickel cation transport
GO:0035444	0.990728383170517	nickel cation transmembrane transport
GO:0015099	0.990728383170517	nickel cation transmembrane transporter activity
GO:0005515	0.990728383170517	protein binding
GO:0015562	0.990728383170517	efflux transmembrane transporter activity
GO:0000041	0.989049654090508	transition metal ion transport
GO:0022890	0.989049654090508	inorganic cation transmembrane transporter activity
GO:0015740	0.989049654090508	C4-dicarboxylate transport
GO:0015556	0.989049654090508	C4-dicarboxylate transmembrane transporter activity
GO:0015267	0.984913211843034	channel activity
GO:0022803	0.984913211843034	passive transmembrane transporter activity
GO:0006260	0.984913211843034	DNA replication
GO:0000270	0.98123511669475	peptidoglycan metabolic process
GO:0006022	0.98123511669475	aminoglycan metabolic process
GO:0030203	0.98123511669475	glycosaminoglycan metabolic process
GO:0006026	0.98123511669475	aminoglycan catabolic process
GO:0006027	0.98123511669475	glycosaminoglycan catabolic process
GO:0009253	0.98123511669475	peptidoglycan catabolic process
GO:1901136	0.98123511669475	carbohydrate derivative catabolic process
GO:0061783	0.98123511669475	peptidoglycan muralytic activity
GO:0009123	0.98123511669475	nucleoside monophosphate metabolic process
GO:0009124	0.98123511669475	nucleoside monophosphate biosynthetic process
GO:0009126	0.98123511669475	purine nucleoside monophosphate metabolic process
GO:0009127	0.98123511669475	purine nucleoside monophosphate biosynthetic process
GO:0009156	0.98123511669475	ribonucleoside monophosphate biosynthetic process
GO:0009161	0.98123511669475	ribonucleoside monophosphate metabolic process
GO:0009167	0.98123511669475	purine ribonucleoside monophosphate metabolic process
GO:0009168	0.98123511669475	purine ribonucleoside monophosphate biosynthetic process
GO:0043412	0.98123511669475	macromolecule modification
GO:0044267	0.98123511669475	cellular protein metabolic process
GO:0008408	0.98123511669475	3'-5' exonuclease activity
GO:0046915	0.98123511669475	transition metal ion transmembrane transporter activity
GO:0006952	0.98123511669475	defense response
GO:0003333	0.98123511669475	amino acid transmembrane transport
GO:0043213	0.98123511669475	bacteriocin transport
GO:0043226	0.979881046528051	organelle
GO:0004521	0.972214699289737	endoribonuclease activity
GO:0015288	0.971077623700674	porin activity
GO:0022829	0.971077623700674	wide pore channel activity
GO:0043207	0.968669702198613	response to external biotic stimulus
GO:0051707	0.968669702198613	response to other organism
GO:0019634	0.965683906615552	organic phosphonate metabolic process
GO:0043648	0.96430743831571	dicarboxylic acid metabolic process
GO:0016638	0.96430743831571	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0043228	0.96430743831571	non-membrane-bounded organelle
GO:0005351	0.96430743831571	carbohydrate:proton symporter activity
GO:0005402	0.96430743831571	carbohydrate:cation symporter activity
GO:0015295	0.96430743831571	solute:proton symporter activity
GO:0016741	0.961087832365222	transferase activity, transferring one-carbon groups
GO:0015079	0.961087832365222	potassium ion transmembrane transporter activity
GO:0019700	0.958484796449141	organic phosphonate catabolic process
GO:0051276	0.950418195783374	chromosome organization
GO:0003896	0.949635085538502	DNA primase activity
GO:0005618	0.949635085538502	cell wall
GO:0008914	0.948231396663831	leucyltransferase activity
GO:0016755	0.948231396663831	transferase activity, transferring amino-acyl groups
GO:0006004	0.948231396663831	fucose metabolic process
GO:0008736	0.948231396663831	L-fucose isomerase activity
GO:0006865	0.94439827287731	amino acid transport
GO:0098655	0.943829889347798	cation transmembrane transport
GO:0098660	0.943829889347798	inorganic ion transmembrane transport
GO:0098662	0.943829889347798	inorganic cation transmembrane transport
GO:0006259	0.942569676948081	DNA metabolic process
GO:0016684	0.942569676948081	oxidoreductase activity, acting on peroxide as acceptor
GO:0009150	0.941735002533838	purine ribonucleotide metabolic process
GO:0009259	0.941735002533838	ribonucleotide metabolic process
GO:0019693	0.941735002533838	ribose phosphate metabolic process
GO:0015355	0.931571715895035	secondary active monocarboxylate transmembrane transporter activity
GO:1903825	0.927826516624977	organic acid transmembrane transport
GO:1905039	0.927826516624977	carboxylic acid transmembrane transport
GO:0008131	0.927826516624977	primary amine oxidase activity
GO:0016641	0.927826516624977	oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor
GO:0019238	0.920775519997128	cyclohydrolase activity
