ann_term	q_val	annotation
GO:0015267	0.999833423653314	channel activity
GO:0022803	0.999833423653314	passive transmembrane transporter activity
GO:0006952	0.999804964498374	defense response
GO:0043207	0.999804964498374	response to external biotic stimulus
GO:0051707	0.999804964498374	response to other organism
GO:0015288	0.999374178451275	porin activity
GO:0022829	0.999374178451275	wide pore channel activity
GO:0043213	0.993173563974491	bacteriocin transport
GO:0006163	0.992291923814572	purine nucleotide metabolic process
GO:0072521	0.992291923814572	purine-containing compound metabolic process
GO:0043226	0.992291923814572	organelle
GO:0000270	0.991742706663813	peptidoglycan metabolic process
GO:0006022	0.991742706663813	aminoglycan metabolic process
GO:0030203	0.991742706663813	glycosaminoglycan metabolic process
GO:0004601	0.991742706663813	peroxidase activity
GO:0015740	0.990847944650019	C4-dicarboxylate transport
GO:0015556	0.990847944650019	C4-dicarboxylate transmembrane transporter activity
GO:0006026	0.988742977736023	aminoglycan catabolic process
GO:0006027	0.988742977736023	glycosaminoglycan catabolic process
GO:0009253	0.988742977736023	peptidoglycan catabolic process
GO:1901136	0.988742977736023	carbohydrate derivative catabolic process
GO:0061783	0.988742977736023	peptidoglycan muralytic activity
GO:0015675	0.988742977736023	nickel cation transport
GO:0035444	0.988742977736023	nickel cation transmembrane transport
GO:0015099	0.988742977736023	nickel cation transmembrane transporter activity
GO:0015562	0.987974033373889	efflux transmembrane transporter activity
GO:0005515	0.987974033373889	protein binding
GO:0016638	0.987669532462853	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0022890	0.985662568446639	inorganic cation transmembrane transporter activity
GO:0008408	0.983962176829091	3'-5' exonuclease activity
GO:0046915	0.983962176829091	transition metal ion transmembrane transporter activity
GO:0009404	0.98229623092286	toxin metabolic process
GO:0015294	0.98229623092286	solute:cation symporter activity
GO:0016741	0.980412759262688	transferase activity, transferring one-carbon groups
GO:0003333	0.979462526278472	amino acid transmembrane transport
GO:0043228	0.977718101479365	non-membrane-bounded organelle
GO:0000041	0.974067830038909	transition metal ion transport
GO:0009123	0.972523234460644	nucleoside monophosphate metabolic process
GO:0009124	0.972523234460644	nucleoside monophosphate biosynthetic process
GO:0009126	0.972523234460644	purine nucleoside monophosphate metabolic process
GO:0009127	0.972523234460644	purine nucleoside monophosphate biosynthetic process
GO:0009156	0.972523234460644	ribonucleoside monophosphate biosynthetic process
GO:0009161	0.972523234460644	ribonucleoside monophosphate metabolic process
GO:0009167	0.972523234460644	purine ribonucleoside monophosphate metabolic process
GO:0009168	0.972523234460644	purine ribonucleoside monophosphate biosynthetic process
GO:0006260	0.972523234460644	DNA replication
GO:0044267	0.972523234460644	cellular protein metabolic process
GO:0019634	0.971263374035884	organic phosphonate metabolic process
GO:0043648	0.964719068911508	dicarboxylic acid metabolic process
GO:0005351	0.964683063437553	carbohydrate:proton symporter activity
GO:0005402	0.964683063437553	carbohydrate:cation symporter activity
GO:0015295	0.964683063437553	solute:proton symporter activity
GO:0006259	0.959021325056687	DNA metabolic process
GO:0004521	0.959021325056687	endoribonuclease activity
GO:0019700	0.958602171596138	organic phosphonate catabolic process
GO:0005618	0.952617847503177	cell wall
GO:0003896	0.952617847503177	DNA primase activity
GO:0006004	0.94753599205051	fucose metabolic process
GO:0008736	0.94753599205051	L-fucose isomerase activity
GO:0043412	0.947243034609904	macromolecule modification
GO:0009150	0.945252343829539	purine ribonucleotide metabolic process
GO:0009259	0.945252343829539	ribonucleotide metabolic process
GO:0019693	0.945252343829539	ribose phosphate metabolic process
GO:0006865	0.941670154680729	amino acid transport
GO:0008914	0.94075019847075	leucyltransferase activity
GO:0016755	0.94075019847075	transferase activity, transferring amino-acyl groups
GO:0015318	0.935052536783918	inorganic molecular entity transmembrane transporter activity
GO:0015079	0.931053925917534	potassium ion transmembrane transporter activity
GO:0051276	0.926000454669271	chromosome organization
GO:0008144	0.923038471810843	drug binding
GO:0008658	0.923038471810843	penicillin binding
GO:0033218	0.923038471810843	amide binding
GO:0033293	0.923038471810843	monocarboxylic acid binding
GO:0015355	0.922682642253513	secondary active monocarboxylate transmembrane transporter activity
