ann_term	q_val	annotation
GO:0016998	9.3686219402702e-12	cell wall macromolecule catabolic process
GO:0044036	9.3686219402702e-12	cell wall macromolecule metabolic process
GO:0044265	1.05455875268057e-11	cellular macromolecule catabolic process
GO:0006026	2.22749685430891e-10	aminoglycan catabolic process
GO:0006022	2.22749685430891e-10	aminoglycan metabolic process
GO:1901136	2.68537266581981e-10	carbohydrate derivative catabolic process
GO:0044403	3.09283787586205e-10	biological process involved in symbiotic interaction
GO:0009057	3.5078466772311e-10	macromolecule catabolic process
GO:0003796	4.48701362916892e-10	lysozyme activity
GO:0016032	6.27862813454484e-10	viral process
GO:0019058	6.27862813454484e-10	viral life cycle
GO:1901565	2.82659462026507e-09	organonitrogen compound catabolic process
GO:0071554	7.29844509796886e-09	cell wall organization or biogenesis
GO:0007165	8.74166246583345e-09	signal transduction
GO:0044248	1.15858966101793e-08	cellular catabolic process
GO:0023052	1.33623813723359e-08	signaling
GO:0006027	3.46871856972929e-08	glycosaminoglycan catabolic process
GO:0009253	3.46871856972929e-08	peptidoglycan catabolic process
GO:0061783	3.46871856972929e-08	peptidoglycan muralytic activity
GO:0007154	3.78967598965888e-08	cell communication
GO:0000270	4.02563411802812e-08	peptidoglycan metabolic process
GO:0030203	4.02563411802812e-08	glycosaminoglycan metabolic process
GO:1901575	4.20902679002158e-08	organic substance catabolic process
GO:0019076	4.84821183184577e-08	viral release from host cell
GO:0035890	4.84821183184577e-08	exit from host
GO:0035891	4.84821183184577e-08	exit from host cell
GO:0052126	4.84821183184577e-08	movement in host environment
GO:0019835	7.84052041078099e-08	cytolysis
GO:0016811	1.59462325588787e-07	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0008767	1.74359650624156e-07	UDP-galactopyranose mutase activity
GO:0051701	2.95688962074011e-07	biological process involved in interaction with host
GO:0044419	3.89206448585032e-07	biological process involved in interspecies interaction between organisms
GO:0019068	5.19672521732704e-07	virion assembly
GO:0016903	1.19477571221125e-06	oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0055085	1.2905741162656e-06	transmembrane transport
GO:0009056	1.56081368518001e-06	catabolic process
GO:0016746	1.95670543145025e-06	transferase activity, transferring acyl groups
GO:0008745	1.95670543145025e-06	N-acetylmuramoyl-L-alanine amidase activity
GO:0016021	1.95670543145025e-06	integral component of membrane
GO:0031224	1.95670543145025e-06	intrinsic component of membrane
GO:0035556	2.03565517509111e-06	intracellular signal transduction
GO:0045333	2.09353061218142e-06	cellular respiration
GO:0000160	2.19947585073018e-06	phosphorelay signal transduction system
GO:0015980	3.25961726031939e-06	energy derivation by oxidation of organic compounds
GO:1902494	8.89825493431908e-06	catalytic complex
GO:0098796	1.08955392828639e-05	membrane protein complex
GO:0005488	1.0936536279355e-05	binding
GO:0008483	1.11482133127163e-05	transaminase activity
GO:0016769	1.11482133127163e-05	transferase activity, transferring nitrogenous groups
GO:0009451	1.16393208772765e-05	RNA modification
GO:0003676	1.70207763276381e-05	nucleic acid binding
GO:0003677	1.70207763276381e-05	DNA binding
GO:0009060	1.736234341723e-05	aerobic respiration
GO:1904949	1.88796434740318e-05	ATPase complex
GO:0006793	1.98198395067817e-05	phosphorus metabolic process
GO:0043190	2.42322923024906e-05	ATP-binding cassette (ABC) transporter complex
GO:0098533	2.42322923024906e-05	ATPase dependent transmembrane transport complex
GO:0098797	2.47043875902377e-05	plasma membrane protein complex
GO:1902495	2.47043875902377e-05	transmembrane transporter complex
GO:1990351	2.47043875902377e-05	transporter complex
GO:0006091	2.51006597504757e-05	generation of precursor metabolites and energy
GO:0016747	3.1975475287961e-05	transferase activity, transferring acyl groups other than amino-acyl groups
GO:0016645	3.38820328341971e-05	oxidoreductase activity, acting on the CH-NH group of donors
GO:0022857	3.93208476741786e-05	transmembrane transporter activity
GO:0015695	4.88914327213946e-05	organic cation transport
GO:0015837	4.88914327213946e-05	amine transport
GO:0034229	4.88914327213946e-05	ethanolamine transport
GO:0005275	4.88914327213946e-05	amine transmembrane transporter activity
GO:0015101	4.88914327213946e-05	organic cation transmembrane transporter activity
GO:0015665	4.88914327213946e-05	alcohol transmembrane transporter activity
GO:0034228	4.88914327213946e-05	ethanolamine transmembrane transporter activity
GO:0001522	5.41019943965833e-05	pseudouridine synthesis
GO:0009982	5.41019943965833e-05	pseudouridine synthase activity
GO:0016646	5.6076909528629e-05	oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor
GO:0003824	6.76865679067509e-05	catalytic activity
GO:0016866	7.35216598436183e-05	intramolecular transferase activity
GO:0051716	7.35216598436183e-05	cellular response to stimulus
GO:0019627	8.37233882864815e-05	urea metabolic process
GO:0043419	8.37233882864815e-05	urea catabolic process
GO:0003924	9.9337849269695e-05	GTPase activity
GO:0051179	0.000111140336675061	localization
GO:0005886	0.000115254099866038	plasma membrane
GO:0006796	0.000125391772653049	phosphate-containing compound metabolic process
GO:0016798	0.000129871477246637	hydrolase activity, acting on glycosyl bonds
GO:0022904	0.000134763989113641	respiratory electron transport chain
GO:0004553	0.000139066084597604	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0016620	0.000145927136308897	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
GO:0016051	0.000145927136308897	carbohydrate biosynthetic process
GO:0097159	0.000148331728005261	organic cyclic compound binding
GO:1901363	0.000148331728005261	heterocyclic compound binding
GO:0018941	0.000148331728005261	organomercury metabolic process
GO:0018942	0.000148331728005261	organometal metabolic process
GO:0046413	0.000148331728005261	organomercury catabolic process
GO:0018836	0.000148331728005261	alkylmercury lyase activity
GO:0005215	0.000149207310436472	transporter activity
GO:0006935	0.000161392217845752	chemotaxis
GO:0042330	0.000161392217845752	taxis
GO:0002791	0.000198658682499477	regulation of peptide secretion
GO:0032880	0.000198658682499477	regulation of protein localization
GO:0050708	0.000198658682499477	regulation of protein secretion
GO:0051046	0.000198658682499477	regulation of secretion
GO:0051223	0.000198658682499477	regulation of protein transport
GO:0070201	0.000198658682499477	regulation of establishment of protein localization
GO:0090087	0.000198658682499477	regulation of peptide transport
GO:1903530	0.000198658682499477	regulation of secretion by cell
GO:0006575	0.000210827601079271	cellular modified amino acid metabolic process
GO:0016491	0.000229923717622045	oxidoreductase activity
GO:0042398	0.000229923717622045	cellular modified amino acid biosynthetic process
GO:0030170	0.000229923717622045	pyridoxal phosphate binding
GO:0070279	0.000229923717622045	vitamin B6 binding
GO:0004842	0.000229923717622045	ubiquitin-protein transferase activity
GO:0019787	0.000229923717622045	ubiquitin-like protein transferase activity
GO:0001882	0.000229923717622045	nucleoside binding
GO:0001883	0.000229923717622045	purine nucleoside binding
GO:0005525	0.000229923717622045	GTP binding
GO:0032549	0.000229923717622045	ribonucleoside binding
GO:0032550	0.000229923717622045	purine ribonucleoside binding
GO:0090407	0.00029380770095053	organophosphate biosynthetic process
GO:0016772	0.000324177413513801	transferase activity, transferring phosphorus-containing groups
GO:0071944	0.000368388815718085	cell periphery
GO:0016853	0.000369161050916591	isomerase activity
GO:0004197	0.000394278768603541	cysteine-type endopeptidase activity
GO:0004386	0.000394929941255599	helicase activity
GO:0051082	0.000396994376264792	unfolded protein binding
GO:0016780	0.000460683993334427	phosphotransferase activity, for other substituted phosphate groups
GO:0019842	0.000475805349806956	vitamin binding
