ann_term	CC	annotation
GO:0016998	0.857989267958573	cell wall macromolecule catabolic process
GO:0044036	0.857989267958573	cell wall macromolecule metabolic process
GO:0044403	0.848284772978323	biological process involved in symbiotic interaction
GO:0006026	0.846108284196378	aminoglycan catabolic process
GO:0006022	0.845433998106183	aminoglycan metabolic process
GO:1901136	0.842738957229355	carbohydrate derivative catabolic process
GO:0044265	0.838325687636404	cellular macromolecule catabolic process
GO:0003796	0.833863841827923	lysozyme activity
GO:0019835	0.830845261416505	cytolysis
GO:1901565	0.827603171861512	organonitrogen compound catabolic process
GO:0019076	0.821161150244882	viral release from host cell
GO:0035890	0.821161150244882	exit from host
GO:0035891	0.821161150244882	exit from host cell
GO:0052126	0.821161150244882	movement in host environment
GO:0051701	0.81826310452479	biological process involved in interaction with host
GO:0006027	0.817416826167482	glycosaminoglycan catabolic process
GO:0009253	0.817416826167482	peptidoglycan catabolic process
GO:0061783	0.817416826167482	peptidoglycan muralytic activity
GO:0009057	0.816811725966784	macromolecule catabolic process
GO:0000270	0.816032863276777	peptidoglycan metabolic process
GO:0030203	0.816032863276777	glycosaminoglycan metabolic process
GO:0016032	0.802911473151391	viral process
GO:0019058	0.802911473151391	viral life cycle
GO:0044419	0.763763096961145	biological process involved in interspecies interaction between organisms
GO:0044248	0.750206559528387	cellular catabolic process
GO:0004842	0.738088721554039	ubiquitin-protein transferase activity
GO:0019787	0.738088721554039	ubiquitin-like protein transferase activity
GO:0071554	0.711509563594164	cell wall organization or biogenesis
GO:0019627	0.697767532125238	urea metabolic process
GO:0043419	0.697767532125238	urea catabolic process
GO:0006323	0.690307714990049	DNA packaging
GO:0002791	0.683235240541367	regulation of peptide secretion
GO:0032880	0.683235240541367	regulation of protein localization
GO:0050708	0.683235240541367	regulation of protein secretion
GO:0051046	0.683235240541367	regulation of secretion
GO:0051223	0.683235240541367	regulation of protein transport
GO:0070201	0.683235240541367	regulation of establishment of protein localization
GO:0090087	0.683235240541367	regulation of peptide transport
GO:1903530	0.683235240541367	regulation of secretion by cell
GO:0001897	0.680135110680585	cytolysis by symbiont of host cells
GO:0001907	0.680135110680585	killing by symbiont of host cells
GO:0019836	0.680135110680585	hemolysis by symbiont of host erythrocytes
GO:0051801	0.680135110680585	cytolysis in other organism involved in symbiotic interaction
GO:0051883	0.680135110680585	killing of cells in other organism involved in symbiotic interaction
GO:0052331	0.680135110680585	hemolysis in other organism involved in symbiotic interaction
GO:0030597	0.680135110680585	RNA glycosylase activity
GO:0030598	0.680135110680585	rRNA N-glycosylase activity
GO:0000287	0.662131471497488	magnesium ion binding
GO:0016567	0.652230385542171	protein ubiquitination
GO:0032446	0.652230385542171	protein modification by small protein conjugation
GO:0070647	0.652230385542171	protein modification by small protein conjugation or removal
GO:0008907	0.649689967562337	integrase activity
GO:0005488	0.640216471501631	binding
GO:0016151	0.637415924665384	nickel cation binding
GO:1901575	0.635962273750903	organic substance catabolic process
GO:0004197	0.618462704055481	cysteine-type endopeptidase activity
GO:0019068	0.618084657434987	virion assembly
GO:0009056	0.613670920960435	catabolic process
GO:0043605	0.607511320079867	cellular amide catabolic process
GO:0003676	0.603396432634099	nucleic acid binding
GO:0006950	0.601236192185844	response to stress
GO:0140102	0.598300080890904	catalytic activity, acting on a rRNA
GO:0001906	0.597102823575339	cell killing
GO:0031640	0.597102823575339	killing of cells of other organism
GO:0044179	0.597102823575339	hemolysis in other organism
GO:0051715	0.597102823575339	cytolysis in other organism
GO:0140096	0.58984387392498	catalytic activity, acting on a protein
GO:0003677	0.587053952097783	DNA binding
GO:0071941	0.584149186041698	nitrogen cycle metabolic process
GO:0097159	0.559689898522506	organic cyclic compound binding
GO:1901363	0.559689898522506	heterocyclic compound binding
GO:0043242	0.555460126133382	negative regulation of protein-containing complex disassembly
GO:0051129	0.555460126133382	negative regulation of cellular component organization
GO:0060567	0.555460126133382	negative regulation of DNA-templated transcription, termination
GO:0009987	0.537423468531491	cellular process
GO:0008234	0.535635027036846	cysteine-type peptidase activity
GO:0006270	0.532742760525027	DNA replication initiation
GO:0032879	0.522812205289998	regulation of localization
GO:0043269	0.522812205289998	regulation of ion transport
GO:0044070	0.522812205289998	regulation of anion transport
GO:0051049	0.522812205289998	regulation of transport
GO:0006261	0.517798663248488	DNA-dependent DNA replication
GO:0043170	0.515112099128968	macromolecule metabolic process
GO:0044260	0.508562679858294	cellular macromolecule metabolic process
GO:0017148	0.508292324256664	negative regulation of translation
GO:0032269	0.508292324256664	negative regulation of cellular protein metabolic process
GO:0034249	0.508292324256664	negative regulation of cellular amide metabolic process
GO:0051248	0.508292324256664	negative regulation of protein metabolic process
GO:0009890	0.502102735773989	negative regulation of biosynthetic process
GO:0010558	0.502102735773989	negative regulation of macromolecule biosynthetic process
GO:0031324	0.502102735773989	negative regulation of cellular metabolic process
GO:0031327	0.502102735773989	negative regulation of cellular biosynthetic process
GO:0051172	0.502102735773989	negative regulation of nitrogen compound metabolic process
GO:2000113	0.502102735773989	negative regulation of cellular macromolecule biosynthetic process
GO:0009892	0.495723639302099	negative regulation of metabolic process
GO:0010605	0.495723639302099	negative regulation of macromolecule metabolic process
GO:0006974	0.494798889970967	cellular response to DNA damage stimulus
GO:0010629	0.488939597522092	negative regulation of gene expression
GO:0043565	0.487252339125051	sequence-specific DNA binding
GO:0033554	0.486969005411924	cellular response to stress
GO:0006979	0.484913731619029	response to oxidative stress
GO:0006310	0.484074773165619	DNA recombination
GO:0090305	0.483396515533789	nucleic acid phosphodiester bond hydrolysis
GO:0008309	0.483396515533789	double-stranded DNA exodeoxyribonuclease activity
GO:0008409	0.483396515533789	5'-3' exonuclease activity
GO:0035312	0.483396515533789	5'-3' exodeoxyribonuclease activity
GO:0051908	0.483396515533789	double-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0008150	0.478684186420445	biological_process
GO:0048523	0.473332220971204	negative regulation of cellular process
GO:0006807	0.471433120116855	nitrogen compound metabolic process
GO:0046872	0.46762102209177	metal ion binding
GO:0048519	0.46634048825198	negative regulation of biological process
GO:0006281	0.462666729316863	DNA repair
GO:0006801	0.452868425098433	superoxide metabolic process
GO:0072593	0.452868425098433	reactive oxygen species metabolic process
GO:0031554	0.448637057838183	regulation of DNA-templated transcription, termination
GO:0043244	0.448637057838183	regulation of protein-containing complex disassembly
GO:0004536	0.448395672306284	deoxyribonuclease activity
GO:0006417	0.446444202396226	regulation of translation
GO:0010608	0.446444202396226	posttranscriptional regulation of gene expression
GO:0032268	0.446444202396226	regulation of cellular protein metabolic process
GO:0034248	0.446444202396226	regulation of cellular amide metabolic process
GO:0051246	0.446444202396226	regulation of protein metabolic process
GO:0006259	0.441516630571832	DNA metabolic process
GO:0006260	0.436514049110779	DNA replication
GO:0004529	0.434259926634755	exodeoxyribonuclease activity
GO:0016796	0.434259926634755	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
GO:0016895	0.434259926634755	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0060703	0.433205488110161	deoxyribonuclease inhibitor activity
GO:0006353	0.42918375351262	DNA-templated transcription, termination
GO:0046903	0.420529782608361	secretion
GO:0015074	0.410224152323281	DNA integration
GO:0003697	0.408664617937498	single-stranded DNA binding
GO:0044237	0.408140832879887	cellular metabolic process
GO:0009405	0.405044329226279	pathogenesis
GO:0016798	0.403660536677934	hydrolase activity, acting on glycosyl bonds
GO:0090304	0.401358327757273	nucleic acid metabolic process
GO:0006113	0.400185337152902	fermentation
GO:0019665	0.400185337152902	anaerobic amino acid catabolic process
GO:0019666	0.400185337152902	nitrogenous compound fermentation
GO:0019670	0.400185337152902	anaerobic glutamate catabolic process
GO:0050097	0.400185337152902	methylaspartate mutase activity
GO:0016799	0.395630182508044	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0005198	0.390739720782945	structural molecule activity
GO:0043169	0.387407778246506	cation binding
GO:0045892	0.386873838000263	negative regulation of transcription, DNA-templated
GO:0045934	0.386873838000263	negative regulation of nucleobase-containing compound metabolic process
GO:0051253	0.386873838000263	negative regulation of RNA metabolic process
GO:1902679	0.386873838000263	negative regulation of RNA biosynthetic process
GO:1903507	0.386873838000263	negative regulation of nucleic acid-templated transcription
GO:0051276	0.386377676835488	chromosome organization
GO:0071103	0.385345738402302	DNA conformation change
GO:0005509	0.380398483071151	calcium ion binding
GO:0008104	0.37692661376822	protein localization
GO:0015031	0.37692661376822	protein transport
GO:0045184	0.37692661376822	establishment of protein localization
GO:0006139	0.370492442040383	nucleobase-containing compound metabolic process
GO:0034641	0.368755657104114	cellular nitrogen compound metabolic process
GO:0008817	0.368626940134401	cob(I)yrinic acid a,c-diamide adenosyltransferase activity
GO:0004601	0.36563062124568	peroxidase activity
GO:0022411	0.365467483081257	cellular component disassembly
GO:0032984	0.365467483081257	protein-containing complex disassembly
GO:0032775	0.361508097698105	DNA methylation on adenine
GO:0009007	0.361508097698105	site-specific DNA-methyltransferase (adenine-specific) activity
GO:0009008	0.361508097698105	DNA-methyltransferase activity
GO:0004553	0.36132158777833	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0009061	0.359390118697182	anaerobic respiration
GO:0019645	0.359390118697182	anaerobic electron transport chain
GO:0043900	0.354042227378751	regulation of multi-organism process
GO:0046999	0.354042227378751	regulation of conjugation
GO:0006725	0.349295724496723	cellular aromatic compound metabolic process
GO:0016788	0.349278035975078	hydrolase activity, acting on ester bonds
GO:0003729	0.34672608529799	mRNA binding
GO:0046483	0.346483063696286	heterocycle metabolic process
GO:1901360	0.342317472985503	organic cyclic compound metabolic process
GO:0015833	0.335021034703944	peptide transport
GO:0006305	0.334661372214625	DNA alkylation
GO:0006306	0.334661372214625	DNA methylation
GO:0044728	0.334661372214625	DNA methylation or demethylation
GO:0002790	0.333415781235767	peptide secretion
GO:0009306	0.333415781235767	protein secretion
GO:0032940	0.333415781235767	secretion by cell
GO:0035592	0.333415781235767	establishment of protein localization to extracellular region
GO:0071692	0.333415781235767	protein localization to extracellular region
GO:0140352	0.333415781235767	export from cell
GO:0004518	0.329739376404037	nuclease activity
GO:0043414	0.325846034368578	macromolecule methylation
GO:0042886	0.32339139433775	amide transport
GO:0006605	0.320887244694479	protein targeting
GO:0006886	0.320887244694479	intracellular protein transport
GO:0034613	0.320887244694479	cellular protein localization
GO:0046907	0.320887244694479	intracellular transport
GO:0051641	0.320887244694479	cellular localization
GO:0051649	0.320887244694479	establishment of localization in cell
