ann_term	CC	annotation
GO:0016247	1.49892175278996e-06	channel regulator activity
GO:0099106	1.49892175278996e-06	ion channel regulator activity
GO:0032879	9.9480111483453e-06	regulation of localization
GO:2000026	1.08781680932212e-05	regulation of multicellular organismal development
GO:0048584	1.17228880659053e-05	positive regulation of response to stimulus
GO:0022843	1.30922548133987e-05	voltage-gated cation channel activity
GO:0002682	3.58157883567973e-05	regulation of immune system process
GO:0050776	3.6204940545013e-05	regulation of immune response
GO:0005249	5.69657310199198e-05	voltage-gated potassium channel activity
GO:0045995	8.64594855909981e-05	regulation of embryonic development
GO:0051262	9.66664331034362e-05	protein tetramerization
GO:0007275	9.82682581358621e-05	multicellular organism development
GO:0048731	0.000103648316054795	system development
GO:0001518	0.000136188303150172	voltage-gated sodium channel complex
GO:0034706	0.000136188303150172	sodium channel complex
GO:0005248	0.000136188303150172	voltage-gated sodium channel activity
GO:0042611	0.000138570358256718	MHC protein complex
GO:0042613	0.000138570358256718	MHC class II protein complex
GO:0016604	0.000138785059390429	nuclear body
GO:0016607	0.000138785059390429	nuclear speck
GO:0008083	0.000145109244823114	growth factor activity
GO:0032502	0.00017149016876676	developmental process
GO:0005540	0.000216616113159649	hyaluronic acid binding
GO:0048856	0.000228517508560781	anatomical structure development
GO:0005539	0.000231642141844603	glycosaminoglycan binding
GO:0016477	0.000234450876762257	cell migration
GO:0030334	0.000234450876762257	regulation of cell migration
GO:0048513	0.000271858319121593	animal organ development
GO:0007417	0.000296435900405574	central nervous system development
GO:0007420	0.000296435900405574	brain development
GO:0060322	0.000296435900405574	head development
GO:0002684	0.000334222933395497	positive regulation of immune system process
GO:0050793	0.000399362805470165	regulation of developmental process
GO:0005246	0.000416461248965938	calcium channel regulator activity
GO:0007517	0.000509176232623883	muscle organ development
GO:0061061	0.000509176232623883	muscle structure development
GO:0050778	0.000532023603407349	positive regulation of immune response
GO:0007212	0.000556835351663277	dopamine receptor signaling pathway
GO:0048268	0.000556835351663277	clathrin coat assembly
GO:0071867	0.000556835351663277	response to monoamine
GO:0071868	0.000556835351663277	cellular response to monoamine stimulus
GO:0071869	0.000556835351663277	response to catecholamine
GO:0071870	0.000556835351663277	cellular response to catecholamine stimulus
GO:1903350	0.000556835351663277	response to dopamine
GO:1903351	0.000556835351663277	cellular response to dopamine
GO:0030276	0.000556835351663277	clathrin binding
GO:0032051	0.000556835351663277	clathrin light chain binding
GO:0140297	0.000565418801994283	DNA-binding transcription factor binding
GO:0007129	0.000581068829675036	synapsis
GO:0007130	0.000581068829675036	synaptonemal complex assembly
GO:0045143	0.000581068829675036	homologous chromosome segregation
GO:0070192	0.000581068829675036	chromosome organization involved in meiotic cell cycle
GO:0070193	0.000581068829675036	synaptonemal complex organization
GO:0002376	0.000633946453171023	immune system process
GO:0006955	0.000682203825521126	immune response
GO:0035257	0.000706114707550124	nuclear hormone receptor binding
GO:0051427	0.000706114707550124	hormone receptor binding
GO:0061629	0.000706114707550124	RNA polymerase II-specific DNA-binding transcription factor binding
GO:0019882	0.000744209105052447	antigen processing and presentation
GO:0030141	0.000786328618949037	secretory granule
GO:0099503	0.000786328618949037	secretory vesicle
GO:0004511	0.000853358926558169	tyrosine 3-monooxygenase activity
GO:0001775	0.000930387532779871	cell activation
GO:0007166	0.000990444619919418	cell surface receptor signaling pathway
GO:0051270	0.00113348936576	regulation of cellular component movement
GO:0051239	0.00128946487515326	regulation of multicellular organismal process
GO:0042113	0.00130318020675286	B cell activation
GO:0007399	0.00150755210520948	nervous system development
GO:0030155	0.00180485248235889	regulation of cell adhesion
GO:0071107	0.00191174165774429	response to parathyroid hormone
GO:0010942	0.0019552992984429	positive regulation of cell death
GO:0043065	0.0019552992984429	positive regulation of apoptotic process
GO:0043068	0.0019552992984429	positive regulation of programmed cell death
GO:0030168	0.00230417976595337	platelet activation
GO:0005577	0.00230417976595337	fibrinogen complex
GO:0040012	0.00240428755537884	regulation of locomotion
GO:2000145	0.00240428755537884	regulation of cell motility
GO:0005245	0.00242904098410452	voltage-gated calcium channel activity
GO:0007267	0.00245856936132331	cell-cell signaling
GO:0002520	0.0024855732118137	immune system development
GO:0051049	0.00269485898436192	regulation of transport
GO:0007259	0.00272130347703588	receptor signaling pathway via JAK-STAT
GO:0097696	0.00272130347703588	receptor signaling pathway via STAT
GO:0019199	0.00273014496918414	transmembrane receptor protein kinase activity
