ann_term	q_val	annotation
GO:0010970	1	transport along microtubule
GO:0016567	1	protein ubiquitination
GO:0022402	1	cell cycle process
GO:0030705	1	cytoskeleton-dependent intracellular transport
GO:0032465	1	regulation of cytokinesis
GO:0042073	1	intraciliary transport
GO:0051187	1	cofactor catabolic process
GO:0051302	1	regulation of cell division
GO:0098840	1	protein transport along microtubule
GO:0099111	1	microtubule-based transport
GO:0099118	1	microtubule-based protein transport
GO:0019901	1	protein kinase binding
GO:0006040	0.99481113156865	amino sugar metabolic process
GO:0006817	0.99481113156865	phosphate ion transport
GO:0009267	0.99481113156865	cellular response to starvation
GO:0009991	0.99481113156865	response to extracellular stimulus
GO:0031667	0.99481113156865	response to nutrient levels
GO:0031668	0.99481113156865	cellular response to extracellular stimulus
GO:0031669	0.99481113156865	cellular response to nutrient levels
GO:0042594	0.99481113156865	response to starvation
GO:0071496	0.99481113156865	cellular response to external stimulus
GO:0001932	0.988942566573502	regulation of protein phosphorylation
GO:0010629	0.988942566573502	negative regulation of gene expression
GO:1901988	0.988942566573502	negative regulation of cell cycle phase transition
GO:1901991	0.988942566573502	negative regulation of mitotic cell cycle phase transition
GO:0030990	0.988942566573502	intraciliary transport particle
GO:0030991	0.988942566573502	intraciliary transport particle A
GO:0004448	0.983864674290137	isocitrate dehydrogenase activity
GO:0004450	0.983864674290137	isocitrate dehydrogenase (NADP+) activity
GO:0098798	0.974975913012846	mitochondrial protein complex
GO:0019783	0.974975913012846	ubiquitin-like protein-specific protease activity
GO:0019900	0.974975913012846	kinase binding
GO:0015850	0.974975913012846	organic hydroxy compound transport
GO:0006625	0.974975913012846	protein targeting to peroxisome
GO:0015919	0.974975913012846	peroxisomal membrane transport
GO:0043574	0.974975913012846	peroxisomal transport
GO:0072662	0.974975913012846	protein localization to peroxisome
GO:0072663	0.974975913012846	establishment of protein localization to peroxisome
GO:0005186	0.974975913012846	pheromone activity
GO:0010817	0.968489576044007	regulation of hormone levels
GO:0042445	0.968489576044007	hormone metabolic process
GO:0031399	0.961824482857212	regulation of protein modification process
GO:0000313	0.961824482857212	organellar ribosome
GO:0005761	0.961824482857212	mitochondrial ribosome
GO:0020037	0.961824482857212	heme binding
GO:0001101	0.961824482857212	response to acid chemical
GO:0004097	0.961824482857212	catechol oxidase activity
GO:0033108	0.94734581439118	mitochondrial respiratory chain complex assembly
GO:0016651	0.939687056788699	oxidoreductase activity, acting on NAD(P)H
GO:0003352	0.938486975718258	regulation of cilium movement
GO:0060632	0.938486975718258	regulation of microtubule-based movement
GO:0008830	0.938486975718258	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0016984	0.938237603356827	ribulose-bisphosphate carboxylase activity
GO:0030597	0.938237603356827	RNA glycosylase activity
GO:0030598	0.938237603356827	rRNA N-glycosylase activity
GO:0000062	0.933289703691076	fatty-acyl-CoA binding
GO:0031369	0.933289703691076	translation initiation factor binding
GO:0036459	0.933289703691076	thiol-dependent ubiquitinyl hydrolase activity
GO:0101005	0.933289703691076	ubiquitinyl hydrolase activity
GO:1901567	0.933289703691076	fatty acid derivative binding
GO:0030417	0.932774926857841	nicotianamine metabolic process
GO:0030418	0.932774926857841	nicotianamine biosynthetic process
GO:0072350	0.932774926857841	tricarboxylic acid metabolic process
GO:0072351	0.932774926857841	tricarboxylic acid biosynthetic process
GO:0030410	0.932774926857841	nicotianamine synthase activity
GO:0019898	0.932774926857841	extrinsic component of membrane
GO:0016863	0.932774926857841	intramolecular oxidoreductase activity, transposing C=C bonds
GO:0047750	0.932774926857841	cholestenol delta-isomerase activity
GO:0009690	0.927765711460541	cytokinin metabolic process
GO:0034754	0.927765711460541	cellular hormone metabolic process
GO:0019139	0.927765711460541	cytokinin dehydrogenase activity
GO:0045926	0.926730976052664	negative regulation of growth
GO:0007157	0.922595123613184	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0008982	0.922595123613184	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0016579	0.921462219880056	protein deubiquitination
GO:0033043	0.921462219880056	regulation of organelle organization
GO:0044087	0.921462219880056	regulation of cellular component biogenesis
GO:0070646	0.921462219880056	protein modification by small protein removal
GO:0098799	0.921462219880056	outer mitochondrial membrane protein complex
GO:0008270	0.921462219880056	zinc ion binding
GO:0046906	0.921462219880056	tetrapyrrole binding
GO:0016799	0.914969580597453	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0006486	0.90733049249837	protein glycosylation
GO:0007005	0.90733049249837	mitochondrion organization
GO:0009101	0.90733049249837	glycoprotein biosynthetic process
GO:0043413	0.90733049249837	macromolecule glycosylation
GO:0015693	0.90733049249837	magnesium ion transport
GO:0015095	0.90733049249837	magnesium ion transmembrane transporter activity
GO:0016168	0.90733049249837	chlorophyll binding
GO:0009791	0.903037371438321	post-embryonic development
GO:0006665	0.901020125907622	sphingolipid metabolic process
GO:0019835	0.894926696044233	cytolysis
GO:0044179	0.894926696044233	hemolysis in other organism
GO:0051715	0.894926696044233	cytolysis in other organism
GO:0051606	0.894823810793129	detection of stimulus
GO:0032958	0.894193117804375	inositol phosphate biosynthetic process
GO:0043647	0.894193117804375	inositol phosphate metabolic process
GO:0043231	0.894193117804375	intracellular membrane-bounded organelle
GO:0098800	0.894193117804375	inner mitochondrial membrane protein complex
GO:0006012	0.894193117804375	galactose metabolic process
GO:0008108	0.894193117804375	UDP-glucose:hexose-1-phosphate uridylyltransferase activity
GO:0046556	0.893340267460905	alpha-L-arabinofuranosidase activity
GO:0016246	0.888657548085668	RNA interference
GO:0006308	0.885727677871595	DNA catabolic process
GO:0000139	0.880234492322445	Golgi membrane
GO:0043227	0.880234492322445	membrane-bounded organelle
GO:0098803	0.880234492322445	respiratory chain complex
GO:0046914	0.880234492322445	transition metal ion binding
GO:0009074	0.880234492322445	aromatic amino acid family catabolic process
GO:2000241	0.878773512225854	regulation of reproductive process
GO:0009793	0.878226551616873	embryo development ending in seed dormancy
GO:0009856	0.878226551616873	pollination
GO:0009875	0.878226551616873	pollen-pistil interaction
GO:0010154	0.878226551616873	fruit development
GO:0010374	0.878226551616873	stomatal complex development
GO:0044706	0.878226551616873	multi-multicellular organism process
GO:0048316	0.878226551616873	seed development
GO:0048544	0.878226551616873	recognition of pollen
GO:0048580	0.878226551616873	regulation of post-embryonic development
GO:0048582	0.878226551616873	positive regulation of post-embryonic development
GO:0090558	0.878226551616873	plant epidermis development
GO:2000038	0.878226551616873	regulation of stomatal complex development
GO:2000123	0.878226551616873	positive regulation of stomatal complex development
GO:0001907	0.878226551616873	killing by symbiont of host cells
GO:0051701	0.878226551616873	interaction with host
GO:0005094	0.876449279267643	Rho GDP-dissociation inhibitor activity
GO:0006606	0.868819795086142	protein import into nucleus
GO:0034504	0.868819795086142	protein localization to nucleus
GO:0051170	0.868819795086142	import into nucleus
GO:0071840	0.868819795086142	cellular component organization or biogenesis
GO:0008017	0.868819795086142	microtubule binding
GO:0140142	0.868819795086142	nucleocytoplasmic carrier activity
GO:0007052	0.865364548862158	mitotic spindle organization
GO:0015996	0.863044572076733	chlorophyll catabolic process
GO:0008772	0.863044572076733	[isocitrate dehydrogenase (NADP+)] kinase activity
GO:0047746	0.863044572076733	chlorophyllase activity
GO:0006403	0.855020373083186	RNA localization
GO:0007018	0.855020373083186	microtubule-based movement
GO:0007034	0.855020373083186	vacuolar transport
GO:0050657	0.855020373083186	nucleic acid transport
GO:0050658	0.855020373083186	RNA transport
GO:0051236	0.855020373083186	establishment of RNA localization
GO:0003872	0.855020373083186	6-phosphofructokinase activity
GO:0004197	0.855020373083186	cysteine-type endopeptidase activity
GO:0005506	0.855020373083186	iron ion binding
GO:0005742	0.855020373083186	mitochondrial outer membrane translocase complex
GO:0006658	0.855020373083186	phosphatidylserine metabolic process
GO:0006659	0.855020373083186	phosphatidylserine biosynthetic process
GO:0009606	0.855020373083186	tropism
GO:0009733	0.855020373083186	response to auxin
GO:0010274	0.855020373083186	hydrotropism
GO:0017007	0.855020373083186	protein-bilin linkage
GO:0017009	0.855020373083186	protein-phycocyanobilin linkage
GO:0048046	0.855020373083186	apoplast
GO:0010333	0.855020373083186	terpene synthase activity
GO:0016762	0.855020373083186	xyloglucan:xyloglucosyl transferase activity
GO:0050664	0.855020373083186	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor
GO:0009628	0.855020373083186	response to abiotic stimulus
GO:0004526	0.848002438341982	ribonuclease P activity
GO:0009772	0.84680267447684	photosynthetic electron transport in photosystem II
GO:0019080	0.84680267447684	viral gene expression
GO:0019083	0.84680267447684	viral transcription
GO:0046782	0.84680267447684	regulation of viral transcription
GO:0050792	0.84680267447684	regulation of viral process
GO:0045156	0.84680267447684	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity
GO:0003777	0.844870603777568	microtubule motor activity
GO:0009767	0.831146856706658	photosynthetic electron transport chain
GO:0005811	0.831146856706658	lipid droplet
GO:0012511	0.831146856706658	monolayer-surrounded lipid storage body
GO:0004564	0.831146856706658	beta-fructofuranosidase activity
GO:0004575	0.831146856706658	sucrose alpha-glucosidase activity
GO:0051743	0.831146856706658	red chlorophyll catabolite reductase activity
GO:0090599	0.831146856706658	alpha-glucosidase activity
GO:0009100	0.830653252749739	glycoprotein metabolic process
GO:0004529	0.821405303762419	exodeoxyribonuclease activity
GO:0016895	0.821405303762419	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0000245	0.815528810263145	spliceosomal complex assembly
GO:0043086	0.815528810263145	negative regulation of catalytic activity
GO:0044092	0.815528810263145	negative regulation of molecular function
GO:0031248	0.815528810263145	protein acetyltransferase complex
GO:1902493	0.815528810263145	acetyltransferase complex
GO:0044030	0.815415299956426	regulation of DNA methylation
GO:0001401	0.808114590146186	SAM complex
GO:0006450	0.806674251393753	regulation of translational fidelity
GO:0009415	0.80568175888548	response to water
GO:0009627	0.80568175888548	systemic acquired resistance
GO:0009664	0.80568175888548	plant-type cell wall organization
GO:0009814	0.80568175888548	defense response, incompatible interaction
GO:0009832	0.80568175888548	plant-type cell wall biogenesis
GO:0010112	0.80568175888548	regulation of systemic acquired resistance
GO:0010215	0.80568175888548	cellulose microfibril organization
GO:0070726	0.80568175888548	cell wall assembly
GO:0071668	0.80568175888548	plant-type cell wall assembly
GO:0071669	0.80568175888548	plant-type cell wall organization or biogenesis
GO:0033926	0.80568175888548	glycopeptide alpha-N-acetylgalactosaminidase activity
GO:0070652	0.80568175888548	HAUS complex
GO:0008297	0.80568175888548	single-stranded DNA exodeoxyribonuclease activity
GO:0008409	0.80568175888548	5'-3' exonuclease activity
GO:0035312	0.80568175888548	5'-3' exodeoxyribonuclease activity
GO:0045145	0.80568175888548	single-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0017134	0.805490678358406	fibroblast growth factor binding
GO:0006996	0.804517884191667	organelle organization
GO:0070085	0.804517884191667	glycosylation
GO:0042393	0.797056512585822	histone binding
GO:0006527	0.793524021644796	arginine catabolic process
GO:0006805	0.793524021644796	xenobiotic metabolic process
