ann_term	q_val	annotation
GO:0008830	1	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0006486	0.992657733039631	protein glycosylation
GO:0009101	0.992657733039631	glycoprotein biosynthetic process
GO:0043413	0.992657733039631	macromolecule glycosylation
GO:0030990	0.992657733039631	intraciliary transport particle
GO:0030991	0.992657733039631	intraciliary transport particle A
GO:0009690	0.987251642709524	cytokinin metabolic process
GO:0034754	0.987251642709524	cellular hormone metabolic process
GO:0019139	0.987251642709524	cytokinin dehydrogenase activity
GO:0004526	0.985207518671407	ribonuclease P activity
GO:0016984	0.984422693416592	ribulose-bisphosphate carboxylase activity
GO:0030597	0.984422693416592	RNA glycosylase activity
GO:0030598	0.984422693416592	rRNA N-glycosylase activity
GO:0004448	0.981313335477293	isocitrate dehydrogenase activity
GO:0004450	0.981313335477293	isocitrate dehydrogenase (NADP+) activity
GO:0019835	0.981313335477293	cytolysis
GO:0044179	0.981313335477293	hemolysis in other organism
GO:0051715	0.981313335477293	cytolysis in other organism
GO:0051187	0.981203809463556	cofactor catabolic process
GO:0043227	0.981203809463556	membrane-bounded organelle
GO:0019900	0.981203809463556	kinase binding
GO:0033108	0.981203809463556	mitochondrial respiratory chain complex assembly
GO:0010970	0.981203809463556	transport along microtubule
GO:0030705	0.981203809463556	cytoskeleton-dependent intracellular transport
GO:0042073	0.981203809463556	intraciliary transport
GO:0098840	0.981203809463556	protein transport along microtubule
GO:0099111	0.981203809463556	microtubule-based transport
GO:0099118	0.981203809463556	microtubule-based protein transport
GO:0009267	0.975599817534337	cellular response to starvation
GO:0009991	0.975599817534337	response to extracellular stimulus
GO:0031667	0.975599817534337	response to nutrient levels
GO:0031668	0.975599817534337	cellular response to extracellular stimulus
GO:0031669	0.975599817534337	cellular response to nutrient levels
GO:0042594	0.975599817534337	response to starvation
GO:0071496	0.975599817534337	cellular response to external stimulus
GO:0005186	0.975599817534337	pheromone activity
GO:0001932	0.969886681021374	regulation of protein phosphorylation
GO:0031399	0.969886681021374	regulation of protein modification process
GO:1901988	0.969886681021374	negative regulation of cell cycle phase transition
GO:1901991	0.969886681021374	negative regulation of mitotic cell cycle phase transition
GO:0032465	0.969886681021374	regulation of cytokinesis
GO:0051302	0.969886681021374	regulation of cell division
GO:0016863	0.969886681021374	intramolecular oxidoreductase activity, transposing C=C bonds
GO:0047750	0.969886681021374	cholestenol delta-isomerase activity
GO:0010817	0.969886681021374	regulation of hormone levels
GO:0042445	0.969886681021374	hormone metabolic process
GO:0009791	0.967650876195913	post-embryonic development
GO:0016651	0.964619893099047	oxidoreductase activity, acting on NAD(P)H
GO:0098798	0.957214932493172	mitochondrial protein complex
GO:0019901	0.957214932493172	protein kinase binding
GO:0006625	0.956987631584065	protein targeting to peroxisome
GO:0015919	0.956987631584065	peroxisomal membrane transport
GO:0043574	0.956987631584065	peroxisomal transport
GO:0072662	0.956987631584065	protein localization to peroxisome
GO:0072663	0.956987631584065	establishment of protein localization to peroxisome
GO:0007157	0.951424766617525	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0008982	0.951424766617525	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0042393	0.951424766617525	histone binding
GO:0006817	0.951424766617525	phosphate ion transport
GO:0016168	0.947883155657562	chlorophyll binding
GO:0000139	0.944494654122973	Golgi membrane
GO:0000313	0.944494654122973	organellar ribosome
GO:0005761	0.944494654122973	mitochondrial ribosome
GO:0009793	0.94289278968739	embryo development ending in seed dormancy
GO:0009856	0.94289278968739	pollination
GO:0009875	0.94289278968739	pollen-pistil interaction
GO:0010154	0.94289278968739	fruit development
GO:0010374	0.94289278968739	stomatal complex development
GO:0044706	0.94289278968739	multi-multicellular organism process
GO:0048316	0.94289278968739	seed development
GO:0048544	0.94289278968739	recognition of pollen
GO:0048580	0.94289278968739	regulation of post-embryonic development
GO:0048582	0.94289278968739	positive regulation of post-embryonic development
GO:0090558	0.94289278968739	plant epidermis development
GO:2000038	0.94289278968739	regulation of stomatal complex development
GO:2000123	0.94289278968739	positive regulation of stomatal complex development
GO:0006665	0.940185712752078	sphingolipid metabolic process
GO:0006403	0.932772664320004	RNA localization
GO:0009100	0.932772664320004	glycoprotein metabolic process
GO:0050657	0.932772664320004	nucleic acid transport
GO:0050658	0.932772664320004	RNA transport
GO:0051236	0.932772664320004	establishment of RNA localization
GO:0071840	0.932772664320004	cellular component organization or biogenesis
GO:0008017	0.932772664320004	microtubule binding
GO:0015850	0.932772664320004	organic hydroxy compound transport
GO:0016246	0.931598872941038	RNA interference
GO:0016799	0.926957654790632	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0006308	0.925798814260843	DNA catabolic process
GO:0004529	0.919892386377885	exodeoxyribonuclease activity
GO:0016895	0.919892386377885	exodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0010629	0.919892386377885	negative regulation of gene expression
GO:0098803	0.919892386377885	respiratory chain complex
GO:0009606	0.919892386377885	tropism
GO:0009733	0.919892386377885	response to auxin
GO:0010274	0.919892386377885	hydrotropism
GO:0017007	0.919892386377885	protein-bilin linkage
GO:0017009	0.919892386377885	protein-phycocyanobilin linkage
GO:0048046	0.919892386377885	apoplast
GO:0010333	0.919892386377885	terpene synthase activity
GO:0016762	0.919892386377885	xyloglucan:xyloglucosyl transferase activity
GO:0050664	0.919892386377885	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor
GO:0008297	0.919892386377885	single-stranded DNA exodeoxyribonuclease activity
