ann_term	CC	annotation
GO:0006955	0.93134199259925	immune response
GO:0002376	0.931089818499852	immune system process
GO:0030545	0.91734058762626	receptor regulator activity
GO:0030546	0.91734058762626	signaling receptor activator activity
GO:0048018	0.91734058762626	receptor ligand activity
GO:0032502	0.899722446690051	developmental process
GO:0048856	0.898690497683911	anatomical structure development
GO:0005102	0.895486722661932	signaling receptor binding
GO:0007275	0.893316145656244	multicellular organism development
GO:0008083	0.891183267270222	growth factor activity
GO:0022843	0.888176261236018	voltage-gated cation channel activity
GO:0009888	0.885400396989568	tissue development
GO:0001518	0.874746808000164	voltage-gated sodium channel complex
GO:0034706	0.874746808000164	sodium channel complex
GO:0005248	0.874746808000164	voltage-gated sodium channel activity
GO:0019209	0.872739920831933	kinase activator activity
GO:0030295	0.872739920831933	protein kinase activator activity
GO:0010942	0.871206027114289	positive regulation of cell death
GO:0043065	0.871206027114289	positive regulation of apoptotic process
GO:0043068	0.871206027114289	positive regulation of programmed cell death
GO:0043539	0.86541723505202	protein serine/threonine kinase activator activity
GO:0045995	0.865352070111194	regulation of embryonic development
GO:0030141	0.864856212650419	secretory granule
GO:0099503	0.864856212650419	secretory vesicle
GO:0005126	0.86439467279003	cytokine receptor binding
GO:0048513	0.86400862441229	animal organ development
GO:0034703	0.863063514622762	cation channel complex
GO:0005891	0.862906540371659	voltage-gated calcium channel complex
GO:0005245	0.860027222097595	voltage-gated calcium channel activity
GO:0005576	0.855327042158514	extracellular region
GO:0008373	0.854890874243394	sialyltransferase activity
GO:0005179	0.854524895966342	hormone activity
GO:0034702	0.849529622154529	ion channel complex
GO:0005125	0.8487040419403	cytokine activity
GO:0070840	0.84861428643204	dynein complex binding
GO:0034704	0.844495275680838	calcium channel complex
GO:0048731	0.844231493810156	system development
GO:0004860	0.843522362484124	protein kinase inhibitor activity
GO:0019210	0.843522362484124	kinase inhibitor activity
GO:0018149	0.843278569736476	peptide cross-linking
GO:0003810	0.841440775202369	protein-glutamine gamma-glutamyltransferase activity
GO:0005164	0.840147791050303	tumor necrosis factor receptor binding
GO:0032813	0.840147791050303	tumor necrosis factor receptor superfamily binding
GO:0016604	0.837651409129747	nuclear body
GO:0016607	0.837651409129747	nuclear speck
GO:0001664	0.836803951672273	G protein-coupled receptor binding
GO:0005539	0.8361918730554	glycosaminoglycan binding
GO:0016477	0.832828159205975	cell migration
GO:0030334	0.832828159205975	regulation of cell migration
GO:0140297	0.832282236152547	DNA-binding transcription factor binding
GO:0004675	0.82922774176664	transmembrane receptor protein serine/threonine kinase activity
GO:0008201	0.828149994922102	heparin binding
