ann_term	q_val	annotation
PF00959	2.96260623866189e-09	Phage lysozyme
PF05521	1.17855651045831e-06	Phage head-tail joining protein
PF05939	1.17855651045831e-06	Phage minor tail protein
PF04883	1.17855651045831e-06	Bacteriophage HK97-gp10, putative tail-component
PF04971	1.17855651045831e-06	Bacteriophage P21 holin S
PF03275	1.25772317312735e-06	UDP-galactopyranose mutase
PF06163	1.25772317312735e-06	Bacterial protein of unknown function (DUF977)
PF11367	1.2658544766221e-06	Protein of unknown function (DUF3168)
PF05135	6.01566508379097e-06	Phage gp6-like head-tail connector protein
PF03245	6.01566508379097e-06	Bacteriophage Rz lysis protein
PF06316	6.78751470254293e-06	Enterobacterial Ail/Lom protein
PF05100	7.14944496672872e-06	Phage minor tail protein L
PF06222	7.14944496672872e-06	Phage tail assembly chaperone
PF00589	8.57516062809963e-06	Phage integrase family
PF04448	9.12149795403423e-06	Protein of unknown function (DUF551)
PF13227	9.69204893198201e-06	Protein of unknown function (DUF4035)
PF04586	9.69204893198201e-06	Caudovirus prohead serine protease
PF05065	1.74792453957694e-05	Phage capsid family
PF03354	1.85598521859881e-05	Phage Terminase
PF01863	2.93103210835964e-05	Protein of unknown function DUF45
PF06254	3.5153254801829e-05	Putative bacterial toxin ydaT
PF00877	3.5153254801829e-05	NlpC/P60 family
PF01381	3.5153254801829e-05	Helix-turn-helix
PF14464	4.04551917096035e-05	Prokaryotic homologs of the JAB domain
PF04313	4.14488605878172e-05	Type I restriction enzyme R protein N terminus (HSDR_N)
PF01520	4.14488605878172e-05	N-acetylmuramoyl-L-alanine amidase
PF12167	4.14488605878172e-05	Arm DNA-binding domain
PF00857	4.31544968144507e-05	Isochorismatase family
PF05866	5.97914230861362e-05	Endodeoxyribonuclease RusA
PF03358	6.03979735869969e-05	NADPH-dependent FMN reductase
PF09327	6.82128031500046e-05	Domain of unknown function (DUF1983)
PF15943	6.85306796891153e-05	Putative antitoxin of bacterial toxin-antitoxin system, YdaS/YdaT
PF00717	8.33268721447382e-05	Peptidase S24-like
PF13450	9.86028607532072e-05	NAD(P)-binding Rossmann-like domain
PF04984	9.86028607532072e-05	Phage tail sheath protein subtilisin-like domain
PF17482	9.86028607532072e-05	Phage tail sheath C-terminal domain
PF08400	0.000106113937995902	Prophage tail fibre N-terminal
