ann_term	CC	annotation
PF00959	0.76519518634905	Phage lysozyme
PF05939	0.72899427417998	Phage minor tail protein
PF04448	0.725741660387177	Protein of unknown function (DUF551)
PF00589	0.721085199224193	Phage integrase family
PF06316	0.720733078233779	Enterobacterial Ail/Lom protein
PF04971	0.718496190319398	Bacteriophage P21 holin S
PF05100	0.708267379884473	Phage minor tail protein L
PF09327	0.707756166367693	Domain of unknown function (DUF1983)
PF06147	0.703099649035271	Protein of unknown function (DUF968)
PF03245	0.702641091562922	Bacteriophage Rz lysis protein
PF14464	0.69795009245103	Prokaryotic homologs of the JAB domain
PF00877	0.694140202468014	NlpC/P60 family
PF06805	0.692589864106334	Bacteriophage lambda tail assembly protein I
PF01381	0.689281324615522	Helix-turn-helix
PF08400	0.677506007138134	Prophage tail fibre N-terminal
PF01848	0.677191359287989	Hok/gef family
PF06069	0.676871198214005	PerC transcriptional activator
PF01391	0.670725730210095	Collagen triple helix repeat (20 copies)
PF09718	0.668905683515547	Lambda phage tail tape-measure protein (Tape_meas_lam_C)
PF05876	0.667995089567622	Phage terminase large subunit (GpA)
PF05866	0.666851669342754	Endodeoxyribonuclease RusA
PF06163	0.66651634704011	Bacterial protein of unknown function (DUF977)
PF13935	0.665169882030775	Ead/Ea22-like protein
PF05696	0.663795452307286	Protein of unknown function (DUF826)
PF07125	0.662858326540905	Protein of unknown function (DUF1378)
PF05766	0.662614377028902	Bacteriophage Lambda NinG protein
PF13550	0.660765780714567	Putative phage tail protein
PF05136	0.65707158471948	Phage portal protein, lambda family
PF07041	0.652160704894367	Protein of unknown function (DUF1327)
PF08410	0.651659513399487	Domain of unknown function (DUF1737)
PF06223	0.637618004970721	Minor tail protein T
PF12421	0.636423371325968	Fibronectin type III protein
PF13132	0.636263273641095	Domain of unknown function (DUF3950)
PF02831	0.63332260963586	gpW
PF16461	0.629805557704978	Lambda phage tail tube protein, TTP
PF06894	0.628859462617098	Bacteriophage lambda tail assembly chaperone, TAC, protein G
PF06416	0.628314103327209	Effector protein NleG
PF03278	0.62773307689493	IpaB/EvcA family
PF06820	0.627344864348952	Putative prophage tail fibre C-terminus
PF01343	0.625391177021566	Peptidase family S49
PF07151	0.619833050110553	Protein of unknown function (DUF1391)
PF02368	0.61900385366281	Bacterial Ig-like domain (group 2)
