ann_term	CC	annotation
PF03433	0.507611970274653	EspA-like secreted protein
PF05802	0.507611970274653	Enterobacterial EspB protein
PF06287	0.507611970274653	Protein of unknown function (DUF1039)
PF09621	0.507611970274653	Type III secretion system regulator (LcrR)
PF16693	0.507611970274653	Inner membrane component of T3SS, periplasmic domain
PF07979	0.5017437053416	Intimin C-type lectin domain
PF04888	0.485742363893059	Secretion system effector C (SseC) like family
PF12500	0.48568759935413	TRSP domain C terminus to PRTase_2
PF15609	0.48568759935413	Phosphoribosyl transferase
PF15617	0.48568759935413	C-C_Bond_Lyase of the TIM-Barrel fold
PF15632	0.48568759935413	ATP-grasp in the biosynthetic pathway with Ter operon
PF00449	0.48432873959182	Urease alpha-subunit, N-terminal domain
PF00547	0.48432873959182	Urease, gamma subunit
PF00699	0.48432873959182	Urease beta subunit
PF01730	0.48432873959182	UreF
PF02814	0.48432873959182	UreE urease accessory protein, N-terminal domain
PF05194	0.48432873959182	UreE urease accessory protein, C-terminal domain
PF03549	0.476370520514178	Translocated intimin receptor (Tir) intimin-binding domain
PF05932	0.476370520514178	Tir chaperone protein (CesT) family
PF06066	0.476370520514178	SepZ
PF06622	0.476370520514178	SepQ protein
PF07489	0.476370520514178	Translocated intimin receptor (Tir) C-terminus
PF07490	0.476370520514178	Translocated intimin receptor (Tir) N-terminus
PF08988	0.476370520514178	Type III secretion system, cytoplasmic E component of needle
PF11439	0.476370520514178	Type III secretion system filament chaperone CesA
PF13327	0.476370520514178	Type III secretion system subunit
PF16518	0.476370520514178	T3SS negative regulator,GrlR
PF01774	0.475447121112344	UreD urease accessory protein
PF06523	0.465936652410962	Protein of unknown function (DUF1106)
PF06872	0.465499457657291	EspG protein
PF03278	0.464501551912195	IpaB/EvcA family
PF01219	0.460312282172031	Prokaryotic diacylglycerol kinase
PF07201	0.455739454353414	HrpJ-like domain
PF14020	0.453771987680911	Protein of unknown function (DUF4236)
PF04806	0.449920373833671	EspF protein repeat
PF11996	0.438432445911651	Protein of unknown function (DUF3491)
PF12919	0.436823729997848	TcdA/TcdB catalytic glycosyltransferase domain
PF12918	0.435023851588796	TcdB toxin N-terminal helical domain
PF11202	0.43109316268706	Phosphoribosyl transferase (PRTase)
PF02342	0.428906125758332	TerD domain
PF15608	0.428814738432213	PELOTA RNA binding domain
PF07180	0.416419553780929	CaiF/GrlA transcriptional regulator
PF13979	0.411489597644046	SopA-like catalytic domain
PF03279	0.397615149416022	Bacterial lipid A biosynthesis acyltransferase
PF02368	0.39570163121737	Bacterial Ig-like domain (group 2)
PF09691	0.391977577708066	Type II secretion system pilotin lipoprotein (PulS_OutS)
PF10462	0.391977577708066	Peptidase M66
PF04266	0.383837393067022	ASCH domain
PF00006	0.38101987771779	ATP synthase alpha/beta family, nucleotide-binding domain
PF06316	0.38022598624735	Enterobacterial Ail/Lom protein
PF01313	0.370785737226867	Bacterial export proteins, family 3
PF01571	0.370608368210844	Aminomethyltransferase folate-binding domain
PF08669	0.370608368210844	Glycine cleavage T-protein C-terminal barrel domain
PF10518	0.370608368210844	TAT (twin-arginine translocation) pathway signal sequence
PF17131	0.370608368210844	Outer membrane lipoprotein-sorting protein
PF00813	0.363219247495761	FliP family
PF13711	0.348617942049301	Domain of unknown function (DUF4160)
PF01197	0.348551730886499	Ribosomal protein L31
PF12849	0.347401943739299	PBP superfamily domain
PF13988	0.346137641644427	Protein of unknown function (DUF4225)
PF13750	0.337787699212082	Bacterial Ig-like domain (group 3)
