ann_term	generic	annotation
PF00005	5.03399833536984	ABC transporter
PF00006	0.728163112899398	ATP synthase alpha/beta family, nucleotide-binding domain
PF00009	0.568002273127917	Elongation factor Tu GTP binding domain
PF00011	0.43864001560635	Hsp20/alpha crystallin family
PF00012	0.887322811693635	Hsp70 protein
PF00013	0.111803398874989	KH domain
PF00015	0.899278895363151	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00027	0.223606797749979	Cyclic nucleotide-binding domain
PF00034	0.191182198207345	Cytochrome c
PF00035	0.111803398874989	Double-stranded RNA binding motif
PF00037	0.969144213380606	4Fe-4S binding domain
PF00042	0.157109975188711	Globin
PF00043	0.225017580185205	Glutathione S-transferase, C-terminal domain
PF00044	0.157109975188711	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00056	0.111803398874989	lactate/malate dehydrogenase, NAD binding domain
PF00069	0.332805489243922	Protein kinase domain
PF00072	1.80084368413351	Response regulator receiver domain
PF00075	0.270957047369112	RNase H
PF00078	1.76749841100675	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00080	0.194464535831607	Copper/zinc superoxide dismutase (SODC)
PF00081	0	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082	0.191182198207345	Subtilase family
PF00083	1.16678721498964	Sugar (and other) transporter
PF00085	0.248730956271219	Thioredoxin
PF00089	0.243588675923112	Trypsin
PF00091	0	Tubulin/FtsZ family, GTPase domain
PF00092	1.14709318924407	von Willebrand factor type A domain
PF00106	1.05422597438277	short chain dehydrogenase
PF00107	1.77018199736566	Zinc-binding dehydrogenase
PF00108	0.616107626632666	Thiolase, N-terminal domain
PF00109	2.08668928015139	Beta-ketoacyl synthase, N-terminal domain
PF00111	1.2318941882886	2Fe-2S iron-sulfur cluster binding domain
PF00113	0.219320007803175	Enolase, C-terminal TIM barrel domain
PF00115	0	Cytochrome C and Quinol oxidase polypeptide I
PF00116	0	Cytochrome C oxidase subunit II, periplasmic domain
PF00117	0.403897154474261	Glutamine amidotransferase class-I
PF00118	0.157109975188711	TCP-1/cpn60 chaperonin family
PF00119	0	ATP synthase A chain
PF00120	0.475840362551257	Glutamine synthetase, catalytic domain
PF00121	0.111803398874989	Triosephosphate isomerase
PF00122	0.505507640578799	E1-E2 ATPase
PF00126	2.80976484443319	Bacterial regulatory helix-turn-helix protein, lysR family
PF00128	0.65167748488328	Alpha amylase, catalytic domain
PF00132	2.00868368007068	Bacterial transferase hexapeptide (six repeats)
PF00133	0.420216942163227	tRNA synthetases class I (I, L, M and V)
PF00136	0	DNA polymerase family B
PF00137	0	ATP synthase subunit C
PF00140	0.432098207308817	Sigma-70 factor, region 1.2
PF00141	0.603785526511953	Peroxidase
PF00144	0.553327105856879	Beta-lactamase
PF00145	1.31778246797846	C-5 cytosine-specific DNA methylase
PF00146	0.483755090248952	NADH dehydrogenase
PF00149	1.17186155055573	Calcineurin-like phosphoesterase
PF00152	0.423965606438822	tRNA synthetases class II (D, K and N)
PF00154	0.157109975188711	recA bacterial DNA recombination protein
PF00155	1.25056949052538	Aminotransferase class I and II
PF00156	0.265053135346409	Phosphoribosyl transferase domain
PF00158	0.967101240887727	Sigma-54 interaction domain
PF00160	0.191182198207345	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00161	0	Ribosome inactivating protein
PF00162	0	Phosphoglycerate kinase
PF00163	0	Ribosomal protein S4/S9 N-terminal domain
PF00164	0	Ribosomal protein S12/S23
PF00165	0.111803398874989	Bacterial regulatory helix-turn-helix proteins, AraC family
PF00166	0.157109975188711	Chaperonin 10 Kd subunit
PF00171	1.63892524215325	Aldehyde dehydrogenase family
PF00174	0.435563072210464	Oxidoreductase molybdopterin binding domain
PF00175	0.941232023211592	Oxidoreductase NAD-binding domain
PF00176	0.51311903028489	SNF2 family N-terminal domain
PF00177	0	Ribosomal protein S7p/S5e
PF00180	0.789167162346852	Isocitrate/isopropylmalate dehydrogenase
PF00181	0	Ribosomal Proteins L2, RNA binding domain
PF00182	0	Chitinase class I
PF00183	0.191182198207345	Hsp90 protein
PF00185	0.529957008048527	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain
PF00186	0.577943757939968	Dihydrofolate reductase
PF00189	0	Ribosomal protein S3, C-terminal domain
PF00196	2.01261842170651	Bacterial regulatory proteins, luxR family
PF00198	0.482444986041893	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00199	0	Catalase
PF00202	0.595207654435605	Aminotransferase class-III
PF00203	0	Ribosomal protein S19
PF00204	0.159111456835146	DNA gyrase B
PF00205	0.431181773175754	Thiamine pyrophosphate enzyme, central domain
PF00206	0.548876873975221	Lyase
PF00207	0.341256056653258	Alpha-2-macroglobulin family
PF00208	0	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF00210	0.45003516037041	Ferritin-like domain
PF00213	0	ATP synthase delta (OSCP) subunit
PF00215	0.389538838024033	Orotidine 5'-phosphate decarboxylase / HUMPS family
PF00216	0.413192265296999	Bacterial DNA-binding protein
PF00218	0.191182198207345	Indole-3-glycerol phosphate synthase
PF00221	0.191182198207345	Aromatic amino acid lyase
PF00224	0.111803398874989	Pyruvate kinase, barrel domain
PF00226	0.474675105410219	DnaJ domain
PF00227	0	Proteasome subunit
PF00230	0.347686749746618	Major intrinsic protein
PF00231	0	ATP synthase
PF00232	0.823315310962831	Glycosyl hydrolase family 1
PF00237	0	Ribosomal protein L22p/L17e
PF00238	0	Ribosomal protein L14p/L23e
PF00239	1.88195965735154	Resolvase, N terminal domain
PF00245	0.111803398874989	Alkaline phosphatase
PF00246	0.157109975188711	Zinc carboxypeptidase
PF00248	1.74800971813189	Aldo/keto reductase family
PF00251	0.728163112899398	Glycosyl hydrolases family 32 N-terminal domain
PF00252	0	Ribosomal protein L16p/L10e
PF00253	0	Ribosomal protein S14p/S29e
PF00254	0	FKBP-type peptidyl-prolyl cis-trans isomerase
PF00255	0.371236387893486	Glutathione peroxidase
PF00258	0.248730956271219	Flavodoxin
PF00263	0.927685973712433	Bacterial type II and III secretion system protein
PF00265	0.111803398874989	Thymidine kinase
PF00266	0.191182198207345	Aminotransferase class-V
PF00267	0.715891053163818	Gram-negative porin
PF00268	0.223606797749979	Ribonucleotide reductase, small chain
PF00270	1.20231843546257	DEAD/DEAH box helicase
PF00271	1.76458658693327	Helicase conserved C-terminal domain
PF00275	0.194464535831607	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF00276	0	Ribosomal protein L23
PF00278	0	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
PF00281	0	Ribosomal protein L5
PF00282	0.157109975188711	Pyridoxal-dependent decarboxylase conserved domain
PF00285	0.159111456835146	Citrate synthase, C-terminal domain
PF00288	0.111803398874989	GHMP kinases N terminal domain
PF00289	0.157109975188711	Biotin carboxylase, N-terminal domain
PF00290	0	Tryptophan synthase alpha chain
PF00291	0.559724163531026	Pyridoxal-phosphate dependent enzyme
PF00293	0.739483227015985	NUDIX domain
PF00294	1.65430011205932	pfkB family carbohydrate kinase
PF00296	0.368884737237919	Luciferase-like monooxygenase
PF00297	0	Ribosomal protein L3
PF00298	0.111803398874989	Ribosomal protein L11, RNA binding domain
PF00300	0.426755495763742	Histidine phosphatase superfamily (branch 1)
PF00301	0.111803398874989	Rubredoxin
PF00302	0.219320007803175	Chloramphenicol acetyltransferase
PF00303	0.191182198207345	Thymidylate synthase
PF00306	0	ATP synthase alpha/beta chain, C terminal domain
PF00308	0.194464535831607	Bacterial dnaA  protein
PF00309	0.111803398874989	Sigma-54 factor, Activator interacting domain (AID)
PF00310	0.223606797749979	Glutamine amidotransferases class-II
PF00311	0.111803398874989	Phosphoenolpyruvate carboxylase
PF00312	0.111803398874989	Ribosomal protein S15
PF00313	0.487177351846223	'Cold-shock' DNA-binding domain
PF00316	0	Fructose-1-6-bisphosphatase, N-terminal domain
PF00317	0.223606797749979	Ribonucleotide reductase, all-alpha domain
PF00318	0	Ribosomal protein S2
PF00324	0.667391483617422	Amino acid permease
PF00325	0	Bacterial regulatory proteins, crp family
PF00326	0.395984592463336	Prolyl oligopeptidase family
PF00327	0	Ribosomal protein L30p/L7e
PF00328	0.539426559096072	Histidine phosphatase superfamily (branch 2)
PF00329	0.479978902489936	Respiratory-chain NADH dehydrogenase, 30 Kd subunit
PF00330	0.251262634294089	Aconitase family (aconitate hydratase)
PF00333	0	Ribosomal protein S5, N-terminal domain
PF00334	0	Nucleoside diphosphate kinase
PF00338	0	Ribosomal protein S10p/S20e
PF00342	0	Phosphoglucose isomerase
PF00343	0.111803398874989	Carbohydrate phosphorylase
PF00344	0	SecY translocase
PF00345	2.61685747376021	Pili and flagellar-assembly chaperone, PapD N-terminal domain
PF00346	0.94926687234766	Respiratory-chain NADH dehydrogenase, 49 Kd subunit
PF00347	0	Ribosomal protein L6
PF00348	0.111803398874989	Polyprenyl synthetase
PF00350	0.682048292584712	Dynamin family
PF00353	2.6959885812777	Haemolysin-type calcium-binding repeat (2 copies)
PF00355	1.38247393364764	Rieske [2Fe-2S] domain
PF00356	1.20100169162709	Bacterial regulatory proteins, lacI family
PF00358	0.463885625362245	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1
PF00359	1.12501758073464	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
PF00361	1.5454608914782	Proton-conducting membrane transporter
PF00364	0.679608040423004	Biotin-requiring enzyme
PF00365	0.111803398874989	Phosphofructokinase
PF00366	0	Ribosomal protein S17
PF00367	0.940979828675771	phosphotransferase system, EIIB
PF00370	0.875022603686342	FGGY family of carbohydrate kinases, N-terminal domain
PF00374	0.505664120273177	Nickel-dependent hydrogenase
PF00375	0.414148508800614	Sodium:dicarboxylate symporter family
PF00376	0.432098207308817	MerR family regulatory protein
PF00378	1.08616151443652	Enoyl-CoA hydratase/isomerase
PF00380	0.111803398874989	Ribosomal protein S9/S16
PF00381	0.76296805514029	PTS HPr component phosphorylation site
PF00383	0.219320007803175	Cytidine and deoxycytidylate deaminase zinc-binding region
PF00384	1.16644814107734	Molybdopterin oxidoreductase
PF00389	0.702504561001456	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF00390	0.157109975188711	Malic enzyme, N-terminal domain
PF00391	0.515426577663614	PEP-utilising enzyme, mobile domain
PF00392	1.65692830032113	Bacterial regulatory proteins, gntR family
PF00393	0.243588675923112	6-phosphogluconate dehydrogenase, C-terminal domain
PF00394	0.423778960774289	Multicopper oxidase
PF00398	0.270957047369112	Ribosomal RNA adenine dimethylase
PF00401	0.111803398874989	ATP synthase, Delta/Epsilon chain, long alpha-helix domain
PF00403	0.791969184926672	Heavy-metal-associated domain
PF00406	0	Adenylate kinase
PF00408	0.575886768054496	Phosphoglucomutase/phosphomannomutase, C-terminal domain
PF00410	0	Ribosomal protein S8
PF00411	0	Ribosomal protein S11
PF00416	0	Ribosomal protein S13/S18
PF00419	5.40739062928891	Fimbrial protein
PF00420	0.475840362551257	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF00425	0.551034699911293	chorismate binding enzyme
PF00430	0	ATP synthase B/B' CF(0)
PF00436	0.89123722850224	Single-strand binding protein family
PF00437	1.19591869246506	Type II/IV secretion system protein
PF00438	0.317974204829116	S-adenosylmethionine synthetase, N-terminal domain
PF00440	1.62062458658164	Bacterial regulatory proteins, tetR family
PF00441	0.331614768112609	Acyl-CoA dehydrogenase, C-terminal domain
PF00444	0.32583874244164	Ribosomal protein L36
PF00445	0.111803398874989	Ribonuclease T2 family
PF00448	0.265053135346409	SRP54-type protein, GTPase domain
PF00449	0.392976309396426	Urease alpha-subunit, N-terminal domain
PF00453	0.243588675923112	Ribosomal protein L20
PF00455	1.81833140926621	DeoR C terminal sensor domain
PF00456	0.70978691757064	Transketolase, thiamine diphosphate binding domain
PF00459	0	Inositol monophosphatase family
PF00460	1.76445207904338	Flagella basal body rod protein
PF00462	0.219320007803175	Glutaredoxin
PF00463	0.670820393249937	Isocitrate lyase family
PF00464	0.111803398874989	Serine hydroxymethyltransferase
PF00465	0.973054696837734	Iron-containing alcohol dehydrogenase
PF00466	0.111803398874989	Ribosomal protein L10
PF00467	0.111803398874989	KOW motif
PF00468	0	Ribosomal protein L34
PF00471	0.157109975188711	Ribosomal protein L33
PF00472	0.561276799422193	RF-1 domain
PF00474	0.432098207308817	Sodium:solute symporter family
PF00475	0.111803398874989	Imidazoleglycerol-phosphate dehydratase
PF00476	0.157109975188711	DNA polymerase family A
PF00478	0.371236387893486	IMP dehydrogenase / GMP reductase domain
PF00479	0.111803398874989	Glucose-6-phosphate dehydrogenase, NAD binding domain
PF00480	1.06705557256251	ROK family
PF00482	1.52531382950559	Type II secretion system (T2SS), protein F
PF00483	0.797146810803809	Nucleotidyl transferase
PF00484	0.466436802942521	Carbonic anhydrase
