ann_term	CC	annotation
GO:0007399	9.94665790476521e-08	nervous system development
GO:0016247	2.76634606483861e-07	channel regulator activity
GO:0099106	2.76634606483861e-07	ion channel regulator activity
GO:0007420	4.80801579821198e-07	brain development
GO:0060322	4.80801579821198e-07	head development
GO:0051049	4.81892815487938e-07	regulation of transport
GO:0032879	8.7064716397492e-07	regulation of localization
GO:0007417	1.54855747812733e-06	central nervous system development
GO:0019956	3.17666364606971e-06	chemokine binding
GO:0035690	5.39258399714139e-06	cellular response to drug
GO:0007212	5.97312248890636e-06	dopamine receptor signaling pathway
GO:0071867	5.97312248890636e-06	response to monoamine
GO:0071868	5.97312248890636e-06	cellular response to monoamine stimulus
GO:0071869	5.97312248890636e-06	response to catecholamine
GO:0071870	5.97312248890636e-06	cellular response to catecholamine stimulus
GO:1903350	5.97312248890636e-06	response to dopamine
GO:1903351	5.97312248890636e-06	cellular response to dopamine
GO:0016477	9.58563683380471e-06	cell migration
GO:0030168	1.34496701426e-05	platelet activation
GO:0019955	1.35939215429152e-05	cytokine binding
GO:0048731	1.48744625554495e-05	system development
GO:0004952	1.53690613890854e-05	dopamine neurotransmitter receptor activity
GO:0004936	1.78131067021229e-05	alpha-adrenergic receptor activity
GO:1901698	2.14699933296858e-05	response to nitrogen compound
GO:0046580	2.27288695873996e-05	negative regulation of Ras protein signal transduction
GO:0051058	2.27288695873996e-05	negative regulation of small GTPase mediated signal transduction
GO:0062023	2.41074099851635e-05	collagen-containing extracellular matrix
GO:0048584	2.58766573941787e-05	positive regulation of response to stimulus
GO:0016917	2.62156762069836e-05	GABA receptor activity
GO:0017017	2.95925944420141e-05	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	2.95925944420141e-05	MAP kinase phosphatase activity
GO:0004890	3.13341133805229e-05	GABA-A receptor activity
GO:0016604	3.62971946322206e-05	nuclear body
GO:0016607	3.62971946322206e-05	nuclear speck
GO:1903522	3.77748792389854e-05	regulation of blood circulation
GO:0043114	4.07680303852528e-05	regulation of vascular permeability
GO:0048245	4.07680303852528e-05	eosinophil chemotaxis
GO:0071621	4.07680303852528e-05	granulocyte chemotaxis
GO:0072677	4.07680303852528e-05	eosinophil migration
GO:0097530	4.07680303852528e-05	granulocyte migration
GO:0035257	4.23130829808964e-05	nuclear hormone receptor binding
GO:0051427	4.23130829808964e-05	hormone receptor binding
GO:0061629	4.23130829808964e-05	RNA polymerase II-specific DNA-binding transcription factor binding
GO:0030374	4.27173443530964e-05	nuclear receptor transcription coactivator activity
GO:0005923	4.34970867292854e-05	bicellular tight junction
GO:0043296	4.34970867292854e-05	apical junction complex
GO:0070160	4.34970867292854e-05	tight junction
GO:0099528	4.9047352597938e-05	G protein-coupled neurotransmitter receptor activity
GO:0008083	5.81965476433505e-05	growth factor activity
GO:0040011	5.82701007625783e-05	locomotion
GO:1901699	6.26468736838882e-05	cellular response to nitrogen compound
GO:0050776	6.36515635525164e-05	regulation of immune response
GO:0045907	6.41238313106721e-05	positive regulation of vasoconstriction
GO:0004910	6.72990987488328e-05	interleukin-1, type II, blocking receptor activity
GO:0042613	6.73611963626163e-05	MHC class II protein complex
GO:0045995	7.03961102935175e-05	regulation of embryonic development
GO:0071417	8.70795888590593e-05	cellular response to organonitrogen compound
GO:0098797	9.20769112497389e-05	plasma membrane protein complex
GO:0007193	9.27348904934658e-05	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
GO:0007195	9.27348904934658e-05	adenylate cyclase-inhibiting dopamine receptor signaling pathway
GO:0010243	9.52471478805743e-05	response to organonitrogen compound
GO:0007275	0.000100362483651207	multicellular organism development
GO:0048856	0.000103128762340646	anatomical structure development
GO:0001614	0.000104028218156214	purinergic nucleotide receptor activity
GO:0016502	0.000104028218156214	nucleotide receptor activity
GO:0042611	0.000113594236070506	MHC protein complex
GO:0140297	0.000130681948157641	DNA-binding transcription factor binding
GO:0042310	0.000135447739246814	vasoconstriction
GO:0097756	0.000135447739246814	negative regulation of blood vessel diameter
GO:0050778	0.000143458915404528	positive regulation of immune response
GO:0004993	0.000154137889483331	G protein-coupled serotonin receptor activity
GO:0099589	0.000154137889483331	serotonin receptor activity
GO:0001518	0.000159765947056959	voltage-gated sodium channel complex
GO:0034706	0.000159765947056959	sodium channel complex
GO:0005248	0.000159765947056959	voltage-gated sodium channel activity
GO:0003012	0.000168381108299954	muscle system process
GO:0030334	0.000169503919831519	regulation of cell migration
GO:0003013	0.000175245670535179	circulatory system process
GO:0008015	0.000175245670535179	blood circulation
GO:0014070	0.000175847552016445	response to organic cyclic compound
GO:0007586	0.000178559108487921	digestion
GO:0005540	0.000188836484624873	hyaluronic acid binding
GO:0043269	0.000190886544018322	regulation of ion transport
GO:0048013	0.000194417749913447	ephrin receptor signaling pathway
GO:0046875	0.000194417749913447	ephrin receptor binding
GO:0002684	0.000197890302556586	positive regulation of immune system process
GO:0006936	0.000199557552346226	muscle contraction
GO:0007267	0.000199689723365767	cell-cell signaling
GO:0030422	0.000207103955661298	production of siRNA involved in RNA interference
GO:0031050	0.000207103955661298	dsRNA processing
GO:0035196	0.000207103955661298	production of miRNAs involved in gene silencing by miRNA
GO:0042311	0.000207103955661298	vasodilation
GO:0050885	0.000207103955661298	neuromuscular process controlling balance
GO:0050905	0.000207103955661298	neuromuscular process
GO:0050957	0.000207103955661298	equilibrioception
GO:0070918	0.000207103955661298	production of small RNA involved in gene silencing by RNA
GO:0070920	0.000207103955661298	regulation of production of small RNA involved in gene silencing by RNA
GO:0090065	0.000207103955661298	regulation of production of siRNA involved in RNA interference
GO:0090075	0.000207103955661298	relaxation of muscle
GO:0097755	0.000207103955661298	positive regulation of blood vessel diameter
GO:1900368	0.000207103955661298	regulation of RNA interference
GO:1903798	0.000207103955661298	regulation of production of miRNAs involved in gene silencing by miRNA
GO:0043293	0.000207103955661298	apoptosome
GO:0070578	0.000207103955661298	RISC-loading complex
GO:0005018	0.000207103955661298	platelet-derived growth factor alpha-receptor activity
GO:0035197	0.000207103955661298	siRNA binding
GO:0061980	0.000207103955661298	regulatory RNA binding
GO:0070883	0.000207103955661298	pre-miRNA binding
GO:0071407	0.00022120490198325	cellular response to organic cyclic compound
GO:0007517	0.000228413268149125	muscle organ development
GO:0061061	0.000228413268149125	muscle structure development
GO:0043696	0.000242795286430351	dedifferentiation
GO:0043697	0.000242795286430351	cell dedifferentiation
GO:0004693	0.000242795286430351	cyclin-dependent protein serine/threonine kinase activity
GO:0097472	0.000242795286430351	cyclin-dependent protein kinase activity
GO:0001775	0.000291703609003577	cell activation
GO:0006616	0.000301063024858108	SRP-dependent cotranslational protein targeting to membrane, translocation
GO:0007167	0.000321566678509229	enzyme linked receptor protein signaling pathway
GO:0005911	0.000323646842569522	cell-cell junction
GO:0019229	0.000338308794087577	regulation of vasoconstriction
GO:0045028	0.0003582926991554	G protein-coupled purinergic nucleotide receptor activity
GO:0003018	0.000384136069391775	vascular process in circulatory system
GO:0035150	0.000384136069391775	regulation of tube size
GO:0035296	0.000384136069391775	regulation of tube diameter
GO:0097746	0.000384136069391775	regulation of blood vessel diameter
GO:0006939	0.000410048604150952	smooth muscle contraction
GO:0006935	0.000438108645090923	chemotaxis
GO:0042330	0.000438108645090923	taxis
GO:0043560	0.000439342097359475	insulin receptor substrate binding
GO:0048513	0.00044765469010964	animal organ development
GO:0007217	0.000478012645310349	tachykinin receptor signaling pathway
GO:0019882	0.000480746898182266	antigen processing and presentation
GO:0005539	0.000508633727847023	glycosaminoglycan binding
GO:0099503	0.000550144608978125	secretory vesicle
GO:0099536	0.000590107744531503	synaptic signaling
GO:0007169	0.000597720255431072	transmembrane receptor protein tyrosine kinase signaling pathway
GO:0007189	0.00060313122074879	adenylate cyclase-activating G protein-coupled receptor signaling pathway
GO:0019933	0.00060313122074879	cAMP-mediated signaling
GO:0019935	0.00060313122074879	cyclic-nucleotide-mediated signaling
GO:0042287	0.00060649957360964	MHC protein binding
GO:0002682	0.00068799611079064	regulation of immune system process
GO:0040012	0.000731975002762793	regulation of locomotion
GO:0004715	0.000743381296400217	non-membrane spanning protein tyrosine kinase activity
GO:0030155	0.000778399174493007	regulation of cell adhesion
GO:0016528	0.000823261522470217	sarcoplasm
GO:0030314	0.000823261522470217	junctional membrane complex
GO:0044057	0.000903811329395785	regulation of system process
GO:0004699	0.000911530531307737	calcium-independent protein kinase C activity
GO:0007584	0.000957396911954278	response to nutrient
GO:0014074	0.000957396911954278	response to purine-containing compound
GO:0033198	0.000957396911954278	response to ATP
GO:0046683	0.000957396911954278	response to organophosphorus
GO:0004931	0.000957396911954278	extracellularly ATP-gated cation channel activity
GO:0035381	0.000957396911954278	ATP-gated ion channel activity
GO:0051694	0.000962930441310849	pointed-end actin filament capping
GO:0005523	0.000962930441310849	tropomyosin binding
GO:0009611	0.000991730893844627	response to wounding
GO:0005184	0.00100090378204165	neuropeptide hormone activity
GO:0042043	0.00100406432521103	neurexin family protein binding
GO:0004985	0.00100446854292916	opioid receptor activity
GO:1904659	0.00104708821583795	glucose transmembrane transport
GO:0005355	0.00104708821583795	glucose transmembrane transporter activity
GO:0006836	0.00105252916901349	neurotransmitter transport
GO:0004954	0.0010849282288192	prostanoid receptor activity
GO:0031012	0.00111413914248876	extracellular matrix
GO:0005030	0.00112771207974616	neurotrophin receptor activity
GO:0045125	0.00114041055482892	bioactive lipid receptor activity
GO:0019199	0.00115282636583105	transmembrane receptor protein kinase activity
GO:0038036	0.00115373666147873	sphingosine-1-phosphate receptor activity
GO:0002520	0.00119618836260935	immune system development
GO:0008091	0.0011986017303276	spectrin
GO:0004935	0.00120103335098801	adrenergic receptor activity
GO:0016055	0.00121322056529041	Wnt signaling pathway
GO:0198738	0.00121322056529041	cell-cell signaling by wnt
GO:1905114	0.00121322056529041	cell surface receptor signaling pathway involved in cell-cell signaling
GO:0004949	0.00122605210045402	cannabinoid receptor activity
GO:0007268	0.00125193918831379	chemical synaptic transmission
GO:0098916	0.00125193918831379	anterograde trans-synaptic signaling
GO:0099537	0.00125193918831379	trans-synaptic signaling
GO:0030054	0.00126869529099503	cell junction
GO:1903530	0.00127784022373034	regulation of secretion by cell
GO:0032101	0.00130198818463281	regulation of response to external stimulus
GO:0002252	0.00130281086638912	immune effector process
GO:0003730	0.00130284773346372	mRNA 3'-UTR binding
GO:0004938	0.00132564190968168	alpha2-adrenergic receptor activity
GO:0001527	0.00138479052288035	microfibril
GO:0051239	0.00144231687191636	regulation of multicellular organismal process
GO:0051240	0.00152809932652758	positive regulation of multicellular organismal process
GO:0004994	0.00153745800627226	somatostatin receptor activity
GO:0005577	0.00164268606875849	fibrinogen complex
GO:0070915	0.00165005747254318	lysophosphatidic acid receptor activity
GO:0046777	0.00167800654330316	protein autophosphorylation
GO:0099094	0.00168645993406349	ligand-gated cation channel activity
GO:0051262	0.00172286699728251	protein tetramerization
GO:0009605	0.00176197361971071	response to external stimulus
GO:0005160	0.00177321255279226	transforming growth factor beta receptor binding
GO:0006047	0.00181906754788105	UDP-N-acetylglucosamine metabolic process
GO:0002474	0.00182367161086258	antigen processing and presentation of peptide antigen via MHC class I
GO:0002483	0.00182367161086258	antigen processing and presentation of endogenous peptide antigen
GO:0019883	0.00182367161086258	antigen processing and presentation of endogenous antigen
GO:0019885	0.00182367161086258	antigen processing and presentation of endogenous peptide antigen via MHC class I
GO:0048002	0.00182367161086258	antigen processing and presentation of peptide antigen
GO:0051270	0.00182765876303105	regulation of cellular component movement
GO:0008543	0.00193139128563811	fibroblast growth factor receptor signaling pathway
GO:0044344	0.00193139128563811	cellular response to fibroblast growth factor stimulus
GO:0071774	0.00193139128563811	response to fibroblast growth factor
GO:0007129	0.00194290624364111	synapsis
GO:0007130	0.00194290624364111	synaptonemal complex assembly
GO:0045143	0.00194290624364111	homologous chromosome segregation
GO:0070192	0.00194290624364111	chromosome organization involved in meiotic cell cycle
GO:0070193	0.00194290624364111	synaptonemal complex organization
GO:1901618	0.00196799068102417	organic hydroxy compound transmembrane transporter activity
GO:0051090	0.00198713483911538	regulation of DNA-binding transcription factor activity
GO:0016492	0.00198713483911538	G protein-coupled neurotensin receptor activity
GO:0004955	0.0020606442520726	prostaglandin receptor activity
GO:0030162	0.00217903665228776	regulation of proteolysis
GO:0051046	0.00222390259041698	regulation of secretion
GO:0051018	0.00224862015448542	protein kinase A binding
GO:0031110	0.00232303124573689	regulation of microtubule polymerization or depolymerization
GO:0098772	0.00244896939829495	molecular function regulator
GO:0048534	0.00246328890666159	hematopoietic or lymphoid organ development
GO:0004714	0.00251408331662589	transmembrane receptor protein tyrosine kinase activity
GO:0031854	0.00258481308326929	orexigenic neuropeptide QRFP receptor binding
GO:0042470	0.00259091861789583	melanosome
GO:0048770	0.00259091861789583	pigment granule
GO:0055074	0.00263697855647393	calcium ion homeostasis
GO:0072507	0.00263697855647393	divalent inorganic cation homeostasis
GO:0044092	0.00267210607378222	negative regulation of molecular function
GO:0048699	0.0027512346342664	generation of neurons
GO:0031058	0.00279278166471277	positive regulation of histone modification
GO:0031060	0.00279278166471277	regulation of histone methylation
GO:0031062	0.00279278166471277	positive regulation of histone methylation
GO:0036123	0.00279278166471277	histone H3-K9 dimethylation
GO:0051567	0.00279278166471277	histone H3-K9 methylation
GO:0051570	0.00279278166471277	regulation of histone H3-K9 methylation
GO:0051574	0.00279278166471277	positive regulation of histone H3-K9 methylation
GO:0061647	0.00279278166471277	histone H3-K9 modification
GO:1900109	0.00279278166471277	regulation of histone H3-K9 dimethylation
GO:1900111	0.00279278166471277	positive regulation of histone H3-K9 dimethylation
GO:1905269	0.00279278166471277	positive regulation of chromatin organization
GO:2001252	0.00279278166471277	positive regulation of chromosome organization
GO:0007623	0.00280039737125703	circadian rhythm
GO:0048511	0.00280039737125703	rhythmic process
GO:0004465	0.00283441003991831	lipoprotein lipase activity
GO:0030097	0.00286031640432906	hemopoiesis
GO:2000145	0.00287379117128624	regulation of cell motility
GO:0004679	0.00287555403393776	AMP-activated protein kinase activity
GO:0007187	0.00288790548849193	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
GO:0007188	0.00288790548849193	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
GO:0007214	0.00291839738393102	gamma-aminobutyric acid signaling pathway
GO:0051345	0.00292066638910582	positive regulation of hydrolase activity
GO:0022008	0.00297129088726796	neurogenesis
GO:0030141	0.0029774352805278	secretory granule
GO:0016298	0.00298932047043288	lipase activity
GO:0018101	0.00308068780417099	protein citrullination
GO:0030545	0.00310925445234254	receptor regulator activity
GO:0030546	0.00310925445234254	signaling receptor activator activity
GO:0048018	0.00310925445234254	receptor ligand activity
GO:0008437	0.00319149989469958	thyrotropin-releasing hormone activity
GO:1903524	0.00324406740827973	positive regulation of blood circulation
GO:0002376	0.00326537470274915	immune system process
GO:0015280	0.00327159670488161	ligand-gated sodium channel activity
GO:0030296	0.00328252147571084	protein tyrosine kinase activator activity
GO:0030298	0.00328252147571084	receptor signaling protein tyrosine kinase activator activity
GO:0030971	0.00328252147571084	receptor tyrosine kinase binding
GO:1990782	0.00328252147571084	protein tyrosine kinase binding
GO:0007155	0.00338156476116557	cell adhesion
GO:0022610	0.00338156476116557	biological adhesion
GO:0005003	0.00343740376153066	ephrin receptor activity
GO:0031329	0.0034955691034015	regulation of cellular catabolic process
GO:0009743	0.00365048588021256	response to carbohydrate
GO:0009746	0.00365048588021256	response to hexose
GO:0009749	0.00365048588021256	response to glucose
GO:0034284	0.00365048588021256	response to monosaccharide
GO:0071322	0.00365048588021256	cellular response to carbohydrate stimulus
GO:0071326	0.00365048588021256	cellular response to monosaccharide stimulus
GO:0071331	0.00365048588021256	cellular response to hexose stimulus
GO:0071333	0.00365048588021256	cellular response to glucose stimulus
GO:0006955	0.00367099460788029	immune response
GO:0010942	0.00377126812801703	positive regulation of cell death
GO:0043065	0.00377126812801703	positive regulation of apoptotic process
GO:0043068	0.00377126812801703	positive regulation of programmed cell death
GO:0001973	0.0038621583330726	G protein-coupled adenosine receptor signaling pathway
GO:0035588	0.0038621583330726	G protein-coupled purinergic receptor signaling pathway
GO:0035590	0.0038621583330726	purinergic nucleotide receptor signaling pathway
GO:0001609	0.0038621583330726	G protein-coupled adenosine receptor activity
GO:0043410	0.00395520839513178	positive regulation of MAPK cascade
GO:0001516	0.00412472619760555	prostaglandin biosynthetic process
GO:0046456	0.00412472619760555	icosanoid biosynthetic process
GO:0046457	0.00412472619760555	prostanoid biosynthetic process
GO:1901570	0.00412472619760555	fatty acid derivative biosynthetic process
GO:0008116	0.00412472619760555	prostaglandin-I synthase activity
GO:0003015	0.00412591169480178	heart process
GO:0008016	0.00412591169480178	regulation of heart contraction
GO:0060047	0.00412591169480178	heart contraction
GO:0005452	0.00422646335403635	inorganic anion exchanger activity
GO:0006690	0.00426476459242157	icosanoid metabolic process
GO:0001570	0.00426545011519881	vasculogenesis
GO:0004965	0.00426545011519881	G protein-coupled GABA receptor activity
GO:0006874	0.00435322860342042	cellular calcium ion homeostasis
GO:0072503	0.00435322860342042	cellular divalent inorganic cation homeostasis
GO:0048585	0.0044364768113823	negative regulation of response to stimulus
GO:0001649	0.00447397628576542	osteoblast differentiation
GO:0004937	0.0044853887541018	alpha1-adrenergic receptor activity
GO:0004860	0.00449045144517476	protein kinase inhibitor activity
GO:0019210	0.00449045144517476	kinase inhibitor activity
GO:0080134	0.00449780761342744	regulation of response to stress
GO:0048666	0.00453993884584857	neuron development
GO:0030182	0.00477781225962209	neuron differentiation
GO:0015467	0.00478655652775094	G-protein activated inward rectifier potassium channel activity
GO:0042060	0.00478888368766268	wound healing
GO:0004953	0.00483327208087472	icosanoid receptor activity
GO:0008643	0.00486402881813526	carbohydrate transport
GO:0015144	0.00491479577375132	carbohydrate transmembrane transporter activity
GO:0005246	0.00492073747300202	calcium channel regulator activity
GO:0006937	0.0049213542032764	regulation of muscle contraction
GO:0090257	0.0049213542032764	regulation of muscle system process
GO:0005164	0.00496463948012205	tumor necrosis factor receptor binding
GO:0032813	0.00496463948012205	tumor necrosis factor receptor superfamily binding
GO:0048483	0.00507547343191537	autonomic nervous system development
GO:0048484	0.00507547343191537	enteric nervous system development
GO:0004962	0.00507547343191537	endothelin receptor activity
GO:0031424	0.00510007270536757	keratinization
GO:0051354	0.00510007270536757	negative regulation of oxidoreductase activity
GO:1900757	0.00510007270536757	regulation of D-amino-acid oxidase activity
GO:1900758	0.00510007270536757	negative regulation of D-amino-acid oxidase activity
GO:0090092	0.00515282231700639	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0090101	0.00515282231700639	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0090287	0.00515282231700639	regulation of cellular response to growth factor stimulus
GO:0090288	0.00515282231700639	negative regulation of cellular response to growth factor stimulus
GO:0007178	0.00519415746630593	transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0005243	0.00527987773743216	gap junction channel activity
GO:2000026	0.00528118069024967	regulation of multicellular organismal development
GO:0001558	0.00528325528506377	regulation of cell growth
GO:0031306	0.00533215429572888	intrinsic component of mitochondrial outer membrane
GO:0031307	0.00533215429572888	integral component of mitochondrial outer membrane
GO:0001696	0.00539845176188157	gastric acid secretion
GO:0014046	0.00539845176188157	dopamine secretion
GO:0014059	0.00539845176188157	regulation of dopamine secretion
GO:0015837	0.00539845176188157	amine transport
GO:0015844	0.00539845176188157	monoamine transport
GO:0015872	0.00539845176188157	dopamine transport
GO:0016486	0.00539845176188157	peptide hormone processing
GO:0045637	0.00539845176188157	regulation of myeloid cell differentiation
GO:0045639	0.00539845176188157	positive regulation of myeloid cell differentiation
GO:0045738	0.00539845176188157	negative regulation of DNA repair
GO:0050432	0.00539845176188157	catecholamine secretion
GO:0050433	0.00539845176188157	regulation of catecholamine secretion
GO:0051937	0.00539845176188157	catecholamine transport
GO:0051952	0.00539845176188157	regulation of amine transport
GO:0140448	0.00539845176188157	signaling receptor ligand precursor processing
GO:1990108	0.00539845176188157	protein linear deubiquitination
GO:2000780	0.00539845176188157	negative regulation of double-strand break repair
GO:2001021	0.00539845176188157	negative regulation of response to DNA damage stimulus
GO:2001023	0.00539845176188157	regulation of response to drug
GO:2001033	0.00539845176188157	negative regulation of double-strand break repair via nonhomologous end joining
GO:0005668	0.00539845176188157	RNA polymerase transcription factor SL1 complex
GO:0004941	0.00539845176188157	beta2-adrenergic receptor activity
GO:0004951	0.00539845176188157	cholecystokinin receptor activity
GO:0004978	0.00539845176188157	corticotropin receptor activity
GO:0018025	0.00539845176188157	calmodulin-lysine N-methyltransferase activity
GO:0038046	0.00539845176188157	enkephalin receptor activity
GO:0008645	0.00548041037217013	hexose transmembrane transport
GO:0015749	0.00548041037217013	monosaccharide transmembrane transport
GO:0015145	0.00548041037217013	monosaccharide transmembrane transporter activity
GO:0015149	0.00548041037217013	hexose transmembrane transporter activity
GO:0051119	0.00548041037217013	sugar transmembrane transporter activity
GO:0007200	0.00549114601058347	phospholipase C-activating G protein-coupled receptor signaling pathway
GO:0008384	0.00553991119995268	IkappaB kinase activity
GO:0032270	0.00582666381364196	positive regulation of cellular protein metabolic process
GO:0051247	0.00582666381364196	positive regulation of protein metabolic process
GO:0004113	0.00586190285659983	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity
GO:0003726	0.00588927797733849	double-stranded RNA adenosine deaminase activity
GO:0030594	0.00593201391466612	neurotransmitter receptor activity
GO:0030099	0.00620486587508759	myeloid cell differentiation
GO:0050839	0.00633977445695068	cell adhesion molecule binding
GO:0009109	0.00638741188287815	coenzyme catabolic process
GO:0009256	0.00638741188287815	10-formyltetrahydrofolate metabolic process
GO:0009258	0.00638741188287815	10-formyltetrahydrofolate catabolic process
GO:0009397	0.00638741188287815	folic acid-containing compound catabolic process
