ann_term	CC	annotation
GO:0048856	0.969304081079097	anatomical structure development
GO:0007275	0.96330998969984	multicellular organism development
GO:0048731	0.959488591474044	system development
GO:0032502	0.958213886670119	developmental process
GO:0016917	0.95791701819774	GABA receptor activity
GO:0005102	0.957645236018446	signaling receptor binding
GO:0004890	0.956761572549183	GABA-A receptor activity
GO:0045995	0.955884969752135	regulation of embryonic development
GO:0030545	0.954789181398929	receptor regulator activity
GO:0030546	0.954789181398929	signaling receptor activator activity
GO:0048018	0.954789181398929	receptor ligand activity
GO:0048513	0.954485062138182	animal organ development
GO:0030334	0.951289892196676	regulation of cell migration
GO:0016477	0.949452522335529	cell migration
GO:0008083	0.947245142646491	growth factor activity
GO:0030155	0.946003886107706	regulation of cell adhesion
GO:0032879	0.944221309948523	regulation of localization
GO:0009611	0.944052310951345	response to wounding
GO:0060627	0.943535852075682	regulation of vesicle-mediated transport
GO:0099503	0.942980200531292	secretory vesicle
GO:0051239	0.942960108863517	regulation of multicellular organismal process
GO:0048584	0.941851146744869	positive regulation of response to stimulus
GO:0007399	0.941571829809828	nervous system development
GO:0007420	0.941022336347724	brain development
GO:0060322	0.941022336347724	head development
GO:0007417	0.940231984113922	central nervous system development
GO:0008091	0.940227846811439	spectrin
GO:0001518	0.939432428093069	voltage-gated sodium channel complex
GO:0034706	0.939432428093069	sodium channel complex
GO:0005248	0.939432428093069	voltage-gated sodium channel activity
GO:0004715	0.939012267107468	non-membrane spanning protein tyrosine kinase activity
GO:1903522	0.938662394125079	regulation of blood circulation
GO:2000026	0.938652317268647	regulation of multicellular organismal development
GO:0017017	0.937026285288409	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	0.937026285288409	MAP kinase phosphatase activity
GO:0040012	0.936742418977502	regulation of locomotion
GO:0007517	0.936418577689021	muscle organ development
GO:0061061	0.936418577689021	muscle structure development
GO:0030522	0.935968066880824	intracellular receptor signaling pathway
GO:0042060	0.93545578952123	wound healing
GO:0005164	0.935097813867705	tumor necrosis factor receptor binding
GO:0032813	0.935097813867705	tumor necrosis factor receptor superfamily binding
GO:0010942	0.934970279677073	positive regulation of cell death
GO:0043065	0.934970279677073	positive regulation of apoptotic process
GO:0043068	0.934970279677073	positive regulation of programmed cell death
GO:0051262	0.934405692757045	protein tetramerization
GO:2000145	0.933106394393533	regulation of cell motility
GO:0042165	0.932991763692677	neurotransmitter binding
GO:0044057	0.932940360050653	regulation of system process
GO:0062023	0.931615990617095	collagen-containing extracellular matrix
GO:0035690	0.931303482370055	cellular response to drug
GO:0099528	0.931016665653642	G protein-coupled neurotransmitter receptor activity
GO:0007249	0.930966359807431	I-kappaB kinase/NF-kappaB signaling
GO:0043122	0.930966359807431	regulation of I-kappaB kinase/NF-kappaB signaling
GO:0001501	0.93068718538094	skeletal system development
GO:0051216	0.93068718538094	cartilage development
GO:0061448	0.93068718538094	connective tissue development
GO:0006836	0.929186509558452	neurotransmitter transport
GO:0002063	0.929084450085964	chondrocyte development
GO:0032330	0.929084450085964	regulation of chondrocyte differentiation
GO:0061035	0.929084450085964	regulation of cartilage development
GO:0061181	0.929084450085964	regulation of chondrocyte development
GO:0061572	0.929084450085964	actin filament bundle organization
GO:0031005	0.929084450085964	filamin binding
GO:0046777	0.928820798922589	protein autophosphorylation
GO:0005160	0.92820500140576	transforming growth factor beta receptor binding
GO:0043114	0.926828218375373	regulation of vascular permeability
GO:0048245	0.926828218375373	eosinophil chemotaxis
GO:0071621	0.926828218375373	granulocyte chemotaxis
GO:0072677	0.926828218375373	eosinophil migration
GO:0097530	0.926828218375373	granulocyte migration
GO:0009896	0.926719941459905	positive regulation of catabolic process
GO:0031331	0.926719941459905	positive regulation of cellular catabolic process
GO:0002062	0.926474732569916	chondrocyte differentiation
GO:0051694	0.926358653902073	pointed-end actin filament capping
GO:0005523	0.926358653902073	tropomyosin binding
GO:0016604	0.926329136217131	nuclear body
GO:0016607	0.926329136217131	nuclear speck
GO:0015026	0.926050707561972	coreceptor activity
GO:0005539	0.925703658565089	glycosaminoglycan binding
GO:0071495	0.925411880995676	cellular response to endogenous stimulus
GO:0005496	0.92505225803806	steroid binding
GO:0009605	0.92470334150167	response to external stimulus
GO:0008277	0.924443425159229	regulation of G protein-coupled receptor signaling pathway
GO:0003013	0.92416860215921	circulatory system process
GO:0008015	0.92416860215921	blood circulation
GO:0019229	0.924054865788312	regulation of vasoconstriction
GO:0004879	0.923958700510199	nuclear receptor activity
GO:0098531	0.923958700510199	ligand-activated transcription factor activity
GO:0015379	0.923226469863161	potassium:chloride symporter activity
GO:0051049	0.923063997110792	regulation of transport
GO:0043560	0.922922521310314	insulin receptor substrate binding
GO:0006955	0.922824659597209	immune response
GO:0009967	0.922584181344455	positive regulation of signal transduction
GO:0010647	0.922584181344455	positive regulation of cell communication
GO:0023056	0.922584181344455	positive regulation of signaling
GO:0040011	0.922466202730811	locomotion
GO:0048699	0.921965962729968	generation of neurons
GO:0005923	0.921964763078638	bicellular tight junction
GO:0043296	0.921964763078638	apical junction complex
GO:0070160	0.921964763078638	tight junction
GO:0045907	0.921889874849065	positive regulation of vasoconstriction
GO:0030212	0.921256503538667	hyaluronan metabolic process
GO:1903510	0.921256503538667	mucopolysaccharide metabolic process
GO:0032101	0.921045280379401	regulation of response to external stimulus
GO:0019955	0.920414950715086	cytokine binding
GO:0030168	0.920332368594375	platelet activation
GO:0050878	0.920086657270318	regulation of body fluid levels
GO:0002376	0.920026498016192	immune system process
