ann_term	q_val	annotation
GO:0035600	0.998038143402805	tRNA methylthiolation
GO:0035598	0.998038143402805	N6-threonylcarbomyladenosine methylthiotransferase activity
GO:0000062	0.994453127877972	fatty-acyl-CoA binding
GO:1901567	0.994453127877972	fatty acid derivative binding
GO:0044179	0.991687285772112	hemolysis in other organism
GO:0051715	0.991687285772112	cytolysis in other organism
GO:0019478	0.989511527392282	D-amino acid catabolic process
GO:0046655	0.989511527392282	folic acid metabolic process
GO:0046656	0.989511527392282	folic acid biosynthetic process
GO:0008696	0.989511527392282	4-amino-4-deoxychorismate lyase activity
GO:0030597	0.989511527392282	RNA glycosylase activity
GO:0030598	0.989511527392282	rRNA N-glycosylase activity
GO:0071973	0.989511527392282	bacterial-type flagellum-dependent cell motility
GO:0097588	0.989511527392282	archaeal or bacterial-type flagellum-dependent cell motility
GO:0006527	0.989511527392282	arginine catabolic process
GO:0015772	0.98918942716422	oligosaccharide transport
GO:0006366	0.988736097891583	transcription by RNA polymerase II
GO:0005853	0.988736097891583	eukaryotic translation elongation factor 1 complex
GO:0006898	0.988706464752552	receptor-mediated endocytosis
GO:0043229	0.987228920401258	intracellular organelle
GO:0008830	0.987228920401258	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0000278	0.986549136776363	mitotic cell cycle
GO:0016998	0.986549136776363	cell wall macromolecule catabolic process
GO:0006654	0.982248690490276	phosphatidic acid biosynthetic process
GO:0046473	0.982248690490276	phosphatidic acid metabolic process
GO:1901071	0.979648764841862	glucosamine-containing compound metabolic process
GO:0016307	0.979144660232574	phosphatidylinositol phosphate kinase activity
GO:0009310	0.978802598001469	amine catabolic process
GO:0006729	0.978461999751687	tetrahydrobiopterin biosynthetic process
GO:0034311	0.978461999751687	diol metabolic process
GO:0034312	0.978461999751687	diol biosynthetic process
GO:0046146	0.978461999751687	tetrahydrobiopterin metabolic process
GO:0045735	0.977718808027649	nutrient reservoir activity
GO:0005953	0.972968007867804	CAAX-protein geranylgeranyltransferase complex
GO:0000782	0.970292003312277	telomere cap complex
GO:0000783	0.970292003312277	nuclear telomere cap complex
GO:0140445	0.970292003312277	chromosome, telomeric repeat region
GO:1990879	0.970292003312277	CST complex
GO:0047750	0.970292003312277	cholestenol delta-isomerase activity
GO:0008174	0.966856021741478	mRNA methyltransferase activity
GO:0048312	0.961074998836681	intracellular distribution of mitochondria
GO:0016168	0.959985501074239	chlorophyll binding
GO:0034316	0.958809662442168	negative regulation of Arp2/3 complex-mediated actin nucleation
GO:0071933	0.958809662442168	Arp2/3 complex binding
GO:0009360	0.958037900297058	DNA polymerase III complex
GO:0048311	0.957536165625494	mitochondrion distribution
GO:0051646	0.957536165625494	mitochondrion localization
GO:0044036	0.957536165625494	cell wall macromolecule metabolic process
GO:0006569	0.957536165625494	tryptophan catabolic process
GO:0042402	0.957536165625494	cellular biogenic amine catabolic process
GO:0042436	0.957536165625494	indole-containing compound catabolic process
GO:0046218	0.957536165625494	indolalkylamine catabolic process
GO:0009279	0.957536165625494	cell outer membrane
GO:0001101	0.954091544593161	response to acid chemical
GO:0004133	0.952445633063668	glycogen debranching enzyme activity
GO:0004134	0.952445633063668	4-alpha-glucanotransferase activity
GO:0031965	0.952445633063668	nuclear membrane
GO:0046173	0.952009528502077	polyol biosynthetic process
GO:0008022	0.950494411720016	protein C-terminus binding
GO:0004407	0.950336876096832	histone deacetylase activity
GO:0033558	0.950336876096832	protein deacetylase activity
GO:0007157	0.949620216345337	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0008982	0.949620216345337	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
GO:0007088	0.949603192734662	regulation of mitotic nuclear division
GO:0051783	0.949603192734662	regulation of nuclear division
GO:0052689	0.94956590254799	carboxylic ester hydrolase activity
GO:0071702	0.948074437876073	organic substance transport
GO:0065008	0.947236917247654	regulation of biological quality
GO:0033036	0.9470534611255	macromolecule localization
GO:0051304	0.941961567774856	chromosome separation
GO:0006625	0.941771069617806	protein targeting to peroxisome
GO:0072662	0.941771069617806	protein localization to peroxisome
GO:0072663	0.941771069617806	establishment of protein localization to peroxisome
GO:0004097	0.941301862258601	catechol oxidase activity
GO:0016763	0.939733857890716	transferase activity, transferring pentosyl groups
GO:0071840	0.937913534431781	cellular component organization or biogenesis
GO:0039694	0.937740555959272	viral RNA genome replication
GO:0046556	0.933663820344273	alpha-L-arabinofuranosidase activity
GO:0044772	0.930814177208322	mitotic cell cycle phase transition
GO:1901990	0.930814177208322	regulation of mitotic cell cycle phase transition
GO:0046906	0.929791257919203	tetrapyrrole binding
GO:0045145	0.929791257919203	single-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0010467	0.929746772989631	gene expression
GO:0007005	0.929560939099347	mitochondrion organization
GO:0072348	0.929560939099347	sulfur compound transport
GO:0018991	0.927443255174714	oviposition
GO:0035262	0.927443255174714	gonad morphogenesis
GO:0009698	0.92450472869753	phenylpropanoid metabolic process
GO:0009737	0.92450472869753	response to abscisic acid
GO:0009738	0.92450472869753	abscisic acid-activated signaling pathway
GO:0009791	0.92450472869753	post-embryonic development
GO:0009808	0.92450472869753	lignin metabolic process
GO:0046271	0.92450472869753	phenylpropanoid catabolic process
GO:0046274	0.92450472869753	lignin catabolic process
GO:0071215	0.92450472869753	cellular response to abscisic acid stimulus
GO:0010427	0.92450472869753	abscisic acid binding
GO:0019139	0.92450472869753	cytokinin dehydrogenase activity
GO:0052716	0.92450472869753	hydroquinone:oxygen oxidoreductase activity
GO:0022884	0.92450472869753	macromolecule transmembrane transporter activity
GO:0047480	0.92450472869753	UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity
GO:0070205	0.92450472869753	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity
GO:0008184	0.9244130359516	glycogen phosphorylase activity
