ann_term	q_val	annotation
GO:0051495	0.999974904446282	positive regulation of cytoskeleton organization
GO:0043546	0.999761999324099	molybdopterin cofactor binding
GO:0006508	0.998378868657654	proteolysis
GO:0016827	0.995425133854961	hydrolase activity, acting on acid carbon-phosphorus bonds
GO:0050194	0.995425133854961	phosphonoacetaldehyde hydrolase activity
GO:0017110	0.992661301812176	nucleoside-diphosphatase activity
GO:0005634	0.992581936183337	nucleus
GO:0019866	0.991938720688621	organelle inner membrane
GO:0042447	0.989469664162673	hormone catabolic process
GO:0000334	0.988938096888173	3-hydroxyanthranilate 3,4-dioxygenase activity
GO:0043229	0.980451634406378	intracellular organelle
GO:0016569	0.979164769082029	covalent chromatin modification
GO:0016570	0.979164769082029	histone modification
GO:0005186	0.978163486317638	pheromone activity
GO:0016755	0.972354056081861	transferase activity, transferring amino-acyl groups
GO:0006729	0.97078067986346	tetrahydrobiopterin biosynthetic process
GO:0034311	0.97078067986346	diol metabolic process
GO:0034312	0.97078067986346	diol biosynthetic process
GO:0046146	0.97078067986346	tetrahydrobiopterin metabolic process
GO:0046910	0.970403320687093	pectinesterase inhibitor activity
GO:0009725	0.969522364443631	response to hormone
GO:0019239	0.969241141589674	deaminase activity
GO:0016458	0.965613748051189	gene silencing
GO:0061025	0.965252906609864	membrane fusion
GO:0043231	0.964779411225646	intracellular membrane-bounded organelle
GO:0000380	0.957428695021761	alternative mRNA splicing, via spliceosome
GO:0001700	0.957428695021761	embryonic development via the syncytial blastoderm
GO:0002065	0.957428695021761	columnar/cuboidal epithelial cell differentiation
GO:0002066	0.957428695021761	columnar/cuboidal epithelial cell development
GO:0007289	0.957428695021761	spermatid nucleus differentiation
GO:0007291	0.957428695021761	sperm individualization
GO:0007292	0.957428695021761	female gamete generation
GO:0007304	0.957428695021761	chorion-containing eggshell formation
GO:0007617	0.957428695021761	mating behavior
GO:0009792	0.957428695021761	embryo development ending in birth or egg hatching
GO:0030703	0.957428695021761	eggshell formation
GO:0030707	0.957428695021761	ovarian follicle cell development
GO:0035092	0.957428695021761	sperm chromatin condensation
GO:0045924	0.957428695021761	regulation of female receptivity
GO:0046008	0.957428695021761	regulation of female receptivity, post-mating
GO:0048477	0.957428695021761	oogenesis
GO:0060180	0.957428695021761	female mating behavior
GO:0005213	0.957428695021761	structural constituent of egg chorion
GO:0030215	0.957428695021761	semaphorin receptor binding
GO:1901989	0.957428695021761	positive regulation of cell cycle phase transition
GO:1902751	0.957428695021761	positive regulation of cell cycle G2/M phase transition
GO:0030431	0.957428695021761	sleep
GO:0032222	0.957428695021761	regulation of synaptic transmission, cholinergic
GO:0043266	0.957428695021761	regulation of potassium ion transport
GO:0043268	0.957428695021761	positive regulation of potassium ion transport
GO:0050804	0.957428695021761	modulation of chemical synaptic transmission
GO:0099177	0.957428695021761	regulation of trans-synaptic signaling
GO:1901016	0.957428695021761	regulation of potassium ion transmembrane transporter activity
GO:1901018	0.957428695021761	positive regulation of potassium ion transmembrane transporter activity
GO:1901379	0.957428695021761	regulation of potassium ion transmembrane transport
GO:1901381	0.957428695021761	positive regulation of potassium ion transmembrane transport
GO:1903818	0.957428695021761	positive regulation of voltage-gated potassium channel activity
GO:0006928	0.957428695021761	movement of cell or subcellular component
GO:0019556	0.957428695021761	histidine catabolic process to glutamate and formamide
GO:0043606	0.957428695021761	formamide metabolic process
GO:0009628	0.957428695021761	response to abiotic stimulus
GO:0051731	0.957428695021761	polynucleotide 5'-hydroxyl-kinase activity
GO:0009379	0.955910831334837	Holliday junction helicase complex
GO:0009425	0.955910831334837	bacterial-type flagellum basal body
GO:0030694	0.955910831334837	bacterial-type flagellum basal body, rod
GO:0005545	0.955474933613456	1-phosphatidylinositol binding
GO:0004370	0.952468124642249	glycerol kinase activity
GO:0009756	0.94907305342352	carbohydrate mediated signaling
GO:0009757	0.94907305342352	hexose mediated signaling
GO:0010182	0.94907305342352	sugar mediated signaling pathway
GO:0010255	0.94907305342352	glucose mediated signaling pathway
GO:1902659	0.94907305342352	regulation of glucose mediated signaling pathway
GO:0003774	0.946947887788432	motor activity
GO:0051130	0.944840682794885	positive regulation of cellular component organization
GO:0072546	0.943416078784896	ER membrane protein complex
GO:0008970	0.942290553744668	phospholipase A1 activity
GO:0007271	0.94133538299699	synaptic transmission, cholinergic
GO:0070011	0.938759261453418	peptidase activity, acting on L-amino acid peptides
GO:0004690	0.938517113095977	cyclic nucleotide-dependent protein kinase activity
GO:0004692	0.938517113095977	cGMP-dependent protein kinase activity
GO:0090304	0.938517113095977	nucleic acid metabolic process
GO:0009878	0.936961796048306	nodule morphogenesis
GO:0010098	0.936961796048306	suspensor development
GO:0016143	0.936961796048306	S-glycoside metabolic process
GO:0016145	0.936961796048306	S-glycoside catabolic process
GO:0019757	0.936961796048306	glycosinolate metabolic process
GO:0019759	0.936961796048306	glycosinolate catabolic process
GO:0019760	0.936961796048306	glucosinolate metabolic process
GO:0019762	0.936961796048306	glucosinolate catabolic process
GO:0042381	0.936961796048306	hemolymph coagulation
GO:0044111	0.936961796048306	development involved in symbiotic interaction
GO:0050898	0.936961796048306	nitrile metabolic process
GO:0080028	0.936961796048306	nitrile biosynthetic process
GO:0017080	0.936961796048306	sodium channel regulator activity
GO:0019871	0.936961796048306	sodium channel inhibitor activity
GO:0019805	0.936961796048306	quinolinate biosynthetic process
GO:0046874	0.936961796048306	quinolinate metabolic process
GO:0004502	0.936961796048306	kynurenine 3-monooxygenase activity
GO:0016567	0.932136416094318	protein ubiquitination
GO:0010038	0.930058121728426	response to metal ion
GO:0051499	0.929405707773267	D-aminoacyl-tRNA deacylase activity
GO:0009267	0.92912402512273	cellular response to starvation
GO:0031668	0.92912402512273	cellular response to extracellular stimulus
GO:0031669	0.92912402512273	cellular response to nutrient levels
GO:0042594	0.92912402512273	response to starvation
GO:0071496	0.92912402512273	cellular response to external stimulus
GO:0019700	0.927882797016381	organic phosphonate catabolic process
GO:0005743	0.927800862587158	mitochondrial inner membrane
GO:0034729	0.925207853795979	histone H3-K79 methylation
GO:0065008	0.924305601585924	regulation of biological quality
GO:0007423	0.923011536305616	sensory organ development
GO:0003878	0.92140457755403	ATP citrate synthase activity
GO:0005669	0.921271129031397	transcription factor TFIID complex
GO:0007094	0.921138632160251	mitotic spindle assembly checkpoint
GO:0031577	0.921138632160251	spindle checkpoint
GO:0033046	0.921138632160251	negative regulation of sister chromatid segregation
GO:0033048	0.921138632160251	negative regulation of mitotic sister chromatid segregation
GO:0045839	0.921138632160251	negative regulation of mitotic nuclear division
GO:0045841	0.921138632160251	negative regulation of mitotic metaphase/anaphase transition
GO:0051985	0.921138632160251	negative regulation of chromosome segregation
GO:0071173	0.921138632160251	spindle assembly checkpoint
GO:0071174	0.921138632160251	mitotic spindle checkpoint
GO:1902100	0.921138632160251	negative regulation of metaphase/anaphase transition of cell cycle
GO:1905819	0.921138632160251	negative regulation of chromosome separation
GO:2000816	0.921138632160251	negative regulation of mitotic sister chromatid separation
GO:0008107	0.921138632160251	galactoside 2-alpha-L-fucosyltransferase activity
GO:0031127	0.921138632160251	alpha-(1,2)-fucosyltransferase activity
GO:0009593	0.921138632160251	detection of chemical stimulus
GO:0050907	0.921138632160251	detection of chemical stimulus involved in sensory perception
GO:0050912	0.921138632160251	detection of chemical stimulus involved in sensory perception of taste
GO:0008527	0.921138632160251	taste receptor activity
GO:0001505	0.921138632160251	regulation of neurotransmitter levels
GO:0009882	0.92045044226025	blue light photoreceptor activity
GO:0009908	0.91845773978887	flower development
GO:0048367	0.91845773978887	shoot system development
GO:0090567	0.91845773978887	reproductive shoot system development
GO:0004649	0.91845773978887	poly(ADP-ribose) glycohydrolase activity
GO:0003951	0.91845773978887	NAD+ kinase activity
GO:0005488	0.918134136787902	binding
GO:0042908	0.917705038592426	xenobiotic transport
GO:0008233	0.917272666731816	peptidase activity
GO:0009891	0.916361178736857	positive regulation of biosynthetic process
GO:0010557	0.916361178736857	positive regulation of macromolecule biosynthetic process
GO:0031328	0.916361178736857	positive regulation of cellular biosynthetic process
GO:0004617	0.911922439781171	phosphoglycerate dehydrogenase activity
GO:0015918	0.909781856520477	sterol transport
GO:0043227	0.909251541053949	membrane-bounded organelle
GO:0044271	0.906344852537622	cellular nitrogen compound biosynthetic process
GO:0007349	0.904875197534368	cellularization
GO:0005938	0.904646626720169	cell cortex
GO:1901678	0.904213254859398	iron coordination entity transport
GO:0070925	0.902991855251939	organelle assembly
GO:0019206	0.901559538133135	nucleoside kinase activity
GO:0008200	0.900827697835415	ion channel inhibitor activity
GO:0016248	0.900827697835415	channel inhibitor activity
GO:0098798	0.900560578146892	mitochondrial protein complex
GO:0007007	0.900560578146892	inner mitochondrial membrane organization
GO:0042407	0.900560578146892	cristae formation
GO:0008036	0.900211941873732	diuretic hormone receptor activity
GO:0031965	0.898757002603027	nuclear membrane
GO:0043649	0.897742256234498	dicarboxylic acid catabolic process
GO:0047304	0.896419062761788	2-aminoethylphosphonate-pyruvate transaminase activity
GO:0015849	0.895419637330013	organic acid transport
GO:0046942	0.895419637330013	carboxylic acid transport
GO:0007591	0.895091982429694	molting cycle, chitin-based cuticle
GO:0018990	0.895091982429694	ecdysis, chitin-based cuticle
GO:0022404	0.895091982429694	molting cycle process
GO:0008255	0.895091982429694	ecdysis-triggering hormone activity
GO:0015630	0.895091982429694	microtubule cytoskeleton
GO:0009008	0.894370969058187	DNA-methyltransferase activity
GO:0032542	0.893868983837736	sulfiredoxin activity
