ann_term	q_val	annotation
GO:0051341	0.999183414023923	regulation of oxidoreductase activity
GO:0007423	0.999090535333077	sensory organ development
GO:0000334	0.998580153369002	3-hydroxyanthranilate 3,4-dioxygenase activity
GO:0042908	0.995809025735806	xenobiotic transport
GO:0007591	0.995809025735806	molting cycle, chitin-based cuticle
GO:0018990	0.995809025735806	ecdysis, chitin-based cuticle
GO:0022404	0.995809025735806	molting cycle process
GO:0008255	0.995809025735806	ecdysis-triggering hormone activity
GO:0008970	0.995809025735806	phospholipase A1 activity
GO:0008036	0.992943822634851	diuretic hormone receptor activity
GO:0009878	0.992943822634851	nodule morphogenesis
GO:0010098	0.992943822634851	suspensor development
GO:0016143	0.992943822634851	S-glycoside metabolic process
GO:0016145	0.992943822634851	S-glycoside catabolic process
GO:0019757	0.992943822634851	glycosinolate metabolic process
GO:0019759	0.992943822634851	glycosinolate catabolic process
GO:0019760	0.992943822634851	glucosinolate metabolic process
GO:0019762	0.992943822634851	glucosinolate catabolic process
GO:0042381	0.992943822634851	hemolymph coagulation
GO:0044111	0.992943822634851	development involved in symbiotic interaction
GO:0050898	0.992943822634851	nitrile metabolic process
GO:0080028	0.992943822634851	nitrile biosynthetic process
GO:0017080	0.992943822634851	sodium channel regulator activity
GO:0019871	0.992943822634851	sodium channel inhibitor activity
GO:0042562	0.992943822634851	hormone binding
GO:0008200	0.992943822634851	ion channel inhibitor activity
GO:0016248	0.992943822634851	channel inhibitor activity
GO:0005669	0.992943822634851	transcription factor TFIID complex
GO:0007349	0.992701752812009	cellularization
GO:0008242	0.988193210800695	omega peptidase activity
GO:0000380	0.987916315643088	alternative mRNA splicing, via spliceosome
GO:0001700	0.987916315643088	embryonic development via the syncytial blastoderm
GO:0002065	0.987916315643088	columnar/cuboidal epithelial cell differentiation
GO:0002066	0.987916315643088	columnar/cuboidal epithelial cell development
GO:0007289	0.987916315643088	spermatid nucleus differentiation
GO:0007291	0.987916315643088	sperm individualization
GO:0007292	0.987916315643088	female gamete generation
GO:0007304	0.987916315643088	chorion-containing eggshell formation
GO:0007617	0.987916315643088	mating behavior
GO:0009792	0.987916315643088	embryo development ending in birth or egg hatching
GO:0030703	0.987916315643088	eggshell formation
GO:0030707	0.987916315643088	ovarian follicle cell development
GO:0035092	0.987916315643088	sperm chromatin condensation
GO:0045924	0.987916315643088	regulation of female receptivity
GO:0046008	0.987916315643088	regulation of female receptivity, post-mating
GO:0048477	0.987916315643088	oogenesis
GO:0060180	0.987916315643088	female mating behavior
GO:0005213	0.987916315643088	structural constituent of egg chorion
GO:0006928	0.987916315643088	movement of cell or subcellular component
GO:1901678	0.984436144076353	iron coordination entity transport
GO:0009593	0.984423018649378	detection of chemical stimulus
GO:0050907	0.984423018649378	detection of chemical stimulus involved in sensory perception
GO:0050912	0.984423018649378	detection of chemical stimulus involved in sensory perception of taste
GO:0008527	0.984423018649378	taste receptor activity
GO:0032182	0.983675755432558	ubiquitin-like protein binding
GO:1901658	0.982975114277904	glycosyl compound catabolic process
GO:0043649	0.982058201367051	dicarboxylic acid catabolic process
GO:0043227	0.981977887696978	membrane-bounded organelle
GO:0009164	0.981443505519116	nucleoside catabolic process
GO:0034656	0.981443505519116	nucleobase-containing small molecule catabolic process
GO:0042454	0.981443505519116	ribonucleoside catabolic process
GO:0019239	0.979974627671023	deaminase activity
GO:0009628	0.979531018365737	response to abiotic stimulus
GO:0046838	0.978388740123541	phosphorylated carbohydrate dephosphorylation
GO:0046855	0.978388740123541	inositol phosphate dephosphorylation
GO:0071545	0.978388740123541	inositol phosphate catabolic process
GO:0006729	0.974516728206806	tetrahydrobiopterin biosynthetic process
GO:0034311	0.974516728206806	diol metabolic process
GO:0034312	0.974516728206806	diol biosynthetic process
GO:0046146	0.974516728206806	tetrahydrobiopterin metabolic process
GO:0005488	0.973957121018031	binding
GO:0070085	0.973239610990429	glycosylation
GO:0001507	0.972326035248933	acetylcholine catabolic process in synaptic cleft
GO:0006581	0.972326035248933	acetylcholine catabolic process
GO:0008291	0.972326035248933	acetylcholine metabolic process
GO:1900619	0.972326035248933	acetate ester metabolic process
GO:0003990	0.972326035248933	acetylcholinesterase activity
GO:0005743	0.972326035248933	mitochondrial inner membrane
GO:0043229	0.972326035248933	intracellular organelle
GO:0016755	0.972326035248933	transferase activity, transferring amino-acyl groups
GO:0019866	0.970853965889049	organelle inner membrane
GO:0005549	0.970756162440485	odorant binding
GO:0019226	0.970170136462217	transmission of nerve impulse
GO:0035637	0.970170136462217	multicellular organismal signaling
GO:0042063	0.970170136462217	gliogenesis
GO:0042065	0.970170136462217	glial cell growth
GO:0048588	0.970170136462217	developmental cell growth
GO:0005034	0.970170136462217	osmosensor activity
GO:0003951	0.970086928350345	NAD+ kinase activity
GO:0043231	0.969428246686315	intracellular membrane-bounded organelle
GO:0035869	0.96736638942864	ciliary transition zone
GO:0036038	0.96736638942864	MKS complex
GO:0046660	0.964607748086203	female sex differentiation
GO:0030908	0.962520808738599	protein splicing
GO:0004560	0.960640568799787	alpha-L-fucosidase activity
GO:0015928	0.960640568799787	fucosidase activity
GO:0031409	0.959528588299772	pigment binding
GO:0071858	0.95756945489944	corazonin receptor binding
GO:0065008	0.95756945489944	regulation of biological quality
GO:0003690	0.957350593791121	double-stranded DNA binding
GO:0001505	0.950841358170996	regulation of neurotransmitter levels
GO:0007271	0.949835323000593	synaptic transmission, cholinergic
GO:0051801	0.948871702183408	cytolysis in other organism involved in symbiotic interaction
GO:0052331	0.948871702183408	hemolysis in other organism involved in symbiotic interaction
GO:0005634	0.948647624487161	nucleus
GO:0009318	0.944011056097744	exodeoxyribonuclease VII complex
GO:0009420	0.944011056097744	bacterial-type flagellum filament
GO:0008855	0.944011056097744	exodeoxyribonuclease VII activity
GO:0007094	0.944011056097744	mitotic spindle assembly checkpoint
GO:0031577	0.944011056097744	spindle checkpoint
GO:0033046	0.944011056097744	negative regulation of sister chromatid segregation
GO:0033048	0.944011056097744	negative regulation of mitotic sister chromatid segregation
GO:0045839	0.944011056097744	negative regulation of mitotic nuclear division
GO:0045841	0.944011056097744	negative regulation of mitotic metaphase/anaphase transition
GO:0051985	0.944011056097744	negative regulation of chromosome segregation
GO:0071173	0.944011056097744	spindle assembly checkpoint
GO:0071174	0.944011056097744	mitotic spindle checkpoint
GO:1902100	0.944011056097744	negative regulation of metaphase/anaphase transition of cell cycle
GO:1905819	0.944011056097744	negative regulation of chromosome separation
GO:2000816	0.944011056097744	negative regulation of mitotic sister chromatid separation
GO:0007608	0.944011056097744	sensory perception of smell
GO:0000075	0.944011056097744	cell cycle checkpoint
GO:0043226	0.941257749748415	organelle
GO:0019805	0.939670992054332	quinolinate biosynthetic process
GO:0046874	0.939670992054332	quinolinate metabolic process
GO:0004502	0.939670992054332	kynurenine 3-monooxygenase activity
GO:0140326	0.939557397542055	ATPase-coupled intramembrane lipid transporter activity
GO:0017110	0.939492046110331	nucleoside-diphosphatase activity
GO:0016458	0.935543926796785	gene silencing
GO:0009891	0.934641415068911	positive regulation of biosynthetic process
GO:0010557	0.934641415068911	positive regulation of macromolecule biosynthetic process
GO:0031328	0.934641415068911	positive regulation of cellular biosynthetic process
GO:1901989	0.934320328218975	positive regulation of cell cycle phase transition
GO:1902751	0.934320328218975	positive regulation of cell cycle G2/M phase transition
GO:0009725	0.934320328218975	response to hormone
GO:0019206	0.933463958197484	nucleoside kinase activity
GO:0030215	0.932547684158437	semaphorin receptor binding
GO:0030431	0.931765827758466	sleep
GO:0032222	0.931765827758466	regulation of synaptic transmission, cholinergic
GO:0043266	0.931765827758466	regulation of potassium ion transport
GO:0043268	0.931765827758466	positive regulation of potassium ion transport
GO:0050804	0.931765827758466	modulation of chemical synaptic transmission
GO:0099177	0.931765827758466	regulation of trans-synaptic signaling
GO:1901016	0.931765827758466	regulation of potassium ion transmembrane transporter activity
GO:1901018	0.931765827758466	positive regulation of potassium ion transmembrane transporter activity
GO:1901379	0.931765827758466	regulation of potassium ion transmembrane transport
GO:1901381	0.931765827758466	positive regulation of potassium ion transmembrane transport
GO:1903818	0.931765827758466	positive regulation of voltage-gated potassium channel activity
GO:0043169	0.927401900779769	cation binding
GO:0010038	0.926122236591503	response to metal ion
GO:0004370	0.924006169718353	glycerol kinase activity
GO:0098798	0.922815450204533	mitochondrial protein complex
GO:0000214	0.92179308061285	tRNA-intron endonuclease complex
GO:0046910	0.921583339399869	pectinesterase inhibitor activity
GO:0009379	0.917466955353686	Holliday junction helicase complex
GO:0009425	0.917466955353686	bacterial-type flagellum basal body
GO:0030694	0.917466955353686	bacterial-type flagellum basal body, rod
GO:0051495	0.916836456451026	positive regulation of cytoskeleton organization
GO:0019556	0.914410046885863	histidine catabolic process to glutamate and formamide
GO:0043606	0.914410046885863	formamide metabolic process
GO:0003868	0.910414058417973	4-hydroxyphenylpyruvate dioxygenase activity
GO:0006658	0.907295187884819	phosphatidylserine metabolic process
GO:0006659	0.907295187884819	phosphatidylserine biosynthetic process
GO:0006305	0.903808832597757	DNA alkylation
GO:0006306	0.903808832597757	DNA methylation
GO:0044728	0.903808832597757	DNA methylation or demethylation
GO:0031306	0.902791543114484	intrinsic component of mitochondrial outer membrane
GO:0031307	0.902791543114484	integral component of mitochondrial outer membrane
GO:0016827	0.902691158919744	hydrolase activity, acting on acid carbon-phosphorus bonds
GO:0050194	0.902691158919744	phosphonoacetaldehyde hydrolase activity
GO:0010467	0.902691158919744	gene expression
GO:0015816	0.900621544257945	glycine transport
GO:0043090	0.900621544257945	amino acid import
GO:1904983	0.900621544257945	glycine import into mitochondrion
GO:0015175	0.900621544257945	neutral amino acid transmembrane transporter activity
GO:0015179	0.900621544257945	L-amino acid transmembrane transporter activity
GO:0015187	0.900621544257945	glycine transmembrane transporter activity
GO:0032365	0.899393180894689	intracellular lipid transport
GO:0005545	0.899347766494616	1-phosphatidylinositol binding
GO:0042447	0.89816669579274	hormone catabolic process
GO:0000987	0.897935823642977	cis-regulatory region sequence-specific DNA binding
GO:0016569	0.896279642783454	covalent chromatin modification
GO:0016570	0.896279642783454	histone modification
GO:0010970	0.894530102289591	transport along microtubule
GO:0030705	0.894530102289591	cytoskeleton-dependent intracellular transport
GO:0042073	0.894530102289591	intraciliary transport
GO:0098840	0.894530102289591	protein transport along microtubule
GO:0099111	0.894530102289591	microtubule-based transport
GO:0099118	0.894530102289591	microtubule-based protein transport
GO:0009756	0.894311259728528	carbohydrate mediated signaling
GO:0009757	0.894311259728528	hexose mediated signaling
GO:0010182	0.894311259728528	sugar mediated signaling pathway
GO:0010255	0.894311259728528	glucose mediated signaling pathway
GO:1902659	0.894311259728528	regulation of glucose mediated signaling pathway
GO:0008107	0.892844418163484	galactoside 2-alpha-L-fucosyltransferase activity
GO:0031127	0.892844418163484	alpha-(1,2)-fucosyltransferase activity
GO:0003774	0.892844418163484	motor activity
GO:0005186	0.889663908765412	pheromone activity
GO:0001676	0.886866285895146	long-chain fatty acid metabolic process
GO:0032542	0.885822992538943	sulfiredoxin activity
GO:0005751	0.885822992538943	mitochondrial respiratory chain complex IV
GO:0007007	0.885822992538943	inner mitochondrial membrane organization
GO:0042407	0.885822992538943	cristae formation
GO:0045737	0.885822992538943	positive regulation of cyclin-dependent protein serine/threonine kinase activity
GO:1904031	0.885822992538943	positive regulation of cyclin-dependent protein kinase activity
GO:0005938	0.880934470040452	cell cortex
GO:0003878	0.880934470040452	ATP citrate synthase activity
GO:0009218	0.880373374422159	pyrimidine ribonucleotide metabolic process
GO:0009220	0.880373374422159	pyrimidine ribonucleotide biosynthetic process
GO:0006508	0.879402585271697	proteolysis
GO:0006906	0.878135541601007	vesicle fusion
GO:0005739	0.877415004870153	mitochondrion
GO:0006026	0.87702772206739	aminoglycan catabolic process
GO:0070925	0.875928964915613	organelle assembly
GO:0009882	0.875283454514278	blue light photoreceptor activity
GO:0072546	0.875205828813399	ER membrane protein complex
GO:0008252	0.874448268209556	nucleotidase activity
GO:0002115	0.874018882856013	store-operated calcium entry
GO:2001256	0.874018882856013	regulation of store-operated calcium entry
GO:0015630	0.873576309487514	microtubule cytoskeleton
GO:0098800	0.872344013206979	inner mitochondrial membrane protein complex
GO:0016567	0.872159342178813	protein ubiquitination
GO:0009267	0.872111222521818	cellular response to starvation
GO:0031668	0.872111222521818	cellular response to extracellular stimulus
GO:0031669	0.872111222521818	cellular response to nutrient levels
GO:0042594	0.872111222521818	response to starvation
GO:0071496	0.872111222521818	cellular response to external stimulus
GO:0043232	0.871759728404558	intracellular non-membrane-bounded organelle
GO:0043228	0.870308146281789	non-membrane-bounded organelle
GO:0071702	0.869656433208937	organic substance transport
GO:0009908	0.865358424844179	flower development
GO:0048367	0.865358424844179	shoot system development
GO:0090567	0.865358424844179	reproductive shoot system development
GO:0051731	0.865066779808373	polynucleotide 5'-hydroxyl-kinase activity
GO:0072583	0.863266709671164	clathrin-dependent endocytosis
GO:0006950	0.862622797564707	response to stress
GO:0006022	0.861411888654783	aminoglycan metabolic process
GO:0007017	0.860606392341002	microtubule-based process
GO:0046173	0.859883670162537	polyol biosynthetic process
GO:0009008	0.85729118555114	DNA-methyltransferase activity
GO:0008199	0.857160094638243	ferric iron binding
GO:1903047	0.857139952675744	mitotic cell cycle process
GO:0000179	0.856966263926056	rRNA (adenine-N6,N6-)-dimethyltransferase activity
GO:0016433	0.856966263926056	rRNA (adenine) methyltransferase activity
GO:0046872	0.856966263926056	metal ion binding
GO:0031625	0.85482733640497	ubiquitin protein ligase binding
GO:0044389	0.85482733640497	ubiquitin-like protein ligase binding
GO:0071951	0.854552511213822	conversion of methionyl-tRNA to N-formyl-methionyl-tRNA
GO:0004479	0.854552511213822	methionyl-tRNA formyltransferase activity
GO:0005760	0.854373713406456	gamma DNA polymerase complex
GO:0031966	0.851975555926239	mitochondrial membrane
GO:0031965	0.850529473049072	nuclear membrane
GO:0006826	0.850169500882758	iron ion transport
GO:0007131	0.847077485905382	reciprocal meiotic recombination
GO:0035825	0.847077485905382	homologous recombination
GO:0005740	0.847077485905382	mitochondrial envelope
GO:0048608	0.846428012387829	reproductive structure development
GO:0061458	0.846428012387829	reproductive system development
GO:1901070	0.845592249138661	guanosine-containing compound biosynthetic process
GO:0061400	0.845373927524713	positive regulation of transcription from RNA polymerase II promoter in response to calcium ion
GO:1901522	0.845373927524713	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus
GO:0016153	0.845373927524713	urocanate hydratase activity
GO:0018024	0.844994153317814	histone-lysine N-methyltransferase activity
GO:0042054	0.844994153317814	histone methyltransferase activity
GO:0004067	0.844803619316561	asparaginase activity
GO:0070569	0.843875523899459	uridylyltransferase activity
GO:0017134	0.842526518027316	fibroblast growth factor binding
GO:0000278	0.841120731982052	mitotic cell cycle
GO:0061025	0.839880561167014	membrane fusion
GO:0006486	0.839880561167014	protein glycosylation
GO:0009101	0.839880561167014	glycoprotein biosynthetic process
GO:0043413	0.839880561167014	macromolecule glycosylation
GO:0015708	0.839880561167014	silicic acid import across plasma membrane
GO:0006855	0.839880561167014	drug transmembrane transport
GO:0015804	0.839880561167014	neutral amino acid transport
GO:0015807	0.839880561167014	L-amino acid transport
GO:1902475	0.839880561167014	L-alpha-amino acid transmembrane transport
GO:0016763	0.839880561167014	transferase activity, transferring pentosyl groups
GO:0051130	0.839880561167014	positive regulation of cellular component organization
GO:0033036	0.839683757784716	macromolecule localization
GO:0016073	0.838588240874793	snRNA metabolic process
GO:0016180	0.838588240874793	snRNA processing
GO:0006751	0.838588240874793	glutathione catabolic process
GO:0043171	0.838588240874793	peptide catabolic process
GO:0015918	0.836178474444894	sterol transport
GO:0044273	0.836061514603797	sulfur compound catabolic process
GO:0007618	0.835866167518755	mating
GO:0005773	0.834766203281419	vacuole
GO:0019700	0.834618805919082	organic phosphonate catabolic process
GO:0051499	0.834464674053268	D-aminoacyl-tRNA deacylase activity
GO:0001906	0.833043171654642	cell killing
GO:0031640	0.833043171654642	killing of cells of other organism
GO:0070011	0.832648986842594	peptidase activity, acting on L-amino acid peptides
GO:0045277	0.831093785271642	respiratory chain complex IV
GO:0052856	0.829025552776888	NADHX epimerase activity
GO:0052857	0.829025552776888	NADPHX epimerase activity
GO:0051883	0.826774252250571	killing of cells in other organism involved in symbiotic interaction
GO:0016278	0.826537496739699	lysine N-methyltransferase activity
GO:0016279	0.826537496739699	protein-lysine N-methyltransferase activity
GO:0016791	0.826537496739699	phosphatase activity
GO:0016125	0.822911450500545	sterol metabolic process
GO:0005694	0.822911450500545	chromosome
GO:0106130	0.821898376869893	purine phosphoribosyltransferase activity
GO:0003964	0.821686482166144	RNA-directed DNA polymerase activity
GO:0055067	0.821097484614151	monovalent inorganic cation homeostasis
GO:0006548	0.820973390757338	histidine catabolic process
GO:0052805	0.820973390757338	imidazole-containing compound catabolic process
GO:0033108	0.820973390757338	mitochondrial respiratory chain complex assembly
GO:0043546	0.820973390757338	molybdopterin cofactor binding
GO:0019098	0.818127029969562	reproductive behavior
GO:0006303	0.817088217161624	double-strand break repair via nonhomologous end joining
GO:0004690	0.816643902485681	cyclic nucleotide-dependent protein kinase activity
GO:0004692	0.816643902485681	cGMP-dependent protein kinase activity
GO:0039694	0.816393279729992	viral RNA genome replication
GO:0015849	0.815448347041347	organic acid transport
GO:0046942	0.815448347041347	carboxylic acid transport
GO:0019285	0.815370381355741	glycine betaine biosynthetic process from choline
GO:0019695	0.815370381355741	choline metabolic process
GO:0031455	0.815370381355741	glycine betaine metabolic process
GO:0031456	0.815370381355741	glycine betaine biosynthetic process
GO:0008812	0.815370381355741	choline dehydrogenase activity
GO:0003830	0.815370381355741	beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity
GO:0035065	0.815370381355741	regulation of histone acetylation
GO:1901983	0.815370381355741	regulation of protein acetylation
GO:2000756	0.815370381355741	regulation of peptidyl-lysine acetylation
GO:0051592	0.815370381355741	response to calcium ion
GO:0071241	0.815370381355741	cellular response to inorganic substance
GO:0071248	0.815370381355741	cellular response to metal ion
GO:0071277	0.815370381355741	cellular response to calcium ion
GO:0017062	0.815370381355741	respiratory chain complex III assembly
GO:0034551	0.815370381355741	mitochondrial respiratory chain complex III assembly
GO:0045893	0.815370381355741	positive regulation of transcription, DNA-templated
GO:0045935	0.815370381355741	positive regulation of nucleobase-containing compound metabolic process
GO:0051254	0.815370381355741	positive regulation of RNA metabolic process
GO:1902680	0.815370381355741	positive regulation of RNA biosynthetic process
GO:1903508	0.815370381355741	positive regulation of nucleic acid-templated transcription
GO:0006357	0.814734812407963	regulation of transcription by RNA polymerase II
GO:0000730	0.8141215842392	DNA recombinase assembly
GO:0045003	0.8141215842392	double-strand break repair via synthesis-dependent strand annealing
GO:0090735	0.8141215842392	DNA repair complex assembly
GO:0000379	0.812182530490181	tRNA-type intron splice site recognition and cleavage
GO:0005815	0.809773000223374	microtubule organizing center
GO:0047304	0.809704979725393	2-aminoethylphosphonate-pyruvate transaminase activity
GO:0044271	0.809470729591449	cellular nitrogen compound biosynthetic process
GO:0009214	0.809456781438974	cyclic nucleotide catabolic process
GO:0008233	0.807576144487088	peptidase activity
GO:0004838	0.804487291903099	L-tyrosine:2-oxoglutarate aminotransferase activity
GO:0070547	0.804487291903099	L-tyrosine aminotransferase activity
GO:0071973	0.804487291903099	bacterial-type flagellum-dependent cell motility
GO:0097588	0.804487291903099	archaeal or bacterial-type flagellum-dependent cell motility
GO:0006376	0.804487291903099	mRNA splice site selection
GO:0051168	0.804037284266038	nuclear export
GO:0007346	0.803791796776812	regulation of mitotic cell cycle
GO:0010628	0.800818672419773	positive regulation of gene expression
GO:0009100	0.795130257628667	glycoprotein metabolic process
GO:0042600	0.790087717107578	egg chorion
GO:0008375	0.784338220588451	acetylglucosaminyltransferase activity
GO:0030198	0.783732929294951	extracellular matrix organization
GO:0043062	0.783732929294951	extracellular structure organization
GO:0006665	0.781699205599559	sphingolipid metabolic process
GO:0000289	0.780605543678096	nuclear-transcribed mRNA poly(A) tail shortening
GO:0031251	0.780605543678096	PAN complex
GO:0016805	0.779300319576203	dipeptidase activity
GO:0004989	0.776621214021901	octopamine receptor activity
GO:0070176	0.775719304516896	DRM complex
GO:0090571	0.775719304516896	RNA polymerase II transcription repressor complex
GO:0006788	0.774883367246099	heme oxidation
GO:0004392	0.774883367246099	heme oxygenase (decyclizing) activity
GO:0009288	0.774883367246099	bacterial-type flagellum
