ann_term	CC	annotation
GO:0048731	0.920123553999931	system development
GO:0007275	0.916728552765276	multicellular organism development
GO:0048856	0.916602545575541	anatomical structure development
GO:0032502	0.91561522628584	developmental process
GO:0030545	0.914584780728181	receptor regulator activity
GO:0030546	0.914584780728181	signaling receptor activator activity
GO:0048018	0.914584780728181	receptor ligand activity
GO:0009888	0.900513825011441	tissue development
GO:0048513	0.897470294167313	animal organ development
GO:0009611	0.894611155698177	response to wounding
GO:0008083	0.892570224816908	growth factor activity
GO:0008091	0.881913710970108	spectrin
GO:0010942	0.881846094539817	positive regulation of cell death
GO:0043065	0.881846094539817	positive regulation of apoptotic process
GO:0043068	0.881846094539817	positive regulation of programmed cell death
GO:0005576	0.878775875288897	extracellular region
GO:0004890	0.877850359909329	GABA-A receptor activity
GO:0016917	0.875785378222704	GABA receptor activity
GO:0099528	0.874911508293051	G protein-coupled neurotransmitter receptor activity
GO:0008283	0.873915694680242	cell population proliferation
GO:0008227	0.87260286061586	G protein-coupled amine receptor activity
GO:0051240	0.872168039408185	positive regulation of multicellular organismal process
GO:0140375	0.869151412639822	immune receptor activity
GO:0004860	0.868424554799612	protein kinase inhibitor activity
GO:0019210	0.868424554799612	kinase inhibitor activity
GO:0015296	0.867930132412006	anion:cation symporter activity
GO:0023061	0.867589797088246	signal release
GO:0045995	0.866940886077711	regulation of embryonic development
GO:0007269	0.86666633801737	neurotransmitter secretion
GO:0099643	0.86666633801737	signal release from synapse
GO:0030141	0.865878622170044	secretory granule
GO:0005126	0.862396303415877	cytokine receptor binding
GO:0031012	0.86041930461952	extracellular matrix
GO:0002682	0.858715669940938	regulation of immune system process
GO:0007399	0.858332952355098	nervous system development
GO:0015377	0.858002567015792	cation:chloride symporter activity
GO:0070840	0.857375356918722	dynein complex binding
GO:0050776	0.857081141865065	regulation of immune response
GO:0030522	0.856848286684792	intracellular receptor signaling pathway
GO:0008373	0.856263877827128	sialyltransferase activity
GO:0004715	0.855740828842848	non-membrane spanning protein tyrosine kinase activity
GO:0005164	0.855668459856227	tumor necrosis factor receptor binding
GO:0032813	0.855668459856227	tumor necrosis factor receptor superfamily binding
GO:0016477	0.85458976046429	cell migration
GO:0030334	0.853551928497123	regulation of cell migration
GO:0005125	0.851812594918267	cytokine activity
GO:0006955	0.850113231765972	immune response
GO:0048584	0.848552932904351	positive regulation of response to stimulus
GO:0007187	0.848442165161825	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
GO:0007188	0.848442165161825	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
GO:0015464	0.848407717796803	acetylcholine receptor activity
GO:0016907	0.848407717796803	G protein-coupled acetylcholine receptor activity
GO:0002376	0.848178461177561	immune system process
GO:0032101	0.847012448917683	regulation of response to external stimulus
GO:0043565	0.846996535651668	sequence-specific DNA binding
GO:1903522	0.846782024513949	regulation of blood circulation
GO:0015379	0.84649144011955	potassium:chloride symporter activity
GO:0007229	0.845771234950761	integrin-mediated signaling pathway
GO:0051239	0.845352155085126	regulation of multicellular organismal process
GO:0042060	0.845157789238986	wound healing
GO:0004896	0.844938526969182	cytokine receptor activity
GO:0044057	0.844430050201268	regulation of system process
GO:0016604	0.843937594040749	nuclear body
GO:0016607	0.843937594040749	nuclear speck
GO:0017017	0.84284928633571	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0033549	0.84284928633571	MAP kinase phosphatase activity
GO:0099503	0.842719557339814	secretory vesicle
GO:0017049	0.842246078893164	GTP-Rho binding
GO:0071495	0.841156153302288	cellular response to endogenous stimulus
GO:0046658	0.839424533368917	anchored component of plasma membrane
GO:0062023	0.839411467944469	collagen-containing extracellular matrix
GO:0060627	0.838585750394001	regulation of vesicle-mediated transport
GO:0006616	0.838073665257581	SRP-dependent cotranslational protein targeting to membrane, translocation
GO:0005539	0.837434114393064	glycosaminoglycan binding
GO:0045087	0.837400668508082	innate immune response
GO:0008284	0.837236935399351	positive regulation of cell population proliferation
GO:0042165	0.836805691294915	neurotransmitter binding
GO:0005102	0.836761901043265	signaling receptor binding
GO:0001518	0.835618153802222	voltage-gated sodium channel complex
GO:0034706	0.835618153802222	sodium channel complex
GO:0005248	0.835618153802222	voltage-gated sodium channel activity
GO:0030291	0.83532670425371	protein serine/threonine kinase inhibitor activity
GO:0008543	0.834819171972043	fibroblast growth factor receptor signaling pathway
GO:0044344	0.834819171972043	cellular response to fibroblast growth factor stimulus
GO:0071774	0.834819171972043	response to fibroblast growth factor
