ann_term	CC	annotation
PF00959	0.619690415784053	Phage lysozyme
PF04971	0.594766139184154	Bacteriophage P21 holin S
PF05939	0.581304891652832	Phage minor tail protein
PF04448	0.57799078051713	Protein of unknown function (DUF551)
PF03245	0.562717120838197	Bacteriophage Rz lysis protein
PF06147	0.562025115998083	Protein of unknown function (DUF968)
PF06316	0.561934849883764	Enterobacterial Ail/Lom protein
PF05100	0.557319165209857	Phage minor tail protein L
PF09327	0.552289679701189	Domain of unknown function (DUF1983)
PF01391	0.549036781704843	Collagen triple helix repeat (20 copies)
PF14464	0.548672888061728	Prokaryotic homologs of the JAB domain
PF00877	0.548589572916627	NlpC/P60 family
PF05766	0.54436415924405	Bacteriophage Lambda NinG protein
PF06805	0.543398532087571	Bacteriophage lambda tail assembly protein I
PF00589	0.536196229735314	Phage integrase family
PF08400	0.534088705371874	Prophage tail fibre N-terminal
PF06069	0.532647651383712	PerC transcriptional activator
PF05696	0.5325887337593	Protein of unknown function (DUF826)
PF01381	0.53000074605282	Helix-turn-helix
PF07125	0.529223020013325	Protein of unknown function (DUF1378)
PF06163	0.528202305011418	Bacterial protein of unknown function (DUF977)
PF01848	0.527353574480561	Hok/gef family
PF05876	0.524056793477729	Phage terminase large subunit (GpA)
PF09718	0.523552765106086	Lambda phage tail tape-measure protein (Tape_meas_lam_C)
PF08410	0.521705475775322	Domain of unknown function (DUF1737)
PF05866	0.521081999132096	Endodeoxyribonuclease RusA
PF03278	0.520843033342918	IpaB/EvcA family
PF13132	0.517897457051522	Domain of unknown function (DUF3950)
PF06416	0.517244658408554	Effector protein NleG
PF13935	0.513905919083194	Ead/Ea22-like protein
PF06820	0.511943834856449	Putative prophage tail fibre C-terminus
PF05136	0.509175129295966	Phage portal protein, lambda family
PF13550	0.50890509777088	Putative phage tail protein
PF03433	0.507611970274653	EspA-like secreted protein
PF03549	0.507611970274653	Translocated intimin receptor (Tir) intimin-binding domain
PF05802	0.507611970274653	Enterobacterial EspB protein
PF05932	0.507611970274653	Tir chaperone protein (CesT) family
PF06066	0.507611970274653	SepZ
PF06287	0.507611970274653	Protein of unknown function (DUF1039)
PF06622	0.507611970274653	SepQ protein
PF07489	0.507611970274653	Translocated intimin receptor (Tir) C-terminus
PF07490	0.507611970274653	Translocated intimin receptor (Tir) N-terminus
PF08988	0.507611970274653	Type III secretion system, cytoplasmic E component of needle
PF09621	0.507611970274653	Type III secretion system regulator (LcrR)
PF11439	0.507611970274653	Type III secretion system filament chaperone CesA
PF13327	0.507611970274653	Type III secretion system subunit
PF16693	0.507611970274653	Inner membrane component of T3SS, periplasmic domain
PF07041	0.506597110842449	Protein of unknown function (DUF1327)
PF05521	0.50212319983238	Phage head-tail joining protein
PF07979	0.5017437053416	Intimin C-type lectin domain
PF02831	0.500004488713131	gpW
PF07151	0.499660626522157	Protein of unknown function (DUF1391)
PF06523	0.497438504222422	Protein of unknown function (DUF1106)
PF13895	0.496778756035608	Immunoglobulin domain
PF06872	0.4960870683028	EspG protein
PF10549	0.494972684448695	ORF11CD3 domain
PF13979	0.493313190678698	SopA-like catalytic domain
PF10547	0.491730165399871	P22_AR N-terminal domain
PF06223	0.490426055410631	Minor tail protein T
PF12421	0.48912654926525	Fibronectin type III protein
PF03629	0.486651865309848	Carbohydrate esterase, sialic acid-specific acetylesterase
PF13678	0.486479317952901	NFkB-p65-degrading zinc protease
PF00161	0.486141751093842	Ribosome inactivating protein
PF02258	0.486141751093842	Shiga-like toxin beta subunit
PF04888	0.485742363893059	Secretion system effector C (SseC) like family
PF12500	0.48568759935413	TRSP domain C terminus to PRTase_2
PF14020	0.48568759935413	Protein of unknown function (DUF4236)
PF15609	0.48568759935413	Phosphoribosyl transferase
PF15617	0.48568759935413	C-C_Bond_Lyase of the TIM-Barrel fold
PF15632	0.48568759935413	ATP-grasp in the biosynthetic pathway with Ter operon
PF05135	0.485474446302552	Phage gp6-like head-tail connector protein
PF00449	0.48432873959182	Urease alpha-subunit, N-terminal domain
PF00547	0.48432873959182	Urease, gamma subunit
PF00699	0.48432873959182	Urease beta subunit
PF01219	0.48432873959182	Prokaryotic diacylglycerol kinase
PF01730	0.48432873959182	UreF
PF02814	0.48432873959182	UreE urease accessory protein, N-terminal domain
PF05194	0.48432873959182	UreE urease accessory protein, C-terminal domain
PF09982	0.484019575531698	Uncharacterized protein conserved in bacteria (DUF2219)
PF16461	0.483103120609745	Lambda phage tail tube protein, TTP
PF16473	0.482610169456421	3' exoribonuclease, RNase T-like
PF06894	0.482307228467698	Bacteriophage lambda tail assembly chaperone, TAC, protein G
PF07789	0.480788265499433	Protein of unknown function (DUF1627)
PF01343	0.479427696746982	Peptidase family S49
PF07358	0.478677503250382	Protein of unknown function (DUF1482)
PF07471	0.477791660443143	Phage DNA packaging protein Nu1
PF01774	0.475447121112344	UreD urease accessory protein
PF04883	0.473192764531605	Bacteriophage HK97-gp10, putative tail-component
PF03354	0.473041468008147	Phage Terminase
PF11367	0.472631454134277	Protein of unknown function (DUF3168)
PF06222	0.471982380695121	Phage tail assembly chaperone
PF02368	0.47157242174492	Bacterial Ig-like domain (group 2)
PF05358	0.471189739197426	DicB protein
PF06141	0.470584494426077	Phage minor tail protein U
PF13227	0.469941530832648	Protein of unknown function (DUF4035)
PF10548	0.467346568135086	P22AR C-terminal domain
PF04806	0.467160429553696	EspF protein repeat
PF06120	0.466992125811154	Tail length tape measure protein
PF06763	0.463596201788527	Prophage minor tail protein Z (GPZ)
PF10543	0.463448126260797	ORF6N domain
PF16518	0.46240498625748	T3SS negative regulator,GrlR
PF16809	0.462320067786815	NleF caspase inhibitor
PF06791	0.461320466880729	Prophage tail length tape measure protein
PF15958	0.460727728221352	Domain of unknown function (DUF4761)
PF04586	0.459538986397072	Caudovirus prohead serine protease
PF05065	0.459270260062625	Phage capsid family
PF15946	0.456501010637701	Domain of unknown function (DUF4754)
PF07825	0.456191748550166	Excisionase-like protein
PF07201	0.455739454353414	HrpJ-like domain
PF05322	0.453077296986046	NINE Protein
PF03864	0.452153115433515	Phage major capsid protein E
PF05269	0.451451749276586	Bacteriophage CII protein
PF07180	0.448856898789246	CaiF/GrlA transcriptional regulator
PF13531	0.446902725266488	Bacterial extracellular solute-binding protein
PF12167	0.446052434646866	Arm DNA-binding domain
PF05099	0.445525861234259	Tellurite resistance protein TerB
PF00717	0.438806145319698	Peptidase S24-like
PF11996	0.438432445911651	Protein of unknown function (DUF3491)
PF06254	0.438219722298804	Putative bacterial toxin ydaT
PF06183	0.437200079511427	DinI-like family
PF12919	0.436823729997848	TcdA/TcdB catalytic glycosyltransferase domain
PF12918	0.435023851588796	TcdB toxin N-terminal helical domain
PF02342	0.433312283979136	TerD domain
PF05016	0.431675457658881	ParE toxin of type II toxin-antitoxin system, parDE
PF11202	0.43109316268706	Phosphoribosyl transferase (PRTase)
PF00080	0.429432604271747	Copper/zinc superoxide dismutase (SODC)
PF15608	0.428814738432213	PELOTA RNA binding domain
PF09003	0.426267242993947	Bacteriophage lambda integrase, Arm DNA-binding domain
PF13252	0.422838285846646	Protein of unknown function (DUF4043)
PF13620	0.422838285846646	Carboxypeptidase regulatory-like domain
PF09048	0.420958969771246	Cro
