ann_term	q_val	annotation
PF00137	1	ATP synthase subunit C
PF00953	1	Glycosyl transferase family 4
PF01039	1	Carboxyl transferase domain
PF02797	1	Chalcone and stilbene synthases, C-terminal domain
PF03221	1	Tc5 transposase DNA-binding domain
PF03540	1	Transcription initiation factor TFIID 23-30kDa subunit
PF03704	1	Bacterial transcriptional activator domain
PF03745	1	Domain of unknown function (DUF309)
PF04112	1	Mak10 subunit, NatC N(alpha)-terminal acetyltransferase
PF04658	1	TAFII55 protein conserved region
PF04889	1	Cwf15/Cwc15 cell cycle control protein
PF12701	1	Scd6-like Sm domain
PF13578	1	Methyltransferase domain
PF13890	1	Rab3 GTPase-activating protein catalytic subunit
PF17759	1	Phenylalanyl tRNA synthetase beta chain CLM domain
PF00400	0.996998141115489	WD domain, G-beta repeat
PF06880	0.996998141115489	Protein of unknown function (DUF1262)
PF05904	0.996998141115489	Plant protein of unknown function (DUF863)
PF04560	0.996998141115489	RNA polymerase Rpb2, domain 7
PF09328	0.996998141115489	Domain of unknown function (DUF1984)
PF01246	0.996998141115489	Ribosomal protein L24e
PF12265	0.996998141115489	Histone-binding protein RBBP4 or subunit C of CAF1 complex
PF02517	0.996998141115489	CPBP intramembrane metalloprotease
PF09454	0.996998141115489	Vps23 core domain
PF00352	0.996998141115489	Transcription factor TFIID (or TATA-binding protein, TBP)
PF05405	0.996998141115489	Mitochondrial ATP synthase B chain precursor (ATP-synt_B)
PF11916	0.996998141115489	Vacuolar protein 14 C-terminal Fig4p binding
PF09749	0.996998141115489	Uncharacterised conserved protein
PF02133	0.9966841816406	Permease for cytosine/purines, uracil, thiamine, allantoin
PF04869	0.996026239957571	Uso1 / p115 like vesicle tethering protein, head region
PF09296	0.996026239957571	NADH pyrophosphatase-like rudimentary NUDIX domain
PF01197	0.995857882716668	Ribosomal protein L31
PF03486	0.995857882716668	HI0933-like protein
PF13304	0.995528922382234	AAA domain, putative AbiEii toxin, Type IV TA system
PF01656	0.994786529613401	CobQ/CobB/MinD/ParA nucleotide binding domain
PF13923	0.994786529613401	Zinc finger, C3HC4 type (RING finger)
PF00916	0.994786529613401	Sulfate permease family
PF01459	0.994786529613401	Eukaryotic porin
PF02780	0.994786529613401	Transketolase, C-terminal domain
PF16186	0.994786529613401	Atypical Arm repeat
PF03949	0.994786529613401	Malic enzyme, NAD binding domain
PF02037	0.994786529613401	SAP domain
PF02770	0.994786529613401	Acyl-CoA dehydrogenase, middle domain
PF13919	0.994786529613401	Asx homology domain
PF12330	0.994786529613401	Haspin like kinase domain
PF05277	0.994786529613401	Protein of unknown function (DUF726)
PF08969	0.994786529613401	USP8 dimerisation domain
PF07749	0.994786529613401	Endoplasmic reticulum protein ERp29, C-terminal domain
PF08825	0.99437281865622	E2 binding domain
PF06391	0.994001067871399	CDK-activating kinase assembly factor MAT1
PF06876	0.993877357974111	Plant self-incompatibility response (SCRL) protein
PF04622	0.993452070521879	ERG2 and Sigma1 receptor like protein
PF01209	0.993163602256304	ubiE/COQ5 methyltransferase family
PF06699	0.993163602256304	GPI biosynthesis protein family Pig-F
PF03071	0.992941909719758	GNT-I family
PF07516	0.992941909719758	SecA Wing and Scaffold domain
PF00083	0.992941909719758	Sugar (and other) transporter
PF00164	0.992941909719758	Ribosomal protein S12/S23
PF00563	0.992941909719758	EAL domain
PF13671	0.992941909719758	AAA domain
PF03137	0.992336622962629	Organic Anion Transporter Polypeptide (OATP) family
PF00303	0.992336622962629	Thymidylate synthase
PF01158	0.992336622962629	Ribosomal protein L36e
PF01249	0.992282790355456	Ribosomal protein S21e
PF08640	0.992052441494548	U3 small nucleolar RNA-associated protein 6
PF02698	0.992022216303062	DUF218 domain
PF01858	0.992022216303062	Retinoblastoma-associated protein A domain
PF01124	0.992022216303062	MAPEG family
PF01250	0.992022216303062	Ribosomal protein S6
PF14806	0.992022216303062	Coatomer beta subunit appendage platform
PF10168	0.992022216303062	Nuclear pore component
PF12452	0.990458757266942	Protein of unknown function (DUF3685)
PF04339	0.990310160846034	Peptidogalycan biosysnthesis/recognition
PF01512	0.990310160846034	Respiratory-chain NADH dehydrogenase 51 Kd subunit
PF03167	0.990310160846034	Uracil DNA glycosylase superfamily
PF01694	0.990310160846034	Rhomboid family
PF00485	0.990310160846034	Phosphoribulokinase / Uridine kinase family
PF00223	0.990310160846034	Photosystem I psaA/psaB protein
PF03367	0.989760227765128	ZPR1 zinc-finger domain
PF00598	0.989760227765128	Influenza Matrix protein (M1)
PF01003	0.989760227765128	Flavivirus capsid protein C
PF01059	0.989760227765128	NADH-ubiquinone oxidoreductase chain 4, amino terminus
PF02568	0.989760227765128	Thiamine biosynthesis protein (ThiI)
PF05749	0.989760227765128	Rubella membrane glycoprotein E2
PF05992	0.989760227765128	SbmA/BacA-like family
PF06240	0.989760227765128	Carbon monoxide dehydrogenase subunit G (CoxG)
PF06280	0.989760227765128	Fn3-like domain
PF06715	0.989760227765128	Gp5 C-terminal repeat (3 copies)
PF06809	0.989760227765128	Neural proliferation differentiation control-1 protein (NPDC1)
PF06875	0.989760227765128	Plethodontid receptivity factor PRF
PF14597	0.989760227765128	Metallo-beta-lactamase superfamily
