ann_term	sum	annotation
PF00005	10232	ABC transporter
PF00006	671	ATP synthase alpha/beta family, nucleotide-binding domain
PF00008	40	EGF-like domain
PF00009	1442	Elongation factor Tu GTP binding domain
PF00010	6408	Helix-loop-helix DNA-binding domain
PF00011	2210	Hsp20/alpha crystallin family
PF00012	1622	Hsp70 protein
PF00013	3539	KH domain
PF00015	5	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016	259	Ribulose bisphosphate carboxylase large chain, catalytic domain
PF00017	1	SH2 domain
PF00018	50	SH3 domain
PF00020	3	TNFR/NGFR cysteine-rich region
PF00022	1074	Actin
PF00023	913	Ankyrin repeat
PF00024	59	PAN domain
PF00025	1177	ADP-ribosylation factor family
PF00026	361	Eukaryotic aspartyl protease
PF00027	1341	Cyclic nucleotide-binding domain
PF00031	126	Cystatin domain
PF00032	95	Cytochrome b(C-terminal)/b6/petD
PF00033	97	Cytochrome b/b6/petB
PF00034	102	Cytochrome c
PF00035	1293	Double-stranded RNA binding motif
PF00036	465	EF hand
PF00037	113	4Fe-4S binding domain
PF00041	70	Fibronectin type III domain
PF00042	166	Globin
PF00043	1695	Glutathione S-transferase, C-terminal domain
PF00044	377	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00045	98	Hemopexin
PF00046	3212	Homeodomain
PF00054	1	Laminin G domain
PF00056	550	lactate/malate dehydrogenase, NAD binding domain
PF00059	48	Lectin C-type domain
PF00060	1233	Ligand-gated ion channel
PF00061	4	Lipocalin / cytosolic fatty-acid binding protein family
PF00063	715	Myosin head (motor domain)
PF00067	16546	Cytochrome P450
PF00068	1	Phospholipase A2
PF00069	40387	Protein kinase domain
PF00070	7	Pyridine nucleotide-disulphide oxidoreductase
PF00071	3784	Ras family
PF00072	2080	Response regulator receiver domain
PF00075	5	RNase H
PF00076	18271	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00077	18	Retroviral aspartyl protease
PF00078	4487	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00079	521	Serpin (serine protease inhibitor)
PF00080	277	Copper/zinc superoxide dismutase (SODC)
PF00081	231	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082	3556	Subtilase family
PF00083	4655	Sugar (and other) transporter
PF00085	3454	Thioredoxin
PF00089	6	Trypsin
PF00091	1061	Tubulin/FtsZ family, GTPase domain
PF00092	303	von Willebrand factor type A domain
PF00096	843	Zinc finger, C2H2 type
PF00097	1088	Zinc finger, C3HC4 type (RING finger)
PF00098	5136	Zinc knuckle
PF00101	197	Ribulose bisphosphate carboxylase, small chain
PF00102	80	Protein-tyrosine phosphatase
PF00105	1	Zinc finger, C4 type (two domains)
PF00106	3086	short chain dehydrogenase
PF00107	2414	Zinc-binding dehydrogenase
PF00108	243	Thiolase, N-terminal domain
PF00109	324	Beta-ketoacyl synthase, N-terminal domain
PF00111	756	2Fe-2S iron-sulfur cluster binding domain
PF00112	2116	Papain family cysteine protease
PF00113	282	Enolase, C-terminal TIM barrel domain
PF00114	0	Pilin (bacterial filament)
PF00115	52	Cytochrome C and Quinol oxidase polypeptide I
PF00116	62	Cytochrome C oxidase subunit II, periplasmic domain
PF00117	763	Glutamine amidotransferase class-I
PF00118	1444	TCP-1/cpn60 chaperonin family
PF00119	100	ATP synthase A chain
PF00120	305	Glutamine synthetase, catalytic domain
PF00121	193	Triosephosphate isomerase
PF00122	2305	E1-E2 ATPase
PF00124	275	Photosynthetic reaction centre protein
PF00125	1830	Core histone H2A/H2B/H3/H4
PF00126	14	Bacterial regulatory helix-turn-helix protein, lysR family
PF00127	64	Copper binding proteins, plastocyanin/azurin family
PF00128	629	Alpha amylase, catalytic domain
PF00130	114	Phorbol esters/diacylglycerol binding domain (C1 domain)
PF00132	1120	Bacterial transferase hexapeptide (six repeats)
PF00133	644	tRNA synthetases class I (I, L, M and V)
PF00134	2143	Cyclin, N-terminal domain
PF00135	22	Carboxylesterase family
PF00136	261	DNA polymerase family B
PF00137	711	ATP synthase subunit C
PF00139	2463	Legume lectin domain
PF00140	14	Sigma-70 factor, region 1.2
PF00141	5487	Peroxidase
PF00144	86	Beta-lactamase
PF00145	488	C-5 cytosine-specific DNA methylase
PF00146	139	NADH dehydrogenase
PF00149	3260	Calcineurin-like phosphoesterase
PF00150	771	Cellulase (glycosyl hydrolase family 5)
PF00152	657	tRNA synthetases class II (D, K and N)
PF00153	9805	Mitochondrial carrier protein
PF00154	195	recA bacterial DNA recombination protein
PF00155	1996	Aminotransferase class I and II
PF00156	533	Phosphoribosyl transferase domain
PF00158	1	Sigma-54 interaction domain
PF00160	1654	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00161	244	Ribosome inactivating protein
PF00162	226	Phosphoglycerate kinase
PF00163	250	Ribosomal protein S4/S9 N-terminal domain
PF00164	329	Ribosomal protein S12/S23
PF00166	383	Chaperonin 10 Kd subunit
PF00168	7336	C2 domain
PF00169	720	PH domain
PF00170	2951	bZIP transcription factor
PF00171	1216	Aldehyde dehydrogenase family
PF00173	923	Cytochrome b5-like Heme/Steroid binding domain
PF00174	148	Oxidoreductase molybdopterin binding domain
PF00175	651	Oxidoreductase NAD-binding domain
PF00176	2076	SNF2 family N-terminal domain
PF00177	411	Ribosomal protein S7p/S5e
PF00179	2631	Ubiquitin-conjugating enzyme
PF00180	500	Isocitrate/isopropylmalate dehydrogenase
PF00181	335	Ribosomal Proteins L2, RNA binding domain
PF00182	1055	Chitinase class I
PF00183	554	Hsp90 protein
PF00185	127	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain
PF00186	98	Dihydrofolate reductase
PF00187	589	Chitin recognition protein
PF00188	963	Cysteine-rich secretory protein family
PF00189	240	Ribosomal protein S3, C-terminal domain
PF00190	3623	Cupin
PF00191	2034	Annexin
PF00194	481	Eukaryotic-type carbonic anhydrase
PF00195	570	Chalcone and stilbene synthases, N-terminal domain
PF00196	4	Bacterial regulatory proteins, luxR family
PF00197	595	Trypsin and protease inhibitor
PF00198	434	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00199	160	Catalase
PF00201	7999	UDP-glucoronosyl and UDP-glucosyl transferase
PF00202	557	Aminotransferase class-III
PF00203	218	Ribosomal protein S19
PF00204	131	DNA gyrase B
PF00205	330	Thiamine pyrophosphate enzyme, central domain
PF00206	236	Lyase
PF00207	0	Alpha-2-macroglobulin family
PF00208	213	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF00209	0	Sodium:neurotransmitter symporter family
PF00210	158	Ferritin-like domain
PF00211	1	Adenylate and Guanylate cyclase catalytic domain
PF00213	176	ATP synthase delta (OSCP) subunit
PF00215	81	Orotidine 5'-phosphate decarboxylase / HUMPS family
PF00216	3	Bacterial DNA-binding protein
PF00217	0	ATP:guanido phosphotransferase, C-terminal catalytic domain
PF00218	94	Indole-3-glycerol phosphate synthase
PF00221	322	Aromatic amino acid lyase
PF00223	560	Photosystem I psaA/psaB protein
PF00224	667	Pyruvate kinase, barrel domain
PF00225	3101	Kinesin motor domain
PF00226	4869	DnaJ domain
PF00227	1167	Proteasome subunit
PF00228	144	Bowman-Birk serine protease inhibitor family
PF00230	2060	Major intrinsic protein
PF00231	160	ATP synthase
PF00232	2089	Glycosyl hydrolase family 1
PF00234	951	Protease inhibitor/seed storage/LTP family
PF00235	306	Profilin
PF00237	262	Ribosomal protein L22p/L17e
PF00238	281	Ribosomal protein L14p/L23e
PF00239	3	Resolvase, N terminal domain
PF00240	4478	Ubiquitin family
PF00241	511	Cofilin/tropomyosin-type actin-binding protein
PF00244	606	14-3-3 protein
PF00245	1	Alkaline phosphatase
PF00246	114	Zinc carboxypeptidase
PF00248	1881	Aldo/keto reductase family
PF00249	17578	Myb-like DNA-binding domain
PF00251	497	Glycosyl hydrolases family 32 N-terminal domain
