ann_term	q_val	annotation
PF01205	1	Uncharacterized protein family UPF0029
PF02560	1	Cyanate lyase C-terminal domain
PF03711	1	Orn/Lys/Arg decarboxylase, C-terminal domain
PF08585	1	RecQ mediated genome instability protein
PF12998	1	Inhibitor of growth proteins N-terminal histone-binding
PF13023	1	HD domain
PF13369	1	Transglutaminase-like superfamily
PF15938	1	Domain of unknown function (DUF4750)
PF00036	0.995613645611386	EF hand
PF01131	0.995613645611386	DNA topoisomerase
PF01248	0.995613645611386	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family
PF01264	0.995613645611386	Chorismate synthase
PF01300	0.995613645611386	Telomere recombination
PF06522	0.995613645611386	NADH-ubiquinone reductase complex 1 MLRQ subunit
PF13774	0.995613645611386	Regulated-SNARE-like domain
PF13862	0.995613645611386	p21-C-terminal region-binding protein
PF17781	0.995613645611386	RPN1/RPN2 N-terminal domain
PF16529	0.995613645611386	WD40 region of Ge1, enhancer of mRNA-decapping protein
PF11945	0.994325071421483	WAHD domain of WASH complex
PF15227	0.993484760348913	zinc finger of C3HC4-type, RING
PF10591	0.992026492414189	Secreted protein acidic and rich in cysteine Ca binding region
PF01465	0.992026492414189	GRIP domain
PF01803	0.992026492414189	LIM-domain binding protein
PF02605	0.992026492414189	Photosystem I reaction centre subunit XI
PF04551	0.992026492414189	GcpE protein
PF04675	0.992026492414189	DNA ligase N terminus
PF06391	0.992026492414189	CDK-activating kinase assembly factor MAT1
PF08083	0.992026492414189	PROCN (NUC071) domain
PF08511	0.992026492414189	COQ9
PF09412	0.992026492414189	Endoribonuclease XendoU
PF10539	0.992026492414189	Development and cell death domain
PF14299	0.992026492414189	Phloem protein 2
PF14833	0.992026492414189	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase
PF16863	0.992026492414189	N-terminal barrel of NtMGAM and CtMGAM, maltase-glucoamylase
PF16899	0.992026492414189	Cyclin C-terminal domain
PF18262	0.992026492414189	Phe-tRNA synthetase beta subunit B1 domain
PF15785	0.992026492414189	Serine/threonine-protein kinase smg-1
PF00283	0.992026492414189	Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits
PF15477	0.992026492414189	Small acidic protein family
PF00072	0.989751383333126	Response regulator receiver domain
PF00091	0.989751383333126	Tubulin/FtsZ family, GTPase domain
PF00355	0.989751383333126	Rieske [2Fe-2S] domain
PF02338	0.989751383333126	OTU-like cysteine protease
PF02771	0.989751383333126	Acyl-CoA dehydrogenase, N-terminal domain
PF02812	0.989751383333126	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain
PF02996	0.989751383333126	Prefoldin subunit
PF03635	0.989751383333126	Vacuolar protein sorting-associated protein 35
PF03641	0.989751383333126	Possible lysine decarboxylase
PF12483	0.989751383333126	E3 Ubiquitin ligase
PF08066	0.989751383333126	PMC2NT (NUC016) domain
PF15288	0.989751383333126	Zinc knuckle
PF00665	0.989751383333126	Integrase core domain
PF00563	0.989751383333126	EAL domain
PF03704	0.989751383333126	Bacterial transcriptional activator domain
PF17232	0.989751383333126	Elicitor peptide 1-7
PF03184	0.989751383333126	DDE superfamily endonuclease
PF13304	0.989027883202422	AAA domain, putative AbiEii toxin, Type IV TA system
PF12742	0.988431592789764	Gryzun, putative Golgi trafficking
PF00479	0.987484855619047	Glucose-6-phosphate dehydrogenase, NAD binding domain
PF00955	0.987484855619047	HCO3- transporter family
PF01087	0.987484855619047	Galactose-1-phosphate uridyl transferase, N-terminal domain
PF01351	0.987484855619047	Ribonuclease HII
PF02167	0.987484855619047	Cytochrome C1 family
PF02837	0.987484855619047	Glycosyl hydrolases family 2, sugar binding domain
PF10173	0.987484855619047	Mitochondrial K+-H+ exchange-related
