ann_term	q_val	annotation
PF03540	1	Transcription initiation factor TFIID 23-30kDa subunit
PF03704	1	Bacterial transcriptional activator domain
PF04112	1	Mak10 subunit, NatC N(alpha)-terminal acetyltransferase
PF11931	1	Domain of unknown function (DUF3449)
PF16561	1	Glycogen recognition site of AMP-activated protein kinase
PF01134	1	Glucose inhibited division protein A
PF01158	1	Ribosomal protein L36e
PF04782	0.999625019580992	Protein of unknown function (DUF632)
PF01197	0.999625019580992	Ribosomal protein L31
PF13578	0.999625019580992	Methyltransferase domain
PF03221	0.999625019580992	Tc5 transposase DNA-binding domain
PF03949	0.999618710775708	Malic enzyme, NAD binding domain
PF01249	0.999618710775708	Ribosomal protein S21e
PF09454	0.999561942507352	Vps23 core domain
PF11916	0.999561942507352	Vacuolar protein 14 C-terminal Fig4p binding
PF00953	0.999561942507352	Glycosyl transferase family 4
PF09328	0.999561942507352	Domain of unknown function (DUF1984)
PF13671	0.999561942507352	AAA domain
PF02037	0.999561942507352	SAP domain
PF01459	0.999559696935263	Eukaryotic porin
PF13890	0.998042028521842	Rab3 GTPase-activating protein catalytic subunit
PF04305	0.998042028521842	Protein of unknown function (DUF455)
PF04852	0.997736899984302	Protein of unknown function (DUF640)
PF08640	0.997422788087419	U3 small nucleolar RNA-associated protein 6
PF06876	0.997422788087419	Plant self-incompatibility response (SCRL) protein
PF08620	0.997328619925186	RPAP1-like, C-terminal
PF03486	0.997073555238482	HI0933-like protein
PF03874	0.997066232586831	RNA polymerase Rpb4
PF01486	0.997066232586831	K-box region
PF05405	0.997066232586831	Mitochondrial ATP synthase B chain precursor (ATP-synt_B)
PF04783	0.997066232586831	Protein of unknown function (DUF630)
PF06699	0.997066232586831	GPI biosynthesis protein family Pig-F
PF01656	0.997066232586831	CobQ/CobB/MinD/ParA nucleotide binding domain
PF04889	0.997066232586831	Cwf15/Cwc15 cell cycle control protein
PF17846	0.997066232586831	Xrn1 helical domain
PF04622	0.997066232586831	ERG2 and Sigma1 receptor like protein
PF09296	0.997066232586831	NADH pyrophosphatase-like rudimentary NUDIX domain
PF05938	0.997066232586831	Plant self-incompatibility protein S1
PF14372	0.997066232586831	Domain of unknown function (DUF4413)
PF00563	0.997012340242	EAL domain
PF01959	0.996886108888699	3-dehydroquinate synthase II
PF01813	0.996851726737229	ATP synthase subunit D
PF00164	0.996198268203213	Ribosomal protein S12/S23
PF03071	0.996051178122184	GNT-I family
PF12330	0.996051178122184	Haspin like kinase domain
PF04869	0.996051178122184	Uso1 / p115 like vesicle tethering protein, head region
PF09745	0.996051178122184	Coiled-coil domain-containing protein 55 (DUF2040)
PF05832	0.995902327868996	Eukaryotic protein of unknown function (DUF846)
PF04840	0.995835966891081	Vps16, C-terminal region
PF04006	0.995835966891081	Mpp10 protein
PF01916	0.995835966891081	Deoxyhypusine synthase
PF12457	0.995835966891081	Tuftelin interacting protein N terminal
PF00223	0.995835966891081	Photosystem I psaA/psaB protein
PF07749	0.995835966891081	Endoplasmic reticulum protein ERp29, C-terminal domain
PF03745	0.995835966891081	Domain of unknown function (DUF309)
PF13923	0.9956638967539	Zinc finger, C3HC4 type (RING finger)
PF08320	0.9956638967539	PIG-X / PBN1
PF07223	0.9956638967539	UBA-like domain (DUF1421)
PF02597	0.995588474723756	ThiS family
PF02771	0.995296397282767	Acyl-CoA dehydrogenase, N-terminal domain
PF01694	0.994851502145727	Rhomboid family
PF05277	0.994851502145727	Protein of unknown function (DUF726)
PF06592	0.994851502145727	Protein of unknown function (DUF1138)
PF12734	0.994798538761567	Cysteine-rich TM module stress tolerance
PF01775	0.994770827103137	Ribosomal proteins 50S-L18Ae/60S-L20/60S-L18A
PF01992	0.994770827103137	ATP synthase (C/AC39) subunit
PF10502	0.994770827103137	Signal peptidase, peptidase S26
PF03167	0.994052223572781	Uracil DNA glycosylase superfamily
PF03137	0.994052223572781	Organic Anion Transporter Polypeptide (OATP) family
PF00303	0.994052223572781	Thymidylate synthase
PF05175	0.994052223572781	Methyltransferase small domain
PF12701	0.994027599649629	Scd6-like Sm domain
PF07842	0.994027599649629	GC-rich sequence DNA-binding factor-like protein
PF02698	0.993915833073633	DUF218 domain
PF18428	0.993915833073633	BRCA1 C Terminus (BRCT) domain
PF13901	0.993915833073633	Putative zinc-RING and/or ribbon
PF01754	0.993915833073633	A20-like zinc finger
PF13304	0.993504770005319	AAA domain, putative AbiEii toxin, Type IV TA system
PF12265	0.993137961582347	Histone-binding protein RBBP4 or subunit C of CAF1 complex
PF03367	0.993137961582347	ZPR1 zinc-finger domain
PF11698	0.993137961582347	V-ATPase subunit H
PF00179	0.993137961582347	Ubiquitin-conjugating enzyme
PF02225	0.993137961582347	PA domain
PF05904	0.993137961582347	Plant protein of unknown function (DUF863)
PF13919	0.993137961582347	Asx homology domain
PF07516	0.993137961582347	SecA Wing and Scaffold domain
PF00352	0.993137961582347	Transcription factor TFIID (or TATA-binding protein, TBP)
PF16211	0.993137961582347	C-terminus of histone H2A
PF01764	0.993137961582347	Lipase (class 3)
PF09740	0.993125048524073	Uncharacterized conserved protein (DUF2043)
PF00118	0.993125048524073	TCP-1/cpn60 chaperonin family
PF08212	0.993125048524073	Lipocalin-like domain
PF01003	0.992822488433715	Flavivirus capsid protein C
PF05749	0.992822488433715	Rubella membrane glycoprotein E2
PF06280	0.992822488433715	Fn3-like domain
PF06715	0.992822488433715	Gp5 C-terminal repeat (3 copies)
PF06875	0.992822488433715	Plethodontid receptivity factor PRF
PF14597	0.992822488433715	Metallo-beta-lactamase superfamily
PF16029	0.992822488433715	Domain of unknown function (DUF4787)
PF00598	0.992822488433715	Influenza Matrix protein (M1)
PF01059	0.992822488433715	NADH-ubiquinone oxidoreductase chain 4, amino terminus
PF02568	0.992822488433715	Thiamine biosynthesis protein (ThiI)
PF05992	0.992822488433715	SbmA/BacA-like family
PF06240	0.992822488433715	Carbon monoxide dehydrogenase subunit G (CoxG)
PF06809	0.992822488433715	Neural proliferation differentiation control-1 protein (NPDC1)
PF09749	0.992822488433715	Uncharacterised conserved protein
PF03985	0.992822488433715	Paf1
PF10150	0.992822488433715	Ribonuclease E/G family
PF01386	0.992822488433715	Ribosomal L25p family
PF10539	0.992822488433715	Development and cell death domain
PF02622	0.992822488433715	Uncharacterized ACR, COG1678
PF11712	0.992822488433715	Endoplasmic reticulum-based factor for assembly of V-ATPase
PF02167	0.992822488433715	Cytochrome C1 family
PF01039	0.992822488433715	Carboxyl transferase domain
PF04056	0.992822488433715	Ssl1-like
PF07977	0.992822488433715	FabA-like domain
