Feature	Pfam
0	PF00005
1	PF08352
2	PF00654
3	PF00237
4	PF00528
5	PF00196
6	PF00072
7	PF00924
8	PF12794
9	PF12795
10	PF08461
11	PF00773
12	PF00575
13	PF08206
14	PF08206
15	PF01204
16	PF01522
17	PF02881
18	PF00448
19	PF00126
20	PF03466
21	PF00572
22	PF01040
23	PF08282
24	PF01380
25	PF01380
26	PF13522
27	PF00684
28	PF01556
29	PF00226
30	PF01522
31	PF00215
32	PF01842
33	PF01842
34	PF08335
35	PF01909
36	PF01966
37	PF01648
38	PF00359
39	PF00391
40	PF02896
41	PF05524
42	PF00381
43	PF10576
44	PF00633
45	PF00730
46	PF11563
47	PF00990
48	PF02784
49	PF00278
50	PF07166
51	PF10458
52	PF00133
53	PF08264
54	PF12836
55	PF00941
56	PF03450
57	PF12833
58	PF12852
59	PF00196
60	PF17113
61	PF01196
62	PF00800
63	PF01817
64	PF00455
65	PF08220
66	PF01848
67	PF00464
68	PF00975
69	PF00512
70	PF02518
71	PF12404
72	PF00883
73	PF07728
74	PF00248
75	PF07690
76	PF00654
77	PF05175
78	PF07729
79	PF00392
80	PF01842
81	PF00696
82	PF01179
83	PF07833
84	PF02728
85	PF02727
86	PF05939
87	PF05939
88	PF02880
89	PF00408
90	PF02879
91	PF02878
92	PF00005
93	PF00571
94	PF03061
95	PF07813
96	PF03720
97	PF00984
98	PF03721
99	PF02885
100	PF00591
101	PF07831
102	PF10502
103	PF00717
104	PF09003
105	PF02899
106	PF00589
107	PF00486
108	PF00072
109	PF00206
110	PF08328
111	PF03483
112	PF03484
113	PF03147
114	PF01588
115	PF11975
116	PF02056
117	PF13646
118	PF08352
119	PF00005
120	PF01313
121	PF01554
122	PF01554
123	PF10697
124	PF13416
125	PF06996
126	PF02302
127	PF12344
128	PF00271
129	PF04851
130	PF02151
131	PF06445
132	PF00313
133	PF02638
134	PF00990
135	PF13426
136	PF13426
137	PF00563
138	PF02614
139	PF01546
140	PF00005
141	PF08352
142	PF00664
143	PF00005
144	PF00293
145	PF03358
146	PF03372
147	PF00725
148	PF00725
149	PF02737
150	PF03328
151	PF02774
152	PF01118
153	PF08338
154	PF01370
155	PF00005
156	PF00005
157	PF00113
158	PF03952
159	PF00793
160	PF16510
161	PF13437
162	PF01396
163	PF01396
164	PF01396
165	PF01396
166	PF13361
167	PF00580
168	PF02151
169	PF08459
170	PF14520
171	PF01541
172	PF00270
173	PF00271
174	PF17191
175	PF00175
176	PF00970
177	PF01258
178	PF00854
179	PF00884
180	PF00350
181	PF01632
182	PF03120
183	PF01653
184	PF00133
185	PF00133
186	PF00133
187	PF08264
188	PF13603
189	PF02613
190	PF03740
191	PF00330
192	PF11791
193	PF06434
194	PF00254
195	PF05697
196	PF05698
197	PF00072
198	PF00158
199	PF00749
200	PF05175
201	PF03212
202	PF16168
203	PF07090
204	PF03797
205	PF02395
206	PF13018
207	PF03797
208	PF02395
209	PF13018
210	PF00419
211	PF06082
212	PF02901
213	PF01228
214	PF02378
215	PF00466
216	PF07729
217	PF00392
218	PF13708
219	PF00267
220	PF03459
221	PF03459
222	PF00126
223	PF05188
224	PF05190
225	PF00488
226	PF01624
227	PF05192
228	PF00521
229	PF03989
230	PF03989
231	PF07663
232	PF03612
233	PF00392
234	PF07729
235	PF00005
236	PF00005
237	PF08352
238	PF08352
239	PF13192
240	PF07992
241	PF01687
242	PF06574
243	PF01040
244	PF00196
245	PF00171
246	PF01047
247	PF01402
248	PF08753
249	PF01842
250	PF08279
251	PF02237
252	PF03099
253	PF00512
254	PF02518
255	PF13416
256	PF16576
257	PF00873
258	PF02872
259	PF00149
260	PF04055
261	PF00499
262	PF13899
263	PF11412
264	PF02683
265	PF00011
266	PF02222
267	PF03895
268	PF05662
269	PF05662
270	PF05662
271	PF05662
272	PF05662
273	PF05662
274	PF05662
275	PF05662
276	PF05662
277	PF05662
278	PF05662
279	PF05662
280	PF13018
281	PF05658
282	PF05658
283	PF05658
284	PF05658
285	PF05658
286	PF05658
287	PF05658
288	PF05658
289	PF05658
290	PF05658
291	PF07484
292	PF03406
293	PF03406
294	PF08400
295	PF00589
296	PF13495
297	PF04565
298	PF00562
299	PF04561
300	PF04561
301	PF10385
302	PF04560
303	PF04563
304	PF05939
305	PF12833
306	PF02311
307	PF00013
308	PF01138
309	PF01138
310	PF03725
311	PF03725
312	PF00575
313	PF03726
314	PF08275
315	PF13155
316	PF08278
317	PF01807
318	PF10410
319	PF01128
320	PF00004
321	PF10431
322	PF02861
323	PF07724
324	PF03466
325	PF00126
326	PF01161
327	PF02787
328	PF02142
329	PF02786
330	PF02786
331	PF14714
332	PF01926
333	PF01926
334	PF00448
335	PF02978
336	PF02881
337	PF03462
338	PF00472
339	PF01595
340	PF00571
341	PF03471
342	PF13520
343	PF13275
344	PF02786
345	PF02785
346	PF00289
