Feature	Pfam
0	PF16658
1	PF00009
2	PF03144
3	PF00384
4	PF10588
5	PF04879
6	PF01568
7	PF13510
8	PF00171
9	PF00009
10	PF06421
11	PF03144
12	PF00679
13	PF00072
14	PF00486
15	PF04204
16	PF14840
17	PF06144
18	PF00126
19	PF03466
20	PF00005
21	PF08378
22	PF13245
23	PF13361
24	PF13361
25	PF00994
26	PF03453
27	PF03454
28	PF00356
29	PF13377
30	PF03960
31	PF00571
32	PF00571
33	PF01380
34	PF00044
35	PF02800
36	PF03466
37	PF00126
38	PF01471
39	PF13401
40	PF00975
41	PF00226
42	PF01556
43	PF00684
44	PF12800
45	PF13247
46	PF09163
47	PF00465
48	PF01155
49	PF12849
50	PF00291
51	PF07973
52	PF01411
53	PF02272
54	PF13365
55	PF13180
56	PF11776
57	PF17203
58	PF00989
59	PF14689
60	PF02518
61	PF00005
62	PF06445
63	PF12833
64	PF03466
65	PF00126
66	PF08264
67	PF00133
68	PF00133
69	PF00133
70	PF13603
71	PF02335
72	PF14819
73	PF14489
74	PF00486
75	PF00072
76	PF01527
77	PF00356
78	PF13377
79	PF01578
80	PF00009
81	PF00654
82	PF02583
83	PF12836
84	PF00575
85	PF16921
86	PF09371
87	PF00180
88	PF00158
89	PF00989
90	PF02954
91	PF08388
92	PF00078
93	PF12792
94	PF00563
95	PF01842
96	PF00696
97	PF00781
98	PF04960
99	PF02525
100	PF00080
101	PF13954
102	PF13953
103	PF00577
104	PF02776
105	PF02775
106	PF00205
107	PF00854
108	PF00448
109	PF02978
110	PF02881
111	PF13561
112	PF00892
113	PF00892
114	PF00583
115	PF00881
116	PF09382
117	PF16124
118	PF00270
119	PF00570
120	PF00271
121	PF01048
122	PF00528
123	PF14691
124	PF07992
125	PF00440
126	PF02378
127	PF00358
128	PF00367
129	PF01256
130	PF03853
131	PF01381
132	PF00403
133	PF00403
134	PF00702
135	PF00122
136	PF03446
137	PF00393
138	PF02224
139	PF03960
140	PF00075
141	PF00990
142	PF00563
143	PF13426
