ann_term	q_val	annotation
PF03275	7.86918871706273e-06	UDP-galactopyranose mutase
PF06672	8.06995705000267e-06	Protein of unknown function (DUF1175)
PF05433	0.000174798843363044	Glycine zipper 2TM domain
PF04313	0.000174798843363044	Type I restriction enzyme R protein N terminus (HSDR_N)
PF01520	0.00021601605084886	N-acetylmuramoyl-L-alanine amidase
PF13450	0.000525575957343535	NAD(P)-binding Rossmann-like domain
PF01297	0.000525575957343535	Zinc-uptake complex component A periplasmic
PF01863	0.000550715470760586	Protein of unknown function DUF45
PF00857	0.000550715470760586	Isochorismatase family
PF00449	0.000550715470760586	Urease alpha-subunit, N-terminal domain
PF00547	0.000550715470760586	Urease, gamma subunit
PF00699	0.000550715470760586	Urease beta subunit
PF01730	0.000550715470760586	UreF
PF02814	0.000550715470760586	UreE urease accessory protein, N-terminal domain
PF05194	0.000550715470760586	UreE urease accessory protein, C-terminal domain
PF03358	0.000560802052645822	NADPH-dependent FMN reductase
PF13489	0.000560802052645822	Methyltransferase domain
PF12008	0.000560802052645822	Type I restriction and modification enzyme - subunit R C terminal
PF12500	0.000560802052645822	TRSP domain C terminus to PRTase_2
PF15609	0.000560802052645822	Phosphoribosyl transferase
PF15617	0.000560802052645822	C-C_Bond_Lyase of the TIM-Barrel fold
PF15632	0.000560802052645822	ATP-grasp in the biosynthetic pathway with Ter operon
PF01906	0.000560802052645822	Putative heavy-metal-binding
PF03243	0.000560802052645822	Alkylmercury lyase
PF04346	0.000560802052645822	Ethanolamine utilisation protein, EutH
PF04465	0.000560802052645822	Protein of unknown function (DUF499)
PF06443	0.000560802052645822	SEF14-like adhesin
PF06634	0.000560802052645822	Protein of unknown function (DUF1156)
PF08406	0.000560802052645822	CbbQ/NirQ/NorQ C-terminal
PF09075	0.000560802052645822	Heat-stable enterotoxin B, secretory
PF09957	0.000560802052645822	Bacterial antitoxin of type II TA system, VapB
PF10706	0.000560802052645822	Aminoglycoside-2''-adenylyltransferase
PF11140	0.000560802052645822	Protein of unknown function (DUF2913)
PF12324	0.000560802052645822	Helix-turn-helix domain of alkylmercury lyase
PF12635	0.000560802052645822	Protein of unknown function (DUF3780)
PF13023	0.000560802052645822	HD domain
PF13290	0.000560802052645822	Chitobiase/beta-hexosaminidase C-terminal domain
PF14267	0.000560802052645822	Domain of unknown function (DUF4357)
PF00950	0.000613114479227721	ABC 3 transport family
PF01219	0.000613114479227721	Prokaryotic diacylglycerol kinase
PF03433	0.000613114479227721	EspA-like secreted protein
PF05802	0.000613114479227721	Enterobacterial EspB protein
PF06287	0.000613114479227721	Protein of unknown function (DUF1039)
PF09621	0.000613114479227721	Type III secretion system regulator (LcrR)
PF16693	0.000613114479227721	Inner membrane component of T3SS, periplasmic domain
PF10754	0.000714103462922274	Protein of unknown function (DUF2569)
PF02600	0.000746181591735478	Disulfide bond formation protein DsbB
PF14464	0.000787035412033293	Prokaryotic homologs of the JAB domain
PF12844	0.000795896910423859	Helix-turn-helix domain
PF01061	0.00120310570708823	ABC-2 type transporter
PF02613	0.00123654846476489	Nitrate reductase delta subunit
PF06406	0.0012461698520946	StbA protein
PF00478	0.00128748139793934	IMP dehydrogenase / GMP reductase domain
PF02540	0.00128748139793934	NAD synthase
PF00958	0.00128748139793934	GMP synthase C terminal domain
PF06316	0.00132114576540812	Enterobacterial Ail/Lom protein
PF03143	0.00137709907799571	Elongation factor Tu C-terminal domain
PF13420	0.00163284541143587	Acetyltransferase (GNAT) domain
PF14524	0.00163284541143587	Wzt C-terminal domain
PF00390	0.00163284541143587	Malic enzyme, N-terminal domain
PF03949	0.00163284541143587	Malic enzyme, NAD binding domain
PF02275	0.00163284541143587	Linear amide C-N hydrolases, choloylglycine hydrolase family
PF02432	0.00163284541143587	Fimbrial, major and minor subunit
PF17547	0.00163284541143587	Family of unknown function (DUF5462)
PF10784	0.00197698533402196	Plasmid stability protein
PF01479	0.00226536262236629	S4 domain
PF00165	0.00259861057687839	Bacterial regulatory helix-turn-helix proteins, AraC family
PF13195	0.00259861057687839	Protein of unknown function (DUF4011)
PF00263	0.00259861057687839	Bacterial type II and III secretion system protein
PF11202	0.00259861057687839	Phosphoribosyl transferase (PRTase)
PF03401	0.00293737377224626	Tripartite tricarboxylate transporter family receptor
PF07331	0.00293737377224626	Tripartite tricarboxylate transporter TctB family
PF01970	0.00310885562060076	Tripartite tricarboxylate transporter TctA family
PF00881	0.00361126290345224	Nitroreductase family
PF10979	0.00361126290345224	Protein of unknown function (DUF2786)
PF05717	0.00370721713027333	IS66 Orf2 like protein
PF06805	0.00370721713027333	Bacteriophage lambda tail assembly protein I
PF01661	0.00388481757273517	Macro domain
PF01148	0.00391192710054231	Cytidylyltransferase family
PF11975	0.00391192710054231	Family 4 glycosyl hydrolase C-terminal domain
PF12793	0.00391192710054231	Sugar transport-related sRNA regulator N-term
PF15608	0.00391192710054231	PELOTA RNA binding domain
PF00571	0.00391192710054231	CBS domain
PF06523	0.00391192710054231	Protein of unknown function (DUF1106)
PF13817	0.00391192710054231	IS66 C-terminal element
PF03264	0.00391192710054231	NapC/NirT cytochrome c family, N-terminal region
PF03549	0.00391192710054231	Translocated intimin receptor (Tir) intimin-binding domain
PF05932	0.00391192710054231	Tir chaperone protein (CesT) family
PF06066	0.00391192710054231	SepZ
PF06622	0.00391192710054231	SepQ protein
PF07489	0.00391192710054231	Translocated intimin receptor (Tir) C-terminus
