Feature	Pfam
0	PF00005
1	PF08352
2	PF00654
3	PF00237
4	PF00528
5	PF00196
6	PF00072
7	PF00924
8	PF12794
9	PF12795
10	PF08461
11	PF00773
12	PF00575
13	PF08206
14	PF08206
15	PF01204
16	PF01522
17	PF02881
18	PF00448
19	PF00126
20	PF03466
21	PF00572
22	PF01040
23	PF08282
24	PF01380
25	PF01380
26	PF13522
27	PF00684
28	PF01556
29	PF00226
30	PF01522
31	PF00215
32	PF01842
33	PF01842
34	PF08335
35	PF01909
36	PF01966
37	PF01648
38	PF00359
39	PF00391
40	PF02896
41	PF05524
42	PF00381
43	PF10576
44	PF00633
45	PF00730
46	PF11563
47	PF00990
48	PF02784
49	PF00278
50	PF10458
51	PF00133
52	PF08264
53	PF12836
54	PF00941
55	PF03450
56	PF12833
57	PF12852
58	PF00196
59	PF17113
60	PF01196
61	PF00800
62	PF01817
63	PF00455
64	PF08220
65	PF01848
66	PF00464
67	PF00975
68	PF00512
69	PF02518
70	PF12404
71	PF00883
72	PF07728
73	PF00248
74	PF07690
75	PF00654
76	PF05175
77	PF07729
78	PF00392
79	PF01842
80	PF00696
81	PF01179
82	PF07833
83	PF02728
84	PF02727
85	PF02880
86	PF00408
87	PF02879
88	PF02878
89	PF00005
90	PF00571
91	PF03061
92	PF07813
93	PF03720
94	PF00984
95	PF03721
96	PF02885
97	PF00591
98	PF07831
99	PF10502
100	PF00717
101	PF00486
102	PF00072
103	PF00206
104	PF08328
105	PF03483
106	PF03484
107	PF03147
108	PF01588
109	PF11975
110	PF02056
111	PF13646
112	PF08352
113	PF00005
114	PF01313
115	PF01554
116	PF01554
117	PF10697
118	PF13416
119	PF06996
120	PF02302
121	PF12344
122	PF00271
123	PF04851
124	PF02151
125	PF06445
126	PF00313
127	PF02638
128	PF00990
129	PF13426
130	PF13426
131	PF00563
132	PF02614
133	PF01546
134	PF00005
135	PF08352
136	PF00664
137	PF00005
138	PF00293
139	PF03372
140	PF00725
141	PF00725
142	PF02737
143	PF03328
144	PF02774
145	PF01118
146	PF08338
147	PF01370
148	PF00005
149	PF00005
150	PF00113
151	PF03952
152	PF00793
153	PF13437
154	PF01396
155	PF01396
156	PF01396
157	PF01396
158	PF13361
159	PF00580
160	PF02151
161	PF08459
162	PF14520
163	PF01541
164	PF00270
165	PF00271
166	PF17191
167	PF00175
168	PF00970
169	PF01258
170	PF00854
171	PF00884
172	PF01632
173	PF03120
174	PF01653
175	PF00133
176	PF00133
177	PF00133
178	PF08264
179	PF13603
180	PF02613
181	PF03740
182	PF00330
183	PF11791
184	PF06434
185	PF00254
186	PF05697
187	PF05698
188	PF00072
189	PF00158
190	PF00749
191	PF05175
192	PF03212
193	PF16168
194	PF07090
195	PF03797
196	PF02395
197	PF13018
198	PF03797
199	PF02395
200	PF13018
201	PF00419
202	PF06082
203	PF02901
204	PF01228
205	PF02378
206	PF00466
207	PF07729
208	PF00392
209	PF13708
210	PF00267
211	PF03459
212	PF03459
213	PF00126
214	PF05188
215	PF05190
216	PF00488
217	PF01624
218	PF05192
219	PF00521
220	PF03989
221	PF03989
222	PF07663
223	PF03612
224	PF00392
225	PF07729
226	PF00005
227	PF00005
228	PF08352
229	PF08352
230	PF13192
231	PF07992
232	PF01687
233	PF06574
234	PF01040
235	PF00196
236	PF00171
237	PF01047
238	PF01402
239	PF08753
240	PF01842
241	PF08279
242	PF02237
243	PF03099
244	PF00512
245	PF02518
246	PF13416
247	PF16576
248	PF00873
249	PF02872
250	PF00149
251	PF04055
252	PF00499
253	PF13899
254	PF11412
255	PF02683
256	PF00011
257	PF02222
258	PF03895
259	PF05662
260	PF05662
261	PF05662
262	PF05662
263	PF05662
264	PF05662
265	PF05662
266	PF05662
267	PF05662
268	PF05662
269	PF05662
270	PF05662
271	PF13018
272	PF05658
273	PF05658
274	PF05658
275	PF05658
276	PF05658
277	PF05658
278	PF05658
279	PF05658
280	PF05658
281	PF05658
282	PF00589
283	PF13495
284	PF04565
285	PF00562
286	PF04561
287	PF04561
288	PF10385
289	PF04560
290	PF04563
291	PF12833
292	PF02311
293	PF00013
294	PF01138
295	PF01138
296	PF03725
297	PF03725
298	PF00575
299	PF03726
300	PF08275
301	PF13155
302	PF08278
303	PF01807
304	PF10410
305	PF01128
306	PF00004
307	PF10431
308	PF02861
309	PF07724
310	PF03466
311	PF00126
312	PF01161
313	PF02787
314	PF02142
315	PF02786
316	PF02786
317	PF14714
318	PF01926
319	PF01926
320	PF00448
321	PF02978
322	PF02881
323	PF03462
324	PF00472
325	PF01595
326	PF00571
327	PF03471
328	PF13520
329	PF13275
330	PF02786
331	PF02785
332	PF00289
333	PF00270
334	PF03461
335	PF00271
336	PF02559
337	PF13419
338	PF00462
339	PF00005
340	PF00528
341	PF14785
342	PF00854
343	PF00410
344	PF08206
345	PF00773
346	PF00575
