ann_term	CC	annotation
PF01453	0.684782576121959	D-mannose binding lectin
PF11721	0.639159763554206	Malectin domain
PF00954	0.635398391437834	S-locus glycoprotein domain
PF14576	0.63024440273131	Sieve element occlusion N-terminus
PF14577	0.625192192630559	Sieve element occlusion C-terminus
PF00248	0.603883518510293	Aldo/keto reductase family
PF08276	0.602967419354665	PAN-like domain
PF00107	0.593458533109227	Zinc-binding dehydrogenase
PF05691	0.592375275917567	Raffinose synthase or seed imbibition protein Sip1
PF13561	0.587771719494355	Enoyl-(Acyl carrier protein) reductase
PF16884	0.574120555613829	N-terminal domain of oxidoreductase
PF08263	0.561457999343375	Leucine rich repeat N-terminal domain
PF13602	0.548821144811429	Zinc-binding dehydrogenase
PF02798	0.542607623225493	Glutathione S-transferase, N-terminal domain
PF13855	0.537997072611674	Leucine rich repeat
PF00689	0.537095807329605	Cation transporting ATPase, C-terminus
PF01061	0.534122342699564	ABC-2 type transporter
PF00182	0.527740502136645	Chitinase class I
PF11883	0.527740403050995	Domain of unknown function (DUF3403)
PF00704	0.527344233346871	Glycosyl hydrolases family 18
PF14380	0.525162257926555	Wall-associated receptor kinase C-terminal
PF03140	0.519628633740578	Plant protein of unknown function
PF08240	0.513645715736387	Alcohol dehydrogenase GroES-like domain
PF00702	0.51350197824148	haloacid dehalogenase-like hydrolase
PF01384	0.512592575845588	Phosphate transporter family
PF12796	0.508985290961874	Ankyrin repeats (3 copies)
PF13637	0.502239918297687	Ankyrin repeats (many copies)
PF00690	0.502217705788559	Cation transporter/ATPase, N-terminus
PF14476	0.501751921041437	Petal formation-expressed
PF14226	0.49465821701396	non-haem dioxygenase in morphine synthesis N-terminal
PF01221	0.490145365557834	Dynein light chain type 1
PF17048	0.489397795386068	Neutral/alkaline non-lysosomal ceramidase, C-terminal
PF03492	0.488951951245463	SAM dependent carboxyl methyltransferase
PF04863	0.485574485208703	Alliinase EGF-like domain
PF12999	0.482705435165624	Glucosidase II beta subunit-like
PF05686	0.481648166425439	Glycosyl transferase family 90
PF07258	0.481422811337648	COMM domain
PF05368	0.479384259314913	NmrA-like family
PF03552	0.476439625431249	Cellulose synthase
PF00560	0.475829143843581	Leucine Rich Repeat
PF08370	0.474842085189334	Plant PDR ABC transporter associated
PF00011	0.474397872872538	Hsp20/alpha crystallin family
PF03171	0.473940304422811	2OG-Fe(II) oxygenase superfamily
PF00405	0.47056875034218	Transferrin
PF16499	0.469829946822459	Alpha galactosidase A
PF00060	0.467885379980458	Ligand-gated ion channel
PF01814	0.461208456746313	Hemerythrin HHE cation binding domain
PF12202	0.460894442113392	Oxidative-stress-responsive kinase 1 C-terminal domain
PF00201	0.459442999810711	UDP-glucoronosyl and UDP-glucosyl transferase
PF04511	0.459120965908483	Der1-like family
PF00732	0.452712541304001	GMC oxidoreductase
PF17801	0.452252069474971	Alpha galactosidase C-terminal beta sandwich domain
PF05183	0.451161778632517	RNA dependent RNA polymerase
PF02536	0.44481525592993	mTERF
PF00122	0.440454162830177	E1-E2 ATPase
PF08100	0.439147073095556	Dimerisation domain
PF18317	0.434743520125632	Shikimate 5'-dehydrogenase C-terminal domain
PF00909	0.433840693677957	Ammonium Transporter Family
PF13962	0.43321051807416	Domain of unknown function
PF10442	0.432377618868264	FIST C domain
PF00043	0.432139133264881	Glutathione S-transferase, C-terminal domain
PF03936	0.421709697092402	Terpene synthase family, metal binding domain
PF03255	0.419316366677005	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
PF13905	0.418909885529045	Thioredoxin-like
PF19160	0.416870900342811	SPARK
PF01094	0.416438626512494	Receptor family ligand binding region
PF01177	0.415937735263087	Asp/Glu/Hydantoin racemase
PF01476	0.415581978961589	LysM domain
PF02833	0.415505822967901	DHHA2 domain
PF13091	0.410142749121883	PLD-like domain
PF02746	0.408551719820422	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain
PF02458	0.406838016849738	Transferase family
PF07714	0.403531318063305	Protein tyrosine and serine/threonine kinase
PF16041	0.4032150060164	Domain of unknown function (DUF4793)
PF00497	0.401380351043487	Bacterial extracellular solute-binding proteins, family 3
PF08488	0.401297254723775	Wall-associated kinase
PF14510	0.401245533028266	ABC-transporter N-terminal
PF08501	0.398465329135813	Shikimate dehydrogenase substrate binding domain
PF05199	0.397828062405578	GMC oxidoreductase
PF11416	0.397815442893389	Syntaxin-5 N-terminal, Sly1p-binding domain
PF07687	0.394595416121338	Peptidase dimerisation domain
PF01494	0.393515754027339	FAD binding domain
PF01397	0.393305534264831	Terpene synthase, N-terminal domain
PF02873	0.391484088849924	UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain
PF19055	0.38953704743541	ABC-2 type transporter
PF04139	0.386635821475749	Rad9
PF13516	0.386355297117774	Leucine Rich repeat
PF00967	0.386286367332078	Barwin family
PF00314	0.384892753836192	Thaumatin family
PF15490	0.38369285372939	Telomere-capping, CST complex subunit
PF06479	0.382592894389347	Ribonuclease 2-5A
PF03405	0.376724615025177	Fatty acid desaturase
PF03467	0.37427814775791	Smg-4/UPF3 family
PF01738	0.374231656102438	Dienelactone hydrolase family
PF12971	0.373470704559056	Alpha-N-acetylglucosaminidase (NAGLU) N-terminal domain
PF07107	0.37262437637149	Wound-induced protein WI12
PF13947	0.369525724724702	Wall-associated receptor kinase galacturonan-binding
PF16113	0.369023806833515	Enoyl-CoA hydratase/isomerase
PF03073	0.365825400487453	TspO/MBR family
PF00580	0.36575558033303	UvrD/REP helicase N-terminal domain
PF14634	0.364239885209341	zinc-RING finger domain
PF13668	0.36363755280787	Ferritin-like domain
PF02727	0.362170717683522	Copper amine oxidase, N2 domain
PF05089	0.36204512030993	Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain
PF13306	0.361265252578122	BspA type Leucine rich repeat region (6 copies)
PF19086	0.359674539215575	Terpene synthase family 2, C-terminal metal binding
PF11838	0.359463395471067	ERAP1-like C-terminal domain
PF01734	0.357972059755825	Patatin-like phospholipase
PF01758	0.357407849713108	Sodium Bile acid symporter family
PF16916	0.352952704033775	Dimerisation domain of Zinc Transporter
PF02502	0.352421897954147	Ribose/Galactose Isomerase
PF00067	0.352284072584658	Cytochrome P450
PF00931	0.350416841699735	NB-ARC domain
PF04145	0.350316565638164	Ctr copper transporter family
PF01975	0.350220797535621	Survival protein SurE
PF00891	0.349478217195744	O-methyltransferase domain
PF11443	0.349193600232904	Domain of unknown function (DUF2828)
PF00407	0.348371452755275	Pathogenesis-related protein Bet v 1 family
PF14363	0.347812823926585	Domain associated at C-terminal with AAA
PF02212	0.346174100399277	Dynamin GTPase effector domain
PF01545	0.345643805161865	Cation efflux family
PF11510	0.345482331679395	Fanconi Anaemia group E protein FANCE
PF10044	0.344390206675232	Retinal tissue protein
PF16759	0.343887592859124	DNA ligase 3 BRCT domain
PF07885	0.34369068895862	Ion channel
PF12973	0.342882027269436	ChrR Cupin-like domain
PF02875	0.342337402241923	Mur ligase family, glutamate ligase domain
PF17766	0.340724691473567	Fibronectin type-III domain
PF17900	0.340134132853293	Peptidase M1 N-terminal domain
PF03514	0.339831353553268	GRAS domain family
PF05879	0.339719134675008	Root hair defective 3 GTP-binding protein (RHD3)
PF00903	0.339415664695746	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF16040	0.337004213246215	Domain of unknown function (DUF4792)
PF04107	0.336581716435115	Glutamate-cysteine ligase family 2(GCS2)
PF02153	0.336383572200156	Prephenate dehydrogenase
PF12899	0.335714389317017	Alkaline and neutral invertase
PF04266	0.335307488922587	ASCH domain
PF05922	0.334583503415781	Peptidase inhibitor I9
PF02291	0.334248632530725	Transcription initiation factor IID, 31kD subunit
PF03819	0.33383706458125	MazG nucleotide pyrophosphohydrolase domain
PF18117	0.332896650615984	Enhanced disease susceptibility 1 protein EP domain
PF12896	0.33070502397571	Anaphase-promoting complex, cyclosome, subunit 4
PF00586	0.329356901933656	AIR synthase related protein, N-terminal domain
PF12708	0.329350652878702	Pectate lyase superfamily protein
PF05499	0.328656483560356	DNA methyltransferase 1-associated protein 1 (DMAP1)
PF05834	0.327724168202735	Lycopene cyclase protein
PF04450	0.326837807786012	Peptidase of plants and bacteria
PF01256	0.326062162954357	Carbohydrate kinase
PF05577	0.325590752240752	Serine carboxypeptidase S28
PF01225	0.325250062571171	Mur ligase family, catalytic domain
PF00389	0.324977152004746	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF05978	0.324161588453013	Ion channel regulatory protein UNC-93
PF00194	0.32410831541007	Eukaryotic-type carbonic anhydrase
PF01048	0.322590853469231	Phosphorylase superfamily
PF07837	0.31999977860212	Formiminotransferase domain, N-terminal subdomain
PF03094	0.319879405561846	Mlo family
PF07279	0.317764598402893	Protein of unknown function (DUF1442)
PF10075	0.315244695757123	CSN8/PSMD8/EIF3K family
PF02668	0.315051600444061	Taurine catabolism dioxygenase TauD, TfdA family
PF04718	0.315048372172439	Mitochondrial ATP synthase g subunit
PF14678	0.313436604985454	FANCI solenoid 4
PF01770	0.31186206335707	Reduced folate carrier
PF01820	0.311346845925973	D-ala D-ala ligase N-terminus
PF17677	0.310881845549425	Glycosyl hydrolases family 38 C-terminal beta sandwich domain
PF05460	0.310529276497197	Origin recognition complex subunit 6 (ORC6)
PF00082	0.310451259222099	Subtilase family
PF05634	0.310100055898248	APO RNA-binding
PF00933	0.309803082955002	Glycosyl hydrolase family 3 N terminal domain
PF12166	0.309367487344049	Piezo non-specific cation channel, R-Ras-binding domain
PF13450	0.309272866474763	NAD(P)-binding Rossmann-like domain
PF12799	0.309266772587806	Leucine Rich repeats (2 copies)
PF15251	0.308962679207659	Domain of unknown function (DUF4588)
PF12850	0.307706938530714	Calcineurin-like phosphoesterase superfamily domain
PF00394	0.306715644103482	Multicopper oxidase
PF00464	0.306633621837372	Serine hydroxymethyltransferase
PF11187	0.305607240723083	Protein of unknown function (DUF2974)
PF12355	0.305607240723083	Down syndrome cell adhesion molecule C terminal
PF18311	0.305607240723083	Exosome complex exonuclease Rrp40 N-terminal domain
PF01505	0.305607240723083	Major Vault Protein repeat domain
PF01582	0.304283168708473	TIR domain
PF03069	0.304006587607545	Acetamidase/Formamidase family
PF03737	0.303913495351851	Aldolase/RraA
PF04618	0.303517294636588	HD-ZIP protein N terminus
PF18404	0.303478237167333	Glucosyltransferase 24
PF04423	0.303393157939947	Rad50 zinc hook motif
PF10313	0.30314746593763	Uncharacterised protein domain (DUF2415)
PF17667	0.301542663134213	Fungal protein kinase
PF07207	0.300433344228459	Light regulated protein Lir1
PF00520	0.299196919764421	Ion transport protein
