ann_term	CC	annotation
PF03433	0.617845614620154	EspA-like secreted protein
PF05802	0.617845614620154	Enterobacterial EspB protein
PF06287	0.617845614620154	Protein of unknown function (DUF1039)
PF09621	0.617845614620154	Type III secretion system regulator (LcrR)
PF16693	0.617845614620154	Inner membrane component of T3SS, periplasmic domain
PF07979	0.616703951007847	Intimin C-type lectin domain
PF00449	0.59421428372915	Urease alpha-subunit, N-terminal domain
PF00547	0.59421428372915	Urease, gamma subunit
PF00699	0.59421428372915	Urease beta subunit
PF01730	0.59421428372915	UreF
PF02814	0.59421428372915	UreE urease accessory protein, N-terminal domain
PF05194	0.59421428372915	UreE urease accessory protein, C-terminal domain
PF12500	0.593754018312716	TRSP domain C terminus to PRTase_2
PF15609	0.593754018312716	Phosphoribosyl transferase
PF15617	0.593754018312716	C-C_Bond_Lyase of the TIM-Barrel fold
PF15632	0.593754018312716	ATP-grasp in the biosynthetic pathway with Ter operon
PF01774	0.592509879586384	UreD urease accessory protein
PF04888	0.59122677742247	Secretion system effector C (SseC) like family
PF03549	0.57981973292465	Translocated intimin receptor (Tir) intimin-binding domain
PF05932	0.57981973292465	Tir chaperone protein (CesT) family
PF06066	0.57981973292465	SepZ
PF06622	0.57981973292465	SepQ protein
PF07489	0.57981973292465	Translocated intimin receptor (Tir) C-terminus
PF07490	0.57981973292465	Translocated intimin receptor (Tir) N-terminus
PF08988	0.57981973292465	Type III secretion system, cytoplasmic E component of needle
PF11439	0.57981973292465	Type III secretion system filament chaperone CesA
PF13327	0.57981973292465	Type III secretion system subunit
PF16518	0.57981973292465	T3SS negative regulator,GrlR
PF03278	0.57925372531786	IpaB/EvcA family
PF06872	0.573984930463391	EspG protein
PF06523	0.567120033097618	Protein of unknown function (DUF1106)
PF01219	0.565640265954108	Prokaryotic diacylglycerol kinase
PF07201	0.561031479810714	HrpJ-like domain
PF04806	0.556127656738698	EspF protein repeat
PF14020	0.554089594263949	Protein of unknown function (DUF4236)
PF02342	0.545990299939223	TerD domain
PF12919	0.543916249671155	TcdA/TcdB catalytic glycosyltransferase domain
PF12918	0.543510073198915	TcdB toxin N-terminal helical domain
PF11996	0.536976177579794	Protein of unknown function (DUF3491)
PF11202	0.525224812955683	Phosphoribosyl transferase (PRTase)
PF15608	0.522798152787052	PELOTA RNA binding domain
PF07180	0.506849739982335	CaiF/GrlA transcriptional regulator
PF13979	0.500849188463041	SopA-like catalytic domain
PF03279	0.497196915528902	Bacterial lipid A biosynthesis acyltransferase
PF02368	0.480147985238756	Bacterial Ig-like domain (group 2)
PF09691	0.477099914104315	Type II secretion system pilotin lipoprotein (PulS_OutS)
PF10462	0.477099914104315	Peptidase M66
PF00006	0.474028171834148	ATP synthase alpha/beta family, nucleotide-binding domain
PF04266	0.467191996881744	ASCH domain
PF06316	0.465418508142921	Enterobacterial Ail/Lom protein
PF01313	0.456973823235206	Bacterial export proteins, family 3
PF01571	0.451090140598355	Aminomethyltransferase folate-binding domain
PF08669	0.451090140598355	Glycine cleavage T-protein C-terminal barrel domain
PF10518	0.451090140598355	TAT (twin-arginine translocation) pathway signal sequence
PF17131	0.451090140598355	Outer membrane lipoprotein-sorting protein
PF00813	0.448942679447339	FliP family
PF01197	0.440717791748186	Ribosomal protein L31
PF12849	0.435371285628467	PBP superfamily domain
PF13711	0.424324246247625	Domain of unknown function (DUF4160)
PF13988	0.421305320733983	Protein of unknown function (DUF4225)
PF01476	0.421284193974538	LysM domain
PF01514	0.416858777157059	Secretory protein of YscJ/FliF family
PF13750	0.416284573235472	Bacterial Ig-like domain (group 3)
PF12245	0.404101736594172	Bacterial Ig-like domain (group 3)
PF07730	0.397582858449158	Histidine kinase
PF00141	0.396959323726552	Peroxidase
PF11740	0.393350602601765	Plasmid replication region DNA-binding N-term
PF00591	0.393044182667051	Glycosyl transferase family, a/b domain
PF13941	0.391770089813953	MutL protein
PF06069	0.389722064546523	PerC transcriptional activator
PF01041	0.386280179317935	DegT/DnrJ/EryC1/StrS aminotransferase family
PF09392	0.383961168860937	Type III secretion needle MxiH, YscF, SsaG, EprI, PscF, EscF
PF05099	0.381525878359123	Tellurite resistance protein TerB
