ann_term	q_val	annotation
PF00149	1	Calcineurin-like phosphoesterase
PF07507	1	WavE lipopolysaccharide synthesis
PF11809	0.995989980266073	Domain of unknown function (DUF3330)
PF04956	0.995627548312806	TrbC/VIRB2 family
PF00723	0.989906874475477	Glycosyl hydrolases family 15
PF02048	0.989034008193078	Heat-stable enterotoxin ST
PF13614	0.988331081378006	AAA domain
PF04610	0.985220523750463	TrbL/VirB6 plasmid conjugal transfer protein
PF13182	0.984838112353402	Protein of unknown function (DUF4007)
PF17466	0.984838112353402	Family of unknown function
PF02195	0.982747832977408	ParB-like nuclease domain
PF02316	0.982700831620804	Mu DNA-binding domain
PF08878	0.982700831620804	Domain of unknown function (DUF1837)
PF13250	0.982700831620804	Domain of unknown function (DUF4041)
PF13117	0.981482439513771	Cag pathogenicity island protein Cag12
PF07511	0.980177537997188	Protein of unknown function (DUF1525)
PF09686	0.980177537997188	Plasmid protein of unknown function (Plasmid_RAQPRD)
PF11190	0.980177537997188	Protein of unknown function (DUF2976)
PF11444	0.980177537997188	Protein of unknown function (DUF2895)
PF11660	0.980177537997188	Protein of unknown function (DUF3262)
PF11920	0.980177537997188	Protein of unknown function (DUF3438)
PF11990	0.980177537997188	Protein of unknown function (DUF3487)
PF12101	0.980177537997188	Protein of unknown function (DUF3577)
PF01219	0.979526491879255	Prokaryotic diacylglycerol kinase
PF10721	0.973770533298638	Protein of unknown function (DUF2514)
PF02902	0.973333319923398	Ulp1 protease family, C-terminal catalytic domain
PF06414	0.973333319923398	Zeta toxin
PF07362	0.973333319923398	Post-segregation antitoxin CcdA
PF07819	0.970909376153014	PGAP1-like protein
PF10144	0.96781381717946	Bacterial virulence factor haemolysin
PF10437	0.96781381717946	Bacterial lipoate protein ligase C-terminus
PF13333	0.964347643735147	Integrase core domain
PF09008	0.963766921285062	Head binding
PF17289	0.961847255189454	Terminase RNaseH-like domain
PF10765	0.956205114149106	Protein of unknown function (DUF2591)
PF06054	0.956200011474168	Competence protein CoiA-like family
PF14088	0.956200011474168	Domain of unknown function (DUF4268)
PF17273	0.956200011474168	Family of unknown function (DUF5338)
PF06154	0.956200011474168	CbeA_antitoxin, type IV, cytoskeleton bundling-enhancing factor A
PF11019	0.954567581702463	Protein of unknown function (DUF2608)
PF13565	0.953366493306109	Homeodomain-like domain
PF06308	0.949901847672421	23S rRNA methylase leader peptide (ErmC)
PF09274	0.949901847672421	ParG
PF10734	0.949901847672421	Protein of unknown function (DUF2523)
PF12102	0.949901847672421	Domain of unknown function (DUF3578)
PF06319	0.949901847672421	DNA repair protein MmcB-like
PF08808	0.949901847672421	RES domain
PF09378	0.949901847672421	HAS barrel domain
PF16816	0.948647207593187	DotD protein
PF00109	0.946209687669244	Beta-ketoacyl synthase, N-terminal domain
PF02801	0.946209687669244	Beta-ketoacyl synthase, C-terminal domain
PF03389	0.946209687669244	MobA/MobL family
PF01845	0.94466952963247	CcdB protein
PF03922	0.943889287045747	OmpW family
PF02129	0.942536683012808	X-Pro dipeptidyl-peptidase (S15 family)
PF14213	0.932512010312808	STAS-like domain of unknown function (DUF4325)
PF04986	0.928494498768556	Putative transposase
PF06231	0.928307937186163	Protein of unknown function (DUF1010)
PF03417	0.928225560327775	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
PF09889	0.928225560327775	Uncharacterized protein containing a Zn-ribbon (DUF2116)
