ann_term	sum	annotation
PF00005	8089	ABC transporter
PF00006	365	ATP synthase alpha/beta family, nucleotide-binding domain
PF00009	716	Elongation factor Tu GTP binding domain
PF00011	172	Hsp20/alpha crystallin family
PF00012	412	Hsp70 protein
PF00013	81	KH domain
PF00015	358	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00027	240	Cyclic nucleotide-binding domain
PF00034	77	Cytochrome c
PF00035	79	Double-stranded RNA binding motif
PF00037	271	4Fe-4S binding domain
PF00042	79	Globin
PF00043	400	Glutathione S-transferase, C-terminal domain
PF00044	238	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00056	81	lactate/malate dehydrogenase, NAD binding domain
PF00069	25	Protein kinase domain
PF00072	2999	Response regulator receiver domain
PF00075	81	RNase H
PF00078	138	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00080	96	Copper/zinc superoxide dismutase (SODC)
PF00081	160	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082	13	Subtilase family
PF00083	980	Sugar (and other) transporter
PF00085	245	Thioredoxin
PF00089	80	Trypsin
PF00091	80	Tubulin/FtsZ family, GTPase domain
PF00092	143	von Willebrand factor type A domain
PF00106	515	short chain dehydrogenase
PF00107	1403	Zinc-binding dehydrogenase
PF00108	332	Thiolase, N-terminal domain
PF00109	282	Beta-ketoacyl synthase, N-terminal domain
PF00111	530	2Fe-2S iron-sulfur cluster binding domain
PF00113	84	Enolase, C-terminal TIM barrel domain
PF00115	80	Cytochrome C and Quinol oxidase polypeptide I
PF00116	80	Cytochrome C oxidase subunit II, periplasmic domain
PF00117	481	Glutamine amidotransferase class-I
PF00118	82	TCP-1/cpn60 chaperonin family
PF00119	80	ATP synthase A chain
PF00120	133	Glutamine synthetase, catalytic domain
PF00121	80	Triosephosphate isomerase
PF00122	335	E1-E2 ATPase
PF00126	3516	Bacterial regulatory helix-turn-helix protein, lysR family
PF00128	575	Alpha amylase, catalytic domain
PF00132	1696	Bacterial transferase hexapeptide (six repeats)
PF00133	403	tRNA synthetases class I (I, L, M and V)
PF00136	80	DNA polymerase family B
PF00137	80	ATP synthase subunit C
PF00140	150	Sigma-70 factor, region 1.2
PF00141	176	Peroxidase
PF00144	225	Beta-lactamase
PF00145	154	C-5 cytosine-specific DNA methylase
PF00146	211	NADH dehydrogenase
PF00149	697	Calcineurin-like phosphoesterase
PF00152	399	tRNA synthetases class II (D, K and N)
PF00154	82	recA bacterial DNA recombination protein
PF00155	1142	Aminotransferase class I and II
PF00156	480	Phosphoribosyl transferase domain
PF00158	1015	Sigma-54 interaction domain
PF00160	159	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00161	22	Ribosome inactivating protein
PF00162	80	Phosphoglycerate kinase
PF00163	80	Ribosomal protein S4/S9 N-terminal domain
PF00164	80	Ribosomal protein S12/S23
PF00165	1	Bacterial regulatory helix-turn-helix proteins, AraC family
PF00166	82	Chaperonin 10 Kd subunit
PF00171	1042	Aldehyde dehydrogenase family
PF00174	89	Oxidoreductase molybdopterin binding domain
PF00175	491	Oxidoreductase NAD-binding domain
PF00176	114	SNF2 family N-terminal domain
PF00177	80	Ribosomal protein S7p/S5e
PF00180	246	Isocitrate/isopropylmalate dehydrogenase
PF00181	80	Ribosomal Proteins L2, RNA binding domain
PF00182	21	Chitinase class I
PF00183	83	Hsp90 protein
PF00185	256	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain
PF00186	108	Dihydrofolate reductase
PF00189	80	Ribosomal protein S3, C-terminal domain
PF00196	1590	Bacterial regulatory proteins, luxR family
PF00198	183	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00199	80	Catalase
PF00202	536	Aminotransferase class-III
PF00203	80	Ribosomal protein S19
PF00204	160	DNA gyrase B
PF00205	488	Thiamine pyrophosphate enzyme, central domain
PF00206	326	Lyase
PF00207	155	Alpha-2-macroglobulin family
PF00208	80	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF00210	323	Ferritin-like domain
PF00213	80	ATP synthase delta (OSCP) subunit
