ann_term	generic	annotation
PF00005	31.4323116654141	ABC transporter
PF00006	16.1906120618649	ATP synthase alpha/beta family, nucleotide-binding domain
PF00008	0.955326382737417	EGF-like domain
PF00009	3.8736148084363	Elongation factor Tu GTP binding domain
PF00010	24.3000116468642	Helix-loop-helix DNA-binding domain
PF00011	8.71964135460284	Hsp20/alpha crystallin family
PF00012	13.2237107842036	Hsp70 protein
PF00013	12.6486824773846	KH domain
PF00015	0.558587116515005	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016	10.9516598718317	Ribulose bisphosphate carboxylase large chain, catalytic domain
PF00017	0.136082763487954	SH2 domain
PF00018	0.668759816767359	SH3 domain
PF00020	0.231212282322664	TNFR/NGFR cysteine-rich region
PF00022	5.44151292317511	Actin
PF00023	6.04470302505228	Ankyrin repeat
PF00024	1.85582731913146	PAN domain
PF00025	4.755848949589	ADP-ribosylation factor family
PF00026	2.56848883017228	Eukaryotic aspartyl protease
PF00027	4.57536471378522	Cyclic nucleotide-binding domain
PF00031	3.16823860355507	Cystatin domain
PF00032	2.36272296689834	Cytochrome b(C-terminal)/b6/petD
PF00033	2.1489763217185	Cytochrome b/b6/petB
PF00034	0.839286909062253	Cytochrome c
PF00035	3.32751063770278	Double-stranded RNA binding motif
PF00036	2.90358702470976	EF hand
PF00037	1.41779151298197	4Fe-4S binding domain
PF00041	0.792169927206865	Fibronectin type III domain
PF00042	2.58334178669071	Globin
PF00043	10.764050347068	Glutathione S-transferase, C-terminal domain
PF00044	2.04192603067421	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00045	5.52207943494243	Hemopexin
PF00046	14.3260427072724	Homeodomain
PF00054	0.136082763487954	Laminin G domain
PF00056	2.01010723523271	lactate/malate dehydrogenase, NAD binding domain
PF00059	0.317220634287258	Lectin C-type domain
PF00060	11.0977645207713	Ligand-gated ion channel
PF00061	0.328050378773257	Lipocalin / cytosolic fatty-acid binding protein family
PF00063	4.36942716847106	Myosin head (motor domain)
PF00067	97.6550568725157	Cytochrome P450
PF00068	0.136082763487954	Phospholipase A2
PF00069	170.006023036313	Protein kinase domain
PF00070	0.339049520304525	Pyridine nucleotide-disulphide oxidoreductase
PF00071	15.2375552090592	Ras family
PF00072	7.62998241977435	Response regulator receiver domain
PF00075	0.445883414769754	RNase H
PF00076	56.1816989632098	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00077	1.06399035319786	Retroviral aspartyl protease
PF00078	120.110682999099	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00079	8.77852742068687	Serpin (serine protease inhibitor)
PF00080	1.99098246626943	Copper/zinc superoxide dismutase (SODC)
PF00081	1.15606141161332	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082	18.903336440465	Subtilase family
PF00083	18.8132627140613	Sugar (and other) transporter
PF00085	9.96401632093632	Thioredoxin
PF00089	0.371974165600534	Trypsin
PF00091	4.38762155626875	Tubulin/FtsZ family, GTPase domain
PF00092	4.06279328888095	von Willebrand factor type A domain
PF00096	5.22842978220243	Zinc finger, C2H2 type
PF00097	4.6435486080961	Zinc finger, C3HC4 type (RING finger)
PF00098	60.0969866028417	Zinc knuckle
PF00101	1.4163120779568	Ribulose bisphosphate carboxylase, small chain
PF00102	0.606279739305301	Protein-tyrosine phosphatase
PF00105	0.136082763487954	Zinc finger, C4 type (two domains)
