Feature	Pfam
0	PF04952
1	PF15975
2	PF01145
3	PF00465
4	PF01520
5	PF06500
6	PF06969
7	PF04055
8	PF00126
9	PF03466
10	PF03887
11	PF13247
12	PF00408
13	PF02879
14	PF02880
15	PF02878
16	PF01138
17	PF03725
18	PF00593
19	PF07715
20	PF01479
21	PF00849
22	PF01728
23	PF00563
24	PF12792
25	PF02302
26	PF00202
27	PF00873
28	PF13365
29	PF13180
30	PF03466
31	PF00126
32	PF00392
33	PF07840
34	PF00325
35	PF00027
36	PF00549
37	PF02629
38	PF01416
39	PF01416
40	PF13437
41	PF13533
42	PF04962
43	PF03631
44	PF02602
45	PF13693
46	PF16449
47	PF06719
48	PF12833
49	PF07729
50	PF00392
51	PF03480
52	PF07729
53	PF00392
54	PF00111
55	PF00207
56	PF01835
57	PF07703
58	PF00496
59	PF06751
60	PF16363
61	PF03144
62	PF09106
63	PF00009
64	PF09107
65	PF00035
66	PF14622
67	PF00923
68	PF13560
69	PF07690
70	PF00085
71	PF00313
72	PF00444
73	PF03411
74	PF00342
75	PF03446
76	PF14833
77	PF00989
78	PF02518
79	PF00512
80	PF11808
81	PF08282
82	PF13488
83	PF00691
84	PF00294
85	PF00128
86	PF02806
87	PF00528
88	PF13860
89	PF03963
90	PF13861
91	PF01435
92	PF02879
93	PF00408
94	PF02878
95	PF02880
96	PF13541
97	PF13335
98	PF01078
99	PF00480
100	PF00654
101	PF05524
102	PF03610
103	PF00391
104	PF00381
105	PF00072
106	PF00697
107	PF00218
108	PF01430
109	PF01095
110	PF00009
111	PF03144
112	PF00679
113	PF07963
114	PF00532
115	PF00189
116	PF07650
117	PF00210
118	PF00532
119	PF00356
120	PF00091
121	PF12327
122	PF10431
123	PF00004
124	PF07724
125	PF13242
126	PF00475
127	PF03616
128	PF04012
129	PF00122
130	PF00403
131	PF00403
132	PF00702
133	PF17157
134	PF00563
135	PF00990
136	PF03328
137	PF00005
138	PF08007
139	PF00175
140	PF00970
141	PF03123
142	PF00874
143	PF04378
144	PF02080
145	PF00999
146	PF03471
147	PF00166
148	PF17193
149	PF03882
150	PF17192
151	PF02518
152	PF00512
153	PF01192
154	PF00158
155	PF01590
156	PF02954
157	PF01165
158	PF00364
159	PF00198
160	PF02817
161	PF13378
162	PF02746
163	PF12795
164	PF00924
165	PF12794
166	PF13380
167	PF00583
168	PF13549
169	PF13607
170	PF07037
171	PF00551
172	PF02911
173	PF00575
174	PF08461
175	PF00773
176	PF08206
177	PF08206
178	PF00358
179	PF00367
180	PF02378
181	PF00106
182	PF00384
183	PF01568
184	PF04879
185	PF08264
186	PF00133
187	PF00133
188	PF00133
189	PF13603
190	PF02381
191	PF02381
192	PF08207
193	PF01132
194	PF09285
195	PF03320
196	PF02561
197	PF00005
198	PF11739
199	PF00334
200	PF00126
201	PF03466
202	PF00176
203	PF00271
204	PF12137
205	PF02880
206	PF02879
207	PF00408
208	PF02878
209	PF01979
210	PF02897
211	PF00326
212	PF00528
213	PF01208
214	PF02656
215	PF00288
216	PF10509
217	PF08544
218	PF08245
219	PF02875
220	PF01435
221	PF01276
222	PF03709
223	PF03711
224	PF03466
225	PF00126
226	PF00271
227	PF00270
228	PF02852
229	PF07992
230	PF00871
231	PF01551
232	PF01476
233	PF00009
234	PF00679
235	PF03144
236	PF14492
237	PF03764
238	PF01568
239	PF00384
240	PF01494
241	PF03471
242	PF01595
